"NetC";"ARPA Sicilia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Stat";"Termica Milazzo";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Parm";"CO";"CO";"CO";"CO";"CO";"CO";"CO";"CO";"O3";"O3";"O3";"O3";"O3";"O3";"O3";"O3";"NO2";"NO2";"NO2";"NO2";"NO2";"NO2";"NO2";"NO2";"PM10";"PM10";"PM10";"PM10";"PM10";"PM10";"PM10";"PM10";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene"
"PtId";"7";"7";"7";"7";"7";"7";"7";"7";"8";"8";"8";"8";"8";"8";"8";"8";"11";"11";"11";"11";"11";"11";"11";"11";"20";"20";"20";"20";"20";"20";"20";"20";"21";"21";"21";"21";"21";"21";"21";"21"
"Unit";"mg/m3 293K";;;"mg/m3 293K";;"mg/m3 293K";"mg/m3 293K";;"ug/m3 293K";;;"ug/m3 293K";;"ug/m3 293K";"ug/m3 293K";;"ug/m3 293K";;;"ug/m3 293K";;"ug/m3 293K";"ug/m3 293K";;"ug/m3";;;"ug/m3";;"ug/m3";"ug/m3";;"ug/m3 293K";;;"ug/m3 293K";;"ug/m3 293K";"ug/m3 293K";
"Field";"Aver";"SWrd";"MinT";"Min";"MaxT";"Max";"Sigma";"Samp";"Aver";"SWrd";"MinT";"Min";"MaxT";"Max";"Sigma";"Samp";"Aver";"SWrd";"MinT";"Min";"MaxT";"Max";"Sigma";"Samp";"Aver";"SWrd";"MinT";"Min";"MaxT";"Max";"Sigma";"Samp";"Aver";"SWrd";"MinT";"Min";"MaxT";"Max";"Sigma";"Samp"
"12/09/2015 00:00";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"12/09/2015 01:00";"0.28794821";"80400000";"00:32";"0.17691112";"00:48";"0.35933403";"0.02472422";"720";"66.28616925";"80400000";"00:31";"58.9486989";"00:59";"72.1025319";"2.12869692";"720";"7.1867625";"80400000";"00:10";"2.79600364";"00:34";"11.18401265";"1.1768035";"720";"17.7999897";"80000000";"05:00";"17.7999897";"05:00";"17.7999897";"0.0";"720";"0.0396091";"80400000";"00:12";"0.03387627";"00:27";"0.05274772";"0.00774446";"4"
"12/09/2015 02:00";"0.29216936";"80400000";"01:19";"0.20541499";"01:05";"0.38783674";"0.02809507";"715";"68.89191855";"80400000";"01:04";"62.8461309";"01:43";"74.05126785";"1.92815753";"715";"6.50836578";"80400000";"01:59";"2.79600364";"01:16";"11.18401265";"1.24788018";"715";"17.7999897";"80000000";"05:00";"17.7999897";"05:00";"17.7999897";"0.0";"720";;;;;;;;
"12/09/2015 03:00";"0.30693522";"80400000";"02:59";"0.2396187";"02:52";"0.39923875";"0.0276197";"720";"69.6815196";"80400000";"02:29";"62.8461309";"02:49";"76.48716285";"2.08148525";"720";;;;;;;;;"17.7999897";"80000000";"05:00";"17.7999897";"05:00";"17.7999897";"0.0";"720";"0.1038479";"81400000";"02:42";"0.02965877";"02:27";"0.24431696";"0.09937717";"3"
"12/09/2015 04:00";;;;;;;;;"70.82439525";"80400000";"03:49";"66.25640385";"03:13";"76.48716285";"1.69804625";"720";"14.94567189";"80400000";"03:57";"9.32000958";"03:01";"23.3000144";"2.69696204";"720";"17.7999897";"80000000";"05:00";"17.7999897";"05:00";"17.7999897";"0.0";"720";"0.03866126";"80400000";"03:42";"0.02812412";"03:57";"0.05926873";"0.01211349";"4"
"12/09/2015 05:00";"0.18340987";"80400000";"04:53";"0.10933414";"04:21";"0.25357514";"0.0247032";"720";;;;;;;;;"10.85651764";"80400000";"04:43";"6.52400786";"04:52";"13.98001438";"1.23589959";"720";"17.7999897";"80000000";"05:00";"17.7999897";"05:00";"17.7999897";"0.0";"720";"0.04169497";"80400000";"04:42";"0.0231998";"04:57";"0.0871691";"0.02646946";"4"
"12/09/2015 06:00";"0.19002893";"80400000";"05:06";"0.09779547";"05:47";"0.25357514";"0.0250501";"720";"72.88407315";"80400000";"05:19";"60.41025585";"05:40";"78.9230778";"2.99831343";"720";"11.26815021";"80400000";"05:51";"7.45600843";"05:18";"35.41601424";"3.67276271";"720";"17.7999897";"80000000";"05:00";"17.7999897";"05:00";"17.7999897";"0.0";"720";"0.03556958";"80400000";"05:12";"0.02571078";"05:42";"0.06153359";"0.01504346";"4"
"12/09/2015 07:00";"0.26360709";"80400000";"06:59";"0.14972125";"06:50";"0.66898718";"0.09053986";"720";"71.2858587";"80400000";"06:02";"57.4871619";"06:42";"81.3589728";"3.79499474";"720";"13.04671938";"80400000";"06:59";"8.38800901";"06:04";"20.50402032";"2.2183349";"720";"17.7999897";"80000000";"05:00";"17.7999897";"05:00";"17.7999897";"0.0";"720";"0.45839343";"80400000";"06:12";"0.03985216";"06:57";"1.43123732";"0.56462925";"4"
"12/09/2015 08:00";"0.23475982";"80400000";"07:41";"0.14972125";"07:26";"0.31704075";"0.02950835";"720";"70.4515497";"80400000";"07:26";"58.4615199";"07:58";"76.97434185";"3.1593618";"720";"14.09263118";"80400000";"07:48";"9.32000958";"07:26";"31.68801576";"3.04914862";"720";"17.7999897";"80000000";"05:00";"17.7999897";"05:00";"17.7999897";"0.0";"720";"0.46264652";"80400000";"07:27";"0.18942134";"07:12";"0.96398684";"0.29690908";"4"
"12/09/2015 09:00";"0.21442144";"80400000";"08:55";"0.13241266";"08:28";"0.31704075";"0.02870126";"720";"76.6563189";"80400000";"08:06";"58.4615199";"08:57";"96.9487008";"8.45604291";"720";"14.48873257";"80400000";"08:58";"7.45600843";"08:06";"21.4360056";"2.00147778";"720";"17.7999897";"80000000";"05:00";"17.7999897";"05:00";"17.7999897";"0.0";"720";"0.235645";"80400000";"08:27";"0.13455113";"08:12";"0.37710563";"0.09119541";"4"
"12/09/2015 10:00";"0.19424424";"80400000";"09:52";"0.05163845";"09:06";"0.36319778";"0.04802699";"720";"89.7871695";"80400000";"09:50";"75.99998385";"09:44";"101.8204908";"4.93368089";"720";"19.52930184";"80400000";"09:01";"9.32000958";"10:00";"30.75603048";"4.48043358";"720";"17.7999897";"80000000";"05:00";"17.7999897";"05:00";"17.7999897";"0.0";"720";"0.13539118";"80400000";"09:12";"0.07155815";"09:27";"0.17308628";"0.03823615";"4"
