"NetC";"ARPA Sicilia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Stat";"Enna";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Parm";"SO2";"SO2";"SO2";"SO2";"SO2";"SO2";"SO2";"SO2";"NO2";"NO2";"NO2";"NO2";"NO2";"NO2";"NO2";"NO2";"CO";"CO";"CO";"CO";"CO";"CO";"CO";"CO";"O3";"O3";"O3";"O3";"O3";"O3";"O3";"O3";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene";"PM10";"PM10";"PM10";"PM10";"PM10";"PM10";"PM10";"PM10"
"PtId";"1";"1";"1";"1";"1";"1";"1";"1";"4";"4";"4";"4";"4";"4";"4";"4";"5";"5";"5";"5";"5";"5";"5";"5";"6";"6";"6";"6";"6";"6";"6";"6";"7";"7";"7";"7";"7";"7";"7";"7";"12";"12";"12";"12";"12";"12";"12";"12"
"Unit";"ug/m3 293K";;;"ug/m3 293K";;"ug/m3 293K";"ug/m3 293K";;"ug/m3 293K";;;"ug/m3 293K";;"ug/m3 293K";"ug/m3 293K";;"mg/m3 293K";;;"mg/m3 293K";;"mg/m3 293K";"mg/m3 293K";;"ug/m3 293K";;;"ug/m3 293K";;"ug/m3 293K";"ug/m3 293K";;"ug/m3 293K";;;"ug/m3 293K";;"ug/m3 293K";"ug/m3 293K";;"ug/m3";;;"ug/m3";;"ug/m3";"ug/m3";
"Field";"Aver";"SWrd";"MinT";"Min";"MaxT";"Max";"Sigma";"Samp";"Aver";"SWrd";"MinT";"Min";"MaxT";"Max";"Sigma";"Samp";"Aver";"SWrd";"MinT";"Min";"MaxT";"Max";"Sigma";"Samp";"Aver";"SWrd";"MinT";"Min";"MaxT";"Max";"Sigma";"Samp";"Aver";"SWrd";"MinT";"Min";"MaxT";"Max";"Sigma";"Samp";"Aver";"SWrd";"MinT";"Min";"MaxT";"Max";"Sigma";"Samp"
"30/08/2015 00:00";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"30/08/2015 01:00";;;;;;;;;"8.54262098";"80400000";"00:59";"2.69812071";"00:05";"21.07102392";"4.7378404";"720";"0.20265267";"80400000";"00:28";"0.14742963";"00:02";"0.31765045";"0.03905558";"720";"94.2646677";"80400000";"00:04";"72.4497816";"00:30";"103.68040935";"8.09091602";"720";;;;;;;;;"16.7999897";"80000000";"01:17";"16.7999897";"01:17";"16.7999897";"0.0";"1"
"30/08/2015 02:00";"0.41482108";"80400000";"01:59";"0.0";"01:01";"1.52494472";"0.33883084";"720";;;;;;;;;"0.16776918";"80400000";"01:45";"0.14175549";"01:01";"0.19282162";"0.01057624";"720";"100.38004095";"80400000";"01:06";"96.3856719";"01:32";"103.4524407";"1.34044649";"720";;;;;;;;;"16.7999897";"80000000";"01:17";"16.7999897";"01:17";"16.7999897";"0.0";"1"
"30/08/2015 03:00";"0.31508592";"80400000";"02:58";"0.0";"02:59";"1.19463227";"0.30210087";"720";"2.53191246";"80400000";"02:57";"0.0";"02:12";"5.91786753";"1.55102014";"720";"0.16405027";"80400000";"02:54";"0.13608134";"02:52";"0.2353777";"0.01510574";"720";"100.92304005";"80400000";"02:09";"94.7899512";"02:47";"104.592264";"2.36678621";"720";;;;;;;;;"16.7999897";"80000000";"01:17";"16.7999897";"01:17";"16.7999897";"0.0";"1"
"30/08/2015 04:00";"0.27116576";"80400000";"03:59";"0.0";"03:39";"1.19463227";"0.28186358";"720";"1.3032039";"80400000";"03:59";"0.0";"03:26";"3.07866034";"0.61220328";"720";"0.15633446";"80400000";"03:17";"0.13040837";"03:45";"0.18998454";"0.01081918";"720";"101.60217795";"81400000";"03:22";"96.1577232";"03:00";"105.04818135";"1.89947541";"720";;;;;;;;;"16.7999897";"80000000";"01:17";"16.7999897";"01:17";"16.7999897";"0.0";"1"
"30/08/2015 05:00";"0.18009951";"80400000";"04:59";"0.0";"04:56";"0.86432186";"0.21808853";"720";"0.98060935";"80400000";"04:49";"0.0";"04:04";"2.56555028";"0.51525914";"720";"0.1561616";"80400000";"04:41";"0.13891842";"04:11";"0.18431157";"0.00840259";"720";;;;;;;;;;;;;;;;;"16.7999897";"80000000";"01:17";"16.7999897";"01:17";"16.7999897";"0.0";"1"
"30/08/2015 06:00";"0.18737106";"80400000";"05:59";"0.0";"05:59";"0.86432186";"0.22919112";"720";"2.97884055";"80400000";"05:11";"0.0";"05:17";"38.48324464";"2.87024851";"720";"0.1813285";"80400000";"05:46";"0.13324544";"05:26";"0.62404722";"0.0859391";"720";"104.7629562";"80400000";"05:17";"63.1206429";"05:47";"109.27817985";"3.61140486";"720";;;;;;;;;"16.7999897";"80000000";"01:17";"16.7999897";"01:17";"16.7999897";"0.0";"1"
