"NetC";"ARPA Sicilia";;;;;;;
"Stat";"GELA exAutoparco";;;;;;;
"Parm";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene"
"PtId";"4";"4";"4";"4";"4";"4";"4";"4"
"Unit";"ug/m3 293K";;;"ug/m3 293K";;"ug/m3 293K";"ug/m3 293K";
"Field";"Aver";"SWrd";"MinT";"Min";"MaxT";"Max";"Sigma";"Samp"
"07/09/2015 00:00";;;;;;;;
"07/09/2015 01:00";"0.60130532";"80400000";"00:23";"0.28398403";"00:38";"0.83497124";"0.20484109";"4"
"07/09/2015 02:00";"0.53857167";"80400000";"01:38";"0.476016";"01:08";"0.60728121";"0.05742897";"4"
"07/09/2015 03:00";"0.55816011";"80400000";"02:23";"0.3383437";"02:08";"0.71610224";"0.13739365";"4"
"07/09/2015 04:00";"0.49608446";"80400000";"03:38";"0.47044589";"03:23";"0.50947022";"0.01533229";"4"
"07/09/2015 05:00";"0.46486562";"80400000";"04:24";"0.30362738";"04:54";"0.62978335";"0.12831286";"4"
"07/09/2015 06:00";"0.55241813";"80400000";"05:54";"0.38259845";"05:09";"0.74979037";"0.13277342";"4"
"07/09/2015 07:00";"0.80608132";"80400000";"06:09";"0.56766194";"06:54";"1.22415476";"0.24892295";"4"
"07/09/2015 08:00";"0.70336839";"80400000";"07:23";"0.30657363";"07:53";"0.93729669";"0.24332335";"4"
"07/09/2015 09:00";"0.78065225";"80400000";"08:08";"0.27337875";"08:23";"1.83439748";"0.63202482";"4"
"07/09/2015 10:00";"0.42735255";"80400000";"09:23";"0.3412513";"09:53";"0.52235968";"0.06952721";"4"
"07/09/2015 11:00";"0.43849989";"80400000";"10:08";"0.26793475";"10:38";"0.58617032";"0.13260155";"4"
"07/09/2015 12:00";"0.54294172";"80400000";"11:08";"0.22791072";"11:23";"1.14908999";"0.3595156";"4"
"07/09/2015 13:00";"0.34951748";"80400000";"12:08";"0.27617144";"12:53";"0.49596141";"0.08877495";"4"
"07/09/2015 14:00";"0.20325457";"80400000";"13:38";"0.10339025";"13:23";"0.27758608";"0.0633469";"4"
"07/09/2015 15:00";"0.29862476";"80400000";"14:23";"0.12471471";"14:53";"0.55292053";"0.1629773";"4"
"07/09/2015 16:00";"0.40411105";"80400000";"15:53";"0.26643264";"15:23";"0.64078424";"0.14152267";"4"
"07/09/2015 17:00";"0.37564624";"80400000";"16:53";"0.18678629";"16:08";"0.72258765";"0.21361271";"4"
"07/09/2015 18:00";"0.51804556";"80400000";"17:09";"0.17713801";"17:24";"0.79130024";"0.22251858";"4"
"07/09/2015 19:00";"0.40193772";"80400000";"18:24";"0.25184988";"18:09";"0.72962733";"0.19187637";"4"
"07/09/2015 20:00";"1.03666166";"80400000";"19:09";"0.63449308";"19:24";"1.75465451";"0.43318301";"4"
"07/09/2015 21:00";"0.59242284";"80400000";"20:08";"0.38304288";"20:23";"0.74241915";"0.13166387";"4"
"07/09/2015 22:00";"0.73243323";"80400000";"21:53";"0.67911497";"21:38";"0.81239079";"0.04910178";"4"
"07/09/2015 23:00";"0.99472973";"80400000";"22:53";"0.60294676";"22:38";"1.25536141";"0.25793256";"4"
"08/09/2015 00:00";"0.60994168";"80400000";"23:23";"0.27181766";"23:53";"1.09160509";"0.29115693";"5"
"08/09/2015 01:00";"0.44107595";"80400000";"00:38";"0.26994231";"00:08";"0.58326679";"0.14069585";"4"
"08/09/2015 02:00";"0.41451191";"80400000";"01:23";"0.32288835";"01:08";"0.46774983";"0.05484376";"4"
"08/09/2015 03:00";"0.25289434";"80400000";"02:23";"0.19057868";"02:08";"0.35800129";"0.06297061";"4"
"08/09/2015 04:00";"0.24033541";"80400000";"03:38";"0.1143464";"03:23";"0.4076736";"0.10575885";"4"
"08/09/2015 05:00";"0.2233332";"80400000";"04:53";"0.17829332";"04:08";"0.3033711";"0.04757628";"4"
"08/09/2015 06:00";"0.22383865";"80400000";"05:08";"0.14722601";"05:53";"0.27549005";"0.05133714";"4"
"08/09/2015 07:00";"0.22899077";"80400000";"06:23";"0.12959428";"06:53";"0.36262355";"0.08456457";"4"
"08/09/2015 08:00";"0.18678629";"80400000";"07:38";"0.13855811";"07:23";"0.24975384";"0.043372";"4"
"08/09/2015 09:00";"0.1542311";"80400000";"08:09";"0.07409455";"08:53";"0.21896315";"0.0554865";"4"
"08/09/2015 10:00";"0.11758046";"80400000";"09:53";"0.06815832";"09:38";"0.2085328";"0.0558394";"4"
