"NetC";"ARPA Sicilia";;;;;;;
"Stat";"GELA exAutoparco";;;;;;;
"Parm";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene"
"PtId";"4";"4";"4";"4";"4";"4";"4";"4"
"Unit";"ug/m3 293K";;;"ug/m3 293K";;"ug/m3 293K";"ug/m3 293K";
"Field";"Aver";"SWrd";"MinT";"Min";"MaxT";"Max";"Sigma";"Samp"
"01/09/2015 00:00";;;;;;;;
"01/09/2015 01:00";"0.37983119";"80400000";"00:49";"0.30137575";"00:34";"0.42111122";"0.0475478";"4"
"01/09/2015 02:00";"0.44024811";"80400000";"01:34";"0.24313216";"01:04";"0.52767757";"0.11464438";"4"
"01/09/2015 03:00";"0.49662347";"80400000";"02:34";"0.41380205";"02:04";"0.59707155";"0.07768355";"4"
"01/09/2015 04:00";"0.38204419";"80400000";"03:49";"0.27598634";"03:04";"0.43191075";"0.06248041";"4"
"01/09/2015 05:00";"0.44064474";"80400000";"04:49";"0.37495875";"04:04";"0.53385076";"0.06566667";"4"
"01/09/2015 06:00";"0.33526829";"80400000";"05:49";"0.19622405";"05:04";"0.42697016";"0.08812";"4"
"01/09/2015 07:00";"0.97667595";"80400000";"06:19";"0.39028697";"06:49";"2.24286332";"0.74562474";"4"
"01/09/2015 08:00";"2.15619967";"80400000";"07:04";"1.79316423";"07:19";"2.52330413";"0.32203203";"4"
"01/09/2015 09:00";"2.25822714";"80400000";"08:49";"0.49662042";"08:04";"4.37655068";"1.5271628";"4"
"01/09/2015 10:00";"1.42852498";"80400000";"09:04";"1.05503682";"09:34";"2.26369759";"0.48879868";"4"
"01/09/2015 11:00";"0.55810214";"80400000";"10:49";"0.29628566";"10:04";"0.76069363";"0.16755787";"4"
"01/09/2015 12:00";"0.47575362";"80400000";"11:19";"0.25747186";"11:04";"0.62252909";"0.16353563";"5"
"01/09/2015 13:00";"0.26452475";"80400000";"12:49";"0.10976888";"12:04";"0.37674562";"0.10639142";"4"
"01/09/2015 14:00";"0.33467436";"80400000";"13:04";"0.17557793";"13:49";"0.65759932";"0.18908369";"4"
"01/09/2015 15:00";"0.50888951";"80400000";"14:34";"0.2319299";"14:49";"0.8011987";"0.27369301";"4"
"01/09/2015 16:00";"0.62405968";"80400000";"15:34";"0.32513388";"15:04";"1.29123914";"0.39299016";"4"
"01/09/2015 17:00";"0.41608216";"80400000";"16:34";"0.3150249";"16:04";"0.49042384";"0.07387793";"4"
"01/09/2015 18:00";"0.54327835";"80400000";"17:34";"0.43261858";"17:49";"0.68450609";"0.09049164";"4"
"01/09/2015 19:00";"0.44366828";"80400000";"18:19";"0.26661774";"18:04";"0.70371925";"0.17490976";"4"
"01/09/2015 20:00";"0.50798845";"80400000";"19:04";"0.29159119";"19:34";"0.71527136";"0.17529826";"4"
"01/09/2015 21:00";"0.23591044";"80400000";"20:34";"0.14983461";"20:19";"0.38223538";"0.08810068";"4"
"01/09/2015 22:00";"0.40246961";"80400000";"21:04";"0.22560416";"21:49";"0.54298342";"0.11367416";"4"
"01/09/2015 23:00";"0.4415753";"80400000";"22:04";"0.37973763";"22:49";"0.53650818";"0.06364895";"4"
"02/09/2015 00:00";"0.35661207";"80400000";"23:34";"0.24017675";"23:19";"0.46966687";"0.10872035";"4"
"02/09/2015 01:00";"0.39282134";"80400000";"00:19";"0.33578798";"00:04";"0.4593667";"0.04410221";"4"
"02/09/2015 02:00";"0.29407674";"80400000";"01:49";"0.22366373";"01:04";"0.46932313";"0.1015027";"4"
"02/09/2015 03:00";"0.29816406";"80400000";"02:04";"0.18201758";"02:19";"0.46457374";"0.10310143";"4"
"02/09/2015 04:00";"0.21277979";"80400000";"03:04";"0.15445484";"03:34";"0.27320281";"0.05760085";"4"
"02/09/2015 05:00";"0.14993834";"80400000";"04:34";"0.0745522";"04:19";"0.214946";"0.05070457";"4"
"02/09/2015 06:00";"0.20359832";"80400000";"05:34";"0.10636498";"05:49";"0.31573782";"0.07665841";"4"
"02/09/2015 07:00";"0.44774544";"80400000";"06:34";"0.31309057";"06:49";"0.64739271";"0.12527609";"4"
"02/09/2015 08:00";"0.42210992";"80400000";"07:04";"0.27263533";"07:49";"0.66150867";"0.16111212";"4"
"02/09/2015 09:00";"0.43285147";"80400000";"08:04";"0.24739237";"08:49";"0.7203289";"0.19124075";"4"
"02/09/2015 10:00";"0.79451193";"80400000";"09:49";"0.3593956";"09:04";"1.14561185";"0.28380504";"4"
