"NetC";"ARPA Sicilia";;;;;;;;;;;;;;;;;;;;;;;
"Stat";"C.da Gabbia";;;;;;;;;;;;;;;;;;;;;;;
"Parm";"SO2";"SO2";"SO2";"SO2";"SO2";"SO2";"SO2";"SO2";"NO2";"NO2";"NO2";"NO2";"NO2";"NO2";"NO2";"NO2";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene"
"PtId";"1";"1";"1";"1";"1";"1";"1";"1";"4";"4";"4";"4";"4";"4";"4";"4";"7";"7";"7";"7";"7";"7";"7";"7"
"Unit";"ug/m3 293K";;;"ug/m3 293K";;"ug/m3 293K";"ug/m3 293K";;"ug/m3 293K";;;"ug/m3 293K";;"ug/m3 293K";"ug/m3 293K";;"ug/m3 293K";;;"ug/m3 293K";;"ug/m3 293K";"ug/m3 293K";
"Field";"Aver";"SWrd";"MinT";"Min";"MaxT";"Max";"Sigma";"Samp";"Aver";"SWrd";"MinT";"Min";"MaxT";"Max";"Sigma";"Samp";"Aver";"SWrd";"MinT";"Min";"MaxT";"Max";"Sigma";"Samp"
"05/09/2015 00:00";;;;;;;;;;;;;;;;;;;;;;;;
"05/09/2015 01:00";;;;;;;;;"8.20351248";"80400000";"00:41";"5.31786472";"01:00";"15.18098364";"2.49269352";"720";"0.29101048";"80400000";"00:37";"0.15894083";"00:52";"0.33691379";"0.07628517";"4"
"05/09/2015 02:00";"1.97756565";"80400000";"01:59";"0.11198492";"01:01";"4.99863433";"1.09242377";"720";;;;;;;;;"0.64575127";"80400000";"01:22";"0.39177993";"01:07";"0.87005062";"0.17569082";"4"
"05/09/2015 03:00";"0.5079793";"80400000";"02:11";"0.0";"02:54";"1.94447858";"0.65644401";"720";"13.13863495";"80400000";"02:59";"7.8514999";"02:12";"18.8964241";"3.73304234";"720";"1.63736898";"80400000";"02:07";"0.90086775";"02:37";"2.71665617";"0.76278661";"4"
"05/09/2015 04:00";"0.2191218";"80400000";"03:56";"0.0";"03:11";"1.94447858";"0.28125644";"720";"7.53736021";"80400000";"03:57";"3.52957303";"03:15";"10.25257229";"1.74552025";"720";"1.70670499";"80400000";"03:07";"1.47737658";"03:52";"1.88930327";"0.14810266";"4"
"05/09/2015 05:00";"0.20841788";"80400000";"04:47";"0.0";"04:53";"1.94447858";"0.53363516";"720";"13.59346725";"80400000";"04:00";"4.97021532";"05:00";"39.5456092";"7.20856504";"720";"0.91413655";"80400000";"04:22";"0.75834842";"04:52";"1.12119572";"0.13323412";"4"
"05/09/2015 06:00";"0.06320553";"80400000";"06:00";"0.0";"05:48";"0.7228175";"0.10802066";"720";"26.0831216";"80400000";"06:00";"6.41085761";"05:36";"74.09313568";"12.45902411";"720";"1.99983083";"80400000";"05:22";"1.22735018";"05:37";"2.65147969";"0.50982413";"4"
