"NetC";"ARPA Sicilia";;;;;;;;;;;;;;;;;;;;;;;
"Stat";"C.da Gabbia";;;;;;;;;;;;;;;;;;;;;;;
"Parm";"SO2";"SO2";"SO2";"SO2";"SO2";"SO2";"SO2";"SO2";"NO2";"NO2";"NO2";"NO2";"NO2";"NO2";"NO2";"NO2";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene"
"PtId";"1";"1";"1";"1";"1";"1";"1";"1";"4";"4";"4";"4";"4";"4";"4";"4";"7";"7";"7";"7";"7";"7";"7";"7"
"Unit";"ug/m3 293K";;;"ug/m3 293K";;"ug/m3 293K";"ug/m3 293K";;"ug/m3 293K";;;"ug/m3 293K";;"ug/m3 293K";"ug/m3 293K";;"ug/m3 293K";;;"ug/m3 293K";;"ug/m3 293K";"ug/m3 293K";
"Field";"Aver";"SWrd";"MinT";"Min";"MaxT";"Max";"Sigma";"Samp";"Aver";"SWrd";"MinT";"Min";"MaxT";"Max";"Sigma";"Samp";"Aver";"SWrd";"MinT";"Min";"MaxT";"Max";"Sigma";"Samp"
"28/08/2015 00:00";;;;;;;;;;;;;;;;;;;;;;;;
"28/08/2015 01:00";;;;;;;;;"9.52735069";"80400000";"00:25";"5.86407723";"00:06";"14.54529335";"2.04381902";"720";"1.2006763";"80400000";"00:07";"0.83021778";"00:22";"1.48200698";"0.27176274";"4"
"28/08/2015 02:00";"0.82733662";"80400000";"02:00";"0.00000305";"01:08";"3.32702194";"1.04387016";"715";;;;;;;;;;;;;;;;
"28/08/2015 03:00";"0.0";"80400000";"03:00";"0.0";"02:44";"0.00000305";"0.0";"720";"8.76475522";"80400000";"02:43";"4.9361626";"02:18";"35.94766496";"3.77957468";"720";"1.03561313";"81400000";"02:52";"0.52249595";"02:14";"1.75331817";"0.52288852";"3"
"28/08/2015 04:00";"0.0";"80400000";"03:59";"0.0";"04:00";"0.00000305";"0.0";"720";"6.39008946";"80400000";"03:35";"4.42815185";"03:50";"8.49223213";"0.91600287";"720";"0.73307292";"80400000";"03:52";"0.53197948";"03:07";"0.96731955";"0.16533267";"4"
"28/08/2015 05:00";"0.0";"80400000";"05:00";"0.0";"04:26";"0.00000305";"0.0";"720";"6.25017695";"80400000";"04:17";"3.41213226";"04:59";"8.49223213";"1.23640818";"720";"1.23648589";"80400000";"04:07";"0.71044061";"04:22";"1.73593256";"0.38488874";"4"
"28/08/2015 06:00";"0.0";"80400000";"06:00";"0.0";"05:50";"0.00000305";"0.0";"720";"9.18721736";"80400000";"05:03";"4.9361626";"05:59";"18.65242805";"3.71371966";"720";"1.41237604";"80400000";"05:07";"1.15755449";"05:52";"1.7911465";"0.23330895";"4"
