"NetC";"ARPA Sicilia";;;;;;;
"Stat";"Megara SR";;;;;;;
"Parm";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene"
"PtId";"3";"3";"3";"3";"3";"3";"3";"3"
"Unit";"ug/m3 293K";;;"ug/m3 293K";;"ug/m3 293K";"ug/m3 293K";
"Field";"Aver";"SWrd";"MinT";"Min";"MaxT";"Max";"Sigma";"Samp"
"07/09/2015 00:00";;;;;;;;
"07/09/2015 01:00";"0.43083374";"80400000";"00:46";"0.06477476";"00:01";"0.79769107";"0.32330023";"4"
"07/09/2015 02:00";"0.22346236";"80400000";"01:31";"0.0";"01:16";"0.46639722";"0.18898301";"4"
"07/09/2015 03:00";"0.06729794";"80400000";"02:46";"0.0";"02:31";"0.12329701";"0.04433917";"4"
"07/09/2015 04:00";"0.06470256";"80400000";"03:46";"0.05879887";"03:16";"0.07429897";"0.0057847";"4"
"07/09/2015 05:00";"0.21856754";"80400000";"04:16";"0.117912";"04:46";"0.28246565";"0.0619231";"4"
"07/09/2015 06:00";"0.54091993";"80400000";"05:31";"0.32657396";"05:16";"0.93716347";"0.23459037";"4"
"07/09/2015 07:00";"0.2977654";"80400000";"06:31";"0.0";"06:16";"0.92096571";"0.36631933";"4"
"07/09/2015 08:00";"0.08379165";"80400000";"07:16";"0.07614177";"07:47";"0.09828695";"0.00893435";"4"
"07/09/2015 09:00";"0.06067015";"80400000";"08:02";"0.0";"08:47";"0.12437707";"0.04404017";"4"
"07/09/2015 10:00";"0.07400404";"80400000";"09:02";"0.05845106";"09:32";"0.09589903";"0.01363187";"4"
"07/09/2015 11:00";"0.04364456";"80400000";"10:32";"0.0";"10:47";"0.09689569";"0.04417034";"4"
"07/09/2015 12:00";"0.03657234";"80400000";"11:46";"0.0";"11:02";"0.07914294";"0.0368154";"4"
"07/09/2015 13:00";"0.19721664";"80400000";"12:16";"0.07413015";"12:46";"0.50823151";"0.18069751";"4"
"07/09/2015 14:00";"8.48987125";"80400000";"13:16";"0.25436085";"13:46";"24.14303082";"9.70484454";"4"
"07/09/2015 15:00";"3.27918327";"80400000";"14:46";"0.34102044";"14:01";"8.58044629";"3.34031108";"4"
"07/09/2015 16:00";"0.51617021";"80400000";"15:31";"0.17195436";"15:46";"1.4053384";"0.51422063";"4"
"07/09/2015 17:00";"2.42996692";"80400000";"16:16";"0.05841851";"16:46";"7.01852243";"2.81068392";"4"
"07/09/2015 18:00";"3.91812776";"80400000";"17:31";"1.12584239";"17:01";"8.01190464";"2.79546553";"4"
"07/09/2015 19:00";"0.24737305";"80400000";"18:31";"0.10709213";"18:46";"0.41609843";"0.1204484";"4"
"07/09/2015 20:00";"0.9073013";"80400000";"19:46";"0.51135269";"19:01";"1.43177328";"0.35069109";"4"
"07/09/2015 21:00";"2.57208351";"80400000";"20:01";"0.35743584";"20:46";"3.8525455";"1.33260358";"4"
"07/09/2015 22:00";"0.32945512";"80400000";"21:46";"0.0";"21:01";"1.06111644";"0.42570095";"4"
"07/09/2015 23:00";"0.1152383";"80400000";"22:01";"0.06813493";"22:17";"0.14455333";"0.02967199";"4"
"08/09/2015 00:00";"0.22649607";"80400000";"23:17";"0.14417704";"23:47";"0.28484339";"0.05314028";"4"
"08/09/2015 01:00";"0.20613878";"80400000";"00:32";"0.05744931";"00:02";"0.2654848";"0.08605651";"4"
"08/09/2015 02:00";"0.15351717";"80400000";"01:17";"0.08972584";"01:47";"0.19486127";"0.03895008";"4"
"08/09/2015 03:00";"0.12783283";"80400000";"02:01";"0.05615162";"02:31";"0.18388987";"0.0491628";"4"
"08/09/2015 04:00";"0.09966295";"80400000";"03:31";"0.07718013";"03:46";"0.13454808";"0.02183092";"4"
"08/09/2015 05:00";"0.10999567";"80400000";"04:16";"0.08727284";"04:31";"0.13919374";"0.01864771";"4"
"08/09/2015 06:00";"0.23584942";"80400000";"05:01";"0.16654901";"05:16";"0.3374945";"0.06437508";"4"
"08/09/2015 07:00";"1.02878398";"80400000";"06:16";"0.18090193";"06:46";"2.77496484";"1.04464206";"4"
"08/09/2015 08:00";"0.4451409";"80400000";"07:31";"0.31075147";"07:01";"0.69518967";"0.14811486";"4"
"08/09/2015 09:00";"0.8452643";"80400000";"08:46";"0.09174967";"08:16";"1.96384632";"0.68732623";"4"
"08/09/2015 10:00";"0.08381504";"80400000";"09:16";"0.0533447";"09:31";"0.14260679";"0.03459326";"4"
"08/09/2015 11:00";"0.07348842";"80400000";"10:01";"0.05935924";"10:31";"0.08906988";"0.01054019";"4"
"08/09/2015 12:00";"3.817758";"80400000";"11:01";"0.06977027";"11:32";"7.43540904";"3.30002465";"4"
"08/09/2015 13:00";"0.0815634";"80400000";"12:32";"0.06605212";"12:02";"0.10704027";"0.01558553";"4"
"08/09/2015 14:00";"0.0494323";"80400000";"13:17";"0.0";"13:02";"0.07351079";"0.02892551";"4"
"08/09/2015 15:00";"1.88905716";"80400000";"14:32";"0.25856513";"14:17";"4.23690336";"1.49643312";"4"
"08/09/2015 16:00";"3.70905697";"80400000";"15:31";"1.81302217";"15:01";"5.66944142";"1.57805551";"4"
"08/09/2015 17:00";"0.65067863";"80400000";"16:46";"0.05474308";"16:01";"1.74460045";"0.64765204";"4"
"08/09/2015 18:00";"0.06432017";"80400000";"17:01";"0.05828936";"17:31";"0.07462034";"0.00616404";"4"
"08/09/2015 19:00";"0.06951398";"80400000";"18:31";"0.06311604";"18:16";"0.08348655";"0.00813702";"4"
"08/09/2015 20:00";"0.23936621";"80400000";"19:01";"0.05980774";"19:16";"0.36496571";"0.12600223";"4"
"08/09/2015 21:00";"1.22428799";"80400000";"20:16";"0.18357155";"20:31";"3.26753354";"1.21243384";"4"
"08/09/2015 22:00";"0.57575319";"80400000";"21:46";"0.14167522";"21:01";"1.80274742";"0.70860187";"4"
"08/09/2015 23:00";"0.10670567";"80400000";"22:46";"0.051927";"22:01";"0.16789856";"0.0450887";"4"
"09/09/2015 00:00";"0.21622437";"80400000";"23:01";"0.05710455";"23:31";"0.63547652";"0.24245077";"4"
