"NetC";"ARPA Sicilia";;;;;;;
"Stat";"Megara SR";;;;;;;
"Parm";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene"
"PtId";"3";"3";"3";"3";"3";"3";"3";"3"
"Unit";"ug/m3 293K";;;"ug/m3 293K";;"ug/m3 293K";"ug/m3 293K";
"Field";"Aver";"SWrd";"MinT";"Min";"MaxT";"Max";"Sigma";"Samp"
"02/09/2015 00:00";;;;;;;;
"02/09/2015 01:00";"0.07476679";"80400000";"00:31";"0.05654012";"00:02";"0.09881579";"0.01753511";"4"
"02/09/2015 02:00";"0.04877024";"80400000";"01:16";"0.0";"01:31";"0.07857545";"0.02938011";"4"
"02/09/2015 03:00";"0.07682316";"80400000";"02:01";"0.06469035";"02:46";"0.10096674";"0.0141841";"4"
"02/09/2015 04:00";"0.08035927";"80400000";"03:31";"0.05540514";"03:01";"0.11110827";"0.02074375";"4"
"02/09/2015 05:00";"0.11498202";"80400000";"04:16";"0.09495831";"04:46";"0.13000616";"0.01523161";"4"
"02/09/2015 06:00";"0.08305839";"80400000";"05:31";"0.06065083";"05:16";"0.1177686";"0.02119123";"4"
"02/09/2015 07:00";"0.04435137";"80400000";"06:46";"0.0";"06:16";"0.11176322";"0.04725592";"4"
"02/09/2015 08:00";"0.52972479";"80400000";"07:01";"0.09494915";"07:46";"1.20257809";"0.42038407";"4"
"02/09/2015 09:00";"7.34376514";"80400000";"08:01";"2.38854552";"08:46";"12.2541381";"3.66493849";"4"
"02/09/2015 10:00";"2.02935333";"80400000";"09:47";"0.1258924";"09:01";"5.58529281";"2.16645103";"4"
"02/09/2015 11:00";"0.12492218";"80400000";"10:47";"0.07757574";"10:02";"0.16808366";"0.04020201";"4"
"02/09/2015 12:00";"0.06818375";"80400000";"11:32";"0.05944772";"11:47";"0.08476187";"0.00986287";"4"
"02/09/2015 13:00";"0.08322416";"80400000";"12:02";"0.05982401";"12:47";"0.09844255";"0.0143397";"4"
"02/09/2015 14:00";"0.06992892";"80400000";"13:17";"0.05815003";"13:02";"0.09317449";"0.013879";"4"
"02/09/2015 15:00";"0.07323824";"80400000";"14:16";"0.06358691";"14:31";"0.08746403";"0.00960658";"4"
"02/09/2015 16:00";"0.15950628";"80400000";"15:46";"0.10539171";"15:31";"0.21762986";"0.04004641";"4"
"02/09/2015 17:00";"0.23252993";"80400000";"16:46";"0.09972804";"16:01";"0.39773955";"0.1076342";"4"
"02/09/2015 18:00";"0.08921938";"80400000";"17:16";"0.05427627";"17:46";"0.14042024";"0.0357089";"4"
"02/09/2015 19:00";"0.05297146";"80400000";"18:31";"0.0";"18:01";"0.0901957";"0.03314301";"4"
"02/09/2015 20:00";"0.04747966";"80400000";"19:16";"0.0";"19:46";"0.11884865";"0.0503954";"4"
"02/09/2015 21:00";"0.22822497";"80400000";"20:16";"0.13280901";"20:31";"0.33234848";"0.08885631";"4"
"02/09/2015 22:00";"0.83794291";"80400000";"21:16";"0.48429235";"21:46";"1.59745885";"0.44781053";"4"
"02/09/2015 23:00";"1.29603734";"80400000";"22:16";"0.94711379";"22:46";"1.60607183";"0.27659959";"4"
"03/09/2015 00:00";"0.60062393";"80400000";"23:31";"0.35851386";"23:01";"0.99795464";"0.23902856";"4"
"03/09/2015 01:00";;;;;;;;
"03/09/2015 02:00";"0.5763217";"81400000";"01:46";"0.30677398";"01:31";"0.95441687";"0.27531512";"3"
"03/09/2015 03:00";"0.15296595";"80400000";"02:46";"0.09220122";"02:16";"0.2051228";"0.04570195";"4"
"03/09/2015 04:00";"0.10787726";"80400000";"03:31";"0.05860666";"03:16";"0.16632832";"0.04699964";"4"
"03/09/2015 05:00";"0.22593164";"80400000";"04:01";"0.09201613";"04:32";"0.3769602";"0.11312905";"4"
"03/09/2015 06:00";"0.16260406";"80400000";"05:32";"0.10713078";"05:02";"0.25625552";"0.05814596";"4"
"03/09/2015 07:00";"0.0720158";"80400000";"06:02";"0.06007012";"06:17";"0.08439575";"0.00896994";"4"
"03/09/2015 08:00";"0.37612016";"80400000";"07:47";"0.1190368";"07:17";"0.97724344";"0.34900796";"4"
"03/09/2015 09:00";"0.59547486";"80400000";"08:17";"0.14571474";"08:47";"1.54355582";"0.56292272";"4"
"03/09/2015 10:00";"0.12495472";"80400000";"09:31";"0.06250991";"09:02";"0.28503764";"0.09259988";"4"
"03/09/2015 11:00";"0.06427135";"80400000";"10:31";"0.0";"10:16";"0.13149505";"0.04677488";"4"
"03/09/2015 12:00";"0.09291515";"80400000";"11:31";"0.05735168";"11:46";"0.11563697";"0.02236281";"4"
"03/09/2015 13:00";"0.10477541";"80400000";"12:46";"0.07669706";"12:16";"0.12560357";"0.01942979";"4"
"03/09/2015 14:00";"0.07086049";"80400000";"13:46";"0.05854869";"13:01";"0.08444049";"0.01128056";"4"
"03/09/2015 15:00";"0.07008859";"80400000";"14:31";"0.0";"14:16";"0.09808558";"0.0406861";"4"
"03/09/2015 16:00";"0.11034247";"80400000";"15:16";"0.06084914";"15:31";"0.1648618";"0.03860024";"4"
"03/09/2015 17:00";"0.10206714";"80400000";"16:16";"0.06916007";"16:01";"0.12635005";"0.02118513";"4"
"03/09/2015 18:00";"0.08283465";"80400000";"17:31";"0.0";"17:46";"0.15716718";"0.0559828";"4"
"03/09/2015 19:00";"1.11855864";"80400000";"18:17";"0.09502645";"18:32";"3.54751669";"1.42518007";"4"
"03/09/2015 20:00";"0.99570911";"80400000";"19:32";"0.09795642";"19:47";"3.56692715";"1.48479966";"4"
"03/09/2015 21:00";"1.41752714";"80400000";"20:32";"0.54265289";"20:02";"3.75838859";"1.35527047";"4"
"03/09/2015 22:00";"1.61426376";"80400000";"21:02";"0.31702636";"21:17";"2.71210814";"0.91466234";"4"
"03/09/2015 23:00";"1.48331077";"80400000";"22:46";"0.32308666";"22:16";"2.34505555";"0.82280792";"4"
"04/09/2015 00:00";"0.14679175";"80400000";"23:46";"0.09018654";"23:01";"0.20151245";"0.03938841";"4"
