"NetC";"ARPA Sicilia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Stat";"Misterbianco";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Parm";"SO2";"SO2";"SO2";"SO2";"SO2";"SO2";"SO2";"SO2";"NO2";"NO2";"NO2";"NO2";"NO2";"NO2";"NO2";"NO2";"CO";"CO";"CO";"CO";"CO";"CO";"CO";"CO";"O3";"O3";"O3";"O3";"O3";"O3";"O3";"O3";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene";"PM10";"PM10";"PM10";"PM10";"PM10";"PM10";"PM10";"PM10"
"PtId";"1";"1";"1";"1";"1";"1";"1";"1";"4";"4";"4";"4";"4";"4";"4";"4";"5";"5";"5";"5";"5";"5";"5";"5";"6";"6";"6";"6";"6";"6";"6";"6";"7";"7";"7";"7";"7";"7";"7";"7";"12";"12";"12";"12";"12";"12";"12";"12"
"Unit";"ug/m3 293K";;;"ug/m3 293K";;"ug/m3 293K";"ug/m3 293K";;"ug/m3 293K";;;"ug/m3 293K";;"ug/m3 293K";"ug/m3 293K";;"mg/m3 293K";;;"mg/m3 293K";;"mg/m3 293K";"mg/m3 293K";;"ug/m3 293K";;;"ug/m3 293K";;"ug/m3 293K";"ug/m3 293K";;"ug/m3 293K";;;"ug/m3 293K";;"ug/m3 293K";"ug/m3 293K";;"ug/m3";;;"ug/m3";;"ug/m3";"ug/m3";
"Field";"Aver";"SWrd";"MinT";"Min";"MaxT";"Max";"Sigma";"Samp";"Aver";"SWrd";"MinT";"Min";"MaxT";"Max";"Sigma";"Samp";"Aver";"SWrd";"MinT";"Min";"MaxT";"Max";"Sigma";"Samp";"Aver";"SWrd";"MinT";"Min";"MaxT";"Max";"Sigma";"Samp";"Aver";"SWrd";"MinT";"Min";"MaxT";"Max";"Sigma";"Samp";"Aver";"SWrd";"MinT";"Min";"MaxT";"Max";"Sigma";"Samp"
"30/08/2015 00:00";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"30/08/2015 01:00";"1.04241381";"80400000";"00:56";"0.0";"00:19";"2.62437664";"0.57485111";"720";"16.39727758";"80400000";"00:44";"9.1617629";"00:10";"25.6692692";"4.10620929";"720";"0.21810882";"80400000";"00:44";"0.15368427";"00:07";"0.28529101";"0.02525099";"720";"70.04391135";"80400000";"00:52";"58.7342763";"00:16";"79.3772994";"4.57454099";"720";"0.30418267";"80400000";"00:54";"0.17039632";"00:24";"0.50006195";"0.12302141";"4";"16.20000076";"80000000";"02:27";"16.20000076";"02:27";"16.20000076";"0.0";"1"
"30/08/2015 02:00";"0.99676272";"80400000";"01:59";"0.0";"01:27";"2.96818061";"0.74587187";"720";;;;;;;;;"0.19571826";"80400000";"01:46";"0.13365774";"01:54";"0.24523678";"0.01978358";"720";"74.6752839";"80400000";"01:06";"63.89504205";"01:45";"85.27529745";"4.8348446";"720";"0.12502286";"80400000";"01:39";"0.10239156";"01:24";"0.14460215";"0.01690254";"4";"16.20000076";"80000000";"02:27";"16.20000076";"02:27";"16.20000076";"0.0";"1"
"30/08/2015 03:00";;;;;;;;;"8.60149146";"80400000";"02:56";"3.79921092";"02:05";"15.2296689";"2.36892785";"720";"0.16554998";"81400000";"02:55";"0.11935208";"02:00";"0.22807069";"0.0204435";"720";"76.50475875";"80400000";"02:00";"66.10677885";"02:58";"83.06356065";"3.32253485";"720";"0.17143467";"80400000";"02:54";"0.10859729";"02:09";"0.23401882";"0.04478665";"4";"16.20000076";"80000000";"02:27";"16.20000076";"02:27";"16.20000076";"0.0";"1"
"30/08/2015 04:00";"1.65565261";"80400000";"03:15";"0.0";"03:55";"2.83458138";"0.49711672";"720";"9.23845131";"80400000";"03:39";"5.17086825";"03:59";"16.17270362";"2.41684448";"720";;;;;;;;;"68.0495697";"81400000";"04:00";"55.53950325";"03:16";"78.14855895";"5.18294018";"720";"0.20403257";"80400000";"03:09";"0.11733434";"03:54";"0.3540238";"0.09724554";"4";"16.20000076";"80000000";"02:27";"16.20000076";"02:27";"16.20000076";"0.0";"1"
"30/08/2015 05:00";"1.45212854";"80400000";"04:44";"0.0";"04:57";"2.83458138";"0.51407926";"720";"21.78391312";"80400000";"04:00";"13.38649707";"04:14";"32.98968624";"3.9197109";"720";"0.2683223";"80400000";"04:48";"0.20672198";"04:15";"0.40981966";"0.03756405";"720";;;;;;;;;"0.64824597";"80400000";"04:09";"0.35677479";"04:53";"0.8718741";"0.18987187";"4";"16.20000076";"80000000";"02:27";"16.20000076";"02:27";"16.20000076";"0.0";"1"
"30/08/2015 06:00";"1.709816";"80400000";"05:54";"0.08589785";"05:27";"3.1781667";"0.50850915";"720";"20.83340056";"80400000";"05:31";"14.72955662";"05:10";"30.78937576";"4.15608954";"720";"0.27707062";"80400000";"05:25";"0.22388458";"05:19";"0.40981966";"0.03845406";"720";"48.8141787";"80400000";"05:06";"35.6337723";"05:56";"59.9630367";"5.96111586";"720";"0.83963622";"80400000";"05:08";"0.51483693";"05:39";"0.97853808";"0.18848976";"4";"16.20000076";"80000000";"02:27";"16.20000076";"02:27";"16.20000076";"0.0";"1"
