"NetC";"ARPA Sicilia";;;;;;;
"Stat";"Parcheggio AGIP GELA";;;;;;;
"Parm";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene"
"PtId";"4";"4";"4";"4";"4";"4";"4";"4"
"Unit";"ug/m3 293K";;;"ug/m3 293K";;"ug/m3 293K";"ug/m3 293K";
"Field";"Aver";"SWrd";"MinT";"Min";"MaxT";"Max";"Sigma";"Samp"
"05/09/2015 00:00";;;;;;;;
"05/09/2015 01:00";"0.61010949";"80400000";"00:46";"0.0";"00:16";"0.89988126";"0.36034954";"4"
"05/09/2015 02:00";"0.39619167";"80400000";"01:01";"0.0";"01:46";"0.9046215";"0.33341226";"4"
"05/09/2015 03:00";"0.55912016";"80400000";"02:46";"0.27831934";"02:01";"1.02509837";"0.28689367";"4"
"05/09/2015 04:00";"0.54443061";"80400000";"03:31";"0.0";"03:16";"1.00432615";"0.41305862";"4"
"05/09/2015 05:00";"0.43428544";"80400000";"04:46";"0.0";"04:31";"0.91303006";"0.35146706";"4"
"05/09/2015 06:00";"0.14854709";"80400000";"05:31";"0.0";"05:46";"0.42746646";"0.1748284";"4"
"05/09/2015 07:00";"0.11654617";"80400000";"06:31";"0.0";"06:46";"0.27819628";"0.1208318";"4"
"05/09/2015 08:00";"0.61868483";"80400000";"07:01";"0.41549535";"07:46";"0.80985744";"0.13957003";"4"
"05/09/2015 09:00";"0.35525946";"80400000";"08:46";"0.0";"08:01";"0.92342481";"0.3460851";"4"
"05/09/2015 10:00";"0.26170868";"80400000";"09:16";"0.0";"09:01";"0.46974518";"0.18011273";"4"
"05/09/2015 11:00";"0.11245478";"80400000";"10:46";"0.0";"10:01";"0.2615785";"0.11540408";"4"
"05/09/2015 12:00";"0.0";"80400000";"11:46";"0.0";"11:46";"0.0";"0.0";"4"
"05/09/2015 13:00";"0.0";"80400000";"12:46";"0.0";"12:46";"0.0";"0.0";"4"
"05/09/2015 14:00";"0.0";"80400000";"13:46";"0.0";"13:46";"0.0";"0.0";"4"
"05/09/2015 15:00";"0.0";"80400000";"14:46";"0.0";"14:46";"0.0";"0.0";"3"
"05/09/2015 16:00";"0.0";"80400000";"15:46";"0.0";"15:46";"0.0";"0.0";"4"
"05/09/2015 17:00";"0.0";"80400000";"16:46";"0.0";"16:46";"0.0";"0.0";"4"
"05/09/2015 18:00";"0.0";"80400000";"17:46";"0.0";"17:46";"0.0";"0.0";"4"
"05/09/2015 19:00";"0.0";"80400000";"18:46";"0.0";"18:46";"0.0";"0.0";"4"
"05/09/2015 20:00";"0.0";"80400000";"19:46";"0.0";"19:46";"0.0";"0.0";"4"
"05/09/2015 21:00";"0.0";"80400000";"20:46";"0.0";"20:46";"0.0";"0.0";"4"
"05/09/2015 22:00";"0.0";"80400000";"21:46";"0.0";"21:46";"0.0";"0.0";"4"
"05/09/2015 23:00";"0.0";"80400000";"22:46";"0.0";"22:46";"0.0";"0.0";"4"
"06/09/2015 00:00";"0.47630483";"80400000";"23:01";"0.0";"23:31";"0.76930151";"0.31610191";"4"
"06/09/2015 01:00";"0.67644433";"80400000";"00:46";"0.0";"00:01";"1.2214587";"0.50450421";"4"
"06/09/2015 02:00";"0.38545622";"80400000";"01:46";"0.0";"01:31";"0.85878328";"0.3114593";"4"
"06/09/2015 03:00";;;;;;;;
"06/09/2015 04:00";;;;;;;;
"06/09/2015 05:00";"0.27611042";"80400000";"04:31";"0.22964572";"04:46";"0.37423159";"0.05812053";"4"
"06/09/2015 06:00";"0.25126917";"80400000";"05:31";"0.0";"05:46";"0.45971044";"0.16584219";"4"
"06/09/2015 07:00";"0.53448028";"80400000";"06:46";"0.36343512";"06:31";"0.82901467";"0.18056428";"4"
"06/09/2015 08:00";"0.10503881";"80400000";"07:46";"0.0";"07:01";"0.2347236";"0.10647278";"4"
"06/09/2015 09:00";"0.15481486";"80400000";"08:46";"0.0";"08:16";"0.61925537";"0.26814527";"4"
"06/09/2015 10:00";"0.0";"80400000";"09:46";"0.0";"09:46";"0.0";"0.0";"4"
"06/09/2015 11:00";"0.0";"80400000";"10:46";"0.0";"10:46";"0.0";"0.0";"4"
"06/09/2015 12:00";"0.0";"80400000";"11:46";"0.0";"11:46";"0.0";"0.0";"4"
"06/09/2015 13:00";"0.0";"80400000";"12:46";"0.0";"12:46";"0.0";"0.0";"4"
"06/09/2015 14:00";"0.0";"80400000";"13:46";"0.0";"13:46";"0.0";"0.0";"4"
"06/09/2015 15:00";"0.0";"80400000";"14:46";"0.0";"14:46";"0.0";"0.0";"4"
"06/09/2015 16:00";"0.0";"80400000";"15:46";"0.0";"15:46";"0.0";"0.0";"4"
"06/09/2015 17:00";"0.0";"80400000";"16:46";"0.0";"16:46";"0.0";"0.0";"4"
"06/09/2015 18:00";"0.0";"80400000";"17:46";"0.0";"17:46";"0.0";"0.0";"4"
"06/09/2015 19:00";"0.0";"80400000";"18:46";"0.0";"18:46";"0.0";"0.0";"4"
"06/09/2015 20:00";"0.143457";"80400000";"19:16";"0.0";"19:31";"0.35940882";"0.15233948";"4"
"06/09/2015 21:00";"2.01120496";"80400000";"20:01";"0.0";"20:31";"4.16616898";"1.52043737";"4"
"06/09/2015 22:00";"0.0";"80400000";"21:46";"0.0";"21:46";"0.0";"0.0";"4"
"06/09/2015 23:00";"0.49214359";"80400000";"22:16";"0.0";"22:46";"1.03106816";"0.49325619";"4"
"07/09/2015 00:00";"0.25867497";"80400000";"23:46";"0.0";"23:01";"0.70428979";"0.29049181";"4"
