"NetC";"ARPA Sicilia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Stat";"Partinico";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Parm";"SO2";"SO2";"SO2";"SO2";"SO2";"SO2";"SO2";"SO2";"NO2";"NO2";"NO2";"NO2";"NO2";"NO2";"NO2";"NO2";"CO";"CO";"CO";"CO";"CO";"CO";"CO";"CO";"O3";"O3";"O3";"O3";"O3";"O3";"O3";"O3";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene";"PM10";"PM10";"PM10";"PM10";"PM10";"PM10";"PM10";"PM10"
"PtId";"1";"1";"1";"1";"1";"1";"1";"1";"4";"4";"4";"4";"4";"4";"4";"4";"5";"5";"5";"5";"5";"5";"5";"5";"6";"6";"6";"6";"6";"6";"6";"6";"7";"7";"7";"7";"7";"7";"7";"7";"12";"12";"12";"12";"12";"12";"12";"12"
"Unit";"ug/m3 293K";;;"ug/m3 293K";;"ug/m3 293K";"ug/m3 293K";;"ug/m3 293K";;;"ug/m3 293K";;"ug/m3 293K";"ug/m3 293K";;"mg/m3 293K";;;"mg/m3 293K";;"mg/m3 293K";"mg/m3 293K";;"ug/m3 293K";;;"ug/m3 293K";;"ug/m3 293K";"ug/m3 293K";;"ug/m3 293K";;;"ug/m3 293K";;"ug/m3 293K";"ug/m3 293K";;"ug/m3";;;"ug/m3";;"ug/m3";"ug/m3";
"Field";"Aver";"SWrd";"MinT";"Min";"MaxT";"Max";"Sigma";"Samp";"Aver";"SWrd";"MinT";"Min";"MaxT";"Max";"Sigma";"Samp";"Aver";"SWrd";"MinT";"Min";"MaxT";"Max";"Sigma";"Samp";"Aver";"SWrd";"MinT";"Min";"MaxT";"Max";"Sigma";"Samp";"Aver";"SWrd";"MinT";"Min";"MaxT";"Max";"Sigma";"Samp";"Aver";"SWrd";"MinT";"Min";"MaxT";"Max";"Sigma";"Samp"
"31/08/2015 00:00";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"31/08/2015 01:00";"21.01842036";"81400000";"00:41";"19.57725";"00:57";"25.12413072";"0.69406691";"710";"2.78140361";"80400000";"01:00";"0.0";"00:02";"9.84117681";"2.41477952";"710";"0.14994784";"80400000";"00:59";"0.08603371";"00:25";"0.29018026";"0.02862418";"710";"53.1377826";"80400000";"00:37";"40.3464411";"00:51";"59.04060855";"3.75972912";"710";;;;;;;;;;;;;;;;
"31/08/2015 02:00";;;;;;;;;"1.62197254";"80400000";"02:00";"0.0";"01:33";"7.02941255";"1.5193708";"720";"0.13563166";"80400000";"01:29";"0.07145123";"01:43";"0.30476157";"0.02903648";"720";"49.36669395";"80400000";"01:31";"42.1058715";"01:57";"59.04060855";"3.54122276";"720";"1.31045128";"80400000";"01:51";"0.17036784";"01:21";"3.86904938";"1.48816085";"4";;;;;;;;
"31/08/2015 03:00";"21.7148823";"80400000";"02:00";"19.90353411";"02:47";"25.450425";"0.84176175";"720";;;;;;;;;"0.13536886";"81400000";"02:09";"0.04228744";"02:54";"0.29018026";"0.03129422";"720";"52.9020933";"80400000";"02:08";"34.40826375";"02:24";"57.72103575";"3.49970681";"720";"0.47027707";"80400000";"02:36";"0.0";"02:06";"1.1526261";"0.44384016";"4";;;;;;;;
"31/08/2015 04:00";"22.14268335";"80400000";"03:53";"20.5561125";"03:46";"26.4292875";"0.80874688";"720";"3.07471588";"80400000";"03:48";"0.0";"03:31";"8.20098099";"1.62335492";"720";;;;;;;;;"49.4781945";"81400000";"03:27";"38.58699075";"03:48";"57.94096455";"3.22589106";"720";"2.15680987";"80400000";"03:36";"0.23591756";"03:51";"5.4191323";"1.97450347";"4";;;;;;;;
"31/08/2015 05:00";"22.42274481";"80400000";"04:09";"20.5561125";"04:37";"26.75557161";"0.81049307";"720";"14.08550898";"80400000";"04:15";"2.34313688";"04:59";"37.49019008";"8.70512568";"720";"0.23536952";"80400000";"04:08";"0.12299157";"04:58";"0.45776022";"0.0582832";"720";;;;;;;;;"0.97181876";"80400000";"04:06";"0.4028876";"04:36";"1.50472574";"0.47715809";"4";;;;;;;;
"31/08/2015 06:00";"23.14918791";"80400000";"05:58";"21.53496483";"05:47";"27.08183538";"0.84474664";"720";"43.4541196";"80400000";"05:09";"33.7411596";"05:37";"51.54899224";"4.5109663";"720";"0.41698534";"80400000";"05:10";"0.21032176";"05:31";"1.08363186";"0.14665174";"720";"24.6509382";"80400000";"06:00";"15.3559958";"05:44";"34.00256055";"4.18090155";"720";"1.69175204";"80400000";"05:06";"1.14408737";"05:51";"2.77168502";"0.63811055";"4";;;;;;;;
