"NetC";"ARPA Sicilia";;;;;;;;;;;;;;;
"Stat";"Partinico";;;;;;;;;;;;;;;
"Parm";"NO2";"NO2";"NO2";"NO2";"NO2";"NO2";"NO2";"NO2";"O3";"O3";"O3";"O3";"O3";"O3";"O3";"O3"
"PtId";"4";"4";"4";"4";"4";"4";"4";"4";"6";"6";"6";"6";"6";"6";"6";"6"
"Unit";"ug/m3 293K";;;"ug/m3 293K";;"ug/m3 293K";"ug/m3 293K";;"ug/m3 293K";;;"ug/m3 293K";;"ug/m3 293K";"ug/m3 293K";
"Field";"Aver";"SWrd";"MinT";"Min";"MaxT";"Max";"Sigma";"Samp";"Aver";"SWrd";"MinT";"Min";"MaxT";"Max";"Sigma";"Samp"
"01/08/2015 00:00";;;;;;;;;;;;;;;;
"01/08/2015 01:00";"11.80342417";"80400000";"00:57";"5.15490305";"00:13";"22.0254752";"4.1926814";"681";"64.08364935";"80400000";"00:58";"50.31691245";"00:56";"75.57189675";"4.65841478";"681"
"01/08/2015 02:00";"10.471546";"80400000";"01:49";"3.74901901";"01:03";"20.61960072";"3.77098215";"720";"61.61858745";"80400000";"01:26";"50.54861175";"01:17";"68.85265695";"3.78033348";"720"
"01/08/2015 03:00";;;;;;;;;"62.3027328";"80400000";"02:57";"55.18251795";"02:10";"70.24285275";"3.16415379";"720"
"01/08/2015 04:00";"5.36545822";"80400000";"03:31";"0.70294106";"03:03";"10.77843156";"2.35627423";"720";"66.6203517";"81400000";"03:52";"58.88970675";"03:27";"75.1085181";"4.06598955";"720"
"01/08/2015 05:00";"4.96029204";"80400000";"04:24";"1.40588213";"04:54";"10.77843156";"1.80173114";"720";;;;;;;;
"01/08/2015 06:00";"9.32959062";"80400000";"05:13";"2.34313688";"05:01";"37.72450568";"4.65623815";"720";"50.377341";"80400000";"05:50";"40.67803005";"05:07";"59.99613375";"4.26211401";"720"
"01/08/2015 07:00";"11.27638902";"80400000";"06:18";"5.38921482";"06:43";"37.49019008";"3.70819207";"719";"49.5887175";"80400000";"06:43";"38.3221545";"06:59";"55.99117125";"3.73814123";"719"
"01/08/2015 08:00";"13.24393262";"80400000";"07:31";"7.02941255";"07:53";"20.85391632";"2.75795293";"720";"53.68044255";"80400000";"07:37";"44.91856215";"07:59";"72.71784975";"4.80667121";"720"
"01/08/2015 09:00";"18.78512658";"80400000";"08:26";"10.0754905";"08:18";"29.52351704";"4.40303199";"720";"69.768741";"80400000";"08:22";"43.97624385";"08:40";"82.37692155";"7.30280523";"720"
"01/08/2015 10:00";"14.60457874";"80400000";"09:01";"5.38921482";"09:05";"36.31861208";"4.6924782";"720";"64.45659465";"80400000";"09:27";"52.2217983";"09:45";"74.83813575";"4.95679097";"720"
