"NetC";"ARPA Sicilia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Stat";"Partinico";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Parm";"SO2";"SO2";"SO2";"SO2";"SO2";"SO2";"SO2";"SO2";"NO2";"NO2";"NO2";"NO2";"NO2";"NO2";"NO2";"NO2";"CO";"CO";"CO";"CO";"CO";"CO";"CO";"CO";"O3";"O3";"O3";"O3";"O3";"O3";"O3";"O3";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene";"PM10";"PM10";"PM10";"PM10";"PM10";"PM10";"PM10";"PM10"
"PtId";"1";"1";"1";"1";"1";"1";"1";"1";"4";"4";"4";"4";"4";"4";"4";"4";"5";"5";"5";"5";"5";"5";"5";"5";"6";"6";"6";"6";"6";"6";"6";"6";"7";"7";"7";"7";"7";"7";"7";"7";"12";"12";"12";"12";"12";"12";"12";"12"
"Unit";"ug/m3 293K";;;"ug/m3 293K";;"ug/m3 293K";"ug/m3 293K";;"ug/m3 293K";;;"ug/m3 293K";;"ug/m3 293K";"ug/m3 293K";;"mg/m3 293K";;;"mg/m3 293K";;"mg/m3 293K";"mg/m3 293K";;"ug/m3 293K";;;"ug/m3 293K";;"ug/m3 293K";"ug/m3 293K";;"ug/m3 293K";;;"ug/m3 293K";;"ug/m3 293K";"ug/m3 293K";;"ug/m3";;;"ug/m3";;"ug/m3";"ug/m3";
"Field";"Aver";"SWrd";"MinT";"Min";"MaxT";"Max";"Sigma";"Samp";"Aver";"SWrd";"MinT";"Min";"MaxT";"Max";"Sigma";"Samp";"Aver";"SWrd";"MinT";"Min";"MaxT";"Max";"Sigma";"Samp";"Aver";"SWrd";"MinT";"Min";"MaxT";"Max";"Sigma";"Samp";"Aver";"SWrd";"MinT";"Min";"MaxT";"Max";"Sigma";"Samp";"Aver";"SWrd";"MinT";"Min";"MaxT";"Max";"Sigma";"Samp"
"12/09/2015 00:00";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"12/09/2015 01:00";"2.88787422";"81400000";"00:54";"0.9788625";"00:38";"6.85203648";"0.97734209";"710";"16.64419518";"80400000";"00:59";"7.02941255";"00:25";"24.60292768";"4.2713277";"710";"0.2182443";"80400000";"00:52";"0.11005714";"00:13";"0.54641026";"0.07428363";"710";"49.0214991";"80400000";"00:27";"29.3327643";"00:07";"59.5010346";"5.74714214";"710";;;;;;;;;"21.10000038";"80000000";"03:30";"21.10000038";"03:30";"21.10000038";"0.0";"1"
"12/09/2015 02:00";;;;;;;;;"5.18256395";"80400000";"01:49";"0.93725475";"01:17";"11.24705894";"2.67565089";"720";"0.15866229";"80400000";"01:59";"0.09551203";"01:39";"0.31368859";"0.04370189";"720";"58.50267675";"80400000";"01:03";"51.10832895";"01:40";"64.9449108";"2.5630563";"720";"0.91274123";"80400000";"01:50";"0.35917796";"01:21";"1.31615462";"0.36402905";"4";"21.10000038";"80000000";"03:30";"21.10000038";"03:30";"21.10000038";"0.0";"1"
"12/09/2015 03:00";"2.86815764";"80400000";"02:58";"1.30514966";"02:07";"7.83089898";"0.9365075";"720";;;;;;;;;"0.17577349";"81400000";"02:01";"0.08096693";"02:39";"0.3427788";"0.04161467";"720";"44.4698268";"80400000";"02:19";"36.364461";"02:05";"59.04735165";"5.44876794";"720";"0.93119164";"80400000";"02:05";"0.28240361";"02:36";"2.3763761";"0.84607586";"4";"21.10000038";"80000000";"03:30";"21.10000038";"03:30";"21.10000038";"0.0";"1"
"12/09/2015 04:00";"2.9202738";"80400000";"03:53";"1.30514966";"03:13";"7.1783267";"0.93182625";"720";"9.41322914";"80400000";"03:41";"2.57745057";"03:33";"15.46470532";"2.32515643";"720";;;;;;;;;"44.14123035";"81400000";"03:56";"32.9620284";"03:35";"53.14981245";"3.64311738";"720";"0.75717379";"80400000";"03:06";"0.62021847";"03:51";"0.8887146";"0.1161953";"4";"21.10000038";"80000000";"03:30";"21.10000038";"03:30";"21.10000038";"0.0";"1"
"12/09/2015 05:00";"2.97963914";"80400000";"04:24";"0.9788625";"04:28";"8.80976352";"0.93659496";"720";"20.6573436";"80400000";"04:03";"6.56078518";"04:53";"54.12646384";"8.85758282";"720";"0.38676568";"80400000";"04:07";"0.15890173";"04:36";"0.88780614";"0.14108038";"720";;;;;;;;;"1.15997088";"80400000";"04:06";"0.72065332";"04:51";"1.77086651";"0.42772274";"4";"21.10000038";"80000000";"03:30";"21.10000038";"03:30";"21.10000038";"0.0";"1"
"12/09/2015 06:00";"3.65578041";"80400000";"05:23";"1.957725";"05:58";"8.15718614";"1.01293709";"720";"47.02089824";"80400000";"05:04";"25.07155888";"06:00";"98.17743336";"12.30992253";"720";"0.43438738";"80400000";"05:06";"0.23179194";"06:00";"0.78576032";"0.12127578";"720";"25.48538685";"80400000";"06:00";"6.13181205";"05:15";"40.77183495";"8.36494722";"720";"1.60046612";"80400000";"05:06";"1.23280435";"05:51";"2.08657483";"0.30778691";"4";"21.10000038";"80000000";"03:30";"21.10000038";"03:30";"21.10000038";"0.0";"1"
