"NetC";"ARPA Sicilia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Stat";"Termica Milazzo";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Parm";"CO";"CO";"CO";"CO";"CO";"CO";"CO";"CO";"O3";"O3";"O3";"O3";"O3";"O3";"O3";"O3";"NO2";"NO2";"NO2";"NO2";"NO2";"NO2";"NO2";"NO2";"PM10";"PM10";"PM10";"PM10";"PM10";"PM10";"PM10";"PM10";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene"
"PtId";"7";"7";"7";"7";"7";"7";"7";"7";"8";"8";"8";"8";"8";"8";"8";"8";"11";"11";"11";"11";"11";"11";"11";"11";"20";"20";"20";"20";"20";"20";"20";"20";"21";"21";"21";"21";"21";"21";"21";"21"
"Unit";"mg/m3 293K";;;"mg/m3 293K";;"mg/m3 293K";"mg/m3 293K";;"ug/m3 293K";;;"ug/m3 293K";;"ug/m3 293K";"ug/m3 293K";;"ug/m3 293K";;;"ug/m3 293K";;"ug/m3 293K";"ug/m3 293K";;"ug/m3";;;"ug/m3";;"ug/m3";"ug/m3";;"ug/m3 293K";;;"ug/m3 293K";;"ug/m3 293K";"ug/m3 293K";
"Field";"Aver";"SWrd";"MinT";"Min";"MaxT";"Max";"Sigma";"Samp";"Aver";"SWrd";"MinT";"Min";"MaxT";"Max";"Sigma";"Samp";"Aver";"SWrd";"MinT";"Min";"MaxT";"Max";"Sigma";"Samp";"Aver";"SWrd";"MinT";"Min";"MaxT";"Max";"Sigma";"Samp";"Aver";"SWrd";"MinT";"Min";"MaxT";"Max";"Sigma";"Samp"
"07/09/2015 00:00";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"07/09/2015 01:00";"0.07991339";"80400000";"01:00";"0.0";"00:11";"0.39627437";"0.08517173";"720";"45.1615332";"80400000";"00:04";"23.38461195";"00:52";"64.3076679";"10.50014585";"720";"22.36412864";"80400000";"00:53";"12.11601322";"00:10";"33.55202456";"5.99585227";"720";"17.10000038";"80000000";"05:00";"17.10000038";"05:00";"17.10000038";"0.0";"720";"0.56402922";"80400000";"00:42";"0.14926712";"00:12";"1.59005204";"0.59727291";"4"
"07/09/2015 02:00";"0.06131182";"80400000";"01:58";"0.0";"01:42";"0.39060606";"0.07782267";"720";"48.8295801";"80400000";"01:56";"36.05126595";"01:08";"63.33332985";"6.49089011";"720";"15.84660438";"80400000";"01:13";"10.25201016";"01:55";"21.4360056";"2.01515049";"720";"17.10000038";"80000000";"05:00";"17.10000038";"05:00";"17.10000038";"0.0";"720";"0.07602889";"80400000";"01:27";"0.05592686";"01:12";"0.10270886";"0.01765512";"4"
"07/09/2015 03:00";"0.16955038";"80400000";"02:18";"0.0";"02:01";"0.29992138";"0.06174632";"720";"45.22040565";"80400000";"02:27";"34.10253";"02:59";"61.87179285";"5.27758697";"720";;;;;;;;;"17.10000038";"80000000";"05:00";"17.10000038";"05:00";"17.10000038";"0.0";"720";"0.42121496";"80400000";"02:12";"0.10883426";"02:27";"0.74847641";"0.24599399";"4"
"07/09/2015 04:00";;;;;;;;;"63.87193995";"80400000";"03:30";"40.92305595";"03:52";"88.66663785";"15.78515421";"720";"22.50135288";"80400000";"03:59";"12.11601322";"03:32";"30.75603048";"4.46489093";"720";"17.10000038";"80000000";"05:00";"17.10000038";"05:00";"17.10000038";"0.0";"720";"0.17789771";"80400000";"03:57";"0.10640769";"03:12";"0.29051114";"0.07588549";"4"
"07/09/2015 05:00";"0.2644609";"80400000";"04:41";"0.19064563";"04:46";"0.35478467";"0.02580229";"720";;;;;;;;;"15.3275327";"80400000";"04:35";"10.25201016";"04:52";"22.36801";"2.28659522";"720";"17.10000038";"80000000";"05:00";"17.10000038";"05:00";"17.10000038";"0.0";"720";"0.04221364";"80400000";"04:12";"0.03558585";"04:57";"0.0547268";"0.00739664";"4"
"07/09/2015 06:00";"0.2137732";"80400000";"05:58";"0.02650776";"05:21";"0.36610376";"0.06247165";"720";"80.427228";"80400000";"05:20";"69.66665685";"05:40";"90.1281948";"3.80846099";"720";"19.33383808";"80400000";"05:31";"13.0480138";"05:39";"27.02801288";"2.4101716";"720";"17.10000038";"80000000";"05:00";"17.10000038";"05:00";"17.10000038";"0.0";"720";"0.22578519";"80400000";"05:12";"0.096555";"05:42";"0.47846189";"0.1548474";"4"
"07/09/2015 07:00";"0.13449286";"80400000";"06:57";"0.0";"06:48";"0.34346442";"0.09766466";"720";"84.54524715";"80400000";"06:17";"76.48716285";"06:32";"91.5897318";"2.65581782";"720";"17.23036849";"80400000";"06:31";"11.18401265";"06:45";"23.3000144";"2.18183865";"720";"17.10000038";"80000000";"05:00";"17.10000038";"05:00";"17.10000038";"0.0";"720";"0.1973397";"80400000";"06:57";"0.11923206";"06:42";"0.25182344";"0.05511937";"4"
"07/09/2015 08:00";"0.13681718";"80400000";"07:58";"0.0";"07:09";"0.26988509";"0.05738384";"720";"80.09364405";"80400000";"07:22";"43.3589709";"07:11";"92.5640898";"6.61221404";"720";"23.80225856";"80400000";"07:22";"12.11601322";"07:27";"40.07603624";"6.43621646";"720";"17.10000038";"80000000";"05:00";"17.10000038";"05:00";"17.10000038";"0.0";"720";"0.12851015";"80400000";"07:12";"0.11149778";"07:42";"0.14449129";"0.01427766";"4"
"07/09/2015 09:00";"0.09161091";"80400000";"08:59";"0.0";"08:47";"0.33780429";"0.09144622";"720";"82.14657885";"80400000";"08:05";"72.58973085";"08:34";"89.1538368";"3.26073573";"720";"20.06649736";"80400000";"08:36";"13.98001438";"08:09";"27.96001728";"2.93521827";"720";"17.10000038";"80000000";"05:00";"17.10000038";"05:00";"17.10000038";"0.0";"720";"0.11355822";"80400000";"08:57";"0.03642589";"08:27";"0.1776638";"0.06233498";"4"
"07/09/2015 10:00";"0.23044874";"80400000";"09:10";"0.0";"09:25";"0.41704374";"0.10790685";"720";"84.4911228";"80400000";"09:44";"44.33330895";"09:59";"93.05124885";"4.10445116";"720";"18.03292475";"80400000";"09:30";"13.0480138";"09:06";"23.3000144";"1.94554604";"720";"17.10000038";"80000000";"05:00";"17.10000038";"05:00";"17.10000038";"0.0";"720";"0.14231491";"80400000";"09:27";"0.07967788";"09:57";"0.26586516";"0.0751919";"4"
