"NetC";"ARPA Sicilia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Stat";"Termica Milazzo";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Parm";"CO";"CO";"CO";"CO";"CO";"CO";"CO";"CO";"O3";"O3";"O3";"O3";"O3";"O3";"O3";"O3";"NO2";"NO2";"NO2";"NO2";"NO2";"NO2";"NO2";"NO2";"PM10";"PM10";"PM10";"PM10";"PM10";"PM10";"PM10";"PM10";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene"
"PtId";"7";"7";"7";"7";"7";"7";"7";"7";"8";"8";"8";"8";"8";"8";"8";"8";"11";"11";"11";"11";"11";"11";"11";"11";"20";"20";"20";"20";"20";"20";"20";"20";"21";"21";"21";"21";"21";"21";"21";"21"
"Unit";"mg/m3 293K";;;"mg/m3 293K";;"mg/m3 293K";"mg/m3 293K";;"ug/m3 293K";;;"ug/m3 293K";;"ug/m3 293K";"ug/m3 293K";;"ug/m3 293K";;;"ug/m3 293K";;"ug/m3 293K";"ug/m3 293K";;"ug/m3";;;"ug/m3";;"ug/m3";"ug/m3";;"ug/m3 293K";;;"ug/m3 293K";;"ug/m3 293K";"ug/m3 293K";
"Field";"Aver";"SWrd";"MinT";"Min";"MaxT";"Max";"Sigma";"Samp";"Aver";"SWrd";"MinT";"Min";"MaxT";"Max";"Sigma";"Samp";"Aver";"SWrd";"MinT";"Min";"MaxT";"Max";"Sigma";"Samp";"Aver";"SWrd";"MinT";"Min";"MaxT";"Max";"Sigma";"Samp";"Aver";"SWrd";"MinT";"Min";"MaxT";"Max";"Sigma";"Samp"
"30/08/2015 00:00";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"30/08/2015 01:00";"0.35099451";"80400000";"00:56";"0.25980174";"00:32";"0.50723203";"0.04426603";"720";"45.3516567";"80400000";"00:23";"29.23075995";"00:56";"57.97436085";"5.78190102";"720";"17.32356893";"80400000";"00:53";"11.18401265";"00:24";"43.80403472";"3.60602626";"720";"19.20000076";"80000000";"05:00";"19.20000076";"05:00";"19.20000076";"0.0";"720";"0.21002169";"80400000";"00:27";"0.11589325";"00:42";"0.38078514";"0.1018912";"4"
"30/08/2015 02:00";"0.32403357";"80400000";"01:02";"0.24855507";"01:06";"0.4003869";"0.02504542";"720";"55.97557035";"80400000";"01:15";"46.7692239";"01:59";"63.33332985";"3.37938836";"720";"14.65312633";"80400000";"01:56";"10.25201016";"01:46";"17.7080205";"1.20342618";"720";"19.20000076";"80000000";"05:00";"19.20000076";"05:00";"19.20000076";"0.0";"720";"0.08634228";"80400000";"01:57";"0.05596246";"01:12";"0.11221781";"0.0201366";"4"
"30/08/2015 03:00";"0.32042562";"80400000";"02:27";"0.2373084";"02:52";"0.4678681";"0.03204291";"720";"65.1730989";"80400000";"02:59";"51.1538349";"02:32";"71.1281739";"3.01304252";"720";;;;;;;;;"19.20000076";"80000000";"05:00";"19.20000076";"05:00";"19.20000076";"0.0";"720";"0.17554844";"80400000";"02:27";"0.11991956";"02:12";"0.29656127";"0.07068862";"4"
"30/08/2015 04:00";;;;;;;;;"65.58516615";"80400000";"03:26";"50.1794769";"03:37";"72.1025319";"3.57476669";"720";"20.9039916";"80400000";"03:57";"13.98001438";"03:26";"45.66804352";"5.31076546";"720";"19.20000076";"80000000";"05:00";"19.20000076";"05:00";"19.20000076";"0.0";"720";"0.09137033";"80400000";"03:27";"0.03479767";"03:12";"0.22317658";"0.07696249";"4"
"30/08/2015 05:00";"0.24052974";"80400000";"04:00";"0.12463144";"04:13";"0.52899304";"0.05462386";"720";;;;;;;;;"16.25953519";"80400000";"04:58";"11.18401265";"04:02";"45.66804352";"3.78897025";"720";"19.20000076";"80000000";"05:00";"19.20000076";"05:00";"19.20000076";"0.0";"720";"0.09027706";"80400000";"04:57";"0.02821158";"04:27";"0.22382543";"0.07913277";"4"
"30/08/2015 06:00";"0.24956306";"80400000";"05:53";"0.18158312";"05:44";"0.41508851";"0.03314317";"720";"74.4254301";"80400000";"05:43";"58.9486989";"05:38";"79.4102568";"3.32314731";"720";"14.30362611";"80400000";"05:23";"9.32000958";"05:46";"26.0960276";"3.3717011";"720";"19.20000076";"80000000";"05:00";"19.20000076";"05:00";"19.20000076";"0.0";"720";"0.11215578";"80400000";"05:12";"0.02766342";"05:57";"0.33428892";"0.12844913";"4"
"30/08/2015 07:00";"0.29066381";"80400000";"06:06";"0.18158312";"06:57";"0.4834317";"0.05370347";"720";"70.74455535";"80400000";"06:46";"63.82050885";"06:10";"76.97434185";"2.29909187";"720";"14.38258789";"80400000";"06:15";"10.25201016";"06:45";"20.50402032";"1.57825084";"720";"19.20000076";"80000000";"05:00";"19.20000076";"05:00";"19.20000076";"0.0";"720";"0.15866929";"80400000";"06:27";"0.07252125";"06:57";"0.30390299";"0.08790541";"4"
"30/08/2015 08:00";"0.2846124";"80400000";"07:21";"0.21006013";"07:31";"0.43217402";"0.03434738";"720";"71.23779915";"80400000";"07:31";"62.8461309";"07:59";"78.43587885";"2.82002826";"720";"13.3327909";"80400000";"07:48";"9.32000958";"07:58";"16.77601802";"1.41719161";"720";"19.20000076";"80000000";"05:00";"19.20000076";"05:00";"19.20000076";"0.0";"720";"0.30835745";"80400000";"07:27";"0.10042875";"07:12";"0.59622439";"0.17993476";"4"
"30/08/2015 09:00";"0.26575387";"80400000";"08:07";"0.17588795";"08:27";"0.33535499";"0.0235609";"720";"79.72692315";"80400000";"08:09";"71.1281739";"08:56";"87.69227985";"2.86225842";"720";"11.59176194";"80400000";"08:59";"8.38800901";"08:13";"15.84401553";"1.37765145";"720";"19.20000076";"80000000";"05:00";"19.20000076";"05:00";"19.20000076";"0.0";"720";"0.09393622";"80400000";"08:27";"0.04748271";"08:42";"0.12244375";"0.02800106";"4"
"30/08/2015 10:00";"0.27473229";"80400000";"09:56";"0.19297346";"09:48";"0.369526";"0.02718403";"720";"85.3883541";"80400000";"09:57";"76.97434185";"09:42";"91.5897318";"2.24113313";"720";"10.66235022";"80400000";"09:14";"6.52400786";"09:50";"14.91201495";"1.29563238";"720";"19.20000076";"80000000";"05:00";"19.20000076";"05:00";"19.20000076";"0.0";"720";"0.07601261";"80400000";"09:12";"0.05600822";"09:57";"0.11083876";"0.02084748";"4"
