"NetC";"ARPA Sicilia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Stat";"Termini";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Parm";"SO2";"SO2";"SO2";"SO2";"SO2";"SO2";"SO2";"SO2";"NO2";"NO2";"NO2";"NO2";"NO2";"NO2";"NO2";"NO2";"CO";"CO";"CO";"CO";"CO";"CO";"CO";"CO";"O3";"O3";"O3";"O3";"O3";"O3";"O3";"O3";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene";"PM10";"PM10";"PM10";"PM10";"PM10";"PM10";"PM10";"PM10"
"PtId";"1";"1";"1";"1";"1";"1";"1";"1";"4";"4";"4";"4";"4";"4";"4";"4";"5";"5";"5";"5";"5";"5";"5";"5";"6";"6";"6";"6";"6";"6";"6";"6";"7";"7";"7";"7";"7";"7";"7";"7";"12";"12";"12";"12";"12";"12";"12";"12"
"Unit";"ug/m3 293K";;;"ug/m3 293K";;"ug/m3 293K";"ug/m3 293K";;"ug/m3 293K";;;"ug/m3 293K";;"ug/m3 293K";"ug/m3 293K";;"mg/m3 293K";;;"mg/m3 293K";;"mg/m3 293K";"mg/m3 293K";;"ug/m3 293K";;;"ug/m3 293K";;"ug/m3 293K";"ug/m3 293K";;"ug/m3 293K";;;"ug/m3 293K";;"ug/m3 293K";"ug/m3 293K";;"ug/m3";;;"ug/m3";;"ug/m3";"ug/m3";
"Field";"Aver";"SWrd";"MinT";"Min";"MaxT";"Max";"Sigma";"Samp";"Aver";"SWrd";"MinT";"Min";"MaxT";"Max";"Sigma";"Samp";"Aver";"SWrd";"MinT";"Min";"MaxT";"Max";"Sigma";"Samp";"Aver";"SWrd";"MinT";"Min";"MaxT";"Max";"Sigma";"Samp";"Aver";"SWrd";"MinT";"Min";"MaxT";"Max";"Sigma";"Samp";"Aver";"SWrd";"MinT";"Min";"MaxT";"Max";"Sigma";"Samp"
"02/09/2015 00:00";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"02/09/2015 01:00";;;;;;;;;"4.11656659";"80400000";"00:45";"3.08909412";"00:02";"4.9403537";"0.29903106";"720";"0.11123214";"80400000";"00:59";"0.0";"00:37";"0.4305575";"0.11226466";"720";"71.18644785";"80400000";"00:00";"64.0405374";"00:40";"80.6542191";"3.57429188";"720";"0.13646208";"80400000";"00:17";"0.09119236";"00:33";"0.1715618";"0.03380203";"4";"16.2999897";"80000000";"04:11";"16.2999897";"04:11";"16.2999897";"0.0";"1"
"02/09/2015 02:00";"0.09318263";"80400000";"01:59";"0.0";"01:03";"1.1529312";"0.19579487";"711";"3.33044014";"80400000";"01:49";"0.57296713";"01:12";"4.93762337";"1.20444146";"711";"0.04245563";"80400000";"01:54";"0.0";"01:57";"0.35819523";"0.08245146";"711";"67.38892545";"80400000";"01:57";"61.96384215";"01:17";"74.164524";"2.61625298";"711";;;;;;;;;"16.2999897";"80000000";"04:11";"16.2999897";"04:11";"16.2999897";"0.0";"1"
"02/09/2015 03:00";"0.05207549";"80400000";"03:00";"0.0";"02:10";"0.82816141";"0.13116351";"720";;;;;;;;;"0.13236827";"81400000";"03:00";"0.0";"02:30";"0.44503019";"0.11893043";"720";"63.3382176";"80400000";"02:38";"58.58917995";"02:58";"67.93435845";"2.27913788";"720";;;;;;;;;"16.2999897";"80000000";"04:11";"16.2999897";"04:11";"16.2999897";"0.0";"1"
"02/09/2015 04:00";"0.02940961";"80400000";"04:00";"0.0";"03:07";"0.82816141";"0.10990516";"720";"0.55818546";"80400000";"03:47";"0.0";"03:59";"1.91687178";"0.56526368";"720";;;;;;;;;"63.6472032";"81400000";"03:29";"47.4268557";"03:49";"71.8282194";"6.67014684";"720";"0.14788502";"80400000";"03:17";"0.09100421";"03:03";"0.22441325";"0.04821597";"4";"16.2999897";"80000000";"04:11";"16.2999897";"04:11";"16.2999897";"0.0";"1"
"02/09/2015 05:00";"0.01082597";"80400000";"05:00";"0.0";"04:10";"0.50339161";"0.04765052";"720";"1.7883739";"80400000";"04:14";"0.74616374";"04:33";"2.81638365";"0.47013212";"720";"0.09012054";"80400000";"04:53";"0.0";"04:42";"0.37173936";"0.08966035";"720";;;;;;;;;"0.14773247";"80400000";"04:48";"0.12088367";"04:02";"0.18072599";"0.0220089";"4";"16.2999897";"80000000";"04:11";"16.2999897";"04:11";"16.2999897";"0.0";"1"
"02/09/2015 06:00";"0.03143852";"80400000";"06:00";"0.0";"05:34";"0.50339161";"0.09335246";"720";"3.98559842";"80400000";"05:05";"0.96246447";"06:00";"16.85474079";"3.14388057";"720";"0.04484536";"80400000";"05:52";"0.0";"05:22";"0.25609802";"0.0646196";"720";"68.8734648";"80400000";"06:00";"36.91925055";"05:04";"87.678255";"15.14090687";"720";"0.12332651";"80400000";"05:33";"0.08789626";"05:03";"0.13818793";"0.0205851";"4";"16.2999897";"80000000";"04:11";"16.2999897";"04:11";"16.2999897";"0.0";"1"
