"NetC";"ARPA Sicilia";;;;;;;;;;;;;;;
"Stat";"Termini";;;;;;;;;;;;;;;
"Parm";"NO2";"NO2";"NO2";"NO2";"NO2";"NO2";"NO2";"NO2";"O3";"O3";"O3";"O3";"O3";"O3";"O3";"O3"
"PtId";"4";"4";"4";"4";"4";"4";"4";"4";"6";"6";"6";"6";"6";"6";"6";"6"
"Unit";"ug/m3 293K";;;"ug/m3 293K";;"ug/m3 293K";"ug/m3 293K";;"ug/m3 293K";;;"ug/m3 293K";;"ug/m3 293K";"ug/m3 293K";
"Field";"Aver";"SWrd";"MinT";"Min";"MaxT";"Max";"Sigma";"Samp";"Aver";"SWrd";"MinT";"Min";"MaxT";"Max";"Sigma";"Samp"
"01/08/2015 00:00";;;;;;;;;;;;;;;;
"01/08/2015 01:00";"2.61022416";"80400000";"00:48";"1.3515603";"00:10";"4.78348749";"0.75219418";"720";"88.53768105";"80400000";"00:35";"80.224935";"00:18";"97.4970066";"4.12823156";"720"
"01/08/2015 02:00";"1.50669424";"80400000";"01:48";"0.65701865";"01:07";"2.52466216";"0.38230822";"720";"88.0983621";"80400000";"01:52";"82.80285405";"01:26";"92.3411685";"2.30993868";"720"
"01/08/2015 03:00";;;;;;;;;"89.0797425";"80400000";"02:59";"80.4827289";"02:06";"96.4658709";"3.65594723";"720"
"01/08/2015 04:00";"1.3368379";"80400000";"03:24";"0.37941537";"03:55";"2.22172679";"0.3675495";"720";"86.50541445";"81400000";"03:48";"81.5139045";"03:34";"90.53663115";"1.54742774";"720"
"01/08/2015 05:00";"2.18994935";"80400000";"04:59";"1.06458248";"04:30";"3.58192742";"0.50212753";"720";;;;;;;;
"01/08/2015 06:00";"3.90595214";"80400000";"05:01";"0.60273697";"05:26";"7.69799689";"1.84826348";"720";"78.56958375";"80400000";"05:23";"59.3612649";"05:00";"92.04896085";"6.85610877";"720"
"01/08/2015 07:00";"5.06212898";"80400000";"06:39";"2.87143013";"06:10";"8.80954382";"1.29344506";"720";"77.32055415";"80400000";"06:05";"65.28108825";"06:33";"86.1291375";"5.46434091";"720"
"01/08/2015 08:00";"3.00091077";"80400000";"07:40";"1.9680063";"07:04";"4.71880644";"0.65374148";"720";"82.682376";"80400000";"07:00";"70.6861218";"07:57";"96.42451455";"6.32454501";"720"
"01/08/2015 09:00";"2.37906718";"80400000";"08:21";"1.28283919";"08:32";"3.59206102";"0.48518912";"720";"92.5290576";"80400000";"08:03";"84.327453";"08:51";"100.8000483";"3.55242668";"720"
"01/08/2015 10:00";"3.2543827";"80400000";"09:01";"1.74974959";"09:54";"5.17558515";"0.61116889";"720";"93.05240595";"80400000";"09:20";"75.57640545";"09:39";"102.34431795";"5.25464048";"720"
