"NetC";"ARPA Sicilia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Stat";"Trapani";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Parm";"SO2";"SO2";"SO2";"SO2";"SO2";"SO2";"SO2";"SO2";"NO2";"NO2";"NO2";"NO2";"NO2";"NO2";"NO2";"NO2";"CO";"CO";"CO";"CO";"CO";"CO";"CO";"CO";"O3";"O3";"O3";"O3";"O3";"O3";"O3";"O3";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene";"PM10";"PM10";"PM10";"PM10";"PM10";"PM10";"PM10";"PM10"
"PtId";"1";"1";"1";"1";"1";"1";"1";"1";"4";"4";"4";"4";"4";"4";"4";"4";"5";"5";"5";"5";"5";"5";"5";"5";"6";"6";"6";"6";"6";"6";"6";"6";"7";"7";"7";"7";"7";"7";"7";"7";"12";"12";"12";"12";"12";"12";"12";"12"
"Unit";"ug/m3 293K";;;"ug/m3 293K";;"ug/m3 293K";"ug/m3 293K";;"ug/m3 293K";;;"ug/m3 293K";;"ug/m3 293K";"ug/m3 293K";;"mg/m3 293K";;;"mg/m3 293K";;"mg/m3 293K";"mg/m3 293K";;"ug/m3 293K";;;"ug/m3 293K";;"ug/m3 293K";"ug/m3 293K";;"ug/m3 293K";;;"ug/m3 293K";;"ug/m3 293K";"ug/m3 293K";;"ug/m3";;;"ug/m3";;"ug/m3";"ug/m3";
"Field";"Aver";"SWrd";"MinT";"Min";"MaxT";"Max";"Sigma";"Samp";"Aver";"SWrd";"MinT";"Min";"MaxT";"Max";"Sigma";"Samp";"Aver";"SWrd";"MinT";"Min";"MaxT";"Max";"Sigma";"Samp";"Aver";"SWrd";"MinT";"Min";"MaxT";"Max";"Sigma";"Samp";"Aver";"SWrd";"MinT";"Min";"MaxT";"Max";"Sigma";"Samp";"Aver";"SWrd";"MinT";"Min";"MaxT";"Max";"Sigma";"Samp"
"30/08/2015 00:00";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"30/08/2015 01:00";;;;;;;;;"27.6328932";"80400000";"00:50";"12.94293984";"00:02";"45.06056288";"9.32482591";"720";"0.28196688";"80400000";"00:56";"0.19196314";"00:00";"0.42437878";"0.0509832";"720";"32.120298";"80400000";"00:00";"9.46817025";"00:56";"47.97857295";"9.95174429";"720";"1.32561882";"80400000";"00:55";"0.70488982";"00:10";"1.64306317";"0.36669867";"4";"20.10000038";"80000000";"04:06";"20.10000038";"04:06";"20.10000038";"0.0";"1"
"30/08/2015 02:00";"0.0";"80400000";"02:00";"0.0";"02:00";"0.0";"0.0";"720";;;;;;;;;"0.22014931";"80400000";"01:26";"0.17137013";"01:39";"0.29493285";"0.02468918";"720";"40.2346014";"80400000";"01:34";"25.1666856";"01:46";"46.50686145";"4.81616741";"720";"0.42106241";"80400000";"01:40";"0.24955248";"01:10";"0.51339584";"0.10324076";"4";"20.10000038";"80000000";"04:06";"20.10000038";"04:06";"20.10000038";"0.0";"1"
"30/08/2015 03:00";"0.00103836";"80400000";"03:00";"0.0";"02:34";"0.24945586";"0.0160686";"720";"26.40045624";"80400000";"02:00";"13.98890518";"02:51";"40.03720352";"6.45665001";"720";"0.28041811";"81400000";"02:07";"0.2154995";"02:51";"0.39201701";"0.03731526";"720";"20.8645878";"80400000";"02:50";"1.86419783";"02:00";"39.6387348";"8.73349953";"720";"0.80300489";"80400000";"02:10";"0.4806942";"02:55";"1.26767321";"0.29476728";"4";"20.10000038";"80000000";"04:06";"20.10000038";"04:06";"20.10000038";"0.0";"1"
"30/08/2015 04:00";"0.00380968";"80400000";"04:00";"0.0";"03:59";"0.24945586";"0.03059746";"720";"24.61925616";"80400000";"03:59";"13.50653052";"03:26";"35.21343784";"5.63925089";"720";;;;;;;;;"16.71170204";"81400000";"03:22";"3.33593526";"04:00";"34.9782552";"6.53429931";"720";"0.99196858";"80400000";"03:55";"0.54103078";"03:10";"1.44235517";"0.31892408";"4";"20.10000038";"80000000";"04:06";"20.10000038";"04:06";"20.10000038";"0.0";"1"
"30/08/2015 05:00";"0.00277133";"80400000";"05:00";"0.0";"04:25";"0.24945586";"0.02614809";"720";"15.99880531";"80400000";"04:09";"10.61227302";"04:58";"22.18929536";"2.57668959";"720";"0.18515954";"80400000";"04:21";"0.14701966";"04:48";"0.25354827";"0.02077989";"720";;;;;;;;;"0.49562783";"80400000";"04:25";"0.3949133";"04:55";"0.54125757";"0.05865242";"4";"20.10000038";"80000000";"04:06";"20.10000038";"04:06";"20.10000038";"0.0";"1"
"30/08/2015 06:00";"0.0";"80400000";"06:00";"0.0";"06:00";"0.0";"0.0";"720";"23.76705864";"80400000";"05:14";"13.50653052";"05:59";"32.80156456";"5.44952886";"720";"0.18532306";"80400000";"05:09";"0.12630518";"05:57";"0.28313955";"0.02821187";"720";"17.370465";"80400000";"05:37";"6.72807765";"05:10";"29.19524895";"6.58608552";"720";"0.56937254";"80400000";"05:25";"0.47695673";"05:10";"0.61254927";"0.05395795";"4";"20.10000038";"80000000";"04:06";"20.10000038";"04:06";"20.10000038";"0.0";"1"
