"NetC";"ARPA Sicilia";;;;;;;
"Stat";"VILLA AUGUSTA";;;;;;;
"Parm";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene"
"PtId";"3";"3";"3";"3";"3";"3";"3";"3"
"Unit";"ug/m3 293K";;;"ug/m3 293K";;"ug/m3 293K";"ug/m3 293K";
"Field";"Aver";"SWrd";"MinT";"Min";"MaxT";"Max";"Sigma";"Samp"
"30/08/2015 00:00";;;;;;;;
"30/08/2015 01:00";"0.9205406";"80000000";"00:45";"0.0";"01:00";"1.98060547";"0.9345691";"720"
"30/08/2015 02:00";"2.49380096";"80000000";"01:44";"0.0";"02:00";"3.5650874";"1.44563194";"720"
"30/08/2015 03:00";"1.35638307";"80000000";"02:43";"0.0";"02:14";"3.5650874";"1.46557124";"720"
"30/08/2015 04:00";"0.47138357";"80000000";"03:58";"0.0";"03:13";"1.90138218";"0.80543552";"720"
"30/08/2015 05:00";"0.84450866";"80000000";"05:00";"0.0";"04:27";"1.34681005";"0.55006886";"720"
"30/08/2015 06:00";"0.82261062";"80000000";"06:00";"0.0";"05:56";"1.74293358";"0.83366643";"720"
"30/08/2015 07:00";"0.95386566";"80000000";"06:56";"0.0";"06:41";"1.74293358";"0.81966437";"699"
"30/08/2015 08:00";"0.75835148";"80000000";"08:00";"0.0";"07:25";"1.90138218";"0.88060098";"720"
"30/08/2015 09:00";"1.05984418";"80000000";"09:00";"0.0";"08:25";"2.69362315";"1.13782265";"720"
"30/08/2015 10:00";"1.48941277";"80000000";"09:39";"0.0";"09:24";"3.88198358";"1.5243274";"720"
"30/08/2015 11:00";"0.75152944";"80000000";"10:53";"0.0";"10:23";"1.74293358";"0.76943372";"720"
"30/08/2015 12:00";"0.3571704";"80000000";"12:00";"0.0";"11:08";"1.02991285";"0.45264839";"720"
"30/08/2015 13:00";"0.17627559";"80000000";"13:00";"0.0";"12:22";"0.71301667";"0.3075947";"720"
"30/08/2015 14:00";"0.17946389";"80000000";"13:51";"0.0";"14:00";"1.34681005";"0.44441375";"720"
"30/08/2015 15:00";"0.38533622";"80000000";"14:50";"0.0";"14:06";"1.34681005";"0.42886483";"720"
"30/08/2015 16:00";"0.22028627";"80000000";"15:35";"0.0";"16:00";"0.71301667";"0.26403456";"720"
"30/08/2015 17:00";"0.34088416";"80000000";"16:34";"0.0";"17:00";"0.71301667";"0.25453273";"720"
"30/08/2015 18:00";"0.52354041";"80000000";"18:00";"0.0";"17:49";"1.58448193";"0.6399503";"720"
"30/08/2015 19:00";"0.19662983";"80000000";"19:00";"0.0";"18:48";"0.71301667";"0.297921";"720"
"30/08/2015 20:00";"0.11751537";"80000000";"20:00";"0.0";"19:47";"0.47534478";"0.20506178";"720"
"30/08/2015 21:00";"0.25285874";"80000000";"21:00";"0.0";"20:46";"1.02991285";"0.44137393";"720"
"30/08/2015 22:00";"0.45620078";"80000000";"21:31";"0.0";"22:00";"0.71301667";"0.29871222";"720"
"30/08/2015 23:00";"0.29543952";"80000000";"23:00";"0.0";"22:15";"1.18836145";"0.49203579";"720"
"31/08/2015 00:00";"1.41844244";"80000000";"23:45";"0.0";"00:00";"5.94181335";"2.46596567";"720"
"31/08/2015 01:00";"2.38233572";"80000000";"01:00";"0.0";"00:14";"5.94181335";"2.50837965";"720"
"31/08/2015 02:00";"2.10615412";"80000000";"01:29";"0.0";"01:58";"4.11965648";"2.03748323";"720"
"31/08/2015 03:00";"1.793988";"80000000";"03:00";"0.0";"02:13";"3.88198358";"1.89736198";"720"
"31/08/2015 04:00";"1.54047024";"80000000";"03:27";"0.0";"03:42";"3.01051933";"1.43150072";"720"
"31/08/2015 05:00";"0.46169969";"80000000";"05:00";"0.0";"04:12";"2.29750267";"0.91559595";"720"
"31/08/2015 06:00";"0.0";"80000000";"06:00";"0.0";"06:00";"0.0";"0.0";"720"
"31/08/2015 07:00";"0.91581053";"80000000";"06:40";"0.0";"06:55";"3.16896692";"1.36872742";"720"
"31/08/2015 08:00";"0.76583253";"80000000";"08:00";"0.0";"07:25";"1.90138218";"0.90525001";"720"
"31/08/2015 09:00";"2.74462468";"80000000";"09:00";"0.0";"08:39";"6.41715813";"2.75969764";"699"
"31/08/2015 10:00";"0.64974808";"80000000";"09:53";"0.0";"09:56";"2.05982977";"0.87245481";"720"
"31/08/2015 11:00";"0.80071461";"80000000";"11:00";"0.0";"10:23";"2.13905407";"1.0136917";"720"
"31/08/2015 12:00";"0.17627559";"80000000";"12:00";"0.0";"11:22";"0.71301667";"0.3075947";"720"
"31/08/2015 13:00";"0.13787367";"80000000";"13:00";"0.0";"12:51";"0.55456908";"0.23969063";"720"
"31/08/2015 14:00";"0.0";"80000000";"14:00";"0.0";"14:00";"0.0";"0.0";"720"
"31/08/2015 15:00";"0.48700774";"80000000";"15:00";"0.0";"14:35";"0.71301667";"0.29440116";"720"
"31/08/2015 16:00";"0.21786581";"80000000";"15:49";"0.0";"15:34";"0.71301667";"0.29682772";"720"
"31/08/2015 17:00";"0.23261129";"80000000";"17:00";"0.0";"16:34";"0.87146527";"0.37111347";"720"
"31/08/2015 18:00";"0.25714743";"80000000";"17:48";"0.0";"18:00";"0.71301667";"0.29882308";"720"
"31/08/2015 19:00";"0.21291607";"80000000";"19:00";"0.0";"18:32";"0.71301667";"0.32631157";"720"
"31/08/2015 20:00";"0.35309833";"80000000";"20:00";"0.0";"19:45";"1.50525763";"0.61618301";"720"
"31/08/2015 21:00";"1.4375895";"80000000";"20:16";"0.0";"20:58";"2.61439885";"1.01838007";"720"
"31/08/2015 22:00";"1.67515155";"80000000";"21:30";"0.0";"22:00";"2.69362315";"1.04129105";"720"
"31/08/2015 23:00";"1.57787957";"80000000";"22:30";"0.0";"23:00";"6.65483103";"1.58822246";"720"
"01/09/2015 00:00";"13.56471549";"80000000";"23:29";"0.0";"23:44";"27.33234282";"10.69115148";"720"
