xtime;Stazione;hour;Parm;Aver;SWrd;MinT;Min;MaxT;Max;Sigma;Samp;nhour;is_dup
2015-09-05 00:00:00;C.da Gabbia;0;BENZENE;0,97091058;80400000;23:52;0,37803721;23:07;2,53296461;0,9045076;4;1;FALSE
2015-09-05 01:00:00;C.da Gabbia;1;BENZENE;0,29101048;80400000;00:37;0,15894083;00:52;0,33691379;0,07628517;4;1;FALSE
2015-09-05 02:00:00;C.da Gabbia;2;BENZENE;0,64575127;80400000;01:22;0,39177993;01:07;0,87005062;0,17569082;4;1;FALSE
2015-09-05 03:00:00;C.da Gabbia;3;BENZENE;1,63736898;80400000;02:07;0,90086775;02:37;2,71665617;0,76278661;4;1;FALSE
2015-09-05 04:00:00;C.da Gabbia;4;BENZENE;1,70670499;80400000;03:07;1,47737658;03:52;1,88930327;0,14810266;4;1;FALSE
2015-09-05 05:00:00;C.da Gabbia;5;BENZENE;0,91413655;80400000;04:22;0,75834842;04:52;1,12119572;0,13323412;4;1;FALSE
2015-09-05 06:00:00;C.da Gabbia;6;BENZENE;1,99983083;80400000;05:22;1,22735018;05:37;2,65147969;0,50982413;4;1;FALSE
2015-09-05 07:00:00;C.da Gabbia;7;BENZENE;1,12030381;80400000;06:22;0,61514465;06:52;2,00178754;0,53594069;4;1;FALSE
2015-09-05 08:00:00;C.da Gabbia;8;BENZENE;2,50717654;80400000;07:37;1,13685243;07:22;3,91197084;0,98558385;4;1;FALSE
2015-09-05 09:00:00;C.da Gabbia;9;BENZENE;2,6448102;80400000;08:37;0,67487815;08:07;6,81857617;2,4972557;4;1;FALSE
2015-09-05 10:00:00;C.da Gabbia;10;BENZENE;0,59670441;80400000;09:52;0,42858516;09:22;0,71835998;0,12331023;4;1;FALSE
2015-09-05 11:00:00;C.da Gabbia;11;BENZENE;0,47196428;80400000;10:52;0,1870619;10:07;0,83282333;0,23662132;4;1;FALSE
2015-09-05 12:00:00;C.da Gabbia;12;BENZENE;0,20642049;80400000;11:52;0,10426589;11:22;0,269505;0,0617797;4;1;FALSE
2015-09-05 13:00:00;C.da Gabbia;13;BENZENE;0,12790707;80400000;12:37;0,09420573;12:07;0,18726326;0,03535906;4;1;FALSE
2015-09-05 14:00:00;C.da Gabbia;14;BENZENE;0,16788839;80400000;13:07;0,12620665;13:37;0,22742357;0,03849243;4;1;FALSE
2015-09-05 15:00:00;C.da Gabbia;15;BENZENE;0,15368192;80400000;14:37;0,09526036;14:22;0,1991825;0,039005;4;1;FALSE
2015-09-05 16:00:00;C.da Gabbia;16;BENZENE;0,16137146;80400000;15:52;0,14423501;15:37;0,19546842;0,02090545;4;1;FALSE
2015-09-05 17:00:00;C.da Gabbia;17;BENZENE;0,35720905;80400000;16:07;0,22735849;16:52;0,48787016;0,09475389;4;1;FALSE
2015-09-05 18:00:00;C.da Gabbia;18;BENZENE;0,19618133;80400000;17:22;0,07887344;17:07;0,34428704;0,10688467;4;1;FALSE
2015-09-05 19:00:00;C.da Gabbia;19;BENZENE;0,13887237;80400000;18:52;0,05997249;18:07;0,22181482;0,07195987;4;1;FALSE
2015-09-05 20:00:00;C.da Gabbia;20;BENZENE;0,25119392;80400000;19:07;0,08322721;19:52;0,4734074;0,1587954;4;1;FALSE
2015-09-05 21:00:00;C.da Gabbia;21;BENZENE;0,65469884;80400000;20:07;0,38572573;20:52;0,76371412;0,15657325;4;1;FALSE
2015-09-05 22:00:00;C.da Gabbia;22;BENZENE;1,09806507;80400000;21:52;0,6281409;21:07;1,90458065;0,48740945;4;1;FALSE
2015-09-05 23:00:00;C.da Gabbia;23;BENZENE;1,46001435;80400000;22:37;0,7683018;22:07;1,98281541;0,44020031;4;1;FALSE
2015-09-05 00:00:00;C.da Gabbia;0;NO2;8,82338097;80400000;23:53;5,31786472;23:01;12,71520343;1,82066758;720;1;FALSE
2015-09-05 01:00:00;C.da Gabbia;1;NO2;8,20351248;80400000;00:41;5,31786472;01:00;15,18098364;2,49269352;720;1;FALSE
2015-09-05 02:00:00;C.da Gabbia;2;NO2;NA;NA;;NA;;NA;NA;NA;1;FALSE
2015-09-05 03:00:00;C.da Gabbia;3;NO2;13,13863495;80400000;02:59;7,8514999;02:12;18,8964241;3,73304234;720;1;FALSE
2015-09-05 04:00:00;C.da Gabbia;4;NO2;7,53736021;80400000;03:57;3,52957303;03:15;10,25257229;1,74552025;720;1;FALSE
2015-09-05 05:00:00;C.da Gabbia;5;NO2;13,59346725;80400000;04:00;4,97021532;05:00;39,5456092;7,20856504;720;1;FALSE
2015-09-05 06:00:00;C.da Gabbia;6;NO2;26,0831216;80400000;06:00;6,41085761;05:36;74,09313568;12,45902411;720;1;FALSE
2015-09-05 07:00:00;C.da Gabbia;7;NO2;31,42937952;80400000;06:00;6,41085761;06:32;48,34908816;11,23244552;720;1;FALSE
2015-09-05 08:00:00;C.da Gabbia;8;NO2;34,18394056;80400000;07:16;19,41653208;07:50;55,7917776;6,92684331;720;1;FALSE
2015-09-05 09:00:00;C.da Gabbia;9;NO2;26,12491792;80400000;08:32;14,57449724;08:06;46,70761704;10,2157529;720;1;FALSE
2015-09-05 10:00:00;C.da Gabbia;10;NO2;25,63429872;80400000;09:59;16,5485665;09:05;40,7321964;5,07979969;720;1;FALSE
2015-09-05 11:00:00;C.da Gabbia;11;NO2;13,40247566;80400000;10:43;8,85183918;10:23;18,45611918;2,5520898;720;1;FALSE
2015-09-05 12:00:00;C.da Gabbia;12;NO2;8,80097806;80400000;11:58;4,97021532;11:03;14,64101381;2,17877754;720;1;FALSE
2015-09-05 13:00:00;C.da Gabbia;13;NO2;4,57295717;80400000;12:32;2,08893074;12:01;30,14088272;2,99316334;720;1;FALSE
2015-09-05 14:00:00;C.da Gabbia;14;NO2;2,46521999;80400000;13:46;0,64828846;13:14;26,0052076;2,82814818;720;1;FALSE
2015-09-05 15:00:00;C.da Gabbia;15;NO2;2,49626131;80400000;14:10;0;14:56;7,8514999;2,08108581;720;1;FALSE
2015-09-05 16:00:00;C.da Gabbia;16;NO2;9,9465586;80400000;15:37;0,64828846;15:49;25,21901232;7,03779285;720;1;FALSE
2015-09-05 17:00:00;C.da Gabbia;17;NO2;7,63983194;80400000;16:57;0,64828846;16:12;21,33740376;5,9378919;720;1;FALSE
2015-09-05 18:00:00;C.da Gabbia;18;NO2;2,86771129;80400000;17:35;0;17:18;7,8514999;2,14424682;720;1;FALSE
2015-09-05 19:00:00;C.da Gabbia;19;NO2;1,9603736;80400000;18:59;0,16807627;18:21;4,97021532;1,28082968;720;1;FALSE
2015-09-05 20:00:00;C.da Gabbia;20;NO2;6,98453982;80400000;19:08;0,16807627;19:58;11,69321266;4,06850082;720;1;FALSE
2015-09-05 21:00:00;C.da Gabbia;21;NO2;9,37574438;80400000;20:22;4,97021532;20:45;14,09428506;2,10395142;720;1;FALSE
2015-09-05 22:00:00;C.da Gabbia;22;NO2;5,78795095;80400000;21:23;3,04935894;21:00;11,21300048;1,57361042;720;1;FALSE
2015-09-05 23:00:00;C.da Gabbia;23;NO2;5,88529087;80400000;22:17;2,56914484;22:36;9,77235628;2,20218806;720;1;FALSE
2015-09-05 00:00:00;C.da Gabbia;0;SO2;0;81400000;00:00;0;00:00;0;0;720;1;FALSE
2015-09-05 01:00:00;C.da Gabbia;1;SO2;NA;NA;;NA;;NA;NA;NA;1;FALSE
2015-09-05 02:00:00;C.da Gabbia;2;SO2;1,97756565;80400000;01:59;0,11198492;01:01;4,99863433;1,09242377;720;1;FALSE
2015-09-05 03:00:00;C.da Gabbia;3;SO2;0,5079793;80400000;02:11;0;02:54;1,94447858;0,65644401;720;1;FALSE
2015-09-05 04:00:00;C.da Gabbia;4;SO2;0,2191218;80400000;03:56;0;03:11;1,94447858;0,28125644;720;1;FALSE
2015-09-05 05:00:00;C.da Gabbia;5;SO2;0,20841788;80400000;04:47;0;04:53;1,94447858;0,53363516;720;1;FALSE
2015-09-05 06:00:00;C.da Gabbia;6;SO2;0,06320553;80400000;06:00;0;05:48;0,7228175;0,10802066;720;1;FALSE
2015-09-05 07:00:00;C.da Gabbia;7;SO2;0,66485968;80400000;06:31;0;06:59;4,99863433;1,40646117;720;1;FALSE
2015-09-05 08:00:00;C.da Gabbia;8;SO2;0,7743977;80400000;07:45;0;07:02;5,60946588;1,45882446;720;1;FALSE
2015-09-05 09:00:00;C.da Gabbia;9;SO2;0,17468195;80400000;08:47;0;08:59;1,94447858;0,30598072;720;1;FALSE
2015-09-05 10:00:00;C.da Gabbia;10;SO2;1,8384309;80400000;09:55;0,11198492;09:05;4,99863433;1,11040128;720;1;FALSE
2015-09-05 11:00:00;C.da Gabbia;11;SO2;0,61507346;80400000;10:59;0,11198492;10:42;1,94447858;0,81080528;720;1;FALSE
2015-09-05 12:00:00;C.da Gabbia;12;SO2;0,80156075;80400000;11:09;0;12:00;1,94447858;0,85462985;720;1;FALSE
2015-09-05 13:00:00;C.da Gabbia;13;SO2;1,11561442;80400000;13:00;0,11198492;12:33;3,16614067;1,16371445;720;1;FALSE
2015-09-05 14:00:00;C.da Gabbia;14;SO2;0,05990944;80400000;14:00;0;13:02;0,7228175;0,08609515;720;1;FALSE
2015-09-05 15:00:00;C.da Gabbia;15;SO2;0;80400000;15:00;0;15:00;0;0;720;1;FALSE
2015-09-05 16:00:00;C.da Gabbia;16;SO2;0;80400000;16:00;0;16:00;0;0;720;1;FALSE
2015-09-05 17:00:00;C.da Gabbia;17;SO2;0;80400000;17:00;0;17:00;0;0;720;1;FALSE
2015-09-05 18:00:00;C.da Gabbia;18;SO2;0;80400000;18:00;0;18:00;0;0;720;1;FALSE
2015-09-05 19:00:00;C.da Gabbia;19;SO2;0;80400000;19:00;0;19:00;0;0;720;1;FALSE
2015-09-05 20:00:00;C.da Gabbia;20;SO2;0,00333576;80400000;20:00;0;19:32;0,7228175;0,03123614;720;1;FALSE
2015-09-05 21:00:00;C.da Gabbia;21;SO2;0;80400000;21:00;0;21:00;0;0;720;1;FALSE
2015-09-05 22:00:00;C.da Gabbia;22;SO2;0;80400000;22:00;0;22:00;0;0;720;1;FALSE
2015-09-05 23:00:00;C.da Gabbia;23;SO2;0;80400000;23:00;0;23:00;0;0;720;1;FALSE
