xtime;Stazione;hour;Parm;Aver;SWrd;MinT;Min;MaxT;Max;Sigma;Samp;nhour;is_dup
2015-09-02 00:00:00;Enna;0;BENZENE;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
2015-09-02 01:00:00;Enna;1;BENZENE;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
2015-09-02 02:00:00;Enna;2;BENZENE;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
2015-09-02 03:00:00;Enna;3;BENZENE;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
2015-09-02 04:00:00;Enna;4;BENZENE;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
2015-09-02 05:00:00;Enna;5;BENZENE;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
2015-09-02 06:00:00;Enna;6;BENZENE;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
2015-09-02 07:00:00;Enna;7;BENZENE;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
2015-09-02 08:00:00;Enna;8;BENZENE;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
2015-09-02 09:00:00;Enna;9;BENZENE;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
2015-09-02 10:00:00;Enna;10;BENZENE;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
2015-09-02 11:00:00;Enna;11;BENZENE;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
2015-09-02 12:00:00;Enna;12;BENZENE;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
2015-09-02 13:00:00;Enna;13;BENZENE;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
2015-09-02 14:00:00;Enna;14;BENZENE;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
2015-09-02 15:00:00;Enna;15;BENZENE;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
2015-09-02 16:00:00;Enna;16;BENZENE;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
2015-09-02 17:00:00;Enna;17;BENZENE;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
2015-09-02 18:00:00;Enna;18;BENZENE;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
2015-09-02 19:00:00;Enna;19;BENZENE;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
2015-09-02 20:00:00;Enna;20;BENZENE;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
2015-09-02 21:00:00;Enna;21;BENZENE;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
2015-09-02 22:00:00;Enna;22;BENZENE;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
2015-09-02 23:00:00;Enna;23;BENZENE;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
2015-09-02 00:00:00;Enna;0;CO;0,17192843;80400000;23:16;0,14869574;23:45;0,19696802;0,01058792;720;1;FALSE
2015-09-02 01:00:00;Enna;1;CO;0,18157962;80400000;00:23;0,15437573;00:43;0,21400563;0,01118827;720;1;FALSE
2015-09-02 02:00:00;Enna;2;CO;0,17780114;80400000;01:54;0,15153515;01:43;0,22536326;0,01370414;720;1;FALSE
2015-09-02 03:00:00;Enna;3;CO;0,17794363;80400000;02:40;0,15153515;02:20;0,19980742;0,00819469;720;1;FALSE
2015-09-02 04:00:00;Enna;4;CO;0,18882472;80400000;03:50;0,15721514;03:08;0,24240088;0,01718946;720;1;FALSE
2015-09-02 05:00:00;Enna;5;CO;0,16226323;80400000;04:47;0,1316593;04:19;0,19980742;0,01669656;720;1;FALSE
2015-09-02 06:00:00;Enna;6;CO;0,15453341;80400000;05:25;0,11746109;05:52;0,20832565;0,01971117;720;1;FALSE
2015-09-02 07:00:00;Enna;7;CO;0,16791402;80400000;06:23;0,1316593;06:32;0,20832565;0,01289355;720;1;FALSE
2015-09-02 08:00:00;Enna;8;CO;0,18831898;80400000;07:04;0,15437573;07:32;0,26511614;0,02518325;720;1;FALSE
