Stazione;xtime;hour;Parm;Aver;SWrd;MinT;Min;MaxT;Max;Sigma;Samp;nhour;is_dup
GELA exAutoparco;2015-09-01 00:00:00;0;Benzene;0,4272356;80400000;23:49;0,40872111;23:34;0,44622095;0,01634726;4;4;FALSE
GELA exAutoparco;2015-09-01 00:00:00;0;Benzene;0,4272356;80400000;23:49;0,40872111;23:34;0,44622095;0,01634726;4;4;TRUE
GELA exAutoparco;2015-09-01 00:00:00;0;Benzene;NA;NA;;NA;;NA;NA;NA;4;FALSE
GELA exAutoparco;2015-09-01 00:00:00;0;Benzene;0,4272356;80400000;23:49;0,40872111;23:34;0,44622095;0,01634726;4;4;TRUE
GELA exAutoparco;2015-09-01 01:00:00;1;Benzene;0,37983119;80400000;00:49;0,30137575;00:34;0,42111122;0,0475478;4;3;FALSE
GELA exAutoparco;2015-09-01 01:00:00;1;Benzene;0,37983119;80400000;00:49;0,30137575;00:34;0,42111122;0,0475478;4;3;TRUE
GELA exAutoparco;2015-09-01 01:00:00;1;Benzene;0,37983119;80400000;00:49;0,30137575;00:34;0,42111122;0,0475478;4;3;TRUE
GELA exAutoparco;2015-09-01 02:00:00;2;Benzene;0,44024811;80400000;01:34;0,24313216;01:04;0,52767757;0,11464438;4;3;FALSE
GELA exAutoparco;2015-09-01 02:00:00;2;Benzene;0,44024811;80400000;01:34;0,24313216;01:04;0,52767757;0,11464438;4;3;TRUE
GELA exAutoparco;2015-09-01 02:00:00;2;Benzene;0,44024811;80400000;01:34;0,24313216;01:04;0,52767757;0,11464438;4;3;TRUE
GELA exAutoparco;2015-09-01 03:00:00;3;Benzene;0,49662347;80400000;02:34;0,41380205;02:04;0,59707155;0,07768355;4;3;FALSE
GELA exAutoparco;2015-09-01 03:00:00;3;Benzene;0,49662347;80400000;02:34;0,41380205;02:04;0,59707155;0,07768355;4;3;TRUE
GELA exAutoparco;2015-09-01 03:00:00;3;Benzene;0,49662347;80400000;02:34;0,41380205;02:04;0,59707155;0,07768355;4;3;TRUE
GELA exAutoparco;2015-09-01 04:00:00;4;Benzene;0,38204419;80400000;03:49;0,27598634;03:04;0,43191075;0,06248041;4;3;FALSE
GELA exAutoparco;2015-09-01 04:00:00;4;Benzene;0,38204419;80400000;03:49;0,27598634;03:04;0,43191075;0,06248041;4;3;TRUE
GELA exAutoparco;2015-09-01 04:00:00;4;Benzene;0,38204419;80400000;03:49;0,27598634;03:04;0,43191075;0,06248041;4;3;TRUE
GELA exAutoparco;2015-09-01 05:00:00;5;Benzene;0,44064474;80400000;04:49;0,37495875;04:04;0,53385076;0,06566667;4;3;FALSE
GELA exAutoparco;2015-09-01 05:00:00;5;Benzene;0,44064474;80400000;04:49;0,37495875;04:04;0,53385076;0,06566667;4;3;TRUE
GELA exAutoparco;2015-09-01 05:00:00;5;Benzene;0,44064474;80400000;04:49;0,37495875;04:04;0,53385076;0,06566667;4;3;TRUE
GELA exAutoparco;2015-09-01 06:00:00;6;Benzene;0,33526829;80400000;05:49;0,19622405;05:04;0,42697016;0,08812;4;3;FALSE
GELA exAutoparco;2015-09-01 06:00:00;6;Benzene;0,33526829;80400000;05:49;0,19622405;05:04;0,42697016;0,08812;4;3;TRUE
