xtime;Stazione;hour;Parm;Aver;SWrd;MinT;Min;MaxT;Max;Sigma;Samp;nhour;is_dup
2015-09-03 00:00:00;GELA exAutoparco;0;BENZENE;0,45534039;80400000;23:49;0,42151599;23:04;0,54263967;0,05048693;4;1;FALSE
2015-09-03 01:00:00;GELA exAutoparco;1;BENZENE;0,45082796;80400000;00:04;0,22635674;00:34;0,56048904;0,13152759;4;1;FALSE
2015-09-03 02:00:00;GELA exAutoparco;2;BENZENE;0,45634621;80400000;01:49;0,37169825;01:19;0,49648109;0,04941603;4;1;FALSE
2015-09-03 03:00:00;GELA exAutoparco;3;BENZENE;NA;NA;;NA;;NA;NA;NA;1;FALSE
2015-09-03 04:00:00;GELA exAutoparco;4;BENZENE;NA;NA;;NA;;NA;NA;NA;1;FALSE
2015-09-03 05:00:00;GELA exAutoparco;5;BENZENE;0,23126783;80400000;04:19;0,1450659;04:34;0,31822947;0,07543496;4;1;FALSE
2015-09-03 06:00:00;GELA exAutoparco;6;BENZENE;0,31620869;80400000;05:19;0,16874166;05:49;0,44865464;0,10013992;4;1;FALSE
2015-09-03 07:00:00;GELA exAutoparco;7;BENZENE;0,54984512;80400000;06:19;0,44879091;06:34;0,62924129;0,06728574;4;1;FALSE
2015-09-03 08:00:00;GELA exAutoparco;8;BENZENE;0,48591141;80400000;07:34;0,40702069;07:04;0,59636066;0,07375793;4;1;FALSE
2015-09-03 09:00:00;GELA exAutoparco;9;BENZENE;0,35277086;81400000;08:04;0,22859516;08:49;0,63234924;0,16403498;4;1;FALSE
2015-09-03 10:00:00;GELA exAutoparco;10;BENZENE;NA;NA;;NA;;NA;NA;NA;1;FALSE
2015-09-03 11:00:00;GELA exAutoparco;11;BENZENE;0,53771841;80400000;10:34;0,49565326;10:19;0,57620474;0,03298131;3;1;FALSE
2015-09-03 12:00:00;GELA exAutoparco;12;BENZENE;0,6589743;80400000;11:49;0,55826995;11:04;0,74523828;0,06692877;4;1;FALSE
2015-09-03 13:00:00;GELA exAutoparco;13;BENZENE;0,25427949;81410000;12:22;0;12:37;0,41639336;0,18205622;3;1;FALSE
2015-09-03 14:00:00;GELA exAutoparco;14;BENZENE;NA;NA;;NA;;NA;NA;NA;1;FALSE
2015-09-03 15:00:00;GELA exAutoparco;15;BENZENE;NA;NA;;NA;;NA;NA;NA;1;FALSE
2015-09-03 16:00:00;GELA exAutoparco;16;BENZENE;0,60814058;80400000;15:23;0,43689405;15:53;0,80525043;0,13283139;4;1;FALSE
2015-09-03 17:00:00;GELA exAutoparco;17;BENZENE;0,54721109;80400000;16:53;0,43303046;16:08;0,75288205;0,12714432;4;1;FALSE
2015-09-03 18:00:00;GELA exAutoparco;18;BENZENE;0,43381152;80400000;17:08;0,26034285;17:53;0,58466822;0,13504743;4;1;FALSE
2015-09-03 19:00:00;GELA exAutoparco;19;BENZENE;0,60512009;80400000;18:08;0,51290971;18:53;0,70653838;0,07717098;4;1;FALSE
2015-09-03 20:00:00;GELA exAutoparco;20;BENZENE;0,52315802;80400000;19:53;0,33560288;19:39;0,6507183;0,13206965;4;1;FALSE
2015-09-03 21:00:00;GELA exAutoparco;21;BENZENE;0,69376282;80400000;20:08;0,52881559;20:38;0,85139986;0,1141674;4;1;FALSE
2015-09-03 22:00:00;GELA exAutoparco;22;BENZENE;0,62333659;80400000;21:53;0,45793273;21:38;0,80766682;0,14272985;4;1;FALSE
2015-09-03 23:00:00;GELA exAutoparco;23;BENZENE;0,85357929;80400000;22:23;0,72412536;22:08;1,02914095;0,1265148;4;1;FALSE
