xtime;Stazione;hour;Parm;Aver;SWrd;MinT;Min;MaxT;Max;Sigma;Samp;nhour;is_dup
2015-09-07 00:00:00;Megara SR;0;BENZENE;0,18972237;80400000;23:01;0,05366912;23:46;0,25602161;0,0809115;4;1;FALSE
2015-09-07 01:00:00;Megara SR;1;BENZENE;0,43083374;80400000;00:46;0,06477476;00:01;0,79769107;0,32330023;4;1;FALSE
2015-09-07 02:00:00;Megara SR;2;BENZENE;0,22346236;80400000;01:31;0;01:16;0,46639722;0,18898301;4;1;FALSE
2015-09-07 03:00:00;Megara SR;3;BENZENE;0,06729794;80400000;02:46;0;02:31;0,12329701;0,04433917;4;1;FALSE
2015-09-07 04:00:00;Megara SR;4;BENZENE;0,06470256;80400000;03:46;0,05879887;03:16;0,07429897;0,0057847;4;1;FALSE
2015-09-07 05:00:00;Megara SR;5;BENZENE;0,21856754;80400000;04:16;0,117912;04:46;0,28246565;0,0619231;4;1;FALSE
2015-09-07 06:00:00;Megara SR;6;BENZENE;0,54091993;80400000;05:31;0,32657396;05:16;0,93716347;0,23459037;4;1;FALSE
2015-09-07 07:00:00;Megara SR;7;BENZENE;0,2977654;80400000;06:31;0;06:16;0,92096571;0,36631933;4;1;FALSE
2015-09-07 08:00:00;Megara SR;8;BENZENE;0,08379165;80400000;07:16;0,07614177;07:47;0,09828695;0,00893435;4;1;FALSE
2015-09-07 09:00:00;Megara SR;9;BENZENE;0,06067015;80400000;08:02;0;08:47;0,12437707;0,04404017;4;1;FALSE
2015-09-07 10:00:00;Megara SR;10;BENZENE;0,07400404;80400000;09:02;0,05845106;09:32;0,09589903;0,01363187;4;1;FALSE
2015-09-07 11:00:00;Megara SR;11;BENZENE;0,04364456;80400000;10:32;0;10:47;0,09689569;0,04417034;4;1;FALSE
2015-09-07 12:00:00;Megara SR;12;BENZENE;0,03657234;80400000;11:46;0;11:02;0,07914294;0,0368154;4;1;FALSE
2015-09-07 13:00:00;Megara SR;13;BENZENE;0,19721664;80400000;12:16;0,07413015;12:46;0,50823151;0,18069751;4;1;FALSE
2015-09-07 14:00:00;Megara SR;14;BENZENE;8,48987125;80400000;13:16;0,25436085;13:46;24,14303082;9,70484454;4;1;FALSE
2015-09-07 15:00:00;Megara SR;15;BENZENE;3,27918327;80400000;14:46;0,34102044;14:01;8,58044629;3,34031108;4;1;FALSE
2015-09-07 16:00:00;Megara SR;16;BENZENE;0,51617021;80400000;15:31;0,17195436;15:46;1,4053384;0,51422063;4;1;FALSE
2015-09-07 17:00:00;Megara SR;17;BENZENE;2,42996692;80400000;16:16;0,05841851;16:46;7,01852243;2,81068392;4;1;FALSE
2015-09-07 18:00:00;Megara SR;18;BENZENE;3,91812776;80400000;17:31;1,12584239;17:01;8,01190464;2,79546553;4;1;FALSE
2015-09-07 19:00:00;Megara SR;19;BENZENE;0,24737305;80400000;18:31;0,10709213;18:46;0,41609843;0,1204484;4;1;FALSE
2015-09-07 20:00:00;Megara SR;20;BENZENE;0,9073013;80400000;19:46;0,51135269;19:01;1,43177328;0,35069109;4;1;FALSE
2015-09-07 21:00:00;Megara SR;21;BENZENE;2,57208351;80400000;20:01;0,35743584;20:46;3,8525455;1,33260358;4;1;FALSE
2015-09-07 22:00:00;Megara SR;22;BENZENE;0,32945512;80400000;21:46;0;21:01;1,06111644;0,42570095;4;1;FALSE
2015-09-07 23:00:00;Megara SR;23;BENZENE;0,1152383;80400000;22:01;0,06813493;22:17;0,14455333;0,02967199;4;1;FALSE
