xtime;Stazione;hour;Parm;Aver;SWrd;MinT;Min;MaxT;Max;Sigma;Samp;nhour;is_dup
2015-09-04 00:00:00;Misterbianco;0;BENZENE;0,38282524;80400000;23:24;0,24483258;23:09;0,69738944;0,18277626;4;1;FALSE
2015-09-04 01:00:00;Misterbianco;1;BENZENE;0,65803358;80400000;00:23;0,52148404;00:53;0,7998166;0,11754486;4;1;FALSE
2015-09-04 02:00:00;Misterbianco;2;BENZENE;0,44316792;80400000;01:39;0,25299197;01:54;0,56563811;0,11748689;4;1;FALSE
2015-09-04 03:00:00;Misterbianco;3;BENZENE;0,91768283;80400000;02:09;0,81190771;02:39;1,10287243;0,1106018;4;1;FALSE
2015-09-04 04:00:00;Misterbianco;4;BENZENE;2,28061538;80400000;03:23;0,64413831;03:38;6,79122192;2,60561299;4;1;FALSE
2015-09-04 05:00:00;Misterbianco;5;BENZENE;1,00590962;80400000;04:09;0,80063732;04:39;1,11985023;0,12175321;4;1;FALSE
2015-09-04 06:00:00;Misterbianco;6;BENZENE;1,3926381;80400000;05:54;1,02823277;05:24;2,07728657;0,40885434;4;1;FALSE
2015-09-04 07:00:00;Misterbianco;7;BENZENE;0,89880426;80400000;06:38;0,57648035;06:09;1,3334009;0,29253903;4;1;FALSE
2015-09-04 08:00:00;Misterbianco;8;BENZENE;0,40004;80400000;07:39;0,11871238;07:24;0,80859839;0,28184528;4;1;FALSE
2015-09-04 09:00:00;Misterbianco;9;BENZENE;0,18177756;80400000;08:24;0,1026214;08:54;0,24190972;0,05023065;4;1;FALSE
2015-09-04 10:00:00;Misterbianco;10;BENZENE;0,17875402;80400000;09:38;0,0695689;09:09;0,34293749;0,10787116;4;1;FALSE
2015-09-04 11:00:00;Misterbianco;11;BENZENE;0,07234023;80400000;10:38;0;10:54;0,16736057;0,07409455;4;1;FALSE
2015-09-04 12:00:00;Misterbianco;12;BENZENE;0,04611993;80400000;11:54;0;11:24;0,09578309;0,04618807;4;1;FALSE
2015-09-04 13:00:00;Misterbianco;13;BENZENE;0,17884148;80400000;12:09;0;12:39;0,38293915;0,14310614;4;1;FALSE
2015-09-04 14:00:00;Misterbianco;14;BENZENE;0,28506103;80400000;13:54;0,1311869;13:23;0,4128125;0,10838983;4;1;FALSE
2015-09-04 15:00:00;Misterbianco;15;BENZENE;0,1980699;80400000;14:39;0,11520576;14:54;0,29855967;0,06777491;4;1;FALSE
2015-09-04 16:00:00;Misterbianco;16;BENZENE;0,09279108;80400000;15:39;0;15:09;0,22036153;0,09599666;4;1;FALSE
2015-09-04 17:00:00;Misterbianco;17;BENZENE;0,27761151;80400000;16:23;0,16578015;16:54;0,54365871;0,15426975;4;1;FALSE
2015-09-04 18:00:00;Misterbianco;18;BENZENE;0,19320356;80400000;17:39;0;17:09;0,43299487;0,19599319;4;1;FALSE
2015-09-04 19:00:00;Misterbianco;19;BENZENE;1,15536082;80400000;18:09;0,83876973;18:53;1,69060385;0,32170151;4;1;FALSE
2015-09-04 20:00:00;Misterbianco;20;BENZENE;1,33940324;80400000;19:38;1,01341914;19:08;1,73855031;0,26414236;4;1;FALSE
2015-09-04 21:00:00;Misterbianco;21;BENZENE;1,7712133;80400000;20:09;1,01149295;20:54;3,28182442;0,90861424;4;1;FALSE
2015-09-04 22:00:00;Misterbianco;22;BENZENE;2,0571276;80400000;21:54;0,91474675;21:09;3,24160207;0,99034952;4;1;FALSE
2015-09-04 23:00:00;Misterbianco;23;BENZENE;2,24810494;80400000;22:08;0,57181537;22:38;3,54416567;1,31675465;4;1;FALSE
2015-09-04 00:00:00;Misterbianco;0;CO;0,26022339;80400000;23:34;0,20787597;23:59;0,37296226;0,03477136;698;1;FALSE
2015-09-04 01:00:00;Misterbianco;1;CO;0,29230835;80400000;00:56;0,21641522;00:08;0,42704299;0,05652419;720;1;FALSE
2015-09-04 02:00:00;Misterbianco;2;CO;0,23158754;80400000;01:33;0,18510581;01:59;0,29326611;0,0224256;720;1;FALSE
2015-09-04 03:00:00;Misterbianco;3;CO;0,28095072;81400000;02:44;0,1964903;02:08;0,39288717;0,05032445;720;1;FALSE
2015-09-04 04:00:00;Misterbianco;4;CO;NA;NA;;NA;;NA;NA;NA;1;FALSE
2015-09-04 05:00:00;Misterbianco;5;CO;0,35481971;80400000;04:41;0,25154982;04:18;0,47020526;0,05165363;720;1;FALSE
2015-09-04 06:00:00;Misterbianco;6;CO;0,41449283;80400000;05:01;0,33390083;05:11;0,60651086;0,06423533;720;1;FALSE
2015-09-04 07:00:00;Misterbianco;7;CO;0,29620714;80400000;06:59;0,22031283;06:24;0,35661843;0,03289205;720;1;FALSE
