Stazione;xtime;hour;Parm;Aver;SWrd;MinT;Min;MaxT;Max;Sigma;Samp;nhour;is_dup
Misterbianco;2015-09-08 00:00:00;0;BENZENE;NA;NA;;NA;;NA;NA;NA;2;FALSE
Misterbianco;2015-09-08 00:00:00;0;BENZENE;NA;NA;NA;NA;NA;NA;NA;NA;2;FALSE
Misterbianco;2015-09-08 01:00:00;1;BENZENE;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
Misterbianco;2015-09-08 02:00:00;2;BENZENE;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
Misterbianco;2015-09-08 03:00:00;3;BENZENE;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
Misterbianco;2015-09-08 04:00:00;4;BENZENE;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
Misterbianco;2015-09-08 05:00:00;5;BENZENE;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
Misterbianco;2015-09-08 06:00:00;6;BENZENE;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
Misterbianco;2015-09-08 07:00:00;7;BENZENE;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
Misterbianco;2015-09-08 08:00:00;8;BENZENE;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
Misterbianco;2015-09-08 09:00:00;9;BENZENE;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
Misterbianco;2015-09-08 10:00:00;10;BENZENE;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
Misterbianco;2015-09-08 11:00:00;11;BENZENE;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
Misterbianco;2015-09-08 12:00:00;12;BENZENE;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
Misterbianco;2015-09-08 13:00:00;13;BENZENE;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
Misterbianco;2015-09-08 14:00:00;14;BENZENE;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
Misterbianco;2015-09-08 15:00:00;15;BENZENE;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
Misterbianco;2015-09-08 16:00:00;16;BENZENE;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
Misterbianco;2015-09-08 17:00:00;17;BENZENE;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
Misterbianco;2015-09-08 18:00:00;18;BENZENE;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
Misterbianco;2015-09-08 19:00:00;19;BENZENE;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
Misterbianco;2015-09-08 20:00:00;20;BENZENE;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
Misterbianco;2015-09-08 21:00:00;21;BENZENE;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
Misterbianco;2015-09-08 22:00:00;22;BENZENE;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
Misterbianco;2015-09-08 23:00:00;23;BENZENE;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
Misterbianco;2015-09-08 00:00:00;0;CO;0,23210613;80400000;23:13;0,17938962;23:03;0,29082382;0,02432477;720;2;FALSE
