Stazione;xtime;hour;Parm;Aver;SWrd;MinT;Min;MaxT;Max;Sigma;Samp;nhour;is_dup
PORTO EMPEDOCLE;2015-08-27 00:00:00;0;BENZENE;0;80400000;23:45;0;23:45;0;0;4;3;FALSE
PORTO EMPEDOCLE;2015-08-27 00:00:00;0;BENZENE;0;80400000;23:45;0;23:45;0;0;4;3;TRUE
PORTO EMPEDOCLE;2015-08-27 00:00:00;0;BENZENE;NA;NA;;NA;;NA;NA;NA;3;FALSE
PORTO EMPEDOCLE;2015-08-27 01:00:00;1;BENZENE;0;80400000;00:45;0;00:45;0;0;4;2;FALSE
PORTO EMPEDOCLE;2015-08-27 01:00:00;1;BENZENE;0;80400000;00:45;0;00:45;0;0;4;2;TRUE
PORTO EMPEDOCLE;2015-08-27 02:00:00;2;BENZENE;0;80400000;01:45;0;01:45;0;0;4;2;FALSE
PORTO EMPEDOCLE;2015-08-27 02:00:00;2;BENZENE;0;80400000;01:45;0;01:45;0;0;4;2;TRUE
PORTO EMPEDOCLE;2015-08-27 03:00:00;3;BENZENE;1,68701587;80400000;02:30;0;02:45;4,18530383;1,78188367;4;2;FALSE
PORTO EMPEDOCLE;2015-08-27 03:00:00;3;BENZENE;1,68701587;80400000;02:30;0;02:45;4,18530383;1,78188367;4;2;TRUE
PORTO EMPEDOCLE;2015-08-27 04:00:00;4;BENZENE;3,15172063;80400000;03:45;2,42922146;03:30;4,13283782;0,67679519;4;2;FALSE
PORTO EMPEDOCLE;2015-08-27 04:00:00;4;BENZENE;3,15172063;80400000;03:45;2,42922146;03:30;4,13283782;0,67679519;4;2;TRUE
PORTO EMPEDOCLE;2015-08-27 05:00:00;5;BENZENE;0,72620512;80400000;04:45;0;04:15;2,9048154;1,25782357;4;2;FALSE
PORTO EMPEDOCLE;2015-08-27 05:00:00;5;BENZENE;0,72620512;80400000;04:45;0;04:15;2,9048154;1,25782357;4;2;TRUE
PORTO EMPEDOCLE;2015-08-27 06:00:00;6;BENZENE;0;80400000;05:45;0;05:45;0;0;4;2;FALSE
PORTO EMPEDOCLE;2015-08-27 06:00:00;6;BENZENE;0;80400000;05:45;0;05:45;0;0;4;2;TRUE
PORTO EMPEDOCLE;2015-08-27 07:00:00;7;BENZENE;1,18407276;80400000;06:45;0;06:30;2,4080526;1,18440634;4;2;FALSE
PORTO EMPEDOCLE;2015-08-27 07:00:00;7;BENZENE;1,18407276;80400000;06:45;0;06:30;2,4080526;1,18440634;4;2;TRUE
PORTO EMPEDOCLE;2015-08-27 08:00:00;8;BENZENE;0,74677293;80400000;07:45;0;07:00;1,51653515;0,74695192;4;2;FALSE
PORTO EMPEDOCLE;2015-08-27 08:00:00;8;BENZENE;0,74677293;80400000;07:45;0;07:00;1,51653515;0,74695192;4;2;TRUE
PORTO EMPEDOCLE;2015-08-27 09:00:00;9;BENZENE;0;80400000;08:45;0;08:45;0;0;4;2;FALSE
PORTO EMPEDOCLE;2015-08-27 09:00:00;9;BENZENE;0;80400000;08:45;0;08:45;0;0;4;2;TRUE
PORTO EMPEDOCLE;2015-08-27 10:00:00;10;BENZENE;0,66598855;80400000;09:45;0;09:00;2,66395726;1,15352818;4;2;FALSE
PORTO EMPEDOCLE;2015-08-27 10:00:00;10;BENZENE;0,66598855;80400000;09:45;0;09:00;2,66395726;1,15352818;4;2;TRUE
PORTO EMPEDOCLE;2015-08-27 11:00:00;11;BENZENE;0;80400000;10:45;0;10:45;0;0;4;2;FALSE
PORTO EMPEDOCLE;2015-08-27 11:00:00;11;BENZENE;0;80400000;10:45;0;10:45;0;0;4;2;TRUE
PORTO EMPEDOCLE;2015-08-27 12:00:00;12;BENZENE;0,80050409;80400000;11:45;0;11:30;3,20202247;1,38651576;4;2;FALSE
