xtime;Stazione;hour;Parm;Aver;SWrd;MinT;Min;MaxT;Max;Sigma;Samp;nhour;is_dup
2015-09-01 00:00:00;PORTO EMPEDOCLE;0;BENZENE;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
2015-09-01 01:00:00;PORTO EMPEDOCLE;1;BENZENE;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
2015-09-01 02:00:00;PORTO EMPEDOCLE;2;BENZENE;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
2015-09-01 03:00:00;PORTO EMPEDOCLE;3;BENZENE;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
2015-09-01 04:00:00;PORTO EMPEDOCLE;4;BENZENE;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
2015-09-01 05:00:00;PORTO EMPEDOCLE;5;BENZENE;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
2015-09-01 06:00:00;PORTO EMPEDOCLE;6;BENZENE;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
2015-09-01 07:00:00;PORTO EMPEDOCLE;7;BENZENE;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
2015-09-01 08:00:00;PORTO EMPEDOCLE;8;BENZENE;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
2015-09-01 09:00:00;PORTO EMPEDOCLE;9;BENZENE;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
2015-09-01 10:00:00;PORTO EMPEDOCLE;10;BENZENE;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
2015-09-01 11:00:00;PORTO EMPEDOCLE;11;BENZENE;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
2015-09-01 12:00:00;PORTO EMPEDOCLE;12;BENZENE;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
2015-09-01 13:00:00;PORTO EMPEDOCLE;13;BENZENE;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
2015-09-01 14:00:00;PORTO EMPEDOCLE;14;BENZENE;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
2015-09-01 15:00:00;PORTO EMPEDOCLE;15;BENZENE;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
2015-09-01 16:00:00;PORTO EMPEDOCLE;16;BENZENE;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
2015-09-01 17:00:00;PORTO EMPEDOCLE;17;BENZENE;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
2015-09-01 18:00:00;PORTO EMPEDOCLE;18;BENZENE;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
2015-09-01 19:00:00;PORTO EMPEDOCLE;19;BENZENE;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
2015-09-01 20:00:00;PORTO EMPEDOCLE;20;BENZENE;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
2015-09-01 21:00:00;PORTO EMPEDOCLE;21;BENZENE;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
2015-09-01 22:00:00;PORTO EMPEDOCLE;22;BENZENE;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
2015-09-01 23:00:00;PORTO EMPEDOCLE;23;BENZENE;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
2015-09-01 00:00:00;PORTO EMPEDOCLE;0;CO;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
2015-09-01 01:00:00;PORTO EMPEDOCLE;1;CO;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
2015-09-01 02:00:00;PORTO EMPEDOCLE;2;CO;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
2015-09-01 03:00:00;PORTO EMPEDOCLE;3;CO;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
2015-09-01 04:00:00;PORTO EMPEDOCLE;4;CO;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
2015-09-01 05:00:00;PORTO EMPEDOCLE;5;CO;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
2015-09-01 06:00:00;PORTO EMPEDOCLE;6;CO;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
2015-09-01 07:00:00;PORTO EMPEDOCLE;7;CO;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
2015-09-01 08:00:00;PORTO EMPEDOCLE;8;CO;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
2015-09-01 09:00:00;PORTO EMPEDOCLE;9;CO;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
2015-09-01 10:00:00;PORTO EMPEDOCLE;10;CO;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
2015-09-01 11:00:00;PORTO EMPEDOCLE;11;CO;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
2015-09-01 12:00:00;PORTO EMPEDOCLE;12;CO;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
2015-09-01 13:00:00;PORTO EMPEDOCLE;13;CO;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
2015-09-01 14:00:00;PORTO EMPEDOCLE;14;CO;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
2015-09-01 15:00:00;PORTO EMPEDOCLE;15;CO;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
2015-09-01 16:00:00;PORTO EMPEDOCLE;16;CO;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
