xtime;Stazione;hour;Parm;Aver;SWrd;MinT;Min;MaxT;Max;Sigma;Samp;nhour;is_dup
2015-09-03 00:00:00;Parcheggio AGIP GELA;0;BENZENE;NA;NA;;NA;;NA;NA;NA;1;FALSE
2015-09-03 01:00:00;Parcheggio AGIP GELA;1;BENZENE;NA;NA;;NA;;NA;NA;NA;1;FALSE
2015-09-03 02:00:00;Parcheggio AGIP GELA;2;BENZENE;NA;NA;;NA;;NA;NA;NA;1;FALSE
2015-09-03 03:00:00;Parcheggio AGIP GELA;3;BENZENE;NA;NA;;NA;;NA;NA;NA;1;FALSE
2015-09-03 04:00:00;Parcheggio AGIP GELA;4;BENZENE;NA;NA;;NA;;NA;NA;NA;1;FALSE
2015-09-03 05:00:00;Parcheggio AGIP GELA;5;BENZENE;NA;NA;;NA;;NA;NA;NA;1;FALSE
2015-09-03 06:00:00;Parcheggio AGIP GELA;6;BENZENE;NA;NA;;NA;;NA;NA;NA;1;FALSE
2015-09-03 07:00:00;Parcheggio AGIP GELA;7;BENZENE;NA;NA;;NA;;NA;NA;NA;1;FALSE
2015-09-03 08:00:00;Parcheggio AGIP GELA;8;BENZENE;NA;NA;;NA;;NA;NA;NA;1;FALSE
2015-09-03 09:00:00;Parcheggio AGIP GELA;9;BENZENE;NA;NA;;NA;;NA;NA;NA;1;FALSE
2015-09-03 10:00:00;Parcheggio AGIP GELA;10;BENZENE;NA;NA;;NA;;NA;NA;NA;1;FALSE
2015-09-03 11:00:00;Parcheggio AGIP GELA;11;BENZENE;NA;NA;;NA;;NA;NA;NA;1;FALSE
2015-09-03 12:00:00;Parcheggio AGIP GELA;12;BENZENE;NA;NA;;NA;;NA;NA;NA;1;FALSE
2015-09-03 13:00:00;Parcheggio AGIP GELA;13;BENZENE;NA;NA;;NA;;NA;NA;NA;1;FALSE
2015-09-03 14:00:00;Parcheggio AGIP GELA;14;BENZENE;NA;NA;;NA;;NA;NA;NA;1;FALSE
2015-09-03 15:00:00;Parcheggio AGIP GELA;15;BENZENE;NA;NA;;NA;;NA;NA;NA;1;FALSE
2015-09-03 16:00:00;Parcheggio AGIP GELA;16;BENZENE;NA;NA;;NA;;NA;NA;NA;1;FALSE
2015-09-03 17:00:00;Parcheggio AGIP GELA;17;BENZENE;0;80400000;16:46;0;16:46;0;0;4;1;FALSE
2015-09-03 18:00:00;Parcheggio AGIP GELA;18;BENZENE;0;80400000;17:46;0;17:46;0;0;4;1;FALSE
2015-09-03 19:00:00;Parcheggio AGIP GELA;19;BENZENE;0;80400000;18:46;0;18:46;0;0;4;1;FALSE
2015-09-03 20:00:00;Parcheggio AGIP GELA;20;BENZENE;0;80400000;19:46;0;19:46;0;0;4;1;FALSE
2015-09-03 21:00:00;Parcheggio AGIP GELA;21;BENZENE;0;80400000;20:46;0;20:46;0;0;4;1;FALSE
2015-09-03 22:00:00;Parcheggio AGIP GELA;22;BENZENE;0;80400000;21:46;0;21:46;0;0;4;1;FALSE
2015-09-03 23:00:00;Parcheggio AGIP GELA;23;BENZENE;0;80400000;22:46;0;22:46;0;0;4;1;FALSE
