Stazione;xtime;hour;Parm;Aver;SWrd;MinT;Min;MaxT;Max;Sigma;Samp;nhour;is_dup
Parcheggio AGIP GELA;2015-09-11 00:00:00;0;BENZENE;0,45566482;80400000;23:16;0,27148001;23:46;0,63560669;0,13479827;4;2;FALSE
Parcheggio AGIP GELA;2015-09-11 00:00:00;0;BENZENE;NA;NA;;NA;;NA;NA;NA;2;FALSE
Parcheggio AGIP GELA;2015-09-11 01:00:00;1;BENZENE;0,05505123;80400000;00:31;0;00:46;0,22020898;0,09535392;4;2;FALSE
Parcheggio AGIP GELA;2015-09-11 01:00:00;1;BENZENE;0,05505123;80400000;00:31;0;00:46;0,22020898;0,09535392;4;2;TRUE
Parcheggio AGIP GELA;2015-09-11 02:00:00;2;BENZENE;0,08262718;80400000;01:31;0;01:46;0,33051585;0,14311631;4;2;FALSE
Parcheggio AGIP GELA;2015-09-11 02:00:00;2;BENZENE;0,08262718;80400000;01:31;0;01:46;0,33051585;0,14311631;4;2;TRUE
Parcheggio AGIP GELA;2015-09-11 03:00:00;3;BENZENE;0,0772025;80400000;02:46;0;02:31;0,3088151;0,13372025;4;2;FALSE
Parcheggio AGIP GELA;2015-09-11 03:00:00;3;BENZENE;0,0772025;80400000;02:46;0;02:31;0,3088151;0,13372025;4;2;TRUE
Parcheggio AGIP GELA;2015-09-11 04:00:00;4;BENZENE;0,14799893;80400000;03:31;0;03:46;0,59199367;0,25634299;4;2;FALSE
Parcheggio AGIP GELA;2015-09-11 04:00:00;4;BENZENE;0,14799893;80400000;03:31;0;03:46;0,59199367;0,25634299;4;2;TRUE
Parcheggio AGIP GELA;2015-09-11 05:00:00;5;BENZENE;0,20322813;80400000;04:46;0;04:01;0,49858323;0,21341237;4;2;FALSE
Parcheggio AGIP GELA;2015-09-11 05:00:00;5;BENZENE;0,20322813;80400000;04:46;0;04:01;0,49858323;0,21341237;4;2;TRUE
Parcheggio AGIP GELA;2015-09-11 06:00:00;6;BENZENE;0,11221171;80400000;05:46;0;05:16;0,24098425;0,11281784;4;2;FALSE
Parcheggio AGIP GELA;2015-09-11 06:00:00;6;BENZENE;0,11221171;80400000;05:46;0;05:16;0,24098425;0,11281784;4;2;TRUE
Parcheggio AGIP GELA;2015-09-11 07:00:00;7;BENZENE;0,08185528;80400000;06:31;0;06:46;0,32742417;0,14177895;4;2;FALSE
Parcheggio AGIP GELA;2015-09-11 07:00:00;7;BENZENE;0,08185528;80400000;06:31;0;06:46;0,32742417;0,14177895;4;2;TRUE
Parcheggio AGIP GELA;2015-09-11 08:00:00;8;BENZENE;0,65463985;80400000;07:01;0,35331902;07:16;0,97468365;0,24703235;4;2;FALSE
Parcheggio AGIP GELA;2015-09-11 08:00:00;8;BENZENE;0,65463985;80400000;07:01;0,35331902;07:16;0,97468365;0,24703235;4;2;TRUE
Parcheggio AGIP GELA;2015-09-11 09:00:00;9;BENZENE;0,43204397;80400000;08:46;0;08:01;1,728182;0,74832386;4;2;FALSE
Parcheggio AGIP GELA;2015-09-11 09:00:00;9;BENZENE;0,43204397;80400000;08:46;0;08:01;1,728182;0,74832386;4;2;TRUE
Parcheggio AGIP GELA;2015-09-11 10:00:00;10;BENZENE;0,18428854;80400000;09:46;0;09:01;0,39421564;0,18517739;4;2;FALSE
Parcheggio AGIP GELA;2015-09-11 10:00:00;10;BENZENE;0,18428854;80400000;09:46;0;09:01;0,39421564;0,18517739;4;2;TRUE
Parcheggio AGIP GELA;2015-09-11 11:00:00;11;BENZENE;0;80400000;10:46;0;10:46;0;0;4;2;FALSE
Parcheggio AGIP GELA;2015-09-11 11:00:00;11;BENZENE;0;80400000;10:46;0;10:46;0;0;4;2;TRUE
Parcheggio AGIP GELA;2015-09-11 12:00:00;12;BENZENE;0;80400000;11:46;0;11:46;0;0;4;2;FALSE
Parcheggio AGIP GELA;2015-09-11 12:00:00;12;BENZENE;0;80400000;11:46;0;11:46;0;0;4;2;TRUE
Parcheggio AGIP GELA;2015-09-11 13:00:00;13;BENZENE;0;80400000;12:46;0;12:46;0;0;4;2;FALSE
Parcheggio AGIP GELA;2015-09-11 13:00:00;13;BENZENE;0;80400000;12:46;0;12:46;0;0;4;2;TRUE
Parcheggio AGIP GELA;2015-09-11 14:00:00;14;BENZENE;0;80400000;13:46;0;13:46;0;0;3;2;FALSE
Parcheggio AGIP GELA;2015-09-11 14:00:00;14;BENZENE;0;80400000;13:46;0;13:46;0;0;3;2;TRUE
Parcheggio AGIP GELA;2015-09-11 15:00:00;15;BENZENE;0;80400000;14:46;0;14:46;0;0;4;2;FALSE
Parcheggio AGIP GELA;2015-09-11 15:00:00;15;BENZENE;0;80400000;14:46;0;14:46;0;0;4;2;TRUE
Parcheggio AGIP GELA;2015-09-11 16:00:00;16;BENZENE;0;80400000;15:46;0;15:46;0;0;4;2;FALSE
Parcheggio AGIP GELA;2015-09-11 16:00:00;16;BENZENE;0;80400000;15:46;0;15:46;0;0;4;2;TRUE
Parcheggio AGIP GELA;2015-09-11 17:00:00;17;BENZENE;0;80400000;16:46;0;16:46;0;0;4;2;FALSE
Parcheggio AGIP GELA;2015-09-11 17:00:00;17;BENZENE;0;80400000;16:46;0;16:46;0;0;4;2;TRUE
Parcheggio AGIP GELA;2015-09-11 18:00:00;18;BENZENE;0;80400000;17:46;0;17:46;0;0;4;2;FALSE
Parcheggio AGIP GELA;2015-09-11 18:00:00;18;BENZENE;0;80400000;17:46;0;17:46;0;0;4;2;TRUE
Parcheggio AGIP GELA;2015-09-11 19:00:00;19;BENZENE;0;80400000;18:46;0;18:46;0;0;4;2;FALSE
Parcheggio AGIP GELA;2015-09-11 19:00:00;19;BENZENE;0;80400000;18:46;0;18:46;0;0;4;2;TRUE
Parcheggio AGIP GELA;2015-09-11 20:00:00;20;BENZENE;0;80400000;19:46;0;19:46;0;0;4;2;FALSE
Parcheggio AGIP GELA;2015-09-11 20:00:00;20;BENZENE;0;80400000;19:46;0;19:46;0;0;4;2;TRUE
