xtime;Stazione;hour;Parm;Aver;SWrd;MinT;Min;MaxT;Max;Sigma;Samp;nhour;is_dup
2015-09-06 00:00:00;Partinico;0;BENZENE;0,85125646;80400000;23:06;0,27883496;23:21;1,83225974;0,59244216;4;1;FALSE
2015-09-06 01:00:00;Partinico;1;BENZENE;NA;NA;;NA;;NA;NA;NA;1;FALSE
2015-09-06 02:00:00;Partinico;2;BENZENE;1,0634169;80400000;01:21;0,50435471;01:51;2,15648545;0,67383674;4;1;FALSE
2015-09-06 03:00:00;Partinico;3;BENZENE;2,96290339;80400000;02:50;0;02:20;10,80241128;4,53588204;4;1;FALSE
2015-09-06 04:00:00;Partinico;4;BENZENE;0,90205154;80400000;03:36;0;03:05;3,02311589;1,23114664;4;1;FALSE
2015-09-06 05:00:00;Partinico;5;BENZENE;0,73015312;80400000;04:21;0,32145133;04:06;1,43156886;0,44508191;4;1;FALSE
2015-09-06 06:00:00;Partinico;6;BENZENE;0,30376976;80400000;05:21;0;05:51;0,74757128;0,27881564;4;1;FALSE
2015-09-06 07:00:00;Partinico;7;BENZENE;1,12687668;80400000;06:06;0,68569089;06:21;1,60556638;0,39396953;4;1;FALSE
2015-09-06 08:00:00;Partinico;8;BENZENE;1,66348554;80400000;07:20;1,08759607;07:50;2,76616678;0,65745287;4;1;FALSE
2015-09-06 09:00:00;Partinico;9;BENZENE;1,3117205;80400000;08:36;0,76953441;08:21;2,29547782;0,58780871;4;1;FALSE
2015-09-06 10:00:00;Partinico;10;BENZENE;1,40244809;80400000;09:06;0,75416042;09:36;2,68999856;0,7737753;4;1;FALSE
2015-09-06 11:00:00;Partinico;11;BENZENE;1,75702615;80400000;10:36;0,77361563;10:51;3,4951839;1,09054436;4;1;FALSE
2015-09-06 12:00:00;Partinico;12;BENZENE;1,31609055;80400000;11:50;0,664759;11:21;2,91176151;0,92457606;4;1;FALSE
2015-09-06 13:00:00;Partinico;13;BENZENE;1,41409477;80400000;12:51;0,54795045;12:05;2,61170583;0,86908752;4;1;FALSE
2015-09-06 14:00:00;Partinico;14;BENZENE;1,22614402;80400000;13:36;0,19956591;13:51;3,19282574;1,16640747;4;1;FALSE
2015-09-06 15:00:00;Partinico;15;BENZENE;0,16180572;80400000;14:21;0;14:06;0,26514817;0,09859205;4;1;FALSE
2015-09-06 16:00:00;Partinico;16;BENZENE;0,71215425;80400000;15:36;0;15:06;2,30535594;0,92649717;4;1;FALSE
2015-09-06 17:00:00;Partinico;17;BENZENE;1,66376827;80400000;16:06;0,57482264;16:50;2,82483852;0,8171473;4;1;FALSE
2015-09-06 18:00:00;Partinico;18;BENZENE;0,99816211;80400000;17:51;0,4727911;17:20;1,85488799;0,56222506;4;1;FALSE
