Stazione;xtime;hour;Parm;Aver;SWrd;MinT;Min;MaxT;Max;Sigma;Samp;nhour;is_dup
Partinico;2015-09-11 00:00:00;0;Benzene;1,01031831;80400000;23:21;0,63793562;23:51;1,25140935;0,24410237;4;2;FALSE
Partinico;2015-09-11 00:00:00;0;Benzene;NA;NA;;NA;;NA;NA;NA;2;FALSE
Partinico;2015-09-11 01:00:00;1;Benzene;1,07345774;80400000;00:36;0,04209058;00:06;2,64578347;0,97630271;4;2;FALSE
Partinico;2015-09-11 01:00:00;1;Benzene;1,07345774;80400000;00:36;0,04209058;00:06;2,64578347;0,97630271;4;2;TRUE
Partinico;2015-09-11 02:00:00;2;Benzene;0,94766908;80400000;01:35;0,47873444;01:20;1,6302032;0,48362418;4;2;FALSE
Partinico;2015-09-11 02:00:00;2;Benzene;0,94766908;80400000;01:35;0,47873444;01:20;1,6302032;0,48362418;4;2;TRUE
Partinico;2015-09-11 03:00:00;3;Benzene;0,74783671;80400000;02:06;0,29267531;02:36;1,65665944;0,53946663;4;2;FALSE
Partinico;2015-09-11 03:00:00;3;Benzene;0,74783671;80400000;02:06;0,29267531;02:36;1,65665944;0,53946663;4;2;TRUE
Partinico;2015-09-11 04:00:00;4;Benzene;1,07810034;80400000;03:21;0,51643972;03:06;1,81994184;0,48244344;4;2;FALSE
Partinico;2015-09-11 04:00:00;4;Benzene;1,07810034;80400000;03:21;0,51643972;03:06;1,81994184;0,48244344;4;2;TRUE
Partinico;2015-09-11 05:00:00;5;Benzene;1,21024424;80400000;04:06;0,77091041;04:51;1,65993316;0,32229442;4;2;FALSE
Partinico;2015-09-11 05:00:00;5;Benzene;1,21024424;80400000;04:06;0,77091041;04:51;1,65993316;0,32229442;4;2;TRUE
Partinico;2015-09-11 06:00:00;6;Benzene;2,14579474;80400000;05:21;1,52055433;05:51;3,48503933;0,79716223;4;2;FALSE
Partinico;2015-09-11 06:00:00;6;Benzene;2,14579474;80400000;05:21;1,52055433;05:51;3,48503933;0,79716223;4;2;TRUE
Partinico;2015-09-11 07:00:00;7;Benzene;2,91855812;80400000;06:51;1,5801251;06:06;4,14034531;0,90712841;4;2;FALSE
Partinico;2015-09-11 07:00:00;7;Benzene;2,91855812;80400000;06:51;1,5801251;06:06;4,14034531;0,90712841;4;2;TRUE
Partinico;2015-09-11 08:00:00;8;Benzene;1,24194921;80400000;07:21;0,26213684;07:51;1,83652606;0,59281133;4;2;FALSE
Partinico;2015-09-11 08:00:00;8;Benzene;1,24194921;80400000;07:21;0,26213684;07:51;1,83652606;0,59281133;4;2;TRUE
Partinico;2015-09-11 09:00:00;9;Benzene;1,01268284;80400000;08:35;0,65665148;08:05;1,22846684;0,23093121;4;2;FALSE
Partinico;2015-09-11 09:00:00;9;Benzene;1,01268284;80400000;08:35;0,65665148;08:05;1,22846684;0,23093121;4;2;TRUE
