xtime;Stazione;hour;Parm;Aver;SWrd;MinT;Min;MaxT;Max;Sigma;Samp;nhour;is_dup
2015-09-02 00:00:00;Termica Milazzo;0;BENZENE;0,19303169;80400000;23:42;0,09707062;23:12;0,38358189;0,11554951;4;1;FALSE
2015-09-02 01:00:00;Termica Milazzo;1;BENZENE;0,10717655;80400000;00:57;0,0853619;00:12;0,14221423;0,02364118;4;1;FALSE
2015-09-02 02:00:00;Termica Milazzo;2;BENZENE;0,08575141;80400000;01:57;0,04232449;01:42;0,10460354;0,02547077;4;1;FALSE
2015-09-02 03:00:00;Termica Milazzo;3;BENZENE;0,06431711;80400000;02:12;0,05047066;02:42;0,08012231;0,01053104;4;1;FALSE
2015-09-02 04:00:00;Termica Milazzo;4;BENZENE;0,04832886;80400000;03:12;0,02122072;03:27;0,07149002;0,01811277;4;1;FALSE
2015-09-02 05:00:00;Termica Milazzo;5;BENZENE;0,04276587;80400000;04:57;0,02390357;04:42;0,06425203;0,01524178;4;1;FALSE
2015-09-02 06:00:00;Termica Milazzo;6;BENZENE;0,06794374;80400000;05:27;0,05483054;05:42;0,08117389;0,01063782;4;1;FALSE
2015-09-02 07:00:00;Termica Milazzo;7;BENZENE;0,31561476;80400000;06:12;0,16198776;06:42;0,59308796;0,16760669;4;1;FALSE
2015-09-02 08:00:00;Termica Milazzo;8;BENZENE;0,41805107;80400000;07:12;0,24571432;07:57;0,78535384;0,21728205;4;1;FALSE
2015-09-02 09:00:00;Termica Milazzo;9;BENZENE;0,31980684;80400000;08:42;0,06247126;08:12;0,52115962;0,18425294;4;1;FALSE
2015-09-02 10:00:00;Termica Milazzo;10;BENZENE;0,16738905;80400000;09:27;0,10565816;09:12;0,28632923;0,07271957;4;1;FALSE
2015-09-02 11:00:00;Termica Milazzo;11;BENZENE;0,0957536;80400000;10:57;0,06042404;10:12;0,1319944;0,02551958;4;1;FALSE
2015-09-02 12:00:00;Termica Milazzo;12;BENZENE;0,05819783;80400000;11:12;0;11:27;0,10165118;0,03878126;4;1;FALSE
2015-09-02 13:00:00;Termica Milazzo;13;BENZENE;0,05323487;80400000;12:42;0,0418404;12:12;0,06322384;0,00874315;4;1;FALSE
2015-09-02 14:00:00;Termica Milazzo;14;BENZENE;0,03347354;80400000;13:57;0;13:27;0,05360099;0,02009185;4;1;FALSE
2015-09-02 15:00:00;Termica Milazzo;15;BENZENE;0,03103477;80400000;14:27;0,02451377;14:57;0,04520158;0,00832516;4;1;FALSE
2015-09-02 16:00:00;Termica Milazzo;16;BENZENE;0,04757018;80400000;15:27;0,03475191;15:42;0,06314248;0,01014152;4;1;FALSE
2015-09-02 17:00:00;Termica Milazzo;17;BENZENE;0,07210327;80400000;16:27;0,04596128;16:57;0,09708384;0,02188584;4;1;FALSE
2015-09-02 18:00:00;Termica Milazzo;18;BENZENE;0,61738714;80400000;17:12;0,25396117;17:42;1,04385999;0,29854035;4;1;FALSE
2015-09-02 19:00:00;Termica Milazzo;19;BENZENE;0,54113146;80400000;18:27;0,13627393;18:57;0,80824753;0,25222617;4;1;FALSE
2015-09-02 20:00:00;Termica Milazzo;20;BENZENE;0,76437618;80400000;19:27;0,53960596;19:12;0,8874881;0,1332148;4;1;FALSE
2015-09-02 21:00:00;Termica Milazzo;21;BENZENE;0,70024721;80400000;20:57;0,2015572;20:12;1,11221256;0,32587629;4;1;FALSE
2015-09-02 22:00:00;Termica Milazzo;22;BENZENE;0,08446999;80400000;21:57;0,04273332;21:12;0,12541542;0,02923977;4;1;FALSE
2015-09-02 23:00:00;Termica Milazzo;23;BENZENE;0,09416708;80400000;22:27;0,05017878;22:12;0,21429716;0,06952415;4;1;FALSE
2015-09-02 00:00:00;Termica Milazzo;0;CO;0,25879376;80400000;23:12;0,16009776;23:54;0,45392568;0,04274062;720;1;FALSE
2015-09-02 01:00:00;Termica Milazzo;1;CO;0,25811048;80400000;00:53;0,18835051;00:10;0,32961427;0,0244731;720;1;FALSE
2015-09-02 02:00:00;Termica Milazzo;2;CO;0,25993957;80400000;01:23;0,18835051;01:39;0,34091467;0,0239183;720;1;FALSE
