Stazione;xtime;hour;Parm;Aver;SWrd;MinT;Min;MaxT;Max;Sigma;Samp;nhour;is_dup
Termica Milazzo;2015-09-13 00:00:00;0;BENZENE;0,1277708;80400000;23:12;0,08851561;23:27;0,19484805;0,04131156;4;2;FALSE
Termica Milazzo;2015-09-13 00:00:00;0;BENZENE;0,1277708;80400000;23:12;0,08851561;23:27;0,19484805;0,04131156;4;2;TRUE
Termica Milazzo;2015-09-13 01:00:00;1;BENZENE;0,0826821;80400000;00:57;0,03898873;00:12;0,13695227;0,03503768;4;1;FALSE
Termica Milazzo;2015-09-13 02:00:00;2;BENZENE;0,06980586;80400000;01:42;0,0462074;01:57;0,08573208;0,0157635;4;1;FALSE
Termica Milazzo;2015-09-13 03:00:00;3;BENZENE;0,11217612;80400000;02:42;0,03468072;02:57;0,22806937;0,07292399;4;1;FALSE
Termica Milazzo;2015-09-13 04:00:00;4;BENZENE;NA;NA;;NA;;NA;NA;NA;1;FALSE
Termica Milazzo;2015-09-13 05:00:00;5;BENZENE;0,03082324;80400000;04:57;0;04:12;0,05387049;0,02084443;4;1;FALSE
Termica Milazzo;2015-09-13 06:00:00;6;BENZENE;0,0483614;80400000;05:42;0,0249582;05:12;0,062695;0,01413528;4;1;FALSE
Termica Milazzo;2015-09-13 07:00:00;7;BENZENE;0,06165054;80400000;06:12;0,02935672;06:57;0,0803786;0,019981;4;1;FALSE
Termica Milazzo;2015-09-13 08:00:00;8;BENZENE;0,09159712;80400000;07:27;0,05562583;07:42;0,11470336;0,02221942;4;1;FALSE
Termica Milazzo;2015-09-13 09:00:00;9;BENZENE;0,33357498;80400000;08:27;0,11554646;08:57;0,67618805;0,22520753;4;1;FALSE
Termica Milazzo;2015-09-13 10:00:00;10;BENZENE;0,46853495;80400000;09:57;0,30723163;09:42;0,57964627;0,11383383;4;1;FALSE
Termica Milazzo;2015-09-13 11:00:00;11;BENZENE;0,22401764;80400000;10:42;0,08312043;10:27;0,32435791;0,09644821;4;1;FALSE
Termica Milazzo;2015-09-13 12:00:00;12;BENZENE;0,17809196;80400000;11:57;0,08519307;11:27;0,31212442;0,08511883;4;1;FALSE
Termica Milazzo;2015-09-13 13:00:00;13;BENZENE;0,07610008;80400000;12:27;0,05773712;12:42;0,09234665;0,01384035;4;1;FALSE
Termica Milazzo;2015-09-13 14:00:00;14;BENZENE;0,0612773;80400000;13:12;0,04777764;13:57;0,07153171;0,00953844;4;1;FALSE
Termica Milazzo;2015-09-13 15:00:00;15;BENZENE;0,18914471;80400000;14:12;0,10013992;14:42;0,33961901;0,0907286;4;1;FALSE
Termica Milazzo;2015-09-13 16:00:00;16;BENZENE;0,12542864;80400000;15:12;0,10099929;15:42;0,1486732;0,02291098;4;1;FALSE
Termica Milazzo;2015-09-13 17:00:00;17;BENZENE;0,10781827;80400000;16:12;0,04917602;16:57;0,16744397;0,04215262;4;1;FALSE
Termica Milazzo;2015-09-13 18:00:00;18;BENZENE;0,37134738;80400000;17:42;0,16492384;17:12;0,55961951;0,14598425;4;1;FALSE
Termica Milazzo;2015-09-13 19:00:00;19;BENZENE;0,35852301;80400000;18:27;0,20187857;18:12;0,43878872;0,09205477;4;1;FALSE
Termica Milazzo;2015-09-13 20:00:00;20;BENZENE;0,30604073;80400000;19:42;0,06573481;19:57;0,64601671;0,21233841;4;1;FALSE
Termica Milazzo;2015-09-13 21:00:00;21;BENZENE;0,21730544;80400000;20:27;0,1033872;20:42;0,45321283;0,14014057;4;1;FALSE
Termica Milazzo;2015-09-13 22:00:00;22;BENZENE;0,10645956;80400000;21:27;0,06471883;21:12;0,18207961;0,04592874;4;1;FALSE
Termica Milazzo;2015-09-13 23:00:00;23;BENZENE;0,15705938;80400000;22:27;0,04039727;22:42;0,29682772;0,10297227;4;1;FALSE
Termica Milazzo;2015-09-13 00:00:00;0;CO;0,24128194;80400000;23:25;0,1439525;23:09;0,51320752;0,05539006;720;2;FALSE
Termica Milazzo;2015-09-13 00:00:00;0;CO;0,24128194;80400000;23:25;0,1439525;23:09;0,51320752;0,05539006;720;2;TRUE
Termica Milazzo;2015-09-13 01:00:00;1;CO;0,21138464;80400000;00:52;0,1439525;00:03;0,28819232;0,02405963;720;1;FALSE
Termica Milazzo;2015-09-13 02:00:00;2;CO;0,20653627;80400000;01:50;0,13818258;01:25;0,27665365;0,02352235;720;1;FALSE
Termica Milazzo;2015-09-13 03:00:00;3;CO;0,22322816;80400000;02:46;0,13241266;02:38;0,6747571;0,08119702;720;1;FALSE
Termica Milazzo;2015-09-13 04:00:00;4;CO;NA;NA;;NA;;NA;NA;NA;1;FALSE
Termica Milazzo;2015-09-13 05:00:00;5;CO;0,20781874;80400000;04:16;0,12664274;04:55;0,28819232;0,0265101;720;1;FALSE
Termica Milazzo;2015-09-13 06:00:00;6;CO;0,20636808;80400000;05:20;0,13241266;05:26;0,2824224;0,02398371;720;1;FALSE
Termica Milazzo;2015-09-13 07:00:00;7;CO;0,22251451;80400000;06:08;0,1439525;06:51;0,33434934;0,02999541;720;1;FALSE
Termica Milazzo;2015-09-13 08:00:00;8;CO;0,23177792;80400000;07:57;0,15549117;07:35;0,31704075;0,02690488;720;1;FALSE
Termica Milazzo;2015-09-13 09:00:00;9;CO;0,27156467;80400000;08:04;0,16703101;08:42;0,36319778;0,03746827;720;1;FALSE
Termica Milazzo;2015-09-13 10:00:00;10;CO;0,29126182;80400000;09:40;0,21318686;09:27;0,38627629;0,02750523;720;1;FALSE
Termica Milazzo;2015-09-13 11:00:00;11;CO;0,27174104;80400000;10:55;0,19587827;10:18;0,39781496;0,03280678;720;1;FALSE
Termica Milazzo;2015-09-13 12:00:00;12;CO;0,26014514;80400000;11:49;0,16703101;11:24;0,33434934;0,02834269;720;1;FALSE
Termica Milazzo;2015-09-13 13:00:00;13;CO;0,25064229;80400000;12:54;0,16126109;12:29;0,34588802;0,0282656;720;1;FALSE
Termica Milazzo;2015-09-13 14:00:00;14;CO;0,25185234;80400000;13:39;0,16126109;13:54;0,34588802;0,02659536;720;1;FALSE
Termica Milazzo;2015-09-13 15:00:00;15;CO;0,25180328;80400000;14:44;0,17279976;14:57;0,34011926;0,0265171;720;1;FALSE
Termica Milazzo;2015-09-13 16:00:00;16;CO;0,26156426;80400000;15:01;0,17856968;15:07;0,42089347;0,04180739;720;1;FALSE
Termica Milazzo;2015-09-13 17:00:00;17;CO;0,25236509;80400000;16:13;0,16126109;16:59;0,35742786;0,03290139;720;1;FALSE
Termica Milazzo;2015-09-13 18:00:00;18;CO;0,27059523;80400000;17:22;0,1843396;18:00;0,35165794;0,02927942;720;1;FALSE
Termica Milazzo;2015-09-13 19:00:00;19;CO;0,31870749;80400000;18:38;0,19587827;18:48;0,43243331;0,03623253;720;1;FALSE
Termica Milazzo;2015-09-13 20:00:00;20;CO;0,31865142;80400000;19:56;0,17279976;19:42;0,69783562;0,0935241;720;1;FALSE
Termica Milazzo;2015-09-13 21:00:00;21;CO;0,26668477;80400000;20:39;0,16703101;20:24;0,64013875;0,0762085;720;1;FALSE
Termica Milazzo;2015-09-13 22:00:00;22;CO;0,2309685;80400000;21:40;0,15549117;21:58;0,49012901;0,0491985;720;1;FALSE
Termica Milazzo;2015-09-13 23:00:00;23;CO;0,27035462;80400000;22:20;0,15549117;22:31;0,72668288;0,08568915;720;1;FALSE
Termica Milazzo;2015-09-13 00:00:00;0;NO2;14,12758254;80400000;23:40;10,25201016;23:18;32,62002016;3,12138015;720;2;FALSE
Termica Milazzo;2015-09-13 00:00:00;0;NO2;14,12758254;80400000;23:40;10,25201016;23:18;32,62002016;3,12138015;720;2;TRUE
Termica Milazzo;2015-09-13 01:00:00;1;NO2;9,88309358;80400000;00:22;5,59200537;00:02;14,91201495;1,57500426;720;1;FALSE
Termica Milazzo;2015-09-13 02:00:00;2;NO2;8,3129305;80400000;01:36;3,72800422;01:50;13,0480138;1,62445241;720;1;FALSE
Termica Milazzo;2015-09-13 03:00:00;3;NO2;NA;NA;;NA;;NA;NA;NA;1;FALSE
Termica Milazzo;2015-09-13 04:00:00;4;NO2;NA;NA;;NA;;NA;NA;NA;1;FALSE
Termica Milazzo;2015-09-13 05:00:00;5;NO2;11,91537368;80400000;04:59;7,45600843;04:45;18,64001917;2,27329534;720;1;FALSE
Termica Milazzo;2015-09-13 06:00:00;6;NO2;9,53747664;80400000;05:28;4,66000479;05:59;45,66804352;3,87693181;720;1;FALSE
Termica Milazzo;2015-09-13 07:00:00;7;NO2;11,3535841;80400000;06:44;6,52400786;06:00;33,55202456;4,51392417;720;1;FALSE
Termica Milazzo;2015-09-13 08:00:00;8;NO2;9,50899931;80400000;07:38;6,52400786;07:15;13,0480138;1,1532381;720;1;FALSE
