xtime;Stazione;hour;Parm;Aver;SWrd;MinT;Min;MaxT;Max;Sigma;Samp;nhour;is_dup
2015-09-05 00:00:00;Termini;0;BENZENE;NA;NA;;NA;;NA;NA;NA;1;FALSE
2015-09-05 01:00:00;Termini;1;BENZENE;NA;NA;;NA;;NA;NA;NA;1;FALSE
2015-09-05 02:00:00;Termini;2;BENZENE;NA;NA;;NA;;NA;NA;NA;1;FALSE
2015-09-05 03:00:00;Termini;3;BENZENE;NA;NA;;NA;;NA;NA;NA;1;FALSE
2015-09-05 04:00:00;Termini;4;BENZENE;NA;NA;;NA;;NA;NA;NA;1;FALSE
2015-09-05 05:00:00;Termini;5;BENZENE;NA;NA;;NA;;NA;NA;NA;1;FALSE
2015-09-05 06:00:00;Termini;6;BENZENE;NA;NA;;NA;;NA;NA;NA;1;FALSE
2015-09-05 07:00:00;Termini;7;BENZENE;NA;NA;;NA;;NA;NA;NA;1;FALSE
2015-09-05 08:00:00;Termini;8;BENZENE;NA;NA;;NA;;NA;NA;NA;1;FALSE
2015-09-05 09:00:00;Termini;9;BENZENE;NA;NA;;NA;;NA;NA;NA;1;FALSE
2015-09-05 10:00:00;Termini;10;BENZENE;NA;NA;;NA;;NA;NA;NA;1;FALSE
2015-09-05 11:00:00;Termini;11;BENZENE;NA;NA;;NA;;NA;NA;NA;1;FALSE
2015-09-05 12:00:00;Termini;12;BENZENE;NA;NA;;NA;;NA;NA;NA;1;FALSE
2015-09-05 13:00:00;Termini;13;BENZENE;NA;NA;;NA;;NA;NA;NA;1;FALSE
2015-09-05 14:00:00;Termini;14;BENZENE;NA;NA;;NA;;NA;NA;NA;1;FALSE
2015-09-05 15:00:00;Termini;15;BENZENE;NA;NA;;NA;;NA;NA;NA;1;FALSE
2015-09-05 16:00:00;Termini;16;BENZENE;NA;NA;;NA;;NA;NA;NA;1;FALSE
2015-09-05 17:00:00;Termini;17;BENZENE;NA;NA;;NA;;NA;NA;NA;1;FALSE
2015-09-05 18:00:00;Termini;18;BENZENE;NA;NA;;NA;;NA;NA;NA;1;FALSE
2015-09-05 19:00:00;Termini;19;BENZENE;NA;NA;;NA;;NA;NA;NA;1;FALSE
2015-09-05 20:00:00;Termini;20;BENZENE;NA;NA;;NA;;NA;NA;NA;1;FALSE
2015-09-05 21:00:00;Termini;21;BENZENE;NA;NA;;NA;;NA;NA;NA;1;FALSE
2015-09-05 22:00:00;Termini;22;BENZENE;NA;NA;;NA;;NA;NA;NA;1;FALSE
2015-09-05 23:00:00;Termini;23;BENZENE;NA;NA;;NA;;NA;NA;NA;1;FALSE
2015-09-05 00:00:00;Termini;0;CO;NA;NA;;NA;;NA;NA;NA;1;FALSE
2015-09-05 01:00:00;Termini;1;CO;NA;NA;;NA;;NA;NA;NA;1;FALSE
2015-09-05 02:00:00;Termini;2;CO;NA;NA;;NA;;NA;NA;NA;1;FALSE
2015-09-05 03:00:00;Termini;3;CO;NA;NA;;NA;;NA;NA;NA;1;FALSE
2015-09-05 04:00:00;Termini;4;CO;NA;NA;;NA;;NA;NA;NA;1;FALSE
2015-09-05 05:00:00;Termini;5;CO;NA;NA;;NA;;NA;NA;NA;1;FALSE
2015-09-05 06:00:00;Termini;6;CO;NA;NA;;NA;;NA;NA;NA;1;FALSE
2015-09-05 07:00:00;Termini;7;CO;NA;NA;;NA;;NA;NA;NA;1;FALSE
2015-09-05 08:00:00;Termini;8;CO;NA;NA;;NA;;NA;NA;NA;1;FALSE
2015-09-05 09:00:00;Termini;9;CO;NA;NA;;NA;;NA;NA;NA;1;FALSE
2015-09-05 10:00:00;Termini;10;CO;NA;NA;;NA;;NA;NA;NA;1;FALSE
2015-09-05 11:00:00;Termini;11;CO;NA;NA;;NA;;NA;NA;NA;1;FALSE
2015-09-05 12:00:00;Termini;12;CO;NA;NA;;NA;;NA;NA;NA;1;FALSE
2015-09-05 13:00:00;Termini;13;CO;NA;NA;;NA;;NA;NA;NA;1;FALSE
2015-09-05 14:00:00;Termini;14;CO;NA;NA;;NA;;NA;NA;NA;1;FALSE
2015-09-05 15:00:00;Termini;15;CO;NA;NA;;NA;;NA;NA;NA;1;FALSE
2015-09-05 16:00:00;Termini;16;CO;NA;NA;;NA;;NA;NA;NA;1;FALSE
2015-09-05 17:00:00;Termini;17;CO;NA;NA;;NA;;NA;NA;NA;1;FALSE
2015-09-05 18:00:00;Termini;18;CO;NA;NA;;NA;;NA;NA;NA;1;FALSE
2015-09-05 19:00:00;Termini;19;CO;NA;NA;;NA;;NA;NA;NA;1;FALSE
2015-09-05 20:00:00;Termini;20;CO;NA;NA;;NA;;NA;NA;NA;1;FALSE
2015-09-05 21:00:00;Termini;21;CO;NA;NA;;NA;;NA;NA;NA;1;FALSE
2015-09-05 22:00:00;Termini;22;CO;NA;NA;;NA;;NA;NA;NA;1;FALSE
2015-09-05 23:00:00;Termini;23;CO;NA;NA;;NA;;NA;NA;NA;1;FALSE
2015-09-05 00:00:00;Termini;0;NO2;NA;NA;;NA;;NA;NA;NA;1;FALSE
2015-09-05 01:00:00;Termini;1;NO2;NA;NA;;NA;;NA;NA;NA;1;FALSE
2015-09-05 02:00:00;Termini;2;NO2;NA;NA;;NA;;NA;NA;NA;1;FALSE
2015-09-05 03:00:00;Termini;3;NO2;NA;NA;;NA;;NA;NA;NA;1;FALSE
2015-09-05 04:00:00;Termini;4;NO2;NA;NA;;NA;;NA;NA;NA;1;FALSE
2015-09-05 05:00:00;Termini;5;NO2;NA;NA;;NA;;NA;NA;NA;1;FALSE
2015-09-05 06:00:00;Termini;6;NO2;NA;NA;;NA;;NA;NA;NA;1;FALSE
2015-09-05 07:00:00;Termini;7;NO2;NA;NA;;NA;;NA;NA;NA;1;FALSE
2015-09-05 08:00:00;Termini;8;NO2;NA;NA;;NA;;NA;NA;NA;1;FALSE
2015-09-05 09:00:00;Termini;9;NO2;NA;NA;;NA;;NA;NA;NA;1;FALSE
2015-09-05 10:00:00;Termini;10;NO2;NA;NA;;NA;;NA;NA;NA;1;FALSE
2015-09-05 11:00:00;Termini;11;NO2;NA;NA;;NA;;NA;NA;NA;1;FALSE
2015-09-05 12:00:00;Termini;12;NO2;NA;NA;;NA;;NA;NA;NA;1;FALSE
2015-09-05 13:00:00;Termini;13;NO2;NA;NA;;NA;;NA;NA;NA;1;FALSE
2015-09-05 14:00:00;Termini;14;NO2;NA;NA;;NA;;NA;NA;NA;1;FALSE
2015-09-05 15:00:00;Termini;15;NO2;NA;NA;;NA;;NA;NA;NA;1;FALSE
2015-09-05 16:00:00;Termini;16;NO2;NA;NA;;NA;;NA;NA;NA;1;FALSE
2015-09-05 17:00:00;Termini;17;NO2;NA;NA;;NA;;NA;NA;NA;1;FALSE
2015-09-05 18:00:00;Termini;18;NO2;NA;NA;;NA;;NA;NA;NA;1;FALSE
2015-09-05 19:00:00;Termini;19;NO2;NA;NA;;NA;;NA;NA;NA;1;FALSE
2015-09-05 20:00:00;Termini;20;NO2;NA;NA;;NA;;NA;NA;NA;1;FALSE
2015-09-05 21:00:00;Termini;21;NO2;NA;NA;;NA;;NA;NA;NA;1;FALSE
2015-09-05 22:00:00;Termini;22;NO2;NA;NA;;NA;;NA;NA;NA;1;FALSE
2015-09-05 23:00:00;Termini;23;NO2;NA;NA;;NA;;NA;NA;NA;1;FALSE
2015-09-05 00:00:00;Termini;0;O3;NA;NA;;NA;;NA;NA;NA;1;FALSE
2015-09-05 01:00:00;Termini;1;O3;NA;NA;;NA;;NA;NA;NA;1;FALSE
2015-09-05 02:00:00;Termini;2;O3;NA;NA;;NA;;NA;NA;NA;1;FALSE
2015-09-05 03:00:00;Termini;3;O3;NA;NA;;NA;;NA;NA;NA;1;FALSE
