xtime;Stazione;hour;Parm;Aver;SWrd;MinT;Min;MaxT;Max;Sigma;Samp;nhour;is_dup
2015-09-08 00:00:00;Trapani;0;BENZENE;0,5549708;80400000;23:08;0,26295755;23:53;1,39322491;0,48403607;4;1;FALSE
2015-09-08 01:00:00;Trapani;1;BENZENE;0,93675158;80400000;00:53;0,43530143;00:37;1,35660071;0,3300582;4;1;FALSE
2015-09-08 02:00:00;Trapani;2;BENZENE;0,39576352;80400000;01:38;0,23970283;01:08;0,46705217;0,09182188;4;1;FALSE
2015-09-08 03:00:00;Trapani;3;BENZENE;0,42200313;80400000;02:53;0,31935529;02:37;0,50531171;0,07904226;4;1;FALSE
2015-09-08 04:00:00;Trapani;4;BENZENE;0,33844743;80400000;03:23;0,2303627;03:38;0,42203263;0,07057166;4;1;FALSE
2015-09-08 05:00:00;Trapani;5;BENZENE;0,2832701;80400000;04:23;0,18460991;04:37;0,39761954;0,08791253;4;1;FALSE
2015-09-08 06:00:00;Trapani;6;BENZENE;0,45020454;80400000;05:52;0,33165082;05:38;0,52980513;0,07272262;4;1;FALSE
2015-09-08 07:00:00;Trapani;7;BENZENE;0,4935023;80400000;06:08;0,23958995;06:37;0,64172192;0,15318257;4;1;FALSE
2015-09-08 08:00:00;Trapani;8;BENZENE;1,28965262;80400000;07:08;0,63694608;07:38;1,75200116;0,41027509;4;1;FALSE
2015-09-08 09:00:00;Trapani;9;BENZENE;1,14524879;80400000;08:37;0,81856093;08:23;1,33832624;0,20631065;4;1;FALSE
2015-09-08 10:00:00;Trapani;10;BENZENE;0,34693124;80400000;09:53;0,15698819;09:08;0,66375929;0,1919679;4;1;FALSE
2015-09-08 11:00:00;Trapani;11;BENZENE;0,23519651;80400000;10:23;0,17063023;10:37;0,27114644;0,03836938;4;1;FALSE
2015-09-08 12:00:00;Trapani;12;BENZENE;0,23892178;80400000;11:38;0,12943868;11:23;0,32402027;0,07493154;4;1;FALSE
2015-09-08 13:00:00;Trapani;13;BENZENE;0,34289884;80400000;12:08;0,26117069;12:23;0,45060728;0,08195901;4;1;FALSE
2015-09-08 14:00:00;Trapani;14;BENZENE;0,13501794;80400000;13:52;0,06844715;13:23;0,18005782;0,04090679;4;1;FALSE
