xtime;Stazione;hour;Parm;Aver;SWrd;MinT;Min;MaxT;Max;Sigma;Samp;nhour;is_dup
2015-09-01 00:00:00;VILLA AUGUSTA;0;BENZENE;13,56471549;80000000;23:29;0;23:44;27,33234282;10,69115148;720;1;FALSE
2015-09-01 01:00:00;VILLA AUGUSTA;1;BENZENE;19,14561486;80000000;01:00;0;00:28;21,94509042;3,92701431;720;1;FALSE
2015-09-01 02:00:00;VILLA AUGUSTA;2;BENZENE;7,26716571;80000000;02:00;0;01:24;20,28138012;8,3064492;720;1;FALSE
2015-09-01 03:00:00;VILLA AUGUSTA;3;BENZENE;0;80000000;03:00;0;03:00;0;0;720;1;FALSE
2015-09-01 04:00:00;VILLA AUGUSTA;4;BENZENE;0,80390392;80000000;03:26;0;04:00;1,74293358;0,72846591;720;1;FALSE
2015-09-01 05:00:00;VILLA AUGUSTA;5;BENZENE;0,68209987;80000000;05:00;0;04:11;1,74293358;0,7799973;720;1;FALSE
2015-09-01 06:00:00;VILLA AUGUSTA;6;BENZENE;0,61640675;80000000;05:55;0;06:00;2,85207073;0,93727737;720;1;FALSE
2015-09-01 07:00:00;VILLA AUGUSTA;7;BENZENE;0,70212256;80000000;06:54;0;06:10;2,85207073;1,19628693;720;1;FALSE
2015-09-01 08:00:00;VILLA AUGUSTA;8;BENZENE;1,71366432;80000000;08:00;0;07:39;3,16896692;1,30186373;720;1;FALSE
2015-09-01 09:00:00;VILLA AUGUSTA;9;BENZENE;1,27011605;80000000;09:00;0;08:23;2,85207073;1,29847407;720;1;FALSE
2015-09-01 10:00:00;VILLA AUGUSTA;10;BENZENE;9,11452181;80000000;09:37;0;09:52;28,91681865;12,46036536;720;1;FALSE
2015-09-01 11:00:00;VILLA AUGUSTA;11;BENZENE;2,8585297;80000000;11:00;0;10:07;16,08250239;4,8686902;699;1;FALSE
2015-09-01 12:00:00;VILLA AUGUSTA;12;BENZENE;1,44936331;80000000;12:00;0;11:21;5,86259006;2,52910408;720;1;FALSE
2015-09-01 13:00:00;VILLA AUGUSTA;13;BENZENE;0,33274104;80000000;12:50;0;13:00;2,13905407;0,77526419;720;1;FALSE
2015-09-01 14:00:00;VILLA AUGUSTA;14;BENZENE;0,19608167;80000000;14:00;0;13:05;2,13905407;0,61723459;720;1;FALSE
2015-09-01 15:00:00;VILLA AUGUSTA;15;BENZENE;1,01186924;80000000;14:34;0;14:19;1,74293358;0,72382026;720;1;FALSE
2015-09-01 16:00:00;VILLA AUGUSTA;16;BENZENE;0,8709171;80000000;16:00;0;15:48;1,74293358;0,77486857;720;1;FALSE
2015-09-01 17:00:00;VILLA AUGUSTA;17;BENZENE;1,53375804;80000000;16:33;0;16:18;2,53517455;1,05574363;720;1;FALSE
2015-09-01 18:00:00;VILLA AUGUSTA;18;BENZENE;1,17779787;80000000;17:32;0;17:47;1,74293358;0,71389332;720;1;FALSE
2015-09-01 19:00:00;VILLA AUGUSTA;19;BENZENE;1,10187679;80000000;18:31;0;18:46;1,58448193;0,63798749;720;1;FALSE
2015-09-01 20:00:00;VILLA AUGUSTA;20;BENZENE;1,56093533;80000000;19:31;0,95068957;19:43;1,90138218;0,32745264;720;1;FALSE
2015-09-01 21:00:00;VILLA AUGUSTA;21;BENZENE;1,65204328;80000000;21:00;0;20:45;4,59500126;1,87143052;720;1;FALSE
2015-09-01 22:00:00;VILLA AUGUSTA;22;BENZENE;2,6969223;80000000;22:00;0;21:59;10,93293306;4,70610241;720;1;FALSE
2015-09-01 23:00:00;VILLA AUGUSTA;23;BENZENE;4,50114132;80000000;23:00;0;22:59;6,41715813;2,66432033;720;1;FALSE
