Stazione;xtime;hour;Parm;Aver;SWrd;MinT;Min;MaxT;Max;Sigma;Samp;nhour;is_dup
C.da Gabbia;2015-09-01 00:00:00;0;Benzene;0,98880571;80400000;23:37;0,58705003;23:07;1,46225887;0,38376597;4;3;FALSE
C.da Gabbia;2015-09-01 00:00:00;0;Benzene;NA;NA;;NA;;NA;NA;NA;3;FALSE
C.da Gabbia;2015-09-01 00:00:00;0;Benzene;0,98880571;80400000;23:37;0,58705003;23:07;1,46225887;0,38376597;4;3;TRUE
C.da Gabbia;2015-09-01 01:00:00;1;Benzene;0,80209061;80400000;00:22;0,52026466;00:37;1,16505791;0,23628673;4;2;FALSE
C.da Gabbia;2015-09-01 01:00:00;1;Benzene;0,80209061;80400000;00:22;0,52026466;00:37;1,16505791;0,23628673;4;2;TRUE
C.da Gabbia;2015-09-01 02:00:00;2;Benzene;0,68435761;80400000;01:52;0,42394967;01:22;1,04354573;0,26400913;4;2;FALSE
C.da Gabbia;2015-09-01 02:00:00;2;Benzene;0,68435761;80400000;01:52;0,42394967;01:22;1,04354573;0,26400913;4;2;TRUE
C.da Gabbia;2015-09-01 03:00:00;3;Benzene;0,55073093;80400000;02:22;0,42137666;02:52;0,72963038;0,11282496;4;2;FALSE
C.da Gabbia;2015-09-01 03:00:00;3;Benzene;0,55073093;80400000;02:22;0,42137666;02:52;0,72963038;0,11282496;4;2;TRUE
C.da Gabbia;2015-09-01 04:00:00;4;Benzene;1,12871338;80400000;03:37;0,4978693;03:07;1,40054731;0,37165248;4;2;FALSE
C.da Gabbia;2015-09-01 04:00:00;4;Benzene;1,12871338;80400000;03:37;0,4978693;03:07;1,40054731;0,37165248;4;2;TRUE
C.da Gabbia;2015-09-01 05:00:00;5;Benzene;0,76682919;80400000;04:37;0,35280645;04:07;1,23800122;0,40521755;4;2;FALSE
C.da Gabbia;2015-09-01 05:00:00;5;Benzene;0,76682919;80400000;04:37;0,35280645;04:07;1,23800122;0,40521755;4;2;TRUE
C.da Gabbia;2015-09-01 06:00:00;6;Benzene;0,87777168;80400000;05:52;0,51783403;05:37;1,14939815;0,23019083;4;2;FALSE
C.da Gabbia;2015-09-01 06:00:00;6;Benzene;0,87777168;80400000;05:52;0,51783403;05:37;1,14939815;0,23019083;4;2;TRUE
C.da Gabbia;2015-09-01 07:00:00;7;Benzene;0,69283735;80400000;06:07;0,53333514;06:52;1,09853899;0,23486903;4;2;FALSE
C.da Gabbia;2015-09-01 07:00:00;7;Benzene;0,69283735;80400000;06:07;0,53333514;06:52;1,09853899;0,23486903;4;2;TRUE
C.da Gabbia;2015-09-01 08:00:00;8;Benzene;6,54374209;80400000;07:22;0,73528185;07:37;13,71458061;5,85976382;4;2;FALSE
C.da Gabbia;2015-09-01 08:00:00;8;Benzene;6,54374209;80400000;07:22;0,73528185;07:37;13,71458061;5,85976382;4;2;TRUE
C.da Gabbia;2015-09-01 09:00:00;9;Benzene;3,18972694;80400000;08:52;0,46992011;08:07;10,55203605;4,25675418;4;2;FALSE
C.da Gabbia;2015-09-01 09:00:00;9;Benzene;3,18972694;80400000;08:52;0,46992011;08:07;10,55203605;4,25675418;4;2;TRUE
C.da Gabbia;2015-09-01 10:00:00;10;Benzene;0,44166988;80400000;09:07;0,32952326;09:37;0,55034141;0,07838426;4;2;FALSE
C.da Gabbia;2015-09-01 10:00:00;10;Benzene;0,44166988;80400000;09:07;0,32952326;09:37;0,55034141;0,07838426;4;2;TRUE
C.da Gabbia;2015-09-01 11:00:00;11;Benzene;0,29227258;80400000;10:37;0,2201927;10:22;0,4546468;0,09453015;4;2;FALSE
C.da Gabbia;2015-09-01 11:00:00;11;Benzene;0,29227258;80400000;10:37;0,2201927;10:22;0,4546468;0,09453015;4;2;TRUE
C.da Gabbia;2015-09-01 12:00:00;12;Benzene;0,46425236;80400000;11:37;0,35835114;11:52;0,6761433;0,12424079;4;2;FALSE
C.da Gabbia;2015-09-01 12:00:00;12;Benzene;0,46425236;80400000;11:37;0,35835114;11:52;0,6761433;0,12424079;4;2;TRUE
C.da Gabbia;2015-09-01 13:00:00;13;Benzene;0,41263656;80400000;12:52;0,32923748;12:07;0,63048;0,12595037;4;2;FALSE
