Stazione;xtime;hour;Parm;Aver;SWrd;MinT;Min;MaxT;Max;Sigma;Samp;nhour;is_dup
C.da Gabbia;2015-08-27 00:00:00;0;Benzene;NA;NA;;NA;;NA;NA;NA;1;FALSE
C.da Gabbia;2015-08-27 01:00:00;1;Benzene;1,06304976;80400000;00:37;0,81784801;00:22;1,34753924;0,20403257;4;1;FALSE
C.da Gabbia;2015-08-27 02:00:00;2;Benzene;0,89594954;80400000;01:37;0,70547765;01:07;1,41033492;0,29727215;4;1;FALSE
C.da Gabbia;2015-08-27 03:00:00;3;Benzene;0,61433716;80400000;02:07;0,36875505;02:37;0,85917889;0,17538979;4;1;FALSE
C.da Gabbia;2015-08-27 04:00:00;4;Benzene;1,02959555;80400000;03:22;0,4108202;03:52;1,46231379;0,4141102;4;1;FALSE
C.da Gabbia;2015-08-27 05:00:00;5;Benzene;0,73450994;80400000;04:37;0,39598726;04:52;1,1468648;0,29141321;4;1;FALSE
C.da Gabbia;2015-08-27 06:00:00;6;Benzene;1,26495782;80400000;05:22;1,03380593;05:52;1,54660275;0,19176044;4;1;FALSE
C.da Gabbia;2015-08-27 07:00:00;7;Benzene;0,88051962;80400000;06:37;0,42665184;06:07;1,54534981;0,41136531;4;1;FALSE
C.da Gabbia;2015-08-27 08:00:00;8;Benzene;7,1310128;80400000;07:07;0,83156429;07:37;10,75768362;4,04241126;4;1;FALSE
C.da Gabbia;2015-08-27 09:00:00;9;Benzene;NA;NA;;NA;;NA;NA;NA;1;FALSE
C.da Gabbia;2015-08-27 10:00:00;10;Benzene;NA;NA;;NA;;NA;NA;NA;1;FALSE
C.da Gabbia;2015-08-27 11:00:00;11;Benzene;0,20671542;80400000;10:22;0,10830236;10:52;0,32904323;0,08129695;4;1;FALSE
C.da Gabbia;2015-08-27 12:00:00;12;Benzene;0,24487123;80400000;11:07;0,18723784;11:37;0,29244445;0,03783138;4;1;FALSE
C.da Gabbia;2015-08-27 13:00:00;13;Benzene;0,19284964;80400000;12:22;0,16464518;12:52;0,2255584;0,02796547;4;1;FALSE
C.da Gabbia;2015-08-27 14:00:00;14;Benzene;0,16652968;80400000;13:52;0,0934562;13:22;0,23223805;0,0605054;4;1;FALSE
C.da Gabbia;2015-08-27 15:00:00;15;Benzene;0,16936203;80400000;14:07;0,14853387;14:52;0,20779649;0,02283979;4;1;FALSE
C.da Gabbia;2015-08-27 16:00:00;16;Benzene;0,13828861;80400000;15:22;0,06574397;15:52;0,22760257;0,05899922;4;1;FALSE
C.da Gabbia;2015-08-27 17:00:00;17;Benzene;0,15673496;80400000;16:22;0,10431166;16:07;0,22039;0,042415;4;1;FALSE
C.da Gabbia;2015-08-27 18:00:00;18;Benzene;0,17749498;80400000;17:52;0,0486665;17:07;0,33620596;0,124134;4;1;FALSE
C.da Gabbia;2015-08-27 19:00:00;19;Benzene;0,10695891;80400000;18:07;0,06602974;18:37;0,15441213;0,03168667;4;1;FALSE
C.da Gabbia;2015-08-27 20:00:00;20;Benzene;0,54687039;80400000;19:37;0,2105729;19:22;0,87361927;0,24424882;4;1;FALSE
C.da Gabbia;2015-08-27 21:00:00;21;Benzene;0,72211678;80400000;20:22;0,66383455;20:37;0,85301485;0,07634009;4;1;FALSE
C.da Gabbia;2015-08-27 22:00:00;22;Benzene;1,53062771;80400000;21:07;0,90881561;21:37;2,13747365;0,59610438;4;1;FALSE
C.da Gabbia;2015-08-27 23:00:00;23;Benzene;1,39599827;80400000;22:22;1,13641512;22:37;1,82068425;0,25616806;4;1;FALSE
C.da Gabbia;2015-08-28 00:00:00;0;Benzene;0,88703045;80400000;23:52;0,49357349;23:22;1,30067079;0,29196748;4;2;FALSE
C.da Gabbia;2015-08-28 00:00:00;0;Benzene;NA;NA;;NA;;NA;NA;NA;2;FALSE
C.da Gabbia;2015-08-28 01:00:00;1;Benzene;1,2006763;80400000;00:07;0,83021778;00:22;1,48200698;0,27176274;4;2;FALSE
C.da Gabbia;2015-08-28 01:00:00;1;Benzene;1,2006763;80400000;00:07;0,83021778;00:22;1,48200698;0,27176274;4;2;TRUE
C.da Gabbia;2015-08-28 02:00:00;2;Benzene;NA;NA;;NA;;NA;NA;NA;2;FALSE
C.da Gabbia;2015-08-28 02:00:00;2;Benzene;NA;NA;;NA;;NA;NA;NA;2;TRUE
C.da Gabbia;2015-08-28 03:00:00;3;Benzene;1,03561313;81400000;02:52;0,52249595;02:14;1,75331817;0,52288852;3;2;FALSE
C.da Gabbia;2015-08-28 03:00:00;3;Benzene;1,03561313;81400000;02:52;0,52249595;02:14;1,75331817;0,52288852;3;2;TRUE
C.da Gabbia;2015-08-28 04:00:00;4;Benzene;0,73307292;80400000;03:52;0,53197948;03:07;0,96731955;0,16533267;4;2;FALSE
C.da Gabbia;2015-08-28 04:00:00;4;Benzene;0,73307292;80400000;03:52;0,53197948;03:07;0,96731955;0,16533267;4;2;TRUE
C.da Gabbia;2015-08-28 05:00:00;5;Benzene;1,23648589;80400000;04:07;0,71044061;04:22;1,73593256;0,38488874;4;2;FALSE
C.da Gabbia;2015-08-28 05:00:00;5;Benzene;1,23648589;80400000;04:07;0,71044061;04:22;1,73593256;0,38488874;4;2;TRUE
C.da Gabbia;2015-08-28 06:00:00;6;Benzene;1,41237604;80400000;05:07;1,15755449;05:52;1,7911465;0,23330895;4;2;FALSE
C.da Gabbia;2015-08-28 06:00:00;6;Benzene;1,41237604;80400000;05:07;1,15755449;05:52;1,7911465;0,23330895;4;2;TRUE
C.da Gabbia;2015-08-28 07:00:00;7;Benzene;1,07576429;80400000;06:07;0,70389723;06:37;1,45715557;0,27971771;4;2;FALSE
C.da Gabbia;2015-08-28 07:00:00;7;Benzene;1,07576429;80400000;06:07;0,70389723;06:37;1,45715557;0,27971771;4;2;TRUE
C.da Gabbia;2015-08-28 08:00:00;8;Benzene;9,8204988;80400000;07:07;2,91560272;07:37;17,0279361;5,00345897;4;2;FALSE
C.da Gabbia;2015-08-28 08:00:00;8;Benzene;9,8204988;80400000;07:07;2,91560272;07:37;17,0279361;5,00345897;4;2;TRUE
C.da Gabbia;2015-08-28 09:00:00;9;Benzene;0,94860675;80400000;08:52;0,47079269;08:07;2,27538597;0,76659833;4;2;FALSE
C.da Gabbia;2015-08-28 09:00:00;9;Benzene;0,94860675;80400000;08:52;0,47079269;08:07;2,27538597;0,76659833;4;2;TRUE
C.da Gabbia;2015-08-28 10:00:00;10;Benzene;0,53891847;80400000;09:37;0,37451025;09:07;0,71815862;0,13405789;4;2;FALSE
C.da Gabbia;2015-08-28 10:00:00;10;Benzene;0,53891847;80400000;09:37;0,37451025;09:07;0,71815862;0,13405789;4;2;TRUE
C.da Gabbia;2015-08-28 11:00:00;11;Benzene;0,43114495;80400000;10:22;0,36300696;10:52;0,54353158;0,07368979;4;2;FALSE
C.da Gabbia;2015-08-28 11:00:00;11;Benzene;0,43114495;80400000;10:22;0,36300696;10:52;0,54353158;0,07368979;4;2;TRUE
C.da Gabbia;2015-08-28 12:00:00;12;Benzene;0,37642526;80400000;11:52;0,21150142;11:22;0,4607905;0,09728825;4;2;FALSE
C.da Gabbia;2015-08-28 12:00:00;12;Benzene;0,37642526;80400000;11:52;0,21150142;11:22;0,4607905;0,09728825;4;2;TRUE
C.da Gabbia;2015-08-28 13:00:00;13;Benzene;0,28671162;80400000;12:37;0,19021866;12:07;0,37940609;0,0678695;4;2;FALSE
C.da Gabbia;2015-08-28 13:00:00;13;Benzene;0,28671162;80400000;12:37;0,19021866;12:07;0,37940609;0,0678695;4;2;TRUE
C.da Gabbia;2015-08-28 14:00:00;14;Benzene;0,17753362;80400000;13:37;0,11689907;13:22;0,24514378;0,05247517;4;2;FALSE
C.da Gabbia;2015-08-28 14:00:00;14;Benzene;0,17753362;80400000;13:37;0,11689907;13:22;0,24514378;0,05247517;4;2;TRUE
C.da Gabbia;2015-08-28 15:00:00;15;Benzene;0,26835274;80400000;14:52;0,20575232;14:37;0,33801622;0,0483492;4;2;FALSE
C.da Gabbia;2015-08-28 15:00:00;15;Benzene;0,26835274;80400000;14:52;0,20575232;14:37;0,33801622;0,0483492;4;2;TRUE
C.da Gabbia;2015-08-28 16:00:00;16;Benzene;0,20551536;80400000;15:22;0,18821416;15:52;0,23509684;0,01781072;4;2;FALSE
C.da Gabbia;2015-08-28 16:00:00;16;Benzene;0,20551536;80400000;15:22;0,18821416;15:52;0,23509684;0,01781072;4;2;TRUE
C.da Gabbia;2015-08-28 17:00:00;17;Benzene;0,23646267;80400000;16:52;0,14590289;16:07;0,45481155;0,12729382;4;2;FALSE
C.da Gabbia;2015-08-28 17:00:00;17;Benzene;0,23646267;80400000;16:52;0,14590289;16:07;0,45481155;0,12729382;4;2;TRUE
C.da Gabbia;2015-08-28 18:00:00;18;Benzene;0,17471755;80400000;17:52;0,15382227;17:37;0,1951084;0,01868636;4;2;FALSE
C.da Gabbia;2015-08-28 18:00:00;18;Benzene;0,17471755;80400000;17:52;0,15382227;17:37;0,1951084;0,01868636;4;2;TRUE
C.da Gabbia;2015-08-28 19:00:00;19;Benzene;0,33703685;80400000;18:07;0,16406041;18:37;0,62563399;0,18049614;4;2;FALSE
C.da Gabbia;2015-08-28 19:00:00;19;Benzene;0,33703685;80400000;18:07;0,16406041;18:37;0,62563399;0,18049614;4;2;TRUE
C.da Gabbia;2015-08-28 20:00:00;20;Benzene;0,27353435;80400000;19:22;0,23167972;19:52;0,31107589;0,03592654;4;2;FALSE
C.da Gabbia;2015-08-28 20:00:00;20;Benzene;0,27353435;80400000;19:22;0,23167972;19:52;0,31107589;0,03592654;4;2;TRUE
C.da Gabbia;2015-08-28 21:00:00;21;Benzene;0,41312066;80400000;20:07;0,21036848;20:52;0,77990272;0,23139801;4;2;FALSE
C.da Gabbia;2015-08-28 21:00:00;21;Benzene;0,41312066;80400000;20:07;0,21036848;20:52;0,77990272;0,23139801;4;2;TRUE
C.da Gabbia;2015-08-28 22:00:00;22;Benzene;0,9303872;80400000;21:22;0,65632095;21:07;1,19860976;0,19996457;4;2;FALSE
C.da Gabbia;2015-08-28 22:00:00;22;Benzene;0,9303872;80400000;21:22;0,65632095;21:07;1,19860976;0,19996457;4;2;TRUE
C.da Gabbia;2015-08-28 23:00:00;23;Benzene;1,00200027;80400000;22:07;0,80755394;22:37;1,28271668;0,19157534;4;2;FALSE
C.da Gabbia;2015-08-28 23:00:00;23;Benzene;1,00200027;80400000;22:07;0,80755394;22:37;1,28271668;0,19157534;4;2;TRUE
C.da Gabbia;2015-08-29 00:00:00;0;Benzene;0,95607153;80400000;23:22;0,83361456;23:07;1,07313332;0,1163865;4;3;FALSE
C.da Gabbia;2015-08-29 00:00:00;0;Benzene;0,95607153;80400000;23:22;0,83361456;23:07;1,07313332;0,1163865;4;3;TRUE
C.da Gabbia;2015-08-29 00:00:00;0;Benzene;NA;NA;;NA;;NA;NA;NA;3;FALSE
C.da Gabbia;2015-08-29 01:00:00;1;Benzene;1,00258097;80400000;00:37;0,91482099;00:22;1,06612822;0,06245499;4;2;FALSE
C.da Gabbia;2015-08-29 01:00:00;1;Benzene;1,00258097;80400000;00:37;0,91482099;00:22;1,06612822;0,06245499;4;2;TRUE
C.da Gabbia;2015-08-29 02:00:00;2;Benzene;1,26456526;80400000;01:07;0,98870808;01:22;1,43816106;0,17152214;4;2;FALSE
C.da Gabbia;2015-08-29 02:00:00;2;Benzene;1,26456526;80400000;01:07;0,98870808;01:22;1,43816106;0,17152214;4;2;TRUE
C.da Gabbia;2015-08-29 03:00:00;3;Benzene;1,15082601;80400000;02:52;1,0225457;02:22;1,25138392;0,09159712;4;2;FALSE
C.da Gabbia;2015-08-29 03:00:00;3;Benzene;1,15082601;80400000;02:52;1,0225457;02:22;1,25138392;0,09159712;4;2;TRUE
C.da Gabbia;2015-08-29 04:00:00;4;Benzene;1,18196045;80400000;03:52;1,08341112;03:07;1,34646224;0,09950023;4;2;FALSE
C.da Gabbia;2015-08-29 04:00:00;4;Benzene;1,18196045;80400000;03:52;1,08341112;03:07;1,34646224;0,09950023;4;2;TRUE
C.da Gabbia;2015-08-29 05:00:00;5;Benzene;0,91487591;80400000;04:07;0,64337657;04:37;1,06252092;0,16941695;4;2;FALSE
