Stazione;xtime;hour;Parm;Aver;SWrd;MinT;Min;MaxT;Max;Sigma;Samp;nhour;is_dup
C.da Gabbia;2015-08-27 00:00:00;0;NO2;NA;NA;;NA;;NA;NA;NA;1;FALSE
C.da Gabbia;2015-08-27 01:00:00;1;NO2;5,44950401;80400000;00:34;2,3369095;00:07;8,80835456;1,43481642;720;1;FALSE
C.da Gabbia;2015-08-27 02:00:00;2;NO2;NA;NA;;NA;;NA;NA;NA;1;FALSE
C.da Gabbia;2015-08-27 03:00:00;3;NO2;8,28152017;80400000;02:59;4,84275758;02:35;14,03463257;2,0147547;720;1;FALSE
C.da Gabbia;2015-08-27 04:00:00;4;NO2;5,56914932;80400000;03:28;3,31077714;03:59;7,90671654;1,05593642;720;1;FALSE
C.da Gabbia;2015-08-27 05:00:00;5;NO2;5,5626447;80400000;05:00;3,31077714;04:13;8,41737542;1,24303135;720;1;FALSE
C.da Gabbia;2015-08-27 06:00:00;6;NO2;8,59413026;80400000;05:47;0;05:56;14,54529335;2,68780165;720;1;FALSE
C.da Gabbia;2015-08-27 07:00:00;7;NO2;16,93871201;80400000;06:02;12,63389946;06:15;29,9963164;2,4113035;720;1;FALSE
C.da Gabbia;2015-08-27 08:00:00;8;NO2;13,9624431;80400000;07:49;5,86407723;07:11;18,89306472;2,70282806;720;1;FALSE
C.da Gabbia;2015-08-27 09:00:00;9;NO2;5,20347358;80400000;08:29;2,28945748;08:00;12,16698906;2,11166825;716;1;FALSE
C.da Gabbia;2015-08-27 10:00:00;10;NO2;5,86832378;80400000;09:26;2,28945748;09:53;11,1456694;1,70242568;720;1;FALSE
C.da Gabbia;2015-08-27 11:00:00;11;NO2;4,78085658;80400000;10:07;2,28945748;10:24;7,90671654;1,33262385;720;1;FALSE
C.da Gabbia;2015-08-27 12:00:00;12;NO2;7,29974641;80400000;11:59;2,28945748;11:37;12,29823638;2,03694155;720;1;FALSE
C.da Gabbia;2015-08-27 13:00:00;13;NO2;3,71530662;80400000;12:52;0,24681817;12:16;19,50553568;4,05418377;720;1;FALSE
C.da Gabbia;2015-08-27 14:00:00;14;NO2;3,15507342;80400000;13:53;0,75747895;13:27;8,03796196;1,77592296;720;1;FALSE
C.da Gabbia;2015-08-27 15:00:00;15;NO2;1,88599489;80400000;14:55;0,24681817;14:27;3,35452561;0,69447473;720;1;FALSE
C.da Gabbia;2015-08-27 16:00:00;16;NO2;2,14093906;80400000;15:18;0,75747895;15:56;4,84275758;0,88038614;720;1;FALSE
C.da Gabbia;2015-08-27 17:00:00;17;NO2;5,28684252;80400000;16:04;0,24681817;16:35;16,29601615;4,91726248;720;1;FALSE
C.da Gabbia;2015-08-27 18:00:00;18;NO2;3,06419988;80400000;17:37;0,24681817;17:51;17,22983695;2,09116778;720;1;FALSE
C.da Gabbia;2015-08-27 19:00:00;19;NO2;2,73865511;80400000;18:10;0,24681817;18:16;7,90671654;1,52222542;720;1;FALSE
C.da Gabbia;2015-08-27 20:00:00;20;NO2;16,66552736;80400000;19:14;1,77879861;19:02;63,88917408;13,7371311;720;1;FALSE
C.da Gabbia;2015-08-27 21:00:00;21;NO2;21,51483736;80400000;20:54;14,03463257;20:06;29,39816632;5,05515974;720;1;FALSE
C.da Gabbia;2015-08-27 22:00:00;22;NO2;12,08366792;80400000;21:59;7,39605576;21:19;18,63057006;3,53459968;720;1;FALSE
C.da Gabbia;2015-08-27 23:00:00;23;NO2;9,30022994;80400000;22:03;6,3747361;22:45;10,9706736;0,88977788;720;1;FALSE
C.da Gabbia;2015-08-28 00:00:00;0;NO2;9,53237734;80400000;23:13;5,35341645;23:44;14,03463257;2,23489474;720;2;FALSE
C.da Gabbia;2015-08-28 00:00:00;0;NO2;NA;NA;;NA;;NA;NA;NA;2;FALSE
C.da Gabbia;2015-08-28 01:00:00;1;NO2;9,52735069;80400000;00:25;5,86407723;00:06;14,54529335;2,04381902;720;2;FALSE
C.da Gabbia;2015-08-28 01:00:00;1;NO2;9,52735069;80400000;00:25;5,86407723;00:06;14,54529335;2,04381902;720;2;TRUE
