Stazione;xtime;hour;Parm;Aver;SWrd;MinT;Min;MaxT;Max;Sigma;Samp;is_dup
C.da Gabbia;2015-08-27 00:00:00;0;SO2;NA;NA;;NA;;NA;NA;NA;FALSE
C.da Gabbia;2015-08-27 01:00:00;1;SO2;NA;NA;;NA;;NA;NA;NA;FALSE
C.da Gabbia;2015-08-27 02:00:00;2;SO2;0,67679316;80400000;01:59;3,05e-06;01:13;3,17659645;0,88967669;720;FALSE
C.da Gabbia;2015-08-27 03:00:00;3;SO2;0,34413449;80400000;02:47;0;02:56;1,27063878;0,56465874;720;FALSE
C.da Gabbia;2015-08-27 04:00:00;4;SO2;0,0723565;80400000;04:00;0;03:08;1,27063878;0,29445201;720;FALSE
C.da Gabbia;2015-08-27 05:00:00;5;SO2;0;80400000;05:00;0;04:51;3,05e-06;0;720;FALSE
C.da Gabbia;2015-08-27 06:00:00;6;SO2;0;80400000;05:49;0;06:00;3,05e-06;0;720;FALSE
C.da Gabbia;2015-08-27 07:00:00;7;SO2;0;80400000;06:59;0;07:00;3,05e-06;0;720;FALSE
C.da Gabbia;2015-08-27 08:00:00;8;SO2;0;80400000;08:00;0;07:58;3,05e-06;0;720;FALSE
C.da Gabbia;2015-08-27 09:00:00;9;SO2;0;80400000;09:00;0;08:21;3,05e-06;0;716;FALSE
C.da Gabbia;2015-08-27 10:00:00;10;SO2;0;80400000;10:00;0;09:39;3,05e-06;0;720;FALSE
C.da Gabbia;2015-08-27 11:00:00;11;SO2;0;80400000;11:00;0;11:00;0;0;720;FALSE
C.da Gabbia;2015-08-27 12:00:00;12;SO2;0;80400000;12:00;0;12:00;0;0;720;FALSE
C.da Gabbia;2015-08-27 13:00:00;13;SO2;0;80400000;13:00;0;12:50;3,05e-06;0;720;FALSE
C.da Gabbia;2015-08-27 14:00:00;14;SO2;0;80400000;14:00;0;13:53;3,05e-06;0;720;FALSE
C.da Gabbia;2015-08-27 15:00:00;15;SO2;0;80400000;15:00;0;14:44;3,05e-06;0;720;FALSE
C.da Gabbia;2015-08-27 16:00:00;16;SO2;0;80400000;16:00;0;16:00;0;0;720;FALSE
C.da Gabbia;2015-08-27 17:00:00;17;SO2;0;80400000;17:00;0;17:00;0;0;720;FALSE
C.da Gabbia;2015-08-27 18:00:00;18;SO2;0;80400000;18:00;0;18:00;0;0;720;FALSE
C.da Gabbia;2015-08-27 19:00:00;19;SO2;0;80400000;19:00;0;19:00;0;0;720;FALSE
C.da Gabbia;2015-08-27 20:00:00;20;SO2;0;80400000;20:00;0;19:29;3,05e-06;0;720;FALSE
C.da Gabbia;2015-08-27 21:00:00;21;SO2;0;80400000;21:00;0;20:49;3,05e-06;0;720;FALSE
C.da Gabbia;2015-08-27 22:00:00;22;SO2;0;80400000;22:00;0;21:55;3,05e-06;0;720;FALSE
C.da Gabbia;2015-08-27 23:00:00;23;SO2;0;80400000;23:00;0;23:00;0;0;720;FALSE
C.da Gabbia;2015-08-28 00:00:00;0;SO2;0;81400000;00:00;0;23:28;3,05e-06;0;720;FALSE
C.da Gabbia;2015-08-28 00:00:00;0;SO2;NA;NA;;NA;;NA;NA;NA;FALSE
C.da Gabbia;2015-08-28 01:00:00;1;SO2;NA;NA;;NA;;NA;NA;NA;FALSE
C.da Gabbia;2015-08-28 01:00:00;1;SO2;NA;NA;;NA;;NA;NA;NA;TRUE
C.da Gabbia;2015-08-28 02:00:00;2;SO2;0,82733662;80400000;02:00;3,05e-06;01:08;3,32702194;1,04387016;715;FALSE
C.da Gabbia;2015-08-28 02:00:00;2;SO2;0,82733662;80400000;02:00;3,05e-06;01:08;3,32702194;1,04387016;715;TRUE
C.da Gabbia;2015-08-28 03:00:00;3;SO2;0;80400000;03:00;0;02:44;3,05e-06;0;720;FALSE
C.da Gabbia;2015-08-28 03:00:00;3;SO2;0;80400000;03:00;0;02:44;3,05e-06;0;720;TRUE
C.da Gabbia;2015-08-28 04:00:00;4;SO2;0;80400000;03:59;0;04:00;3,05e-06;0;720;FALSE
C.da Gabbia;2015-08-28 04:00:00;4;SO2;0;80400000;03:59;0;04:00;3,05e-06;0;720;TRUE
C.da Gabbia;2015-08-28 05:00:00;5;SO2;0;80400000;05:00;0;04:26;3,05e-06;0;720;FALSE
C.da Gabbia;2015-08-28 05:00:00;5;SO2;0;80400000;05:00;0;04:26;3,05e-06;0;720;TRUE
C.da Gabbia;2015-08-28 06:00:00;6;SO2;0;80400000;06:00;0;05:50;3,05e-06;0;720;FALSE
C.da Gabbia;2015-08-28 06:00:00;6;SO2;0;80400000;06:00;0;05:50;3,05e-06;0;720;TRUE
C.da Gabbia;2015-08-28 07:00:00;7;SO2;0;80400000;07:00;0;06:40;3,05e-06;0;720;FALSE
C.da Gabbia;2015-08-28 07:00:00;7;SO2;0;80400000;07:00;0;06:40;3,05e-06;0;720;TRUE
C.da Gabbia;2015-08-28 08:00:00;8;SO2;0;80400000;07:59;0;08:00;3,05e-06;0;720;FALSE
C.da Gabbia;2015-08-28 08:00:00;8;SO2;0;80400000;07:59;0;08:00;3,05e-06;0;720;TRUE
C.da Gabbia;2015-08-28 09:00:00;9;SO2;0;80400000;09:00;0;08:50;3,05e-06;0;720;FALSE
C.da Gabbia;2015-08-28 09:00:00;9;SO2;0;80400000;09:00;0;08:50;3,05e-06;0;720;TRUE
C.da Gabbia;2015-08-28 10:00:00;10;SO2;0;80400000;10:00;0;10:00;0;0;720;FALSE
C.da Gabbia;2015-08-28 10:00:00;10;SO2;0;80400000;10:00;0;10:00;0;0;720;TRUE
C.da Gabbia;2015-08-28 11:00:00;11;SO2;0;80400000;11:00;0;11:00;0;0;720;FALSE
C.da Gabbia;2015-08-28 11:00:00;11;SO2;0;80400000;11:00;0;11:00;0;0;720;TRUE
C.da Gabbia;2015-08-28 12:00:00;12;SO2;0;80400000;12:00;0;12:00;0;0;720;FALSE
C.da Gabbia;2015-08-28 12:00:00;12;SO2;0;80400000;12:00;0;12:00;0;0;720;TRUE
C.da Gabbia;2015-08-28 13:00:00;13;SO2;0;80400000;13:00;0;13:00;0;0;720;FALSE
C.da Gabbia;2015-08-28 13:00:00;13;SO2;0;80400000;13:00;0;13:00;0;0;720;TRUE
C.da Gabbia;2015-08-28 14:00:00;14;SO2;0;80400000;14:00;0;14:00;0;0;720;FALSE
C.da Gabbia;2015-08-28 14:00:00;14;SO2;0;80400000;14:00;0;14:00;0;0;720;TRUE
C.da Gabbia;2015-08-28 15:00:00;15;SO2;0;80400000;15:00;0;15:00;0;0;720;FALSE
C.da Gabbia;2015-08-28 15:00:00;15;SO2;0;80400000;15:00;0;15:00;0;0;720;TRUE
C.da Gabbia;2015-08-28 16:00:00;16;SO2;0;80400000;16:00;0;16:00;0;0;720;FALSE
C.da Gabbia;2015-08-28 16:00:00;16;SO2;0;80400000;16:00;0;16:00;0;0;720;TRUE
C.da Gabbia;2015-08-28 17:00:00;17;SO2;0;80400000;17:00;0;17:00;0;0;720;FALSE
C.da Gabbia;2015-08-28 17:00:00;17;SO2;0;80400000;17:00;0;17:00;0;0;720;TRUE
C.da Gabbia;2015-08-28 18:00:00;18;SO2;0;80400000;18:00;0;18:00;0;0;720;FALSE
C.da Gabbia;2015-08-28 18:00:00;18;SO2;0;80400000;18:00;0;18:00;0;0;720;TRUE
C.da Gabbia;2015-08-28 19:00:00;19;SO2;0;80400000;19:00;0;18:41;3,05e-06;0;720;FALSE
C.da Gabbia;2015-08-28 19:00:00;19;SO2;0;80400000;19:00;0;18:41;3,05e-06;0;720;TRUE
C.da Gabbia;2015-08-28 20:00:00;20;SO2;0;80400000;20:00;0;20:00;0;0;720;FALSE
C.da Gabbia;2015-08-28 20:00:00;20;SO2;0;80400000;20:00;0;20:00;0;0;720;TRUE
C.da Gabbia;2015-08-28 21:00:00;21;SO2;0;80400000;21:00;0;20:56;3,05e-06;0;720;FALSE
C.da Gabbia;2015-08-28 21:00:00;21;SO2;0;80400000;21:00;0;20:56;3,05e-06;0;720;TRUE
C.da Gabbia;2015-08-28 22:00:00;22;SO2;0;80400000;22:00;0;21:46;3,05e-06;0;720;FALSE
C.da Gabbia;2015-08-28 22:00:00;22;SO2;0;80400000;22:00;0;21:46;3,05e-06;0;720;TRUE
C.da Gabbia;2015-08-28 23:00:00;23;SO2;0;80400000;23:00;0;22:53;3,05e-06;0;720;FALSE
C.da Gabbia;2015-08-28 23:00:00;23;SO2;0;80400000;23:00;0;22:53;3,05e-06;0;720;TRUE
C.da Gabbia;2015-08-29 00:00:00;0;SO2;0;81400000;00:00;0;23:51;3,05e-06;0;720;FALSE
C.da Gabbia;2015-08-29 00:00:00;0;SO2;0;81400000;00:00;0;23:51;3,05e-06;0;720;TRUE
C.da Gabbia;2015-08-29 00:00:00;0;SO2;NA;NA;;NA;;NA;NA;NA;FALSE
C.da Gabbia;2015-08-29 01:00:00;1;SO2;NA;NA;;NA;;NA;NA;NA;FALSE
C.da Gabbia;2015-08-29 01:00:00;1;SO2;NA;NA;;NA;;NA;NA;NA;TRUE
C.da Gabbia;2015-08-29 02:00:00;2;SO2;0,19063563;80400000;02:00;0;01:02;2,20947827;0,36896252;720;FALSE
C.da Gabbia;2015-08-29 02:00:00;2;SO2;0,19063563;80400000;02:00;0;01:02;2,20947827;0,36896252;720;TRUE
C.da Gabbia;2015-08-29 03:00:00;3;SO2;0;80400000;03:00;0;03:00;0;0;719;FALSE
C.da Gabbia;2015-08-29 03:00:00;3;SO2;0;80400000;03:00;0;03:00;0;0;719;TRUE
C.da Gabbia;2015-08-29 04:00:00;4;SO2;0;80400000;04:00;0;04:00;0;0;720;FALSE
C.da Gabbia;2015-08-29 04:00:00;4;SO2;0;80400000;04:00;0;04:00;0;0;720;TRUE
C.da Gabbia;2015-08-29 05:00:00;5;SO2;0;80400000;05:00;0;05:00;0;0;720;FALSE
C.da Gabbia;2015-08-29 05:00:00;5;SO2;0;80400000;05:00;0;05:00;0;0;720;TRUE
C.da Gabbia;2015-08-29 06:00:00;6;SO2;0;80400000;06:00;0;06:00;0;0;720;FALSE
C.da Gabbia;2015-08-29 06:00:00;6;SO2;0;80400000;06:00;0;06:00;0;0;720;TRUE
C.da Gabbia;2015-08-29 07:00:00;7;SO2;0;80400000;07:00;0;07:00;0;0;720;FALSE
C.da Gabbia;2015-08-29 07:00:00;7;SO2;0;80400000;07:00;0;07:00;0;0;720;TRUE
C.da Gabbia;2015-08-29 08:00:00;8;SO2;0;80400000;08:00;0;08:00;0;0;720;FALSE
