Stazione;xtime;hour;Parm;Aver;SWrd;MinT;Min;MaxT;Max;Sigma;Samp;is_dup
Enna;2015-08-30 00:00:00;0;CO;NA;NA;;NA;;NA;NA;NA;FALSE
Enna;2015-08-30 01:00:00;1;CO;0,20265267;80400000;00:28;0,14742963;00:02;0,31765045;0,03905558;720;FALSE
Enna;2015-08-30 02:00:00;2;CO;0,16776918;80400000;01:45;0,14175549;01:01;0,19282162;0,01057624;720;FALSE
Enna;2015-08-30 03:00:00;3;CO;0,16405027;80400000;02:54;0,13608134;02:52;0,2353777;0,01510574;720;FALSE
Enna;2015-08-30 04:00:00;4;CO;0,15633446;80400000;03:17;0,13040837;03:45;0,18998454;0,01081918;720;FALSE
Enna;2015-08-30 05:00:00;5;CO;0,1561616;80400000;04:41;0,13891842;04:11;0,18431157;0,00840259;720;FALSE
Enna;2015-08-30 06:00:00;6;CO;0,1813285;80400000;05:46;0,13324544;05:26;0,62404722;0,0859391;720;FALSE
Enna;2015-08-30 07:00:00;7;CO;0,1622971;80400000;06:42;0,13891842;06:39;0,2041699;0,01478922;720;FALSE
Enna;2015-08-30 08:00:00;8;CO;0,17393272;80400000;07:07;0,13324544;07:51;0,36871658;0,03879395;720;FALSE
Enna;2015-08-30 09:00:00;9;CO;0,1883108;80400000;08:56;0,14459256;08:50;0,29211797;0,02547992;720;FALSE
Enna;2015-08-30 10:00:00;10;CO;0,16875498;80400000;09:15;0,14175549;10:00;0,19849576;0,00997472;720;FALSE
Enna;2015-08-30 11:00:00;11;CO;0,18892517;80400000;10:57;0,14459256;10:19;0,42261978;0,04520277;720;FALSE
Enna;2015-08-30 12:00:00;12;CO;0,21376035;80400000;11:03;0,15310378;11:44;0,71483235;0,09794264;720;FALSE
Enna;2015-08-30 13:00:00;13;CO;0,18997286;80400000;12:59;0,15877792;12:09;0,24672482;0,015622;720;FALSE
Enna;2015-08-30 14:00:00;14;CO;0,17600475;80400000;13:14;0,1502667;13:27;0,2041699;0,00915011;720;FALSE
