Stazione;xtime;hour;Parm;Aver;SWrd;MinT;Min;MaxT;Max;Sigma;Samp;nhour;is_dup
Enna;2015-08-30 00:00:00;0;NO2;NA;NA;;NA;;NA;NA;NA;1;FALSE
Enna;2015-08-30 01:00:00;1;NO2;8,54262098;80400000;00:59;2,69812071;00:05;21,07102392;4,7378404;720;1;FALSE
Enna;2015-08-30 02:00:00;2;NO2;NA;NA;;NA;;NA;NA;NA;1;FALSE
Enna;2015-08-30 03:00:00;3;NO2;2,53191246;80400000;02:57;0;02:12;5,91786753;1,55102014;720;1;FALSE
Enna;2015-08-30 04:00:00;4;NO2;1,3032039;80400000;03:59;0;03:26;3,07866034;0,61220328;720;1;FALSE
Enna;2015-08-30 05:00:00;5;NO2;0,98060935;80400000;04:49;0;04:04;2,56555028;0,51525914;720;1;FALSE
Enna;2015-08-30 06:00:00;6;NO2;2,97884055;80400000;05:11;0;05:17;38,48324464;2,87024851;720;1;FALSE
Enna;2015-08-30 07:00:00;7;NO2;2,2567814;80400000;06:25;0;06:34;5,64421062;1,06215042;720;1;FALSE
Enna;2015-08-30 08:00:00;8;NO2;2,87674166;80400000;07:10;0;07:55;5,64421062;1,2188369;720;1;FALSE
Enna;2015-08-30 09:00:00;9;NO2;3,12541065;80400000;08:59;1,02622011;08:39;5,64421062;0,88175322;720;1;FALSE
Enna;2015-08-30 10:00:00;10;NO2;2,16746232;80400000;09:06;0;09:47;5,13110056;0,9162782;720;1;FALSE
Enna;2015-08-30 11:00:00;11;NO2;3,13106443;80400000;10:48;1,02622011;10:24;5,64421062;0,9105269;720;1;FALSE
Enna;2015-08-30 12:00:00;12;NO2;4,31468421;80400000;11:09;1,02622011;11:10;63,11251968;5,45103552;720;1;FALSE
Enna;2015-08-30 13:00:00;13;NO2;2,41579862;80400000;13:00;0;12:10;4,6179905;0,67926477;720;1;FALSE
Enna;2015-08-30 14:00:00;14;NO2;1,8466727;80400000;13:56;0,51311006;13:36;3,35231725;0,58790941;720;1;FALSE
Enna;2015-08-30 15:00:00;15;NO2;2,43865084;80400000;14:44;0,51311006;14:33;4,89164742;0,68321687;720;1;FALSE
Enna;2015-08-30 16:00:00;16;NO2;2,49499748;80400000;15:18;0,51311006;15:23;4,10488045;0,55962328;720;1;FALSE
Enna;2015-08-30 17:00:00;17;NO2;3,62996833;80400000;16:36;1,53933017;16:45;5,64421062;0,66928604;720;1;FALSE
Enna;2015-08-30 18:00:00;18;NO2;5,04795724;80400000;17:17;2,05244022;17:51;12,0751882;2,2091726;720;1;FALSE
Enna;2015-08-30 19:00:00;19;NO2;5,42518719;80400000;18:24;2,05244022;18:43;10,02274798;1,78298206;720;1;FALSE
Enna;2015-08-30 20:00:00;20;NO2;6,33253635;80400000;19:16;3,07866034;19:38;11,80152938;1,96797189;720;1;FALSE
Enna;2015-08-30 21:00:00;21;NO2;9,19550014;80400000;20:58;4,6179905;20:22;13,8539696;2,40621567;720;1;FALSE
Enna;2015-08-30 22:00:00;22;NO2;5,94931993;80400000;21:14;3,07866034;21:59;8,72287095;1,24839451;720;1;FALSE
Enna;2015-08-30 23:00:00;23;NO2;8,14186769;80400000;22:15;5,13110056;22:40;11,80152938;1,29016406;720;1;FALSE
Enna;2015-08-31 00:00:00;0;NO2;NA;NA;;NA;;NA;NA;NA;2;FALSE
