Stazione;xtime;hour;Parm;Aver;SWrd;MinT;Min;MaxT;Max;Sigma;Samp;is_dup
Enna;2015-08-30 00:00:00;0;O3;NA;NA;;NA;;NA;NA;NA;FALSE
Enna;2015-08-30 01:00:00;1;O3;94,2646677;80400000;00:04;72,4497816;00:30;103,68040935;8,09091602;720;FALSE
Enna;2015-08-30 02:00:00;2;O3;100,38004095;80400000;01:06;96,3856719;01:32;103,4524407;1,34044649;720;FALSE
Enna;2015-08-30 03:00:00;3;O3;100,92304005;80400000;02:09;94,7899512;02:47;104,592264;2,36678621;720;FALSE
Enna;2015-08-30 04:00:00;4;O3;101,60217795;81400000;03:22;96,1577232;03:00;105,04818135;1,89947541;720;FALSE
Enna;2015-08-30 05:00:00;5;O3;NA;NA;;NA;;NA;NA;NA;FALSE
Enna;2015-08-30 06:00:00;6;O3;104,7629562;80400000;05:17;63,1206429;05:47;109,27817985;3,61140486;720;FALSE
Enna;2015-08-30 07:00:00;7;O3;105,7287357;80400000;06:46;100,0002927;06:22;109,27817985;1,96952585;720;FALSE
Enna;2015-08-30 08:00:00;8;O3;102,8796363;80400000;07:46;96,05719515;07:31;107,6545491;2,33761731;720;FALSE
Enna;2015-08-30 09:00:00;9;O3;101,2850328;80400000;08:03;94,43354445;08:56;110,6698719;3,15236334;720;FALSE
Enna;2015-08-30 10:00:00;10;O3;108,9995382;80400000;09:51;105,3350823;09:44;113,2212774;1,7816567;720;FALSE
Enna;2015-08-30 11:00:00;11;O3;111,0725427;80400000;10:18;105,1031436;10:46;115,7727228;2,06734868;720;FALSE
Enna;2015-08-30 12:00:00;12;O3;110,2994004;80400000;11:09;70,77487935;11:06;117,39635355;4,07757252;720;FALSE
Enna;2015-08-30 13:00:00;13;O3;111,7107432;80400000;12:18;106,72677435;13:00;118,0921896;1,92233811;720;FALSE
Enna;2015-08-30 14:00:00;14;O3;115,81715145;80400000;13:47;111,82958535;13:49;119,94775905;1,61766171;720;FALSE
Enna;2015-08-30 15:00:00;15;O3;119,7345135;80400000;14:31;114,61296945;14:38;123,6589179;1,54422177;720;FALSE
Enna;2015-08-30 16:00:00;16;O3;116,97692475;80400000;15:56;113,453256;15:05;122,03528715;1,93737243;720;FALSE
Enna;2015-08-30 17:00:00;17;O3;109,79105445;80400000;16:44;104,1753489;16:04;114,61296945;2,24643983;720;FALSE
Enna;2015-08-30 18:00:00;18;O3;97,37732655;80400000;17:50;85,6195347;17:01;108,11844645;5,63291442;720;FALSE
Enna;2015-08-30 19:00:00;19;O3;99,3643665;80400000;18:31;90,25848825;18:52;105,56704095;3,36393708;720;FALSE
Enna;2015-08-30 20:00:00;20;O3;96,24368775;80400000;19:35;89,56263225;19:51;100,69612875;2,21995221;720;FALSE
Enna;2015-08-30 21:00:00;21;O3;93,606597;80400000;20:14;84,45978135;20:59;101,16000615;4,12940063;720;FALSE
Enna;2015-08-30 22:00:00;22;O3;98,79513315;80400000;21:03;91,4182416;21:10;106,03091835;2,27098032;720;FALSE
Enna;2015-08-30 23:00:00;23;O3;96,58227915;80400000;22:59;91,4182416;22:01;106,03091835;2,83884909;720;FALSE
Enna;2015-08-31 00:00:00;0;O3;NA;NA;;NA;;NA;NA;NA;FALSE
Enna;2015-08-31 00:00:00;0;O3;97,03681995;80400000;23:57;91,6501803;23:16;101,8558821;2,01777891;720;FALSE
Enna;2015-08-31 01:00:00;1;O3;102,38258205;80400000;00:02;90,25848825;00:57;111,36570795;5,91566777;720;FALSE
Enna;2015-08-31 01:00:00;1;O3;102,38258205;80400000;00:02;90,25848825;00:57;111,36570795;5,91566777;720;TRUE
Enna;2015-08-31 02:00:00;2;O3;108,860367;80400000;01:15;102,78365685;01:58;112,7574;2,47807728;720;FALSE
Enna;2015-08-31 02:00:00;2;O3;108,860367;80400000;01:15;102,78365685;01:58;112,7574;2,47807728;720;TRUE
Enna;2015-08-31 03:00:00;3;O3;107,2828008;80400000;02:28;102,78365685;02:04;112,9893387;2,57387519;720;FALSE
Enna;2015-08-31 03:00:00;3;O3;107,2828008;80400000;02:28;102,78365685;02:04;112,9893387;2,57387519;720;TRUE
Enna;2015-08-31 04:00:00;4;O3;109,6454394;81400000;03:09;105,3350823;03:28;113,91711345;2,10300332;720;FALSE
Enna;2015-08-31 04:00:00;4;O3;109,6454394;81400000;03:09;105,3350823;03:28;113,91711345;2,10300332;720;TRUE
Enna;2015-08-31 05:00:00;5;O3;NA;NA;;NA;;NA;NA;NA;FALSE
Enna;2015-08-31 05:00:00;5;O3;NA;NA;;NA;;NA;NA;NA;TRUE
Enna;2015-08-31 06:00:00;6;O3;103,17447735;80400000;05:47;88,6353762;05:05;111,47463495;4,96455152;720;FALSE
Enna;2015-08-31 06:00:00;6;O3;103,17447735;80400000;05:47;88,6353762;05:05;111,47463495;4,96455152;720;TRUE
Enna;2015-08-31 07:00:00;7;O3;97,81040115;80400000;06:50;92,5180452;06:30;102,7957266;1,99655211;720;FALSE
Enna;2015-08-31 07:00:00;7;O3;97,81040115;80400000;06:50;92,5180452;06:30;102,7957266;1,99655211;720;TRUE
Enna;2015-08-31 08:00:00;8;O3;101,4380493;80400000;07:04;91,60447485;07:54;107,36357835;3,35522093;720;FALSE
Enna;2015-08-31 08:00:00;8;O3;101,4380493;80400000;07:04;91,60447485;07:54;107,36357835;3,35522093;720;TRUE
Enna;2015-08-31 09:00:00;9;O3;108,8741325;80400000;08:07;101,8821363;08:49;114,90052875;2,88320393;720;FALSE
Enna;2015-08-31 09:00:00;9;O3;108,8741325;80400000;08:07;101,8821363;08:49;114,90052875;2,88320393;720;TRUE
Enna;2015-08-31 10:00:00;10;O3;110,19787485;80400000;09:35;106,44998805;09:56;114,44375355;1,66656116;720;FALSE
Enna;2015-08-31 10:00:00;10;O3;110,19787485;80400000;09:35;106,44998805;09:56;114,44375355;1,66656116;720;TRUE
Enna;2015-08-31 11:00:00;11;O3;114,19601445;80400000;10:05;106,22160045;10:52;121,29554115;3,45396146;720;FALSE
Enna;2015-08-31 11:00:00;11;O3;114,19601445;80400000;10:05;106,22160045;10:52;121,29554115;3,45396146;720;TRUE
Enna;2015-08-31 12:00:00;12;O3;116,61092205;80400000;11:38;111,0178398;11:05;121,0671336;1,53328119;720;FALSE
Enna;2015-08-31 12:00:00;12;O3;116,61092205;80400000;11:38;111,0178398;11:05;121,0671336;1,53328119;720;TRUE
Enna;2015-08-31 13:00:00;13;O3;118,5269001;80400000;12:24;113,5301832;12:58;124,9498026;2,13487145;720;FALSE
Enna;2015-08-31 13:00:00;13;O3;118,5269001;80400000;12:24;113,5301832;12:58;124,9498026;2,13487145;720;TRUE
