Stazione;xtime;hour;Parm;Aver;SWrd;MinT;Min;MaxT;Max;Sigma;Samp;is_dup
Enna;2015-08-30 00:00:00;0;SO2;NA;NA;;NA;;NA;NA;NA;FALSE
Enna;2015-08-30 01:00:00;1;SO2;NA;NA;;NA;;NA;NA;NA;FALSE
Enna;2015-08-30 02:00:00;2;SO2;0,41482108;80400000;01:59;0;01:01;1,52494472;0,33883084;720;FALSE
Enna;2015-08-30 03:00:00;3;SO2;0,31508592;80400000;02:58;0;02:59;1,19463227;0,30210087;720;FALSE
Enna;2015-08-30 04:00:00;4;SO2;0,27116576;80400000;03:59;0;03:39;1,19463227;0,28186358;720;FALSE
Enna;2015-08-30 05:00:00;5;SO2;0,18009951;80400000;04:59;0;04:56;0,86432186;0,21808853;720;FALSE
Enna;2015-08-30 06:00:00;6;SO2;0,18737106;80400000;05:59;0;05:59;0,86432186;0,22919112;720;FALSE
Enna;2015-08-30 07:00:00;7;SO2;0,27027894;80400000;07:00;0;06:58;1,19463227;0,28581971;720;FALSE
Enna;2015-08-30 08:00:00;8;SO2;0,45511767;80400000;07:58;0;07:57;1,19463227;0,32722484;720;FALSE
Enna;2015-08-30 09:00:00;9;SO2;0,20804057;80400000;09:00;0;08:12;1,19463227;0,27089422;720;FALSE
Enna;2015-08-30 10:00:00;10;SO2;0,22763613;80400000;10:00;0;09:55;1,19463227;0,28721504;720;FALSE
Enna;2015-08-30 11:00:00;11;SO2;0,53537117;80400000;11:00;0;10:51;1,52494472;0,36533081;720;FALSE
Enna;2015-08-30 12:00:00;12;SO2;0,44857938;80400000;11:59;0;11:59;1,19463227;0,32771503;720;FALSE
Enna;2015-08-30 13:00:00;13;SO2;0,21682338;80400000;13:00;0;12:33;1,19463227;0,24912839;720;FALSE
Enna;2015-08-30 14:00:00;14;SO2;0,34330055;80400000;13:59;0;13:43;1,19463227;0,30679534;720;FALSE
Enna;2015-08-30 15:00:00;15;SO2;0,74887202;80400000;14:59;0;14:41;1,85525513;0,39773039;720;FALSE
Enna;2015-08-30 16:00:00;16;SO2;0,48698537;80400000;15:59;0;15:16;1,52494472;0,34547897;720;FALSE
Enna;2015-08-30 17:00:00;17;SO2;0,31835049;80400000;17:00;0;16:40;1,19463227;0,32416061;720;FALSE
Enna;2015-08-30 18:00:00;18;SO2;0,16256745;80400000;18:00;0;17:23;1,19463227;0,22665676;720;FALSE
Enna;2015-08-30 19:00:00;19;SO2;0,30207951;80400000;19:00;0;18:20;1,52494472;0,31404248;720;FALSE
Enna;2015-08-30 20:00:00;20;SO2;0,53797775;80400000;19:45;0;19:50;1,85525513;0,38574912;720;FALSE
Enna;2015-08-30 21:00:00;21;SO2;0,687193;80400000;20:48;0;20:58;1,52494472;0,36583626;720;FALSE
Enna;2015-08-30 22:00:00;22;SO2;0,74732821;80400000;21:49;0;21:57;1,85525513;0,36634984;720;FALSE
Enna;2015-08-30 23:00:00;23;SO2;0,70559562;80400000;23:00;0;22:27;1,85525513;0,39594353;720;FALSE
Enna;2015-08-31 00:00:00;0;SO2;NA;NA;;NA;;NA;NA;NA;FALSE
