Stazione;xtime;hour;Parm;Aver;SWrd;MinT;Min;MaxT;Max;Sigma;Samp;nhour;is_dup
GELA exAutoparco;2015-09-10 00:00:00;0;Benzene;NA;NA;;NA;;NA;NA;NA;2;FALSE
GELA exAutoparco;2015-09-10 01:00:00;1;Benzene;NA;NA;;NA;;NA;NA;NA;1;FALSE
GELA exAutoparco;2015-09-10 02:00:00;2;Benzene;NA;NA;;NA;;NA;NA;NA;1;FALSE
GELA exAutoparco;2015-09-10 03:00:00;3;Benzene;NA;NA;;NA;;NA;NA;NA;1;FALSE
GELA exAutoparco;2015-09-10 04:00:00;4;Benzene;NA;NA;;NA;;NA;NA;NA;1;FALSE
GELA exAutoparco;2015-09-10 05:00:00;5;Benzene;NA;NA;;NA;;NA;NA;NA;1;FALSE
GELA exAutoparco;2015-09-10 06:00:00;6;Benzene;NA;NA;;NA;;NA;NA;NA;1;FALSE
GELA exAutoparco;2015-09-10 07:00:00;7;Benzene;NA;NA;;NA;;NA;NA;NA;1;FALSE
GELA exAutoparco;2015-09-10 08:00:00;8;Benzene;NA;NA;;NA;;NA;NA;NA;1;FALSE
GELA exAutoparco;2015-09-10 09:00:00;9;Benzene;NA;NA;;NA;;NA;NA;NA;1;FALSE
GELA exAutoparco;2015-09-10 10:00:00;10;Benzene;NA;NA;;NA;;NA;NA;NA;1;FALSE
GELA exAutoparco;2015-09-10 11:00:00;11;Benzene;NA;NA;;NA;;NA;NA;NA;1;FALSE
GELA exAutoparco;2015-09-10 12:00:00;12;Benzene;NA;NA;;NA;;NA;NA;NA;1;FALSE
GELA exAutoparco;2015-09-10 13:00:00;13;Benzene;0,02793902;80410000;12:24;0;12:54;0,04513344;0,01992913;3;1;FALSE
GELA exAutoparco;2015-09-10 14:00:00;14;Benzene;0,02724848;80400000;13:39;0,02146684;13:09;0,03647165;0,0056291;4;1;FALSE
GELA exAutoparco;2015-09-10 15:00:00;15;Benzene;0,04947807;80400000;14:09;0,01157244;14:39;0,09311245;0,03002896;4;1;FALSE
GELA exAutoparco;2015-09-10 16:00:00;16;Benzene;0,13561492;80400000;15:54;0,08798372;15:39;0,22065646;0,05066796;4;1;FALSE
GELA exAutoparco;2015-09-10 17:00:00;17;Benzene;0,08866816;80400000;16:54;0,05766288;16:09;0,13074552;0,02984387;4;1;FALSE
GELA exAutoparco;2015-09-10 18:00:00;18;Benzene;0,06824273;80400000;17:24;0,04621757;17:54;0,11061197;0,02496735;4;1;FALSE
GELA exAutoparco;2015-09-10 19:00:00;19;Benzene;0,51838219;80400000;18:24;0,11966022;18:39;0,99962862;0,3184766;4;1;FALSE
GELA exAutoparco;2015-09-10 20:00:00;20;Benzene;0,22905281;80400000;19:54;0,09191849;19:09;0,37287898;0,12137285;4;1;FALSE
GELA exAutoparco;2015-09-10 21:00:00;21;Benzene;0,26274398;80400000;20:24;0,15659563;20:39;0,38345782;0,092487;4;1;FALSE
GELA exAutoparco;2015-09-10 22:00:00;22;Benzene;0,17878657;80400000;21:24;0,10675449;21:54;0,2731062;0,06266551;4;1;FALSE
GELA exAutoparco;2015-09-10 23:00:00;23;Benzene;0,19590268;80400000;22:39;0,12625547;22:09;0,26925177;0,05317893;4;1;FALSE
