Stazione;xtime;hour;Parm;Aver;SWrd;MinT;Min;MaxT;Max;Sigma;Samp;nhour;is_dup
GELA exAutoparco;2015-08-27 00:00:00;0;Benzene;NA;NA;;NA;;NA;NA;NA;1;FALSE
GELA exAutoparco;2015-08-27 01:00:00;1;Benzene;0,27983467;80400000;00:34;0,24288909;00:19;0,35006869;0,04294384;4;1;FALSE
GELA exAutoparco;2015-08-27 02:00:00;2;Benzene;0,45706014;80400000;01:03;0,27939024;01:04;0,52087689;0,08975127;5;1;FALSE
GELA exAutoparco;2015-08-27 03:00:00;3;Benzene;0,5120951;80400000;02:19;0,47923074;02:49;0,53423112;0,02047424;4;1;FALSE
GELA exAutoparco;2015-08-27 04:00:00;4;Benzene;0,44822241;80400000;03:49;0,22158701;03:19;0,55547421;0,13340904;4;1;FALSE
GELA exAutoparco;2015-08-27 05:00:00;5;Benzene;0,59943912;80400000;04:49;0,40086072;04:19;0,74578644;0,14049143;4;1;FALSE
GELA exAutoparco;2015-08-27 06:00:00;6;Benzene;0,48785083;80400000;05:19;0,22938638;05:34;0,71218273;0,17156485;4;1;FALSE
GELA exAutoparco;2015-08-27 07:00:00;7;Benzene;0,47819645;80400000;06:49;0,45851038;06:19;0,52704194;0,02828684;4;1;FALSE
GELA exAutoparco;2015-08-27 08:00:00;8;Benzene;0,4470193;80400000;07:49;0,38992085;07:19;0,47817713;0,03480784;4;1;FALSE
GELA exAutoparco;2015-08-27 09:00:00;9;Benzene;0,49199409;80400000;08:04;0,35220337;08:49;0,70760521;0,13366838;4;1;FALSE
GELA exAutoparco;2015-08-27 10:00:00;10;Benzene;0,61245571;80400000;09:04;0,35490554;09:49;0,93754688;0,22105207;4;1;FALSE
GELA exAutoparco;2015-08-27 11:00:00;11;Benzene;0,50570732;80400000;10:49;0,27001045;10:04;0,73628156;0,16490147;4;1;FALSE
GELA exAutoparco;2015-08-27 12:00:00;12;Benzene;0,56202064;80400000;11:04;0,48216072;11:34;0,63970724;0,06510224;4;1;FALSE
GELA exAutoparco;2015-08-27 13:00:00;13;Benzene;0,56336105;80400000;12:19;0,4306517;12:34;0,66351012;0,09400131;4;1;FALSE
GELA exAutoparco;2015-08-27 14:00:00;14;Benzene;0,40654778;80400000;13:34;0,3516125;13:19;0,44288621;0,03412238;4;1;FALSE
GELA exAutoparco;2015-08-27 15:00:00;15;Benzene;0,54197456;80400000;14:04;0,45593127;14:34;0,61202043;0,0622404;4;1;FALSE
GELA exAutoparco;2015-08-27 16:00:00;16;Benzene;0,3611967;80400000;15:34;0,2001039;15:49;0,5666663;0,13622512;4;1;FALSE
GELA exAutoparco;2015-08-27 17:00:00;17;Benzene;0,45237889;80400000;16:19;0,42104309;16:49;0,48651449;0,02985709;4;1;FALSE
