Stazione;xtime;hour;Parm;Aver;SWrd;MinT;Min;MaxT;Max;Sigma;Samp;nhour;is_dup
Megara SR;2015-09-06 00:00:00;0;Benzene;NA;NA;;NA;;NA;NA;NA;3;FALSE
Megara SR;2015-09-06 00:00:00;0;Benzene;0,44698676;80400000;23:01;0,06369674;23:46;1,4598974;0,58653034;4;3;FALSE
Megara SR;2015-09-06 00:00:00;0;Benzene;0,44698676;80400000;23:01;0,06369674;23:46;1,4598974;0,58653034;4;3;TRUE
Megara SR;2015-09-06 01:00:00;1;Benzene;NA;NA;;NA;;NA;NA;NA;2;FALSE
Megara SR;2015-09-06 01:00:00;1;Benzene;NA;NA;;NA;;NA;NA;NA;2;TRUE
Megara SR;2015-09-06 02:00:00;2;Benzene;4,13220524;81400000;01:46;0,64925178;01:08;9,43172207;3,80857652;3;2;FALSE
Megara SR;2015-09-06 02:00:00;2;Benzene;4,13220524;81400000;01:46;0,64925178;01:08;9,43172207;3,80857652;3;2;TRUE
Megara SR;2015-09-06 03:00:00;3;Benzene;0,34686311;80400000;02:16;0,25501275;02:01;0,56369462;0,12623309;4;2;FALSE
Megara SR;2015-09-06 03:00:00;3;Benzene;0,34686311;80400000;02:16;0,25501275;02:01;0,56369462;0,12623309;4;2;TRUE
Megara SR;2015-09-06 04:00:00;4;Benzene;1,47157968;80400000;03:31;0,39748937;03:46;4,25644908;1,61576587;4;2;FALSE
Megara SR;2015-09-06 04:00:00;4;Benzene;1,47157968;80400000;03:31;0,39748937;03:46;4,25644908;1,61576587;4;2;TRUE
Megara SR;2015-09-06 05:00:00;5;Benzene;3,4493467;80400000;04:46;0,28516782;04:16;5,1648467;1,88792117;4;2;FALSE
Megara SR;2015-09-06 05:00:00;5;Benzene;3,4493467;80400000;04:46;0,28516782;04:16;5,1648467;1,88792117;4;2;TRUE
Megara SR;2015-09-06 06:00:00;6;Benzene;0,18185892;80400000;05:46;0,0757787;05:16;0,25124578;0,06999401;4;2;FALSE
Megara SR;2015-09-06 06:00:00;6;Benzene;0,18185892;80400000;05:46;0,0757787;05:16;0,25124578;0,06999401;4;2;TRUE
Megara SR;2015-09-06 07:00:00;7;Benzene;1,50413893;80400000;06:02;0,97700953;06:17;2,44232448;0,55782247;4;2;FALSE
Megara SR;2015-09-06 07:00:00;7;Benzene;1,50413893;80400000;06:02;0,97700953;06:17;2,44232448;0,55782247;4;2;TRUE
Megara SR;2015-09-06 08:00:00;8;Benzene;1,09768166;80400000;07:32;0,26788899;07:02;2,37087718;0,77852774;4;2;FALSE
Megara SR;2015-09-06 08:00:00;8;Benzene;1,09768166;80400000;07:32;0,26788899;07:02;2,37087718;0,77852774;4;2;TRUE
Megara SR;2015-09-06 09:00:00;9;Benzene;3,82373999;80400000;08:47;1,11495744;08:32;6,45933312;1,89916309;4;2;FALSE
Megara SR;2015-09-06 09:00:00;9;Benzene;3,82373999;80400000;08:47;1,11495744;08:32;6,45933312;1,89916309;4;2;TRUE
Megara SR;2015-09-06 10:00:00;10;Benzene;0,23493717;80400000;09:46;0,11640582;09:01;0,50529543;0,15720583;4;2;FALSE
Megara SR;2015-09-06 10:00:00;10;Benzene;0,23493717;80400000;09:46;0,11640582;09:01;0,50529543;0,15720583;4;2;TRUE
Megara SR;2015-09-06 11:00:00;11;Benzene;0,10861052;80400000;10:31;0,08960584;10:01;0,12136675;0,01270436;4;2;FALSE
Megara SR;2015-09-06 11:00:00;11;Benzene;0,10861052;80400000;10:31;0,08960584;10:01;0,12136675;0,01270436;4;2;TRUE
Megara SR;2015-09-06 12:00:00;12;Benzene;0,07036725;80400000;11:16;0,05593703;11:01;0,08115457;0,00931369;4;2;FALSE
Megara SR;2015-09-06 12:00:00;12;Benzene;0,07036725;80400000;11:16;0,05593703;11:01;0,08115457;0,00931369;4;2;TRUE
Megara SR;2015-09-06 13:00:00;13;Benzene;0,06637654;80400000;12:31;0;12:16;0,11160761;0,04100341;4;2;FALSE
Megara SR;2015-09-06 13:00:00;13;Benzene;0,06637654;80400000;12:31;0;12:16;0,11160761;0,04100341;4;2;TRUE
Megara SR;2015-09-06 14:00:00;14;Benzene;0,07599634;80400000;13:46;0,06037827;13:16;0,11453149;0,02245638;4;2;FALSE
Megara SR;2015-09-06 14:00:00;14;Benzene;0,07599634;80400000;13:46;0,06037827;13:16;0,11453149;0,02245638;4;2;TRUE
Megara SR;2015-09-06 15:00:00;15;Benzene;0,04020913;80400000;14:16;0;14:46;0,09274328;0,04114375;4;2;FALSE
Megara SR;2015-09-06 15:00:00;15;Benzene;0,04020913;80400000;14:16;0;14:46;0,09274328;0,04114375;4;2;TRUE
Megara SR;2015-09-06 16:00:00;16;Benzene;0,06681182;80400000;15:16;0,05437696;15:46;0,07790322;0,00950895;4;2;FALSE
Megara SR;2015-09-06 16:00:00;16;Benzene;0,06681182;80400000;15:16;0,05437696;15:46;0,07790322;0,00950895;4;2;TRUE
Megara SR;2015-09-06 17:00:00;17;Benzene;0,47719369;80400000;16:46;0;16:01;1,75450603;0,73813046;4;2;FALSE
Megara SR;2015-09-06 17:00:00;17;Benzene;0,47719369;80400000;16:46;0;16:01;1,75450603;0,73813046;4;2;TRUE
Megara SR;2015-09-06 18:00:00;18;Benzene;0,33720161;80400000;17:16;0;17:46;1,20407613;0,50136981;4;2;FALSE
Megara SR;2015-09-06 18:00:00;18;Benzene;0,33720161;80400000;17:16;0;17:46;1,20407613;0,50136981;4;2;TRUE
