Stazione;xtime;hour;Parm;Aver;SWrd;MinT;Min;MaxT;Max;Sigma;Samp;is_dup
Megara SR;2015-08-30 00:00:00;0;Benzene;NA;NA;;NA;;NA;NA;NA;FALSE
Megara SR;2015-08-30 01:00:00;1;Benzene;0,58551843;80400000;00:46;0,43687778;00:31;0,9996093;0,23938553;4;FALSE
Megara SR;2015-08-30 02:00:00;2;Benzene;0,77655883;80400000;01:31;0,46079456;01:16;1,19285761;0,26676622;4;FALSE
Megara SR;2015-08-30 03:00:00;3;Benzene;0,40771835;80400000;02:31;0,17476637;02:16;0,67433609;0,22089037;4;FALSE
Megara SR;2015-08-30 04:00:00;4;Benzene;0,1990625;80400000;03:46;0,14224982;03:16;0,28211173;0,05153444;4;FALSE
Megara SR;2015-08-30 05:00:00;5;Benzene;0,2726933;80400000;04:31;0,16797281;04:16;0,37732022;0,09291515;4;FALSE
Megara SR;2015-08-30 06:00:00;6;Benzene;0,18542758;80400000;05:01;0,07623635;05:46;0,30027942;0,08424014;4;FALSE
Megara SR;2015-08-30 07:00:00;7;Benzene;0,30316058;80400000;06:31;0,23182312;06:16;0,39100396;0,05745236;4;FALSE
Megara SR;2015-08-30 08:00:00;8;Benzene;0,67329163;80400000;07:01;0,15071432;07:46;2,2294735;0,89846662;4;FALSE
Megara SR;2015-08-30 09:00:00;9;Benzene;1,43748577;80400000;08:16;0,32692482;08:31;2,81661099;0,89117676;4;FALSE
Megara SR;2015-08-30 10:00:00;10;Benzene;0,10360077;80400000;09:46;0,0567903;09:02;0,16525436;0,04064034;4;FALSE
Megara SR;2015-08-30 11:00:00;11;Benzene;0,09979923;80400000;10:01;0,06735998;10:16;0,11441148;0,0191796;4;FALSE
Megara SR;2015-08-30 12:00:00;12;Benzene;0,12849795;80400000;11:31;0,0855175;11:46;0,17504909;0,03755883;4;FALSE
Megara SR;2015-08-30 13:00:00;13;Benzene;0,07466306;80400000;12:31;0,05492207;12:01;0,09401148;0,01814531;4;FALSE
Megara SR;2015-08-30 14:00:00;14;Benzene;0,04664877;80400000;13:16;0;13:01;0,06914075;0,02726475;4;FALSE
Megara SR;2015-08-30 15:00:00;15;Benzene;0,05215379;80400000;14:31;0;14:01;0,07540547;0,03059339;4;FALSE
Megara SR;2015-08-30 16:00:00;16;Benzene;0;80400000;15:46;0;15:46;0;0;4;FALSE
Megara SR;2015-08-30 17:00:00;17;Benzene;0,04336285;80400000;16:46;0;16:01;0,06394388;0,02533449;4;FALSE
Megara SR;2015-08-30 18:00:00;18;Benzene;0,06704573;80400000;17:01;0,05351657;17:31;0,08602396;0,01197111;4;FALSE
Megara SR;2015-08-30 19:00:00;19;Benzene;0,06922211;80400000;18:46;0,05448679;18:16;0,09440404;0,01632488;4;FALSE
Megara SR;2015-08-30 20:00:00;20;Benzene;0,07702453;80400000;19:16;0,05951891;19:01;0,0960648;0,0141485;4;FALSE
Megara SR;2015-08-30 21:00:00;21;Benzene;0,56307222;80400000;20:16;0,06942042;20:46;1,99816702;0,82866075;4;FALSE
Megara SR;2015-08-30 22:00:00;22;Benzene;0,43580687;80400000;21:31;0,24786934;21:01;0,91919104;0,28011943;4;FALSE
Megara SR;2015-08-30 23:00:00;23;Benzene;0,34068992;80400000;22:31;0,19577352;22:01;0,53209949;0,13598205;4;FALSE
Megara SR;2015-08-31 00:00:00;0;Benzene;NA;NA;;NA;;NA;NA;NA;FALSE
Megara SR;2015-08-31 00:00:00;0;Benzene;0,77173418;80400000;23:16;0,57128958;23:31;0,96658934;0,14624053;4;FALSE
Megara SR;2015-08-31 01:00:00;1;Benzene;NA;NA;;NA;;NA;NA;NA;FALSE
Megara SR;2015-08-31 01:00:00;1;Benzene;NA;NA;;NA;;NA;NA;NA;TRUE
Megara SR;2015-08-31 02:00:00;2;Benzene;0,49234801;81400000;01:46;0,1781245;01:31;0,78724851;0,24904703;3;FALSE
Megara SR;2015-08-31 02:00:00;2;Benzene;0,49234801;81400000;01:46;0,1781245;01:31;0,78724851;0,24904703;3;TRUE
Megara SR;2015-08-31 03:00:00;3;Benzene;0,22809174;80400000;02:46;0,1511323;02:01;0,3478496;0,07848799;4;FALSE
Megara SR;2015-08-31 03:00:00;3;Benzene;0,22809174;80400000;02:46;0,1511323;02:01;0,3478496;0,07848799;4;TRUE
Megara SR;2015-08-31 04:00:00;4;Benzene;0,23122614;80400000;03:01;0,16045921;03:31;0,2768335;0,04824445;4;FALSE
Megara SR;2015-08-31 04:00:00;4;Benzene;0,23122614;80400000;03:01;0,16045921;03:31;0,2768335;0,04824445;4;TRUE
Megara SR;2015-08-31 05:00:00;5;Benzene;0,28392199;80400000;04:01;0,15280934;04:16;0,48728945;0,1397419;4;FALSE
Megara SR;2015-08-31 05:00:00;5;Benzene;0,28392199;80400000;04:01;0,15280934;04:16;0,48728945;0,1397419;4;TRUE
Megara SR;2015-08-31 06:00:00;6;Benzene;0,17431583;80400000;05:16;0,10650838;05:46;0,31207865;0,08350994;4;FALSE
Megara SR;2015-08-31 06:00:00;6;Benzene;0,17431583;80400000;05:16;0,10650838;05:46;0,31207865;0,08350994;4;TRUE
