Stazione;xtime;hour;Parm;Aver;SWrd;MinT;Min;MaxT;Max;Sigma;Samp;nhour;is_dup
Misterbianco;2015-09-01 00:00:00;0;Benzene;1,09206579;80400000;23:39;0,89889782;23:24;1,27106999;0,13310089;4;3;FALSE
Misterbianco;2015-09-01 00:00:00;0;Benzene;NA;NA;;NA;;NA;NA;NA;3;FALSE
Misterbianco;2015-09-01 00:00:00;0;Benzene;1,09206579;80400000;23:39;0,89889782;23:24;1,27106999;0,13310089;4;3;TRUE
Misterbianco;2015-09-01 01:00:00;1;Benzene;0,93719601;80400000;00:39;0,78567115;00:09;1,11135929;0,11733739;4;2;FALSE
Misterbianco;2015-09-01 01:00:00;1;Benzene;0,93719601;80400000;00:39;0,78567115;00:09;1,11135929;0,11733739;4;2;TRUE
Misterbianco;2015-09-01 02:00:00;2;Benzene;0,67138374;80400000;01:54;0,39699612;01:08;0,84390253;0,17419583;4;2;FALSE
Misterbianco;2015-09-01 02:00:00;2;Benzene;0,67138374;80400000;01:54;0,39699612;01:08;0,84390253;0,17419583;4;2;TRUE
Misterbianco;2015-09-01 03:00:00;3;Benzene;1,69844899;80400000;02:39;0,69613752;02:24;2,73121045;0,96550522;4;2;FALSE
Misterbianco;2015-09-01 03:00:00;3;Benzene;1,69844899;80400000;02:39;0,69613752;02:24;2,73121045;0,96550522;4;2;TRUE
Misterbianco;2015-09-01 04:00:00;4;Benzene;0,70185306;80400000;03:39;0,28454846;03:08;1,02570247;0,2698457;4;2;FALSE
Misterbianco;2015-09-01 04:00:00;4;Benzene;0,70185306;80400000;03:39;0,28454846;03:08;1,02570247;0,2698457;4;2;TRUE
Misterbianco;2015-09-01 05:00:00;5;Benzene;0,97103669;80400000;04:09;0,79927149;04:39;1,1668163;0,15335445;4;2;FALSE
Misterbianco;2015-09-01 05:00:00;5;Benzene;0,97103669;80400000;04:09;0,79927149;04:39;1,1668163;0,15335445;4;2;TRUE
Misterbianco;2015-09-01 06:00:00;6;Benzene;2,10383841;80400000;05:09;1,45279569;05:53;2,57728445;0,46439576;4;2;FALSE
Misterbianco;2015-09-01 06:00:00;6;Benzene;2,10383841;80400000;05:09;1,45279569;05:53;2,57728445;0,46439576;4;2;TRUE
Misterbianco;2015-09-01 07:00:00;7;Benzene;1,54362701;80400000;06:54;0,09564275;06:09;2,97385241;1,24577822;4;2;FALSE
Misterbianco;2015-09-01 07:00:00;7;Benzene;1,54362701;80400000;06:54;0,09564275;06:09;2,97385241;1,24577822;4;2;TRUE
Misterbianco;2015-09-01 08:00:00;8;Benzene;0,0808393;80400000;07:39;0;07:54;0,14449841;0,05217719;4;2;FALSE
Misterbianco;2015-09-01 08:00:00;8;Benzene;0,0808393;80400000;07:39;0;07:54;0,14449841;0,05217719;4;2;TRUE
Misterbianco;2015-09-01 09:00:00;9;Benzene;0,20643676;80400000;08:09;0,09744996;08:39;0,31172169;0,09288871;4;2;FALSE
Misterbianco;2015-09-01 09:00:00;9;Benzene;0,20643676;80400000;08:09;0,09744996;08:39;0,31172169;0,09288871;4;2;TRUE
Misterbianco;2015-09-01 10:00:00;10;Benzene;0,28268939;80400000;09:54;0,19020239;09:23;0,40982049;0,08793185;4;2;FALSE
Misterbianco;2015-09-01 10:00:00;10;Benzene;0,28268939;80400000;09:54;0,19020239;09:23;0,40982049;0,08793185;4;2;TRUE
Misterbianco;2015-09-01 11:00:00;11;Benzene;0,39282134;80400000;10:54;0,27641145;10:09;0,49019298;0,07863647;4;2;FALSE
Misterbianco;2015-09-01 11:00:00;11;Benzene;0,39282134;80400000;10:54;0,27641145;10:09;0,49019298;0,07863647;4;2;TRUE
Misterbianco;2015-09-01 12:00:00;12;Benzene;0,27264855;80400000;11:53;0,1587954;11:39;0,40329644;0,0903452;4;2;FALSE
Misterbianco;2015-09-01 12:00:00;12;Benzene;0,27264855;80400000;11:53;0,1587954;11:39;0,40329644;0,0903452;4;2;TRUE
Misterbianco;2015-09-01 13:00:00;13;Benzene;0,25569719;80400000;12:08;0,14672361;12:23;0,4395057;0,12018906;4;2;FALSE
Misterbianco;2015-09-01 13:00:00;13;Benzene;0,25569719;80400000;12:08;0,14672361;12:23;0,4395057;0,12018906;4;2;TRUE
Misterbianco;2015-09-01 14:00:00;14;Benzene;0,33306547;80400000;13:39;0,22975657;13:54;0,51836592;0,11439826;4;2;FALSE
Misterbianco;2015-09-01 14:00:00;14;Benzene;0,33306547;80400000;13:39;0,22975657;13:54;0,51836592;0,11439826;4;2;TRUE
Misterbianco;2015-09-01 15:00:00;15;Benzene;0,4594806;80400000;14:09;0,33256002;14:53;0,54374922;0,08428489;4;2;FALSE
Misterbianco;2015-09-01 15:00:00;15;Benzene;0,4594806;80400000;14:09;0,33256002;14:53;0,54374922;0,08428489;4;2;TRUE
Misterbianco;2015-09-01 16:00:00;16;Benzene;0,4340556;80400000;15:39;0,27153188;15:24;0,59695459;0,11505626;4;2;FALSE
Misterbianco;2015-09-01 16:00:00;16;Benzene;0,4340556;80400000;15:39;0,27153188;15:24;0,59695459;0,11505626;4;2;TRUE
Misterbianco;2015-09-01 17:00:00;17;Benzene;0,19192824;80400000;16:39;0,14091959;16:24;0,25323198;0,04018676;4;2;FALSE
Misterbianco;2015-09-01 17:00:00;17;Benzene;0,19192824;80400000;16:39;0,14091959;16:24;0,25323198;0,04018676;4;2;TRUE
Misterbianco;2015-09-01 18:00:00;18;Benzene;0,57194148;80400000;17:23;0,40267708;17:54;0,86862987;0,19007933;4;2;FALSE
Misterbianco;2015-09-01 18:00:00;18;Benzene;0,57194148;80400000;17:23;0,40267708;17:54;0,86862987;0,19007933;4;2;TRUE
Misterbianco;2015-09-01 19:00:00;19;Benzene;0,34837844;80400000;18:39;0,18678324;18:54;0,75174606;0,2338144;4;2;FALSE
Misterbianco;2015-09-01 19:00:00;19;Benzene;0,34837844;80400000;18:39;0,18678324;18:54;0,75174606;0,2338144;4;2;TRUE
Misterbianco;2015-09-01 20:00:00;20;Benzene;1,16674817;80400000;19:09;0,48681654;19:53;1,73806114;0,5050483;4;2;FALSE
Misterbianco;2015-09-01 20:00:00;20;Benzene;1,16674817;80400000;19:09;0,48681654;19:53;1,73806114;0,5050483;4;2;TRUE
Misterbianco;2015-09-01 21:00:00;21;Benzene;0,75571439;80400000;20:39;0,40160008;20:08;1,10794319;0,27279805;4;2;FALSE
Misterbianco;2015-09-01 21:00:00;21;Benzene;0,75571439;80400000;20:39;0,40160008;20:08;1,10794319;0,27279805;4;2;TRUE
Misterbianco;2015-09-01 22:00:00;22;Benzene;0,79901215;80400000;21:09;0,60722934;21:24;0,94589136;0,12700805;4;2;FALSE
Misterbianco;2015-09-01 22:00:00;22;Benzene;0,79901215;80400000;21:09;0,60722934;21:24;0,94589136;0,12700805;4;2;TRUE
Misterbianco;2015-09-01 23:00:00;23;Benzene;1,10936801;80400000;22:09;0,80034544;22:54;1,36048768;0,20015882;4;2;FALSE
Misterbianco;2015-09-01 23:00:00;23;Benzene;1,10936801;80400000;22:09;0,80034544;22:54;1,36048768;0,20015882;4;2;TRUE
Misterbianco;2015-09-01 00:00:00;0;CO;0,35448099;80400000;23:27;0,25407621;23:04;0,59588206;0,07402317;720;3;FALSE
Misterbianco;2015-09-01 00:00:00;0;CO;NA;NA;;NA;;NA;NA;NA;3;FALSE
Misterbianco;2015-09-01 00:00:00;0;CO;0,35448099;80400000;23:27;0,25407621;23:04;0,59588206;0,07402317;720;3;TRUE
Misterbianco;2015-09-01 01:00:00;1;CO;0,32257941;80400000;00:20;0,22843978;00:00;0,42213038;0,04991915;720;2;FALSE
Misterbianco;2015-09-01 01:00:00;1;CO;0,32257941;80400000;00:20;0,22843978;00:00;0,42213038;0,04991915;720;2;TRUE
Misterbianco;2015-09-01 02:00:00;2;CO;0,2944201;80400000;01:39;0,20850202;01:56;0,55030787;0,07160541;720;2;FALSE
Misterbianco;2015-09-01 02:00:00;2;CO;0,2944201;80400000;01:39;0,20850202;01:56;0,55030787;0,07160541;720;2;TRUE
