Stazione;xtime;hour;Parm;Aver;SWrd;MinT;Min;MaxT;Max;Sigma;Samp;nhour;is_dup
Misterbianco;2015-08-30 00:00:00;0;Benzene;NA;NA;;NA;;NA;NA;NA;1;FALSE
Misterbianco;2015-08-30 01:00:00;1;Benzene;0,30418267;80400000;00:54;0,17039632;00:24;0,50006195;0,12302141;4;1;FALSE
Misterbianco;2015-08-30 02:00:00;2;Benzene;0,12502286;80400000;01:39;0,10239156;01:24;0,14460215;0,01690254;4;1;FALSE
Misterbianco;2015-08-30 03:00:00;3;Benzene;0,17143467;80400000;02:54;0,10859729;02:09;0,23401882;0,04478665;4;1;FALSE
Misterbianco;2015-08-30 04:00:00;4;Benzene;0,20403257;80400000;03:09;0,11733434;03:54;0,3540238;0,09724554;4;1;FALSE
Misterbianco;2015-08-30 05:00:00;5;Benzene;0,64824597;80400000;04:09;0,35677479;04:53;0,8718741;0,18987187;4;1;FALSE
Misterbianco;2015-08-30 06:00:00;6;Benzene;0,83963622;80400000;05:08;0,51483693;05:39;0,97853808;0,18848976;4;1;FALSE
Misterbianco;2015-08-30 07:00:00;7;Benzene;0,9069606;80400000;06:39;0,68682587;06:54;1,35418025;0,26520004;4;1;FALSE
Misterbianco;2015-08-30 08:00:00;8;Benzene;0,26380166;80400000;07:53;0,1458439;07:39;0,42835532;0,11563697;4;1;FALSE
Misterbianco;2015-08-30 09:00:00;9;Benzene;0,13806792;80400000;08:39;0;08:08;0,30971718;0,11079401;4;1;FALSE
Misterbianco;2015-08-30 10:00:00;10;Benzene;0,01814837;80400000;09:54;0;09:24;0,07258939;0,03143344;4;1;FALSE
Misterbianco;2015-08-30 11:00:00;11;Benzene;0,03542008;80400000;10:54;0;10:39;0,14167827;0,06134849;4;1;FALSE
Misterbianco;2015-08-30 12:00:00;12;Benzene;0,01927724;80400000;11:38;0;11:54;0,07710894;0,03338913;4;1;FALSE
Misterbianco;2015-08-30 13:00:00;13;Benzene;0;80400000;12:54;0;12:54;0;0;4;1;FALSE
Misterbianco;2015-08-30 14:00:00;14;Benzene;0;80400000;13:53;0;13:53;0;0;4;1;FALSE
Misterbianco;2015-08-30 15:00:00;15;Benzene;0;80400000;14:54;0;14:54;0;0;4;1;FALSE
Misterbianco;2015-08-30 16:00:00;16;Benzene;0;80400000;15:54;0;15:54;0;0;4;1;FALSE
Misterbianco;2015-08-30 17:00:00;17;Benzene;0;80400000;16:53;0;16:53;0;0;4;1;FALSE
Misterbianco;2015-08-30 18:00:00;18;Benzene;0,01974099;80400000;17:39;0;17:54;0,0789609;0,03419052;4;1;FALSE
Misterbianco;2015-08-30 19:00:00;19;Benzene;0,12272648;80400000;18:24;0,0800379;18:39;0,19347306;0,04564296;4;1;FALSE
Misterbianco;2015-08-30 20:00:00;20;Benzene;0,01749952;80400000;19:54;0;19:09;0,06999401;0,03030762;4;1;FALSE
Misterbianco;2015-08-30 21:00:00;21;Benzene;0,10971701;80400000;20:39;0;20:54;0,43886601;0,19003357;4;1;FALSE
Misterbianco;2015-08-30 22:00:00;22;Benzene;0,17657052;80400000;21:39;0,08698706;21:53;0,3757398;0,11690618;4;1;FALSE
Misterbianco;2015-08-30 23:00:00;23;Benzene;0,29126677;80400000;22:24;0;22:54;0,54973833;0,20395833;4;1;FALSE
Misterbianco;2015-08-31 00:00:00;0;Benzene;NA;NA;;NA;;NA;NA;NA;2;FALSE
Misterbianco;2015-08-31 00:00:00;0;Benzene;0,1829583;80400000;23:54;0,12876949;23:24;0,2675066;0,05240703;4;2;FALSE
Misterbianco;2015-08-31 01:00:00;1;Benzene;0;81400000;00:54;0;00:54;0;0;4;2;FALSE
Misterbianco;2015-08-31 01:00:00;1;Benzene;0;81400000;00:54;0;00:54;0;0;4;2;TRUE
Misterbianco;2015-08-31 02:00:00;2;Benzene;NA;NA;;NA;;NA;NA;NA;2;FALSE
Misterbianco;2015-08-31 02:00:00;2;Benzene;NA;NA;;NA;;NA;NA;NA;2;TRUE
Misterbianco;2015-08-31 03:00:00;3;Benzene;0,59933946;80400000;02:09;0,25909702;02:39;0,94554355;0,24936738;4;2;FALSE
Misterbianco;2015-08-31 03:00:00;3;Benzene;0,59933946;80400000;02:09;0,25909702;02:39;0,94554355;0,24936738;4;2;TRUE
Misterbianco;2015-08-31 04:00:00;4;Benzene;2,06355402;80400000;03:08;0,35895829;03:39;3,62315301;1,46757982;4;2;FALSE
Misterbianco;2015-08-31 04:00:00;4;Benzene;2,06355402;80400000;03:08;0,35895829;03:39;3,62315301;1,46757982;4;2;TRUE
Misterbianco;2015-08-31 05:00:00;5;Benzene;0,67179257;80400000;04:39;0,21531619;04:09;1,53630156;0,51365924;4;2;FALSE
Misterbianco;2015-08-31 05:00:00;5;Benzene;0,67179257;80400000;04:39;0,21531619;04:09;1,53630156;0,51365924;4;2;TRUE
Misterbianco;2015-08-31 06:00:00;6;Benzene;0,6323228;80400000;05:39;0,17660917;05:53;1,15963425;0,35307596;4;2;FALSE
Misterbianco;2015-08-31 06:00:00;6;Benzene;0,6323228;80400000;05:39;0,17660917;05:53;1,15963425;0,35307596;4;2;TRUE
Misterbianco;2015-08-31 07:00:00;7;Benzene;0,99831771;80400000;06:54;0,77864469;06:08;1,08804355;0,12727755;4;2;FALSE
Misterbianco;2015-08-31 07:00:00;7;Benzene;0,99831771;80400000;06:54;0,77864469;06:08;1,08804355;0,12727755;4;2;TRUE
Misterbianco;2015-08-31 08:00:00;8;Benzene;0,5843082;80400000;07:54;0,29673009;07:39;0,84030439;0,19467617;4;2;FALSE
Misterbianco;2015-08-31 08:00:00;8;Benzene;0,5843082;80400000;07:54;0,29673009;07:39;0,84030439;0,19467617;4;2;TRUE
Misterbianco;2015-08-31 09:00:00;9;Benzene;0,26866801;80400000;08:54;0,13682515;08:23;0,46512495;0,123715;4;2;FALSE
Misterbianco;2015-08-31 09:00:00;9;Benzene;0,26866801;80400000;08:54;0,13682515;08:23;0,46512495;0,123715;4;2;TRUE
Misterbianco;2015-08-31 10:00:00;10;Benzene;0,27873122;80400000;09:39;0,14387194;09:54;0,39970236;0,09144864;4;2;FALSE
Misterbianco;2015-08-31 10:00:00;10;Benzene;0,27873122;80400000;09:39;0,14387194;09:54;0,39970236;0,09144864;4;2;TRUE
Misterbianco;2015-08-31 11:00:00;11;Benzene;0,20325152;80400000;10:54;0,0912371;10:24;0,36706174;0,11037501;4;2;FALSE
Misterbianco;2015-08-31 11:00:00;11;Benzene;0,20325152;80400000;10:54;0,0912371;10:24;0,36706174;0,11037501;4;2;TRUE
Misterbianco;2015-08-31 12:00:00;12;Benzene;0,25255059;80400000;11:54;0,07376708;11:38;0,47612991;0,14464079;4;2;FALSE
Misterbianco;2015-08-31 12:00:00;12;Benzene;0,25255059;80400000;11:54;0,07376708;11:38;0,47612991;0,14464079;4;2;TRUE
Misterbianco;2015-08-31 13:00:00;13;Benzene;0,11380128;80400000;12:09;0;12:54;0,24221075;0,08636161;4;2;FALSE
Misterbianco;2015-08-31 13:00:00;13;Benzene;0,11380128;80400000;12:09;0;12:54;0,24221075;0,08636161;4;2;TRUE
Misterbianco;2015-08-31 14:00:00;14;Benzene;0,07981111;80400000;13:39;0;13:53;0,21279911;0,08822373;4;2;FALSE
Misterbianco;2015-08-31 14:00:00;14;Benzene;0,07981111;80400000;13:39;0;13:53;0,21279911;0,08822373;4;2;TRUE
Misterbianco;2015-08-31 15:00:00;15;Benzene;0,10946988;80400000;14:08;0,06934821;14:38;0,16730769;0,03907314;4;2;FALSE
Misterbianco;2015-08-31 15:00:00;15;Benzene;0,10946988;80400000;14:08;0,06934821;14:38;0,16730769;0,03907314;4;2;TRUE
Misterbianco;2015-08-31 16:00:00;16;Benzene;0,15170691;80400000;15:24;0;15:39;0,32376093;0,11963378;4;2;FALSE
Misterbianco;2015-08-31 16:00:00;16;Benzene;0,15170691;80400000;15:24;0;15:39;0,32376093;0,11963378;4;2;TRUE
Misterbianco;2015-08-31 17:00:00;17;Benzene;0,23777257;80400000;16:24;0,10654092;16:09;0,33918374;0,09817711;4;2;FALSE
Misterbianco;2015-08-31 17:00:00;17;Benzene;0,23777257;80400000;16:24;0,10654092;16:09;0,33918374;0,09817711;4;2;TRUE
Misterbianco;2015-08-31 18:00:00;18;Benzene;0,21282759;80400000;17:24;0,10915868;17:09;0,3808665;0,10890239;4;2;FALSE
Misterbianco;2015-08-31 18:00:00;18;Benzene;0,21282759;80400000;17:24;0,10915868;17:09;0,3808665;0,10890239;4;2;TRUE
Misterbianco;2015-08-31 19:00:00;19;Benzene;0,15782213;80400000;18:39;0;18:54;0,27910141;0,1057558;4;2;FALSE
Misterbianco;2015-08-31 19:00:00;19;Benzene;0,15782213;80400000;18:39;0;18:54;0,27910141;0,1057558;4;2;TRUE
Misterbianco;2015-08-31 20:00:00;20;Benzene;0,04358252;80400000;19:38;0;19:54;0,08836611;0,04359269;4;2;FALSE
Misterbianco;2015-08-31 20:00:00;20;Benzene;0,04358252;80400000;19:38;0;19:54;0,08836611;0,04359269;4;2;TRUE
Misterbianco;2015-08-31 21:00:00;21;Benzene;0,20242673;80400000;20:09;0,09837848;20:54;0,30748792;0,08794101;4;2;FALSE
Misterbianco;2015-08-31 21:00:00;21;Benzene;0,20242673;80400000;20:09;0,09837848;20:54;0,30748792;0,08794101;4;2;TRUE
Misterbianco;2015-08-31 22:00:00;22;Benzene;0,51909002;80400000;21:09;0,21796039;21:53;0,77862537;0,20517161;4;2;FALSE
Misterbianco;2015-08-31 22:00:00;22;Benzene;0,51909002;80400000;21:09;0,21796039;21:53;0,77862537;0,20517161;4;2;TRUE
Misterbianco;2015-08-31 23:00:00;23;Benzene;0,73520456;80400000;22:08;0,50930546;22:54;0,89456744;0,14649987;4;2;FALSE
Misterbianco;2015-08-31 23:00:00;23;Benzene;0,73520456;80400000;22:08;0,50930546;22:54;0,89456744;0,14649987;4;2;TRUE
Misterbianco;2015-09-01 00:00:00;0;Benzene;1,09206579;80400000;23:39;0,89889782;23:24;1,27106999;0,13310089;4;3;FALSE
Misterbianco;2015-09-01 00:00:00;0;Benzene;NA;NA;;NA;;NA;NA;NA;3;FALSE
Misterbianco;2015-09-01 00:00:00;0;Benzene;1,09206579;80400000;23:39;0,89889782;23:24;1,27106999;0,13310089;4;3;TRUE
Misterbianco;2015-09-01 01:00:00;1;Benzene;0,93719601;80400000;00:39;0,78567115;00:09;1,11135929;0,11733739;4;2;FALSE
Misterbianco;2015-09-01 01:00:00;1;Benzene;0,93719601;80400000;00:39;0,78567115;00:09;1,11135929;0,11733739;4;2;TRUE
Misterbianco;2015-09-01 02:00:00;2;Benzene;0,67138374;80400000;01:54;0,39699612;01:08;0,84390253;0,17419583;4;2;FALSE
Misterbianco;2015-09-01 02:00:00;2;Benzene;0,67138374;80400000;01:54;0,39699612;01:08;0,84390253;0,17419583;4;2;TRUE
Misterbianco;2015-09-01 03:00:00;3;Benzene;1,69844899;80400000;02:39;0,69613752;02:24;2,73121045;0,96550522;4;2;FALSE
