Stazione;xtime;hour;Parm;Aver;SWrd;MinT;Min;MaxT;Max;Sigma;Samp;nhour;is_dup
Misterbianco;2015-08-30 00:00:00;0;CO;NA;NA;;NA;;NA;NA;NA;1;FALSE
Misterbianco;2015-08-30 01:00:00;1;CO;0,21810882;80400000;00:44;0,15368427;00:07;0,28529101;0,02525099;720;1;FALSE
Misterbianco;2015-08-30 02:00:00;2;CO;0,19571826;80400000;01:46;0,13365774;01:54;0,24523678;0,01978358;720;1;FALSE
Misterbianco;2015-08-30 03:00:00;3;CO;0,16554998;81400000;02:55;0,11935208;02:00;0,22807069;0,0204435;720;1;FALSE
Misterbianco;2015-08-30 04:00:00;4;CO;NA;NA;;NA;;NA;NA;NA;1;FALSE
Misterbianco;2015-08-30 05:00:00;5;CO;0,2683223;80400000;04:48;0,20672198;04:15;0,40981966;0,03756405;720;1;FALSE
Misterbianco;2015-08-30 06:00:00;6;CO;0,27707062;80400000;05:25;0,22388458;05:19;0,40981966;0,03845406;720;1;FALSE
Misterbianco;2015-08-30 07:00:00;7;CO;0,25443712;80400000;06:53;0,18955822;06:39;0,3154219;0,03021149;720;1;FALSE
Misterbianco;2015-08-30 08:00:00;8;CO;0,23571291;80400000;07:16;0,19241866;07:00;0,29539888;0,01744525;720;1;FALSE
Misterbianco;2015-08-30 09:00:00;9;CO;0,22687232;80400000;08:59;0,1781165;08:17;0,26393296;0,01644194;720;1;FALSE
Misterbianco;2015-08-30 10:00:00;10;CO;0,18300341;80400000;09:40;0,14092971;09:19;0,21816371;0,01200821;720;1;FALSE
Misterbianco;2015-08-30 11:00:00;11;CO;0,17173571;80400000;10:53;0,14379014;10:25;0,20672198;0,01440261;698;1;FALSE
Misterbianco;2015-08-30 12:00:00;12;CO;0,16063154;80400000;11:33;0,12090552;11:15;0,19241866;0,01178512;720;1;FALSE
Misterbianco;2015-08-30 13:00:00;13;CO;0,15889939;80400000;12:41;0,12948682;12:34;0,18955822;0,01081802;720;1;FALSE
Misterbianco;2015-08-30 14:00:00;14;CO;0,15394474;80400000;13:22;0,11804509;13:10;0,20100112;0,01268448;720;1;FALSE
Misterbianco;2015-08-30 15:00:00;15;CO;0,1527452;80400000;14:30;0,10946379;14:09;0,18383736;0,01156086;720;1;FALSE
Misterbianco;2015-08-30 16:00:00;16;CO;0,15636016;80400000;15:13;0,12662638;15:53;0,20100112;0,01386416;720;1;FALSE
Misterbianco;2015-08-30 17:00:00;17;CO;0,16398019;80400000;16:01;0,12376595;16:50;0,19813952;0,01282581;720;1;FALSE
Misterbianco;2015-08-30 18:00:00;18;CO;0,20919698;80400000;17:01;0,15237144;17:54;0,28395598;0,0320289;720;1;FALSE
Misterbianco;2015-08-30 19:00:00;19;CO;0,23782582;80400000;18:05;0,18669779;18:56;0,27823512;0,02434112;720;1;FALSE
Misterbianco;2015-08-30 20:00:00;20;CO;0,22639928;80400000;19:28;0,18383736;20:00;0,30398018;0,02074718;720;1;FALSE
Misterbianco;2015-08-30 21:00:00;21;CO;0,32177466;80400000;20:07;0,22674501;20:51;0,44700762;0,05165597;720;1;FALSE
Misterbianco;2015-08-30 22:00:00;22;CO;0,33115486;80400000;21:09;0,2467692;21:46;0,4927757;0,06989779;720;1;FALSE
Misterbianco;2015-08-30 23:00:00;23;CO;0,33868379;80400000;22:13;0,21244285;22:33;0,45272848;0,07657758;720;1;FALSE
