Stazione;xtime;hour;Parm;Aver;SWrd;MinT;Min;MaxT;Max;Sigma;Samp;is_dup
Misterbianco;2015-08-30 00:00:00;0;SO2;NA;NA;;NA;;NA;NA;NA;FALSE
Misterbianco;2015-08-30 01:00:00;1;SO2;1,04241381;80400000;00:56;0;00:19;2,62437664;0,57485111;720;FALSE
Misterbianco;2015-08-30 02:00:00;2;SO2;0,99676272;80400000;01:59;0;01:27;2,96818061;0,74587187;720;FALSE
Misterbianco;2015-08-30 03:00:00;3;SO2;NA;NA;;NA;;NA;NA;NA;FALSE
Misterbianco;2015-08-30 04:00:00;4;SO2;1,65565261;80400000;03:15;0;03:55;2,83458138;0,49711672;720;FALSE
Misterbianco;2015-08-30 05:00:00;5;SO2;1,45212854;80400000;04:44;0;04:57;2,83458138;0,51407926;720;FALSE
Misterbianco;2015-08-30 06:00:00;6;SO2;1,709816;80400000;05:54;0,08589785;05:27;3,1781667;0,50850915;720;FALSE
Misterbianco;2015-08-30 07:00:00;7;SO2;1,51619038;80400000;06:56;0;06:16;3,1781667;0,54522794;720;FALSE
Misterbianco;2015-08-30 08:00:00;8;SO2;2,10398384;80400000;07:04;0,08589785;07:51;3,86533834;0,67846816;720;FALSE
Misterbianco;2015-08-30 09:00:00;9;SO2;2,99539959;80400000;08:15;0,42948317;09:00;4,8960953;0,70545222;720;FALSE
Misterbianco;2015-08-30 10:00:00;10;SO2;4,00038577;80400000;09:54;2,14740974;09:50;6,27043859;0,60491363;720;FALSE
Misterbianco;2015-08-30 11:00:00;11;SO2;3,24314283;80400000;10:50;1,11665278;10:25;5,23968163;0,69000196;698;FALSE
Misterbianco;2015-08-30 12:00:00;12;SO2;2,45568278;80400000;11:32;0,7730695;11:54;4,20892366;0,64309385;720;FALSE
Misterbianco;2015-08-30 13:00:00;13;SO2;2,28532206;80400000;12:12;0,42948317;12:53;3,86533834;0,59082107;720;FALSE
Misterbianco;2015-08-30 14:00:00;14;SO2;1,9015327;80400000;13:18;0;13:15;3,52175303;0,64652012;720;FALSE
Misterbianco;2015-08-30 15:00:00;15;SO2;1,38496077;80400000;14:11;0;14:57;2,83458138;0,56986171;720;FALSE
Misterbianco;2015-08-30 16:00:00;16;SO2;1,6993175;80400000;15:53;0,08589785;15:00;3,52175303;0,56462416;720;FALSE
Misterbianco;2015-08-30 17:00:00;17;SO2;1,44938365;80400000;16:38;0;16:49;3,1781667;0,58127042;720;FALSE
