Stazione;xtime;hour;Parm;Aver;SWrd;MinT;Min;MaxT;Max;Sigma;Samp;nhour;is_dup
PORTO EMPEDOCLE;2015-08-11 00:00:00;0;BENZENE;0,02473751;80400000;23:43;0;23:28;0,0581663;0,02549009;4;2;FALSE
PORTO EMPEDOCLE;2015-08-11 00:00:00;0;BENZENE;NA;NA;;NA;;NA;NA;NA;2;FALSE
PORTO EMPEDOCLE;2015-08-11 01:00:00;1;BENZENE;0,10462998;80400000;00:13;0;00:28;0,24341793;0,08776303;4;2;FALSE
PORTO EMPEDOCLE;2015-08-11 01:00:00;1;BENZENE;0,10462998;80400000;00:13;0;00:28;0,24341793;0,08776303;4;2;TRUE
PORTO EMPEDOCLE;2015-08-11 02:00:00;2;BENZENE;0,111212;80400000;01:12;0;01:43;0,24445934;0,09178527;4;2;FALSE
PORTO EMPEDOCLE;2015-08-11 02:00:00;2;BENZENE;0,111212;80400000;01:12;0;01:43;0,24445934;0,09178527;4;2;TRUE
PORTO EMPEDOCLE;2015-08-11 03:00:00;3;BENZENE;0,02102241;80400000;02:42;0;02:57;0,04384897;0,02106105;4;2;FALSE
PORTO EMPEDOCLE;2015-08-11 03:00:00;3;BENZENE;0,02102241;80400000;02:42;0;02:57;0,04384897;0,02106105;4;2;TRUE
PORTO EMPEDOCLE;2015-08-11 04:00:00;4;BENZENE;0,06925465;80400000;03:28;0,03350608;03:12;0,12459776;0,03523193;4;2;FALSE
PORTO EMPEDOCLE;2015-08-11 04:00:00;4;BENZENE;0,06925465;80400000;03:28;0,03350608;03:12;0,12459776;0,03523193;4;2;TRUE
PORTO EMPEDOCLE;2015-08-11 05:00:00;5;BENZENE;0,08766235;80400000;04:42;0;04:57;0,27883801;0,11138693;4;2;FALSE
PORTO EMPEDOCLE;2015-08-11 05:00:00;5;BENZENE;0,08766235;80400000;04:42;0;04:57;0,27883801;0,11138693;4;2;TRUE
PORTO EMPEDOCLE;2015-08-11 06:00:00;6;BENZENE;0,16447941;80400000;05:12;0,10577512;05:43;0,20686187;0,04108782;4;2;FALSE
PORTO EMPEDOCLE;2015-08-11 06:00:00;6;BENZENE;0,16447941;80400000;05:12;0,10577512;05:43;0,20686187;0,04108782;4;2;TRUE
PORTO EMPEDOCLE;2015-08-11 07:00:00;7;BENZENE;0,12798131;80400000;06:28;0,06000809;06:57;0,21395646;0,06759694;4;2;FALSE
PORTO EMPEDOCLE;2015-08-11 07:00:00;7;BENZENE;0,12798131;80400000;06:28;0,06000809;06:57;0,21395646;0,06759694;4;2;TRUE
PORTO EMPEDOCLE;2015-08-11 08:00:00;8;BENZENE;0,12928307;80400000;07:28;0,10353263;07:13;0,15043159;0,01778835;4;2;FALSE
PORTO EMPEDOCLE;2015-08-11 08:00:00;8;BENZENE;0,12928307;80400000;07:28;0,10353263;07:13;0,15043159;0,01778835;4;2;TRUE
PORTO EMPEDOCLE;2015-08-11 09:00:00;9;BENZENE;0,07975314;80400000;08:13;0,03262028;08:58;0,10817524;0,02921739;4;2;FALSE
PORTO EMPEDOCLE;2015-08-11 09:00:00;9;BENZENE;0,07975314;80400000;08:13;0,03262028;08:58;0,10817524;0,02921739;4;2;TRUE
PORTO EMPEDOCLE;2015-08-11 10:00:00;10;BENZENE;0,1904302;80400000;09:43;0,14046906;09:13;0,25831495;0,04428018;4;2;FALSE
PORTO EMPEDOCLE;2015-08-11 10:00:00;10;BENZENE;0,1904302;80400000;09:43;0,14046906;09:13;0,25831495;0,04428018;4;2;TRUE
PORTO EMPEDOCLE;2015-08-11 11:00:00;11;BENZENE;0,11369755;80400000;10:12;0,07851037;10:28;0,13701634;0,02210246;4;2;FALSE
PORTO EMPEDOCLE;2015-08-11 11:00:00;11;BENZENE;0,11369755;80400000;10:12;0,07851037;10:28;0,13701634;0,02210246;4;2;TRUE
PORTO EMPEDOCLE;2015-08-11 12:00:00;12;BENZENE;0,16086194;80400000;11:57;0,08081387;11:13;0,24188328;0,05739033;4;2;FALSE
PORTO EMPEDOCLE;2015-08-11 12:00:00;12;BENZENE;0,16086194;80400000;11:57;0,08081387;11:13;0,24188328;0,05739033;4;2;TRUE
PORTO EMPEDOCLE;2015-08-11 13:00:00;13;BENZENE;0,14267493;80400000;12:28;0,11153032;12:43;0,18242641;0,02971674;4;2;FALSE
PORTO EMPEDOCLE;2015-08-11 13:00:00;13;BENZENE;0,14267493;80400000;12:28;0,11153032;12:43;0,18242641;0,02971674;4;2;TRUE
PORTO EMPEDOCLE;2015-08-11 14:00:00;14;BENZENE;0,09436845;80400000;13:58;0,035236;13:13;0,1701441;0,05010352;4;2;FALSE
PORTO EMPEDOCLE;2015-08-11 14:00:00;14;BENZENE;0,09436845;80400000;13:58;0,035236;13:13;0,1701441;0,05010352;4;2;TRUE
PORTO EMPEDOCLE;2015-08-11 15:00:00;15;BENZENE;0;80400000;14:58;0;14:58;0;0;4;2;FALSE
PORTO EMPEDOCLE;2015-08-11 15:00:00;15;BENZENE;0;80400000;14:58;0;14:58;0;0;4;2;TRUE
PORTO EMPEDOCLE;2015-08-11 16:00:00;16;BENZENE;0,0226191;80400000;15:57;0;15:13;0,05684827;0,02406222;4;2;FALSE
PORTO EMPEDOCLE;2015-08-11 16:00:00;16;BENZENE;0,0226191;80400000;15:57;0;15:13;0,05684827;0,02406222;4;2;TRUE
PORTO EMPEDOCLE;2015-08-11 17:00:00;17;BENZENE;0,00772818;80400000;16:58;0;16:12;0,0309046;0,0133827;4;2;FALSE
PORTO EMPEDOCLE;2015-08-11 17:00:00;17;BENZENE;0,00772818;80400000;16:58;0;16:12;0,0309046;0,0133827;4;2;TRUE
PORTO EMPEDOCLE;2015-08-11 18:00:00;18;BENZENE;0,02664845;80400000;17:42;0;17:28;0,04365778;0,01616928;4;2;FALSE
PORTO EMPEDOCLE;2015-08-11 18:00:00;18;BENZENE;0,02664845;80400000;17:42;0;17:28;0,04365778;0,01616928;4;2;TRUE
PORTO EMPEDOCLE;2015-08-11 19:00:00;19;BENZENE;0,04788138;80400000;18:28;0;18:58;0,14964647;0,06119289;4;2;FALSE
PORTO EMPEDOCLE;2015-08-11 19:00:00;19;BENZENE;0,04788138;80400000;18:28;0;18:58;0,14964647;0,06119289;4;2;TRUE
PORTO EMPEDOCLE;2015-08-11 20:00:00;20;BENZENE;0,07072116;80400000;19:43;0,03480377;19:58;0,11199102;0,03050898;4;2;FALSE
PORTO EMPEDOCLE;2015-08-11 20:00:00;20;BENZENE;0,07072116;80400000;19:43;0,03480377;19:58;0,11199102;0,03050898;4;2;TRUE
PORTO EMPEDOCLE;2015-08-11 21:00:00;21;BENZENE;0,14342141;80400000;20:58;0,09415691;20:28;0,18070666;0,03176701;4;2;FALSE
PORTO EMPEDOCLE;2015-08-11 21:00:00;21;BENZENE;0,14342141;80400000;20:58;0,09415691;20:28;0,18070666;0,03176701;4;2;TRUE
PORTO EMPEDOCLE;2015-08-11 22:00:00;22;BENZENE;0,13800588;80400000;21:28;0,07949381;21:13;0,1996432;0,05183954;4;2;FALSE
PORTO EMPEDOCLE;2015-08-11 22:00:00;22;BENZENE;0,13800588;80400000;21:28;0,07949381;21:13;0,1996432;0,05183954;4;2;TRUE
PORTO EMPEDOCLE;2015-08-11 23:00:00;23;BENZENE;0,0478885;80400000;22:12;0;22:28;0,08611448;0,0310185;4;2;FALSE
PORTO EMPEDOCLE;2015-08-11 23:00:00;23;BENZENE;0,0478885;80400000;22:12;0;22:28;0,08611448;0,0310185;4;2;TRUE
PORTO EMPEDOCLE;2015-08-11 00:00:00;0;CO;NA;NA;NA;NA;NA;NA;NA;NA;2;FALSE
PORTO EMPEDOCLE;2015-08-11 00:00:00;0;CO;NA;NA;NA;NA;NA;NA;NA;NA;2;TRUE
PORTO EMPEDOCLE;2015-08-11 01:00:00;1;CO;NA;NA;NA;NA;NA;NA;NA;NA;2;FALSE
PORTO EMPEDOCLE;2015-08-11 01:00:00;1;CO;NA;NA;NA;NA;NA;NA;NA;NA;2;TRUE
PORTO EMPEDOCLE;2015-08-11 02:00:00;2;CO;NA;NA;NA;NA;NA;NA;NA;NA;2;FALSE
PORTO EMPEDOCLE;2015-08-11 02:00:00;2;CO;NA;NA;NA;NA;NA;NA;NA;NA;2;TRUE
PORTO EMPEDOCLE;2015-08-11 03:00:00;3;CO;NA;NA;NA;NA;NA;NA;NA;NA;2;FALSE
PORTO EMPEDOCLE;2015-08-11 03:00:00;3;CO;NA;NA;NA;NA;NA;NA;NA;NA;2;TRUE
PORTO EMPEDOCLE;2015-08-11 04:00:00;4;CO;NA;NA;NA;NA;NA;NA;NA;NA;2;FALSE
PORTO EMPEDOCLE;2015-08-11 04:00:00;4;CO;NA;NA;NA;NA;NA;NA;NA;NA;2;TRUE
PORTO EMPEDOCLE;2015-08-11 05:00:00;5;CO;NA;NA;NA;NA;NA;NA;NA;NA;2;FALSE
PORTO EMPEDOCLE;2015-08-11 05:00:00;5;CO;NA;NA;NA;NA;NA;NA;NA;NA;2;TRUE
PORTO EMPEDOCLE;2015-08-11 06:00:00;6;CO;NA;NA;NA;NA;NA;NA;NA;NA;2;FALSE
PORTO EMPEDOCLE;2015-08-11 06:00:00;6;CO;NA;NA;NA;NA;NA;NA;NA;NA;2;TRUE
PORTO EMPEDOCLE;2015-08-11 07:00:00;7;CO;NA;NA;NA;NA;NA;NA;NA;NA;2;FALSE
PORTO EMPEDOCLE;2015-08-11 07:00:00;7;CO;NA;NA;NA;NA;NA;NA;NA;NA;2;TRUE
PORTO EMPEDOCLE;2015-08-11 08:00:00;8;CO;NA;NA;NA;NA;NA;NA;NA;NA;2;FALSE
PORTO EMPEDOCLE;2015-08-11 08:00:00;8;CO;NA;NA;NA;NA;NA;NA;NA;NA;2;TRUE
PORTO EMPEDOCLE;2015-08-11 09:00:00;9;CO;NA;NA;NA;NA;NA;NA;NA;NA;2;FALSE
PORTO EMPEDOCLE;2015-08-11 09:00:00;9;CO;NA;NA;NA;NA;NA;NA;NA;NA;2;TRUE
PORTO EMPEDOCLE;2015-08-11 10:00:00;10;CO;NA;NA;NA;NA;NA;NA;NA;NA;2;FALSE
PORTO EMPEDOCLE;2015-08-11 10:00:00;10;CO;NA;NA;NA;NA;NA;NA;NA;NA;2;TRUE
PORTO EMPEDOCLE;2015-08-11 11:00:00;11;CO;NA;NA;NA;NA;NA;NA;NA;NA;2;FALSE
PORTO EMPEDOCLE;2015-08-11 11:00:00;11;CO;NA;NA;NA;NA;NA;NA;NA;NA;2;TRUE
PORTO EMPEDOCLE;2015-08-11 12:00:00;12;CO;NA;NA;NA;NA;NA;NA;NA;NA;2;FALSE
PORTO EMPEDOCLE;2015-08-11 12:00:00;12;CO;NA;NA;NA;NA;NA;NA;NA;NA;2;TRUE
PORTO EMPEDOCLE;2015-08-11 13:00:00;13;CO;NA;NA;NA;NA;NA;NA;NA;NA;2;FALSE
PORTO EMPEDOCLE;2015-08-11 13:00:00;13;CO;NA;NA;NA;NA;NA;NA;NA;NA;2;TRUE
PORTO EMPEDOCLE;2015-08-11 14:00:00;14;CO;NA;NA;NA;NA;NA;NA;NA;NA;2;FALSE
PORTO EMPEDOCLE;2015-08-11 14:00:00;14;CO;NA;NA;NA;NA;NA;NA;NA;NA;2;TRUE
PORTO EMPEDOCLE;2015-08-11 15:00:00;15;CO;NA;NA;NA;NA;NA;NA;NA;NA;2;FALSE
PORTO EMPEDOCLE;2015-08-11 15:00:00;15;CO;NA;NA;NA;NA;NA;NA;NA;NA;2;TRUE
PORTO EMPEDOCLE;2015-08-11 16:00:00;16;CO;NA;NA;NA;NA;NA;NA;NA;NA;2;FALSE
PORTO EMPEDOCLE;2015-08-11 16:00:00;16;CO;NA;NA;NA;NA;NA;NA;NA;NA;2;TRUE
PORTO EMPEDOCLE;2015-08-11 17:00:00;17;CO;NA;NA;NA;NA;NA;NA;NA;NA;2;FALSE
PORTO EMPEDOCLE;2015-08-11 17:00:00;17;CO;NA;NA;NA;NA;NA;NA;NA;NA;2;TRUE
PORTO EMPEDOCLE;2015-08-11 18:00:00;18;CO;NA;NA;NA;NA;NA;NA;NA;NA;2;FALSE
PORTO EMPEDOCLE;2015-08-11 18:00:00;18;CO;NA;NA;NA;NA;NA;NA;NA;NA;2;TRUE
PORTO EMPEDOCLE;2015-08-11 19:00:00;19;CO;NA;NA;NA;NA;NA;NA;NA;NA;2;FALSE
PORTO EMPEDOCLE;2015-08-11 19:00:00;19;CO;NA;NA;NA;NA;NA;NA;NA;NA;2;TRUE
PORTO EMPEDOCLE;2015-08-11 20:00:00;20;CO;NA;NA;NA;NA;NA;NA;NA;NA;2;FALSE
PORTO EMPEDOCLE;2015-08-11 20:00:00;20;CO;NA;NA;NA;NA;NA;NA;NA;NA;2;TRUE
PORTO EMPEDOCLE;2015-08-11 21:00:00;21;CO;NA;NA;NA;NA;NA;NA;NA;NA;2;FALSE
PORTO EMPEDOCLE;2015-08-11 21:00:00;21;CO;NA;NA;NA;NA;NA;NA;NA;NA;2;TRUE
PORTO EMPEDOCLE;2015-08-11 22:00:00;22;CO;NA;NA;NA;NA;NA;NA;NA;NA;2;FALSE
PORTO EMPEDOCLE;2015-08-11 22:00:00;22;CO;NA;NA;NA;NA;NA;NA;NA;NA;2;TRUE
PORTO EMPEDOCLE;2015-08-11 23:00:00;23;CO;NA;NA;NA;NA;NA;NA;NA;NA;2;FALSE
PORTO EMPEDOCLE;2015-08-11 23:00:00;23;CO;NA;NA;NA;NA;NA;NA;NA;NA;2;TRUE
PORTO EMPEDOCLE;2015-08-11 00:00:00;0;NO2;15,88826303;82400000;23:32;14,24078058;23:08;17,97606952;0,83318842;720;2;FALSE
PORTO EMPEDOCLE;2015-08-11 00:00:00;0;NO2;NA;NA;;NA;;NA;NA;NA;2;FALSE
PORTO EMPEDOCLE;2015-08-11 01:00:00;1;NO2;NA;NA;;NA;;NA;NA;NA;2;FALSE
PORTO EMPEDOCLE;2015-08-11 01:00:00;1;NO2;NA;NA;;NA;;NA;NA;NA;2;TRUE
PORTO EMPEDOCLE;2015-08-11 02:00:00;2;NO2;16,49297892;80400000;01:58;12,60659418;01:01;20,31062152;2,11703714;720;2;FALSE
PORTO EMPEDOCLE;2015-08-11 02:00:00;2;NO2;16,49297892;80400000;01:58;12,60659418;01:01;20,31062152;2,11703714;720;2;TRUE
PORTO EMPEDOCLE;2015-08-11 03:00:00;3;NO2;15,23783122;80400000;02:19;12,60659418;02:59;18,20952281;1,97377863;720;2;FALSE
PORTO EMPEDOCLE;2015-08-11 03:00:00;3;NO2;15,23783122;80400000;02:19;12,60659418;02:59;18,20952281;1,97377863;720;2;TRUE
PORTO EMPEDOCLE;2015-08-11 04:00:00;4;NO2;15,71090209;80400000;04:00;12,13968187;03:03;18,67643512;1,74819896;720;2;FALSE
PORTO EMPEDOCLE;2015-08-11 04:00:00;4;NO2;15,71090209;80400000;04:00;12,13968187;03:03;18,67643512;1,74819896;720;2;TRUE
PORTO EMPEDOCLE;2015-08-11 05:00:00;5;NO2;11,32615455;80400000;04:31;10,03858316;04:01;12,37313707;0,45690299;720;2;FALSE
PORTO EMPEDOCLE;2015-08-11 05:00:00;5;NO2;11,32615455;80400000;04:31;10,03858316;04:01;12,37313707;0,45690299;720;2;TRUE
PORTO EMPEDOCLE;2015-08-11 06:00:00;6;NO2;12,79659918;80400000;05:29;11,20586107;05:59;14,9411481;1,2499222;720;2;FALSE
PORTO EMPEDOCLE;2015-08-11 06:00:00;6;NO2;12,79659918;80400000;05:29;11,20586107;05:59;14,9411481;1,2499222;720;2;TRUE
PORTO EMPEDOCLE;2015-08-11 07:00:00;7;NO2;15,44210357;80400000;06:07;14,4742377;07:00;17,04224681;0,37054942;720;2;FALSE
PORTO EMPEDOCLE;2015-08-11 07:00:00;7;NO2;15,44210357;80400000;06:07;14,4742377;07:00;17,04224681;0,37054942;720;2;TRUE
PORTO EMPEDOCLE;2015-08-11 08:00:00;8;NO2;19,61803776;80400000;07:00;16,80879161;07:36;21,01098712;0,74078146;720;2;FALSE
PORTO EMPEDOCLE;2015-08-11 08:00:00;8;NO2;19,61803776;80400000;07:00;16,80879161;07:36;21,01098712;0,74078146;720;2;TRUE
PORTO EMPEDOCLE;2015-08-11 09:00:00;9;NO2;26,809108;80400000;08:00;18,67643512;08:51;34,55138872;4,20369643;720;2;FALSE
PORTO EMPEDOCLE;2015-08-11 09:00:00;9;NO2;26,809108;80400000;08:00;18,67643512;08:51;34,55138872;4,20369643;720;2;TRUE
PORTO EMPEDOCLE;2015-08-11 10:00:00;10;NO2;28,58661792;80400000;09:36;24,74627032;09:13;33,38411272;2,67620346;720;2;FALSE
PORTO EMPEDOCLE;2015-08-11 10:00:00;10;NO2;28,58661792;80400000;09:36;24,74627032;09:13;33,38411272;2,67620346;720;2;TRUE
PORTO EMPEDOCLE;2015-08-11 11:00:00;11;NO2;24,43012112;80400000;10:09;21,71135272;10:59;34,3179144;1,82700204;720;2;FALSE
PORTO EMPEDOCLE;2015-08-11 11:00:00;11;NO2;24,43012112;80400000;10:09;21,71135272;10:59;34,3179144;1,82700204;720;2;TRUE
PORTO EMPEDOCLE;2015-08-11 12:00:00;12;NO2;31,91430096;80400000;12:00;23,34553912;11:03;39,22049272;4,46316822;720;2;FALSE
PORTO EMPEDOCLE;2015-08-11 12:00:00;12;NO2;31,91430096;80400000;12:00;23,34553912;11:03;39,22049272;4,46316822;720;2;TRUE
PORTO EMPEDOCLE;2015-08-11 13:00:00;13;NO2;23,74468824;80400000;12:53;20,77753192;12:21;25,91354632;1,47880581;720;2;FALSE
PORTO EMPEDOCLE;2015-08-11 13:00:00;13;NO2;23,74468824;80400000;12:53;20,77753192;12:21;25,91354632;1,47880581;720;2;TRUE
PORTO EMPEDOCLE;2015-08-11 14:00:00;14;NO2;17,28024301;80400000;13:51;14,9411481;13:00;21,47789752;1,4699609;720;2;FALSE
PORTO EMPEDOCLE;2015-08-11 14:00:00;14;NO2;17,28024301;80400000;13:51;14,9411481;13:00;21,47789752;1,4699609;720;2;TRUE
PORTO EMPEDOCLE;2015-08-11 15:00:00;15;NO2;15,53289298;80400000;14:15;14,00732538;15:00;17,74261432;0,77327207;720;2;FALSE
PORTO EMPEDOCLE;2015-08-11 15:00:00;15;NO2;15,53289298;80400000;14:15;14,00732538;15:00;17,74261432;0,77327207;720;2;TRUE
PORTO EMPEDOCLE;2015-08-11 16:00:00;16;NO2;16,91416958;80400000;15:54;14,00732538;15:26;18,67643512;1,37341063;720;2;FALSE
PORTO EMPEDOCLE;2015-08-11 16:00:00;16;NO2;16,91416958;80400000;15:54;14,00732538;15:26;18,67643512;1,37341063;720;2;TRUE
PORTO EMPEDOCLE;2015-08-11 17:00:00;17;NO2;12,94899514;80400000;16:42;11,20586107;16:01;15,1746033;0,92989164;720;2;FALSE
PORTO EMPEDOCLE;2015-08-11 17:00:00;17;NO2;12,94899514;80400000;16:42;11,20586107;16:01;15,1746033;0,92989164;720;2;TRUE
PORTO EMPEDOCLE;2015-08-11 18:00:00;18;NO2;13,94993479;80400000;17:22;12,13968187;17:52;15,4080585;0,74841034;720;2;FALSE
PORTO EMPEDOCLE;2015-08-11 18:00:00;18;NO2;13,94993479;80400000;17:22;12,13968187;17:52;15,4080585;0,74841034;720;2;TRUE
PORTO EMPEDOCLE;2015-08-11 19:00:00;19;NO2;14,86559924;80400000;18:19;13,07350458;18:51;16,5753345;0,73257515;720;2;FALSE
PORTO EMPEDOCLE;2015-08-11 19:00:00;19;NO2;14,86559924;80400000;18:19;13,07350458;18:51;16,5753345;0,73257515;720;2;TRUE
PORTO EMPEDOCLE;2015-08-11 20:00:00;20;NO2;17,98028357;80400000;19:07;14,24078058;19:59;27,54773272;3,42673611;720;2;FALSE
PORTO EMPEDOCLE;2015-08-11 20:00:00;20;NO2;17,98028357;80400000;19:07;14,24078058;19:59;27,54773272;3,42673611;720;2;TRUE
PORTO EMPEDOCLE;2015-08-11 21:00:00;21;NO2;23,4629168;80400000;20:45;20,54407672;20:00;27,78118792;1,83517966;720;2;FALSE
PORTO EMPEDOCLE;2015-08-11 21:00:00;21;NO2;23,4629168;80400000;20:45;20,54407672;20:00;27,78118792;1,83517966;720;2;TRUE
PORTO EMPEDOCLE;2015-08-11 22:00:00;22;NO2;18,14467542;80400000;21:52;14,9411481;21:03;23,57899432;2,77019546;720;2;FALSE
PORTO EMPEDOCLE;2015-08-11 22:00:00;22;NO2;18,14467542;80400000;21:52;14,9411481;21:03;23,57899432;2,77019546;720;2;TRUE
PORTO EMPEDOCLE;2015-08-11 23:00:00;23;NO2;17,49910582;80400000;22:10;14,9411481;22:45;19,14334552;1,23721505;720;2;FALSE
PORTO EMPEDOCLE;2015-08-11 23:00:00;23;NO2;17,49910582;80400000;22:10;14,9411481;22:45;19,14334552;1,23721505;720;2;TRUE
PORTO EMPEDOCLE;2015-08-11 00:00:00;0;O3;20,72451885;80400000;23:59;17,9878397;23:13;23,40512055;0,90226868;720;2;FALSE
PORTO EMPEDOCLE;2015-08-11 00:00:00;0;O3;NA;NA;;NA;;NA;NA;NA;2;FALSE
PORTO EMPEDOCLE;2015-08-11 01:00:00;1;O3;23,76422055;80400000;00:00;17,9878397;00:52;27,59118915;1,94052653;720;2;FALSE
PORTO EMPEDOCLE;2015-08-11 01:00:00;1;O3;23,76422055;80400000;00:00;17,9878397;00:52;27,59118915;1,94052653;720;2;TRUE
PORTO EMPEDOCLE;2015-08-11 02:00:00;2;O3;25,5809274;81400000;01:24;22,91263485;01:58;28,8224034;1,430018;720;2;FALSE
PORTO EMPEDOCLE;2015-08-11 02:00:00;2;O3;25,5809274;81400000;01:24;22,91263485;01:58;28,8224034;1,430018;720;2;TRUE
PORTO EMPEDOCLE;2015-08-11 03:00:00;3;O3;NA;;;NA;;NA;NA;NA;2;FALSE
PORTO EMPEDOCLE;2015-08-11 03:00:00;3;O3;NA;NA;;NA;;NA;NA;NA;2;FALSE
PORTO EMPEDOCLE;2015-08-11 04:00:00;4;O3;23,3645223;82400000;03:09;16,65250041;03:57;34,4258397;5,09391929;720;2;FALSE
PORTO EMPEDOCLE;2015-08-11 04:00:00;4;O3;23,3645223;82400000;03:09;16,65250041;03:57;34,4258397;5,09391929;720;2;TRUE
PORTO EMPEDOCLE;2015-08-11 05:00:00;5;O3;33,1258578;82400000;04:55;30,34277295;04:19;35,62671;1,16195583;720;2;FALSE
PORTO EMPEDOCLE;2015-08-11 05:00:00;5;O3;33,1258578;82400000;04:55;30,34277295;04:19;35,62671;1,16195583;720;2;TRUE
PORTO EMPEDOCLE;2015-08-11 06:00:00;6;O3;29,89577325;82400000;05:44;26,98024035;05:56;32,2642173;1,26282503;720;2;FALSE
PORTO EMPEDOCLE;2015-08-11 06:00:00;6;O3;29,89577325;82400000;05:44;26,98024035;05:56;32,2642173;1,26282503;720;2;TRUE
PORTO EMPEDOCLE;2015-08-11 07:00:00;7;O3;28,74390015;82400000;07:00;26,49988425;06:31;31,0633071;0,83556984;720;2;FALSE
