Stazione;xtime;hour;Parm;Aver;SWrd;MinT;Min;MaxT;Max;Sigma;Samp;nhour;is_dup
PORTO EMPEDOCLE;2015-08-10 00:00:00;0;BENZENE;NA;NA;;NA;;NA;NA;NA;1;FALSE
PORTO EMPEDOCLE;2015-08-10 01:00:00;1;BENZENE;NA;NA;;NA;;NA;NA;NA;1;FALSE
PORTO EMPEDOCLE;2015-08-10 02:00:00;2;BENZENE;NA;NA;;NA;;NA;NA;NA;1;FALSE
PORTO EMPEDOCLE;2015-08-10 03:00:00;3;BENZENE;NA;NA;;NA;;NA;NA;NA;1;FALSE
PORTO EMPEDOCLE;2015-08-10 04:00:00;4;BENZENE;NA;NA;;NA;;NA;NA;NA;1;FALSE
PORTO EMPEDOCLE;2015-08-10 05:00:00;5;BENZENE;NA;NA;;NA;;NA;NA;NA;1;FALSE
PORTO EMPEDOCLE;2015-08-10 06:00:00;6;BENZENE;NA;NA;;NA;;NA;NA;NA;1;FALSE
PORTO EMPEDOCLE;2015-08-10 07:00:00;7;BENZENE;NA;NA;;NA;;NA;NA;NA;1;FALSE
PORTO EMPEDOCLE;2015-08-10 08:00:00;8;BENZENE;NA;NA;;NA;;NA;NA;NA;1;FALSE
PORTO EMPEDOCLE;2015-08-10 09:00:00;9;BENZENE;NA;NA;;NA;;NA;NA;NA;1;FALSE
PORTO EMPEDOCLE;2015-08-10 10:00:00;10;BENZENE;NA;NA;;NA;;NA;NA;NA;1;FALSE
PORTO EMPEDOCLE;2015-08-10 11:00:00;11;BENZENE;0,23592061;80400000;10:42;0,03989386;10:28;0,73978817;0,29147423;4;1;FALSE
PORTO EMPEDOCLE;2015-08-10 12:00:00;12;BENZENE;0,0857809;80400000;11:58;0,07243684;11:12;0,09900698;0,01030323;4;1;FALSE
PORTO EMPEDOCLE;2015-08-10 13:00:00;13;BENZENE;0,15292019;80400000;12:42;0,09501017;12:13;0,20999219;0,05134935;4;1;FALSE
PORTO EMPEDOCLE;2015-08-10 14:00:00;14;BENZENE;0,11033026;80400000;13:58;0,07647637;13:28;0,16164096;0,03143039;4;1;FALSE
PORTO EMPEDOCLE;2015-08-10 15:00:00;15;BENZENE;0,17940592;80400000;14:42;0,0837469;14:13;0,2390967;0,05945687;4;1;FALSE
PORTO EMPEDOCLE;2015-08-10 16:00:00;16;BENZENE;0,09020892;80400000;15:13;0,05706896;15:28;0,14120537;0,03123919;4;1;FALSE
PORTO EMPEDOCLE;2015-08-10 17:00:00;17;BENZENE;0,08849629;80400000;16:13;0,04533786;16:42;0,12283936;0,03137445;4;1;FALSE
PORTO EMPEDOCLE;2015-08-10 18:00:00;18;BENZENE;0,06561176;80400000;17:58;0,03693541;17:12;0,10587173;0,02791665;4;1;FALSE
PORTO EMPEDOCLE;2015-08-10 19:00:00;19;BENZENE;0,10341263;80400000;18:58;0,09618786;18:42;0,11749299;0,00831194;4;1;FALSE
PORTO EMPEDOCLE;2015-08-10 20:00:00;20;BENZENE;0,15632002;80400000;19:13;0,09350501;19:58;0,23792817;0,06354114;4;1;FALSE
PORTO EMPEDOCLE;2015-08-10 21:00:00;21;BENZENE;0,12221289;80400000;20:42;0,09290804;20:57;0,14789824;0,01986811;4;1;FALSE
PORTO EMPEDOCLE;2015-08-10 22:00:00;22;BENZENE;0,08925497;80400000;21:43;0,05301418;21:58;0,1104818;0,02340015;4;1;FALSE
PORTO EMPEDOCLE;2015-08-10 23:00:00;23;BENZENE;0,05801375;80400000;22:42;0,04635689;22:28;0,06812578;0,00774039;4;1;FALSE
PORTO EMPEDOCLE;2015-08-11 00:00:00;0;BENZENE;0,02473751;80400000;23:43;0;23:28;0,0581663;0,02549009;4;2;FALSE
PORTO EMPEDOCLE;2015-08-11 00:00:00;0;BENZENE;NA;NA;;NA;;NA;NA;NA;2;FALSE
PORTO EMPEDOCLE;2015-08-11 01:00:00;1;BENZENE;0,10462998;80400000;00:13;0;00:28;0,24341793;0,08776303;4;2;FALSE
PORTO EMPEDOCLE;2015-08-11 01:00:00;1;BENZENE;0,10462998;80400000;00:13;0;00:28;0,24341793;0,08776303;4;2;TRUE
PORTO EMPEDOCLE;2015-08-11 02:00:00;2;BENZENE;0,111212;80400000;01:12;0;01:43;0,24445934;0,09178527;4;2;FALSE
PORTO EMPEDOCLE;2015-08-11 02:00:00;2;BENZENE;0,111212;80400000;01:12;0;01:43;0,24445934;0,09178527;4;2;TRUE
