Stazione;xtime;hour;Parm;Aver;SWrd;MinT;Min;MaxT;Max;Sigma;Samp;is_dup
PORTO EMPEDOCLE;2015-08-10 00:00:00;0;NO2;NA;NA;;NA;;NA;NA;NA;FALSE
PORTO EMPEDOCLE;2015-08-10 01:00:00;1;NO2;NA;NA;;NA;;NA;NA;NA;FALSE
PORTO EMPEDOCLE;2015-08-10 02:00:00;2;NO2;NA;NA;;NA;;NA;NA;NA;FALSE
PORTO EMPEDOCLE;2015-08-10 03:00:00;3;NO2;NA;NA;;NA;;NA;NA;NA;FALSE
PORTO EMPEDOCLE;2015-08-10 04:00:00;4;NO2;NA;NA;;NA;;NA;NA;NA;FALSE
PORTO EMPEDOCLE;2015-08-10 05:00:00;5;NO2;NA;NA;;NA;;NA;NA;NA;FALSE
PORTO EMPEDOCLE;2015-08-10 06:00:00;6;NO2;NA;NA;;NA;;NA;NA;NA;FALSE
PORTO EMPEDOCLE;2015-08-10 07:00:00;7;NO2;NA;NA;;NA;;NA;NA;NA;FALSE
PORTO EMPEDOCLE;2015-08-10 08:00:00;8;NO2;NA;NA;;NA;;NA;NA;NA;FALSE
PORTO EMPEDOCLE;2015-08-10 09:00:00;9;NO2;NA;NA;;NA;;NA;NA;NA;FALSE
PORTO EMPEDOCLE;2015-08-10 10:00:00;10;NO2;NA;NA;;NA;;NA;NA;NA;FALSE
PORTO EMPEDOCLE;2015-08-10 11:00:00;11;NO2;30,18092;82400000;10:01;0;10:09;41,78851904;8,30388866;720;FALSE
PORTO EMPEDOCLE;2015-08-10 12:00:00;12;NO2;26,52896176;82400000;11:32;24,74627032;11:59;30,34919512;1,12369578;720;FALSE
PORTO EMPEDOCLE;2015-08-10 13:00:00;13;NO2;28,95592072;82400000;12:59;24,04590472;12:16;33,1506384;2,51731243;720;FALSE
PORTO EMPEDOCLE;2015-08-10 14:00:00;14;NO2;19,81418984;82400000;13:28;0;13:29;24,27935992;3,98284705;720;FALSE
PORTO EMPEDOCLE;2015-08-10 15:00:00;15;NO2;15,09808123;82400000;14:43;13,54041498;14:00;17,27570201;0,86849541;720;FALSE
PORTO EMPEDOCLE;2015-08-10 16:00:00;16;NO2;13,1023624;82400000;15:37;0;15:46;16,34188121;2,07966137;720;FALSE
PORTO EMPEDOCLE;2015-08-10 17:00:00;17;NO2;12,69997626;82400000;16:01;10,73895067;16:59;14,4742377;0,82734726;720;FALSE
PORTO EMPEDOCLE;2015-08-10 18:00:00;18;NO2;15,26798538;82400000;17:00;13,77387018;17:22;16,80879161;0,57820601;720;FALSE
PORTO EMPEDOCLE;2015-08-10 19:00:00;19;NO2;16,84997035;82400000;18:40;14,9411481;19:00;19,14334552;0,87863092;720;FALSE
PORTO EMPEDOCLE;2015-08-10 20:00:00;20;NO2;17,86841818;82400000;19:59;16,80879161;19:02;19,14334552;0,44695868;720;FALSE
PORTO EMPEDOCLE;2015-08-10 21:00:00;21;NO2;16,49427526;82400000;20:28;14,4742377;20:57;18,20952281;0,9346812;720;FALSE
PORTO EMPEDOCLE;2015-08-10 22:00:00;22;NO2;17,47284068;82400000;21:47;16,34188121;21:58;18,90989032;0,61131611;720;FALSE
PORTO EMPEDOCLE;2015-08-10 23:00:00;23;NO2;16,92941013;82400000;22:40;14,4742377;22:17;19,61025592;1,08465083;720;FALSE
PORTO EMPEDOCLE;2015-08-11 00:00:00;0;NO2;15,88826303;82400000;23:32;14,24078058;23:08;17,97606952;0,83318842;720;FALSE
PORTO EMPEDOCLE;2015-08-11 00:00:00;0;NO2;NA;NA;;NA;;NA;NA;NA;FALSE
PORTO EMPEDOCLE;2015-08-11 01:00:00;1;NO2;NA;NA;;NA;;NA;NA;NA;FALSE
PORTO EMPEDOCLE;2015-08-11 01:00:00;1;NO2;NA;NA;;NA;;NA;NA;NA;TRUE
PORTO EMPEDOCLE;2015-08-11 02:00:00;2;NO2;16,49297892;80400000;01:58;12,60659418;01:01;20,31062152;2,11703714;720;FALSE
PORTO EMPEDOCLE;2015-08-11 02:00:00;2;NO2;16,49297892;80400000;01:58;12,60659418;01:01;20,31062152;2,11703714;720;TRUE
PORTO EMPEDOCLE;2015-08-11 03:00:00;3;NO2;15,23783122;80400000;02:19;12,60659418;02:59;18,20952281;1,97377863;720;FALSE
PORTO EMPEDOCLE;2015-08-11 03:00:00;3;NO2;15,23783122;80400000;02:19;12,60659418;02:59;18,20952281;1,97377863;720;TRUE
PORTO EMPEDOCLE;2015-08-11 04:00:00;4;NO2;15,71090209;80400000;04:00;12,13968187;03:03;18,67643512;1,74819896;720;FALSE
PORTO EMPEDOCLE;2015-08-11 04:00:00;4;NO2;15,71090209;80400000;04:00;12,13968187;03:03;18,67643512;1,74819896;720;TRUE
PORTO EMPEDOCLE;2015-08-11 05:00:00;5;NO2;11,32615455;80400000;04:31;10,03858316;04:01;12,37313707;0,45690299;720;FALSE
PORTO EMPEDOCLE;2015-08-11 05:00:00;5;NO2;11,32615455;80400000;04:31;10,03858316;04:01;12,37313707;0,45690299;720;TRUE
PORTO EMPEDOCLE;2015-08-11 06:00:00;6;NO2;12,79659918;80400000;05:29;11,20586107;05:59;14,9411481;1,2499222;720;FALSE
PORTO EMPEDOCLE;2015-08-11 06:00:00;6;NO2;12,79659918;80400000;05:29;11,20586107;05:59;14,9411481;1,2499222;720;TRUE
PORTO EMPEDOCLE;2015-08-11 07:00:00;7;NO2;15,44210357;80400000;06:07;14,4742377;07:00;17,04224681;0,37054942;720;FALSE
PORTO EMPEDOCLE;2015-08-11 07:00:00;7;NO2;15,44210357;80400000;06:07;14,4742377;07:00;17,04224681;0,37054942;720;TRUE
PORTO EMPEDOCLE;2015-08-11 08:00:00;8;NO2;19,61803776;80400000;07:00;16,80879161;07:36;21,01098712;0,74078146;720;FALSE
PORTO EMPEDOCLE;2015-08-11 08:00:00;8;NO2;19,61803776;80400000;07:00;16,80879161;07:36;21,01098712;0,74078146;720;TRUE
PORTO EMPEDOCLE;2015-08-11 09:00:00;9;NO2;26,809108;80400000;08:00;18,67643512;08:51;34,55138872;4,20369643;720;FALSE
PORTO EMPEDOCLE;2015-08-11 09:00:00;9;NO2;26,809108;80400000;08:00;18,67643512;08:51;34,55138872;4,20369643;720;TRUE
PORTO EMPEDOCLE;2015-08-11 10:00:00;10;NO2;28,58661792;80400000;09:36;24,74627032;09:13;33,38411272;2,67620346;720;FALSE
PORTO EMPEDOCLE;2015-08-11 10:00:00;10;NO2;28,58661792;80400000;09:36;24,74627032;09:13;33,38411272;2,67620346;720;TRUE
PORTO EMPEDOCLE;2015-08-11 11:00:00;11;NO2;24,43012112;80400000;10:09;21,71135272;10:59;34,3179144;1,82700204;720;FALSE
PORTO EMPEDOCLE;2015-08-11 11:00:00;11;NO2;24,43012112;80400000;10:09;21,71135272;10:59;34,3179144;1,82700204;720;TRUE
PORTO EMPEDOCLE;2015-08-11 12:00:00;12;NO2;31,91430096;80400000;12:00;23,34553912;11:03;39,22049272;4,46316822;720;FALSE
PORTO EMPEDOCLE;2015-08-11 12:00:00;12;NO2;31,91430096;80400000;12:00;23,34553912;11:03;39,22049272;4,46316822;720;TRUE
PORTO EMPEDOCLE;2015-08-11 13:00:00;13;NO2;23,74468824;80400000;12:53;20,77753192;12:21;25,91354632;1,47880581;720;FALSE
PORTO EMPEDOCLE;2015-08-11 13:00:00;13;NO2;23,74468824;80400000;12:53;20,77753192;12:21;25,91354632;1,47880581;720;TRUE
PORTO EMPEDOCLE;2015-08-11 14:00:00;14;NO2;17,28024301;80400000;13:51;14,9411481;13:00;21,47789752;1,4699609;720;FALSE
PORTO EMPEDOCLE;2015-08-11 14:00:00;14;NO2;17,28024301;80400000;13:51;14,9411481;13:00;21,47789752;1,4699609;720;TRUE
PORTO EMPEDOCLE;2015-08-11 15:00:00;15;NO2;15,53289298;80400000;14:15;14,00732538;15:00;17,74261432;0,77327207;720;FALSE
PORTO EMPEDOCLE;2015-08-11 15:00:00;15;NO2;15,53289298;80400000;14:15;14,00732538;15:00;17,74261432;0,77327207;720;TRUE
PORTO EMPEDOCLE;2015-08-11 16:00:00;16;NO2;16,91416958;80400000;15:54;14,00732538;15:26;18,67643512;1,37341063;720;FALSE
PORTO EMPEDOCLE;2015-08-11 16:00:00;16;NO2;16,91416958;80400000;15:54;14,00732538;15:26;18,67643512;1,37341063;720;TRUE
PORTO EMPEDOCLE;2015-08-11 17:00:00;17;NO2;12,94899514;80400000;16:42;11,20586107;16:01;15,1746033;0,92989164;720;FALSE
PORTO EMPEDOCLE;2015-08-11 17:00:00;17;NO2;12,94899514;80400000;16:42;11,20586107;16:01;15,1746033;0,92989164;720;TRUE
PORTO EMPEDOCLE;2015-08-11 18:00:00;18;NO2;13,94993479;80400000;17:22;12,13968187;17:52;15,4080585;0,74841034;720;FALSE
PORTO EMPEDOCLE;2015-08-11 18:00:00;18;NO2;13,94993479;80400000;17:22;12,13968187;17:52;15,4080585;0,74841034;720;TRUE
PORTO EMPEDOCLE;2015-08-11 19:00:00;19;NO2;14,86559924;80400000;18:19;13,07350458;18:51;16,5753345;0,73257515;720;FALSE
PORTO EMPEDOCLE;2015-08-11 19:00:00;19;NO2;14,86559924;80400000;18:19;13,07350458;18:51;16,5753345;0,73257515;720;TRUE
PORTO EMPEDOCLE;2015-08-11 20:00:00;20;NO2;17,98028357;80400000;19:07;14,24078058;19:59;27,54773272;3,42673611;720;FALSE
PORTO EMPEDOCLE;2015-08-11 20:00:00;20;NO2;17,98028357;80400000;19:07;14,24078058;19:59;27,54773272;3,42673611;720;TRUE
PORTO EMPEDOCLE;2015-08-11 21:00:00;21;NO2;23,4629168;80400000;20:45;20,54407672;20:00;27,78118792;1,83517966;720;FALSE
PORTO EMPEDOCLE;2015-08-11 21:00:00;21;NO2;23,4629168;80400000;20:45;20,54407672;20:00;27,78118792;1,83517966;720;TRUE
PORTO EMPEDOCLE;2015-08-11 22:00:00;22;NO2;18,14467542;80400000;21:52;14,9411481;21:03;23,57899432;2,77019546;720;FALSE
