Stazione;xtime;hour;Parm;Aver;SWrd;MinT;Min;MaxT;Max;Sigma;Samp;is_dup
PORTO EMPEDOCLE;2015-08-10 00:00:00;0;O3;NA;;;NA;;NA;NA;NA;FALSE
PORTO EMPEDOCLE;2015-08-10 01:00:00;1;O3;NA;;;NA;;NA;NA;NA;FALSE
PORTO EMPEDOCLE;2015-08-10 02:00:00;2;O3;NA;;;NA;;NA;NA;NA;FALSE
PORTO EMPEDOCLE;2015-08-10 03:00:00;3;O3;NA;;;NA;;NA;NA;NA;FALSE
PORTO EMPEDOCLE;2015-08-10 04:00:00;4;O3;NA;;;NA;;NA;NA;NA;FALSE
PORTO EMPEDOCLE;2015-08-10 05:00:00;5;O3;NA;;;NA;;NA;NA;NA;FALSE
PORTO EMPEDOCLE;2015-08-10 06:00:00;6;O3;NA;;;NA;;NA;NA;NA;FALSE
PORTO EMPEDOCLE;2015-08-10 07:00:00;7;O3;NA;;;NA;;NA;NA;NA;FALSE
PORTO EMPEDOCLE;2015-08-10 08:00:00;8;O3;NA;;;NA;;NA;NA;NA;FALSE
PORTO EMPEDOCLE;2015-08-10 09:00:00;9;O3;NA;;;NA;;NA;NA;NA;FALSE
PORTO EMPEDOCLE;2015-08-10 10:00:00;10;O3;NA;;;NA;;NA;NA;NA;FALSE
PORTO EMPEDOCLE;2015-08-10 11:00:00;11;O3;38,2684491;80400000;10:59;22,666392;10:24;46,0592034;6,14441247;720;FALSE
PORTO EMPEDOCLE;2015-08-10 12:00:00;12;O3;19,41124427;80400000;11:59;16,75664141;11:02;22,91263485;1,30960578;720;FALSE
PORTO EMPEDOCLE;2015-08-10 13:00:00;13;O3;21,0521577;80400000;12:05;17,49535998;12:59;25,12880055;1,78120782;720;FALSE
PORTO EMPEDOCLE;2015-08-10 14:00:00;14;O3;23,69192175;C0400000;13:29;0;13:29;40,6419006;5,07430046;717;FALSE
PORTO EMPEDOCLE;2015-08-10 15:00:00;15;O3;27,5542617;80400000;14:02;22,1739063;14:59;31,7772777;2,1740333;720;FALSE
PORTO EMPEDOCLE;2015-08-10 16:00:00;16;O3;31,23972495;80400000;15:38;0;15:30;35,2246377;5,40807194;720;FALSE
PORTO EMPEDOCLE;2015-08-10 17:00:00;17;O3;35,17741605;80400000;16:58;31,7772777;16:19;37,68704625;1,09993527;720;FALSE
PORTO EMPEDOCLE;2015-08-10 18:00:00;18;O3;31,9824834;80400000;17:59;27,59118915;17:04;34,73213205;1,34650131;720;FALSE
PORTO EMPEDOCLE;2015-08-10 19:00:00;19;O3;27,32409855;80400000;19:00;23,8975863;18:33;29,80735485;1,34089536;720;FALSE
PORTO EMPEDOCLE;2015-08-10 20:00:00;20;O3;23,7183954;80400000;19:51;21,68144055;19:08;26,35999485;1,14149312;720;FALSE
PORTO EMPEDOCLE;2015-08-10 21:00:00;21;O3;23,31243285;80400000;20:59;20,4502263;20:22;25,86750915;1,0042052;720;FALSE
PORTO EMPEDOCLE;2015-08-10 22:00:00;22;O3;21,4752174;80400000;21:54;19,21904198;21:49;23,40512055;0,84664209;720;FALSE
PORTO EMPEDOCLE;2015-08-10 23:00:00;23;O3;21,79737;80400000;22:56;18,48031941;22:38;24,63631485;1,11206886;720;FALSE
PORTO EMPEDOCLE;2015-08-11 00:00:00;0;O3;20,72451885;80400000;23:59;17,9878397;23:13;23,40512055;0,90226868;720;FALSE
PORTO EMPEDOCLE;2015-08-11 00:00:00;0;O3;NA;NA;;NA;;NA;NA;NA;FALSE
PORTO EMPEDOCLE;2015-08-11 01:00:00;1;O3;23,76422055;80400000;00:00;17,9878397;00:52;27,59118915;1,94052653;720;FALSE
PORTO EMPEDOCLE;2015-08-11 01:00:00;1;O3;23,76422055;80400000;00:00;17,9878397;00:52;27,59118915;1,94052653;720;TRUE
PORTO EMPEDOCLE;2015-08-11 02:00:00;2;O3;25,5809274;81400000;01:24;22,91263485;01:58;28,8224034;1,430018;720;FALSE
PORTO EMPEDOCLE;2015-08-11 02:00:00;2;O3;25,5809274;81400000;01:24;22,91263485;01:58;28,8224034;1,430018;720;TRUE
PORTO EMPEDOCLE;2015-08-11 03:00:00;3;O3;NA;;;NA;;NA;NA;NA;FALSE
PORTO EMPEDOCLE;2015-08-11 03:00:00;3;O3;NA;NA;;NA;;NA;NA;NA;FALSE
PORTO EMPEDOCLE;2015-08-11 04:00:00;4;O3;23,3645223;82400000;03:09;16,65250041;03:57;34,4258397;5,09391929;720;FALSE
PORTO EMPEDOCLE;2015-08-11 04:00:00;4;O3;23,3645223;82400000;03:09;16,65250041;03:57;34,4258397;5,09391929;720;TRUE
PORTO EMPEDOCLE;2015-08-11 05:00:00;5;O3;33,1258578;82400000;04:55;30,34277295;04:19;35,62671;1,16195583;720;FALSE
PORTO EMPEDOCLE;2015-08-11 05:00:00;5;O3;33,1258578;82400000;04:55;30,34277295;04:19;35,62671;1,16195583;720;TRUE
PORTO EMPEDOCLE;2015-08-11 06:00:00;6;O3;29,89577325;82400000;05:44;26,98024035;05:56;32,2642173;1,26282503;720;FALSE
PORTO EMPEDOCLE;2015-08-11 06:00:00;6;O3;29,89577325;82400000;05:44;26,98024035;05:56;32,2642173;1,26282503;720;TRUE
PORTO EMPEDOCLE;2015-08-11 07:00:00;7;O3;28,74390015;82400000;07:00;26,49988425;06:31;31,0633071;0,83556984;720;FALSE
PORTO EMPEDOCLE;2015-08-11 07:00:00;7;O3;28,74390015;82400000;07:00;26,49988425;06:31;31,0633071;0,83556984;720;TRUE
PORTO EMPEDOCLE;2015-08-11 08:00:00;8;O3;24,38929395;82400000;07:38;22,4168175;07:59;26,98024035;1,20758348;720;FALSE
PORTO EMPEDOCLE;2015-08-11 08:00:00;8;O3;24,38929395;82400000;07:38;22,4168175;07:59;26,98024035;1,20758348;720;TRUE
PORTO EMPEDOCLE;2015-08-11 09:00:00;9;O3;22,56059715;82400000;08:44;18,81412082;08:36;25,7793501;1,36709171;720;FALSE
PORTO EMPEDOCLE;2015-08-11 09:00:00;9;O3;22,56059715;82400000;08:44;18,81412082;08:36;25,7793501;1,36709171;720;TRUE
PORTO EMPEDOCLE;2015-08-11 10:00:00;10;O3;25,1862366;82400000;09:04;21,69628335;09:31;29,3820408;1,8294968;720;FALSE
PORTO EMPEDOCLE;2015-08-11 10:00:00;10;O3;25,1862366;82400000;09:04;21,69628335;09:31;29,3820408;1,8294968;720;TRUE
