Stazione;xtime;hour;Parm;Aver;SWrd;MinT;Min;MaxT;Max;Sigma;Samp;nhour;is_dup
PORTO EMPEDOCLE;2015-08-10 00:00:00;0;SO2;NA;;;NA;;NA;NA;NA;1;FALSE
PORTO EMPEDOCLE;2015-08-10 01:00:00;1;SO2;NA;;;NA;;NA;NA;NA;1;FALSE
PORTO EMPEDOCLE;2015-08-10 02:00:00;2;SO2;NA;;;NA;;NA;NA;NA;1;FALSE
PORTO EMPEDOCLE;2015-08-10 03:00:00;3;SO2;NA;;;NA;;NA;NA;NA;1;FALSE
PORTO EMPEDOCLE;2015-08-10 04:00:00;4;SO2;NA;;;NA;;NA;NA;NA;1;FALSE
PORTO EMPEDOCLE;2015-08-10 05:00:00;5;SO2;NA;;;NA;;NA;NA;NA;1;FALSE
PORTO EMPEDOCLE;2015-08-10 06:00:00;6;SO2;NA;;;NA;;NA;NA;NA;1;FALSE
PORTO EMPEDOCLE;2015-08-10 07:00:00;7;SO2;NA;;;NA;;NA;NA;NA;1;FALSE
PORTO EMPEDOCLE;2015-08-10 08:00:00;8;SO2;NA;;;NA;;NA;NA;NA;1;FALSE
PORTO EMPEDOCLE;2015-08-10 09:00:00;9;SO2;NA;;;NA;;NA;NA;NA;1;FALSE
PORTO EMPEDOCLE;2015-08-10 10:00:00;10;SO2;NA;;;NA;;NA;NA;NA;1;FALSE
PORTO EMPEDOCLE;2015-08-10 11:00:00;11;SO2;33,68399598;82400000;10:59;14,80895397;10:00;61,65261468;14,13739836;720;1;FALSE
PORTO EMPEDOCLE;2015-08-10 12:00:00;12;SO2;15,03811458;82400000;12:00;14,21221905;11:13;16,30079127;0,52418621;720;1;FALSE
PORTO EMPEDOCLE;2015-08-10 13:00:00;13;SO2;14,33363868;82400000;13:00;13,61548413;12:14;15,70405635;0,48287465;720;1;FALSE
PORTO EMPEDOCLE;2015-08-10 14:00:00;14;SO2;34,05829266;C2400000;13:28;0;13:28;1218,421935;138,1028031;719;1;FALSE
PORTO EMPEDOCLE;2015-08-10 15:00:00;15;SO2;13,70126808;82400000;14:33;12,72038175;15:00;14,21221905;0,49596344;720;1;FALSE
PORTO EMPEDOCLE;2015-08-10 16:00:00;16;SO2;13,12172046;82400000;15:36;0;15:49;14,21221905;1,69661839;720;1;FALSE
PORTO EMPEDOCLE;2015-08-10 17:00:00;17;SO2;12,85340535;82400000;16:55;12,12364683;16:20;14,21221905;0,4844327;720;1;FALSE
PORTO EMPEDOCLE;2015-08-10 18:00:00;18;SO2;12,23387946;82400000;17:45;11,22855462;18:00;12,72038175;0,37274067;720;1;FALSE
PORTO EMPEDOCLE;2015-08-10 19:00:00;19;SO2;12,27697992;82400000;19:00;11,22855462;18:44;12,72038175;0,51292598;720;1;FALSE
PORTO EMPEDOCLE;2015-08-10 20:00:00;20;SO2;11,97114768;82400000;20:00;11,22855462;19:48;12,72038175;0,39561097;720;1;FALSE
PORTO EMPEDOCLE;2015-08-10 21:00:00;21;SO2;11,87376993;82400000;20:56;11,22855462;20:47;12,72038175;0,41902027;720;1;FALSE
PORTO EMPEDOCLE;2015-08-10 22:00:00;22;SO2;12,26040282;82400000;21:10;11,22855462;21:53;12,72038175;0,27207598;720;1;FALSE
PORTO EMPEDOCLE;2015-08-10 23:00:00;23;SO2;12,14353935;82400000;22:45;11,22855462;23:00;12,72038175;0,3904324;720;1;FALSE
PORTO EMPEDOCLE;2015-08-11 00:00:00;0;SO2;12,09547593;82400000;23:54;11,22855462;23:46;12,72038175;0,42307505;720;2;FALSE
PORTO EMPEDOCLE;2015-08-11 00:00:00;0;SO2;NA;NA;;NA;;NA;NA;NA;2;FALSE
PORTO EMPEDOCLE;2015-08-11 01:00:00;1;SO2;NA;;;NA;;NA;NA;NA;2;FALSE
PORTO EMPEDOCLE;2015-08-11 01:00:00;1;SO2;NA;NA;;NA;;NA;NA;NA;2;FALSE
PORTO EMPEDOCLE;2015-08-11 02:00:00;2;SO2;NA;;;NA;;NA;NA;NA;2;FALSE
PORTO EMPEDOCLE;2015-08-11 02:00:00;2;SO2;NA;NA;;NA;;NA;NA;NA;2;FALSE
PORTO EMPEDOCLE;2015-08-11 03:00:00;3;SO2;NA;;;NA;;NA;NA;NA;2;FALSE
PORTO EMPEDOCLE;2015-08-11 03:00:00;3;SO2;NA;NA;;NA;;NA;NA;NA;2;FALSE
PORTO EMPEDOCLE;2015-08-11 04:00:00;4;SO2;NA;;;NA;;NA;NA;NA;2;FALSE
PORTO EMPEDOCLE;2015-08-11 04:00:00;4;SO2;NA;NA;;NA;;NA;NA;NA;2;FALSE
PORTO EMPEDOCLE;2015-08-11 05:00:00;5;SO2;NA;;;NA;;NA;NA;NA;2;FALSE
PORTO EMPEDOCLE;2015-08-11 05:00:00;5;SO2;NA;NA;;NA;;NA;NA;NA;2;FALSE
PORTO EMPEDOCLE;2015-08-11 06:00:00;6;SO2;NA;;;NA;;NA;NA;NA;2;FALSE
PORTO EMPEDOCLE;2015-08-11 06:00:00;6;SO2;NA;NA;;NA;;NA;NA;NA;2;FALSE
PORTO EMPEDOCLE;2015-08-11 07:00:00;7;SO2;NA;;;NA;;NA;NA;NA;2;FALSE
PORTO EMPEDOCLE;2015-08-11 07:00:00;7;SO2;NA;NA;;NA;;NA;NA;NA;2;FALSE
