Stazione;xtime;hour;Parm;Aver;SWrd;MinT;Min;MaxT;Max;Sigma;Samp;nhour;is_dup
Partinico;2015-09-02 00:00:00;0;Benzene;1,03711524;80400000;23:36;0,38862926;23:21;2,50670974;0,86879462;4;3;FALSE
Partinico;2015-09-02 00:00:00;0;Benzene;1,03711524;80400000;23:36;0,38862926;23:21;2,50670974;0,86879462;4;3;TRUE
Partinico;2015-09-02 00:00:00;0;Benzene;NA;NA;;NA;;NA;NA;NA;3;FALSE
Partinico;2015-09-02 01:00:00;1;Benzene;0,56450924;80400000;00:21;0,3883923;00:36;1,042485;0,27615516;4;2;FALSE
Partinico;2015-09-02 01:00:00;1;Benzene;0,56450924;80400000;00:21;0,3883923;00:36;1,042485;0,27615516;4;2;TRUE
Partinico;2015-09-02 02:00:00;2;Benzene;0,90019958;80400000;01:36;0,39130906;01:51;2,02021457;0,66511597;4;2;FALSE
Partinico;2015-09-02 02:00:00;2;Benzene;0,90019958;80400000;01:36;0,39130906;01:51;2,02021457;0,66511597;4;2;TRUE
Partinico;2015-09-02 03:00:00;3;Benzene;0,36129027;80400000;02:21;0;02:51;0,8544356;0,30938259;4;2;FALSE
Partinico;2015-09-02 03:00:00;3;Benzene;0,36129027;80400000;02:21;0;02:51;0,8544356;0,30938259;4;2;TRUE
Partinico;2015-09-02 04:00:00;4;Benzene;0,87635704;80400000;03:21;0,42287267;03:06;1,75341275;0,5252866;4;2;FALSE
Partinico;2015-09-02 04:00:00;4;Benzene;0,87635704;80400000;03:21;0,42287267;03:06;1,75341275;0,5252866;4;2;TRUE
Partinico;2015-09-02 05:00:00;5;Benzene;1,36357224;80400000;04:21;0,40930487;04:06;2,83728355;0,92793419;4;2;FALSE
Partinico;2015-09-02 05:00:00;5;Benzene;1,36357224;80400000;04:21;0,40930487;04:06;2,83728355;0,92793419;4;2;TRUE
Partinico;2015-09-02 06:00:00;6;Benzene;1,39358188;80400000;05:06;0,72669125;05:51;1,88516714;0,42045526;4;2;FALSE
Partinico;2015-09-02 06:00:00;6;Benzene;1,39358188;80400000;05:06;0,72669125;05:51;1,88516714;0,42045526;4;2;TRUE
Partinico;2015-09-02 07:00:00;7;Benzene;5,28712875;80400000;06:06;1,78702867;06:21;9,87418724;3,02985149;4;2;FALSE
Partinico;2015-09-02 07:00:00;7;Benzene;5,28712875;80400000;06:06;1,78702867;06:21;9,87418724;3,02985149;4;2;TRUE
Partinico;2015-09-02 08:00:00;8;Benzene;2,0285682;80400000;07:51;1,06102186;07:21;3,91644056;1,10947479;4;2;FALSE
Partinico;2015-09-02 08:00:00;8;Benzene;2,0285682;80400000;07:51;1,06102186;07:21;3,91644056;1,10947479;4;2;TRUE
Partinico;2015-09-02 09:00:00;9;Benzene;0,79719782;80400000;08:36;0,63520701;08:51;1,09318245;0,17615152;4;2;FALSE
Partinico;2015-09-02 09:00:00;9;Benzene;0,79719782;80400000;08:36;0,63520701;08:51;1,09318245;0,17615152;4;2;TRUE
Partinico;2015-09-02 10:00:00;10;Benzene;1,17804195;80400000;09:06;0,7790759;09:51;1,70496897;0,37149078;4;2;FALSE
Partinico;2015-09-02 10:00:00;10;Benzene;1,17804195;80400000;09:06;0,7790759;09:51;1,70496897;0,37149078;4;2;TRUE
Partinico;2015-09-02 11:00:00;11;Benzene;1,41755969;80400000;10:21;1,16728006;10:51;1,95285764;0,31256885;4;2;FALSE
Partinico;2015-09-02 11:00:00;11;Benzene;1,41755969;80400000;10:21;1,16728006;10:51;1,95285764;0,31256885;4;2;TRUE
Partinico;2015-09-02 12:00:00;12;Benzene;1,10112726;80400000;11:51;0,78360765;11:36;1,39430802;0,22009507;4;2;FALSE
Partinico;2015-09-02 12:00:00;12;Benzene;1,10112726;80400000;11:51;0,78360765;11:36;1,39430802;0,22009507;4;2;TRUE
Partinico;2015-09-02 13:00:00;13;Benzene;0,43603468;80400000;12:36;0;12:21;0,78378054;0,28096659;4;2;FALSE
Partinico;2015-09-02 13:00:00;13;Benzene;0,43603468;80400000;12:36;0;12:21;0,78378054;0,28096659;4;2;TRUE
Partinico;2015-09-02 14:00:00;14;Benzene;1,04962841;80400000;13:36;0,50640193;13:51;2,26626348;0,71340008;4;2;FALSE
Partinico;2015-09-02 14:00:00;14;Benzene;1,04962841;80400000;13:36;0,50640193;13:51;2,26626348;0,71340008;4;2;TRUE
Partinico;2015-09-02 15:00:00;15;Benzene;0,90226918;80400000;14:51;0,5062687;14:36;1,77154484;0,50624938;4;2;FALSE
Partinico;2015-09-02 15:00:00;15;Benzene;0,90226918;80400000;14:51;0,5062687;14:36;1,77154484;0,50624938;4;2;TRUE
Partinico;2015-09-02 16:00:00;16;Benzene;1,31966225;80400000;15:21;0,56191996;15:06;2,08277939;0,54245763;4;2;FALSE
Partinico;2015-09-02 16:00:00;16;Benzene;1,31966225;80400000;15:21;0,56191996;15:06;2,08277939;0,54245763;4;2;TRUE
