Stazione;xtime;hour;Parm;Aver;SWrd;MinT;Min;MaxT;Max;Sigma;Samp;is_dup
Partinico;2015-08-30 00:00:00;0;Benzene;NA;NA;;NA;;NA;NA;NA;FALSE
Partinico;2015-08-30 01:00:00;1;Benzene;1,8232898;80400000;00:21;0,58067141;00:36;3,17270744;1,0542161;4;FALSE
Partinico;2015-08-30 02:00:00;2;Benzene;0,76169334;80400000;01:06;0,66570278;01:51;0,83194058;0,06882649;4;FALSE
Partinico;2015-08-30 03:00:00;3;Benzene;1,07698673;80400000;02:51;0,45359217;02:21;1,91392688;0,57222725;4;FALSE
Partinico;2015-08-30 04:00:00;4;Benzene;0,73686532;80400000;03:06;0,25382489;03:51;1,57451533;0,51982023;4;FALSE
Partinico;2015-08-30 05:00:00;5;Benzene;1,15128977;80400000;04:06;0,5199921;04:51;2,12732602;0,60186975;4;FALSE
Partinico;2015-08-30 06:00:00;6;Benzene;1,35384667;80400000;05:21;0,93359888;05:06;1,71008855;0,30219341;4;FALSE
Partinico;2015-08-30 07:00:00;7;Benzene;1,56111331;80400000;06:51;1,11654396;06:21;1,96969509;0,34018345;4;FALSE
Partinico;2015-08-30 08:00:00;8;Benzene;2,03645199;80400000;07:36;1,18330696;07:21;3,36404277;0,8066783;4;FALSE
Partinico;2015-08-30 09:00:00;9;Benzene;1,07984552;80400000;08:06;0,53733195;08:36;1,65757474;0,43955757;4;FALSE
Partinico;2015-08-30 10:00:00;10;Benzene;1,27769473;80400000;09:51;0,7437199;09:06;2,17358223;0,54540998;4;FALSE
Partinico;2015-08-30 11:00:00;11;Benzene;1,45144206;80400000;10:06;0,95276831;10:51;1,88396301;0,38214487;4;FALSE
Partinico;2015-08-30 12:00:00;12;Benzene;1,28703791;80400000;11:51;0,59076411;11:06;1,91038772;0,58405903;4;FALSE
Partinico;2015-08-30 13:00:00;13;Benzene;1,27521935;80400000;12:36;0,5147454;12:21;1,6570876;0,44844717;4;FALSE
Partinico;2015-08-30 14:00:00;14;Benzene;0,79577402;80400000;13:51;0,28021401;13:21;1,93784367;0,66511597;4;FALSE
Partinico;2015-08-30 15:00:00;15;Benzene;0,38186825;80400000;14:36;0;14:06;0,94015548;0,34395042;4;FALSE
Partinico;2015-08-30 16:00:00;16;Benzene;1,44377286;80400000;15:36;0,35729651;15:51;2,33417162;0,71111589;4;FALSE
Partinico;2015-08-30 17:00:00;17;Benzene;0,50628803;80400000;16:36;0,25883769;16:21;1,03877295;0,31777182;4;FALSE
Partinico;2015-08-30 18:00:00;18;Benzene;0,61387035;80400000;17:21;0,30639769;17:36;1,13256069;0,33024634;4;FALSE
Partinico;2015-08-30 19:00:00;19;Benzene;1,27853477;80400000;18:06;0,26280907;18:51;2,40225468;0,86243329;4;FALSE
Partinico;2015-08-30 20:00:00;20;Benzene;1,15227626;80400000;19:06;0,78156145;19:36;1,52902797;0,27299534;4;FALSE
Partinico;2015-08-30 21:00:00;21;Benzene;1,42250129;80400000;20:51;0,4540427;20:36;3,28110744;1,10881578;4;FALSE
Partinico;2015-08-30 22:00:00;22;Benzene;0,74924221;80400000;21:36;0,41269555;21:06;1,22632911;0,32062044;4;FALSE
Partinico;2015-08-30 23:00:00;23;Benzene;2,59161093;80400000;22:06;0,39950099;22:21;5,49779522;1,8387716;4;FALSE
Partinico;2015-08-31 00:00:00;0;Benzene;NA;NA;;NA;;NA;NA;NA;FALSE
Partinico;2015-08-31 00:00:00;0;Benzene;1,35614306;80400000;23:21;0,36499825;23:36;1,95140435;0,62502379;4;FALSE
Partinico;2015-08-31 01:00:00;1;Benzene;NA;NA;;NA;;NA;NA;NA;FALSE
Partinico;2015-08-31 01:00:00;1;Benzene;NA;NA;;NA;;NA;NA;NA;TRUE
Partinico;2015-08-31 02:00:00;2;Benzene;1,31045128;80400000;01:51;0,17036784;01:21;3,86904938;1,48816085;4;FALSE
Partinico;2015-08-31 02:00:00;2;Benzene;1,31045128;80400000;01:51;0,17036784;01:21;3,86904938;1,48816085;4;TRUE
Partinico;2015-08-31 03:00:00;3;Benzene;0,47027707;80400000;02:36;0;02:06;1,1526261;0,44384016;4;FALSE
Partinico;2015-08-31 03:00:00;3;Benzene;0,47027707;80400000;02:36;0;02:06;1,1526261;0,44384016;4;TRUE
Partinico;2015-08-31 04:00:00;4;Benzene;2,15680987;80400000;03:36;0,23591756;03:51;5,4191323;1,97450347;4;FALSE
Partinico;2015-08-31 04:00:00;4;Benzene;2,15680987;80400000;03:36;0,23591756;03:51;5,4191323;1,97450347;4;TRUE
Partinico;2015-08-31 05:00:00;5;Benzene;0,97181876;80400000;04:06;0,4028876;04:36;1,50472574;0,47715809;4;FALSE
Partinico;2015-08-31 05:00:00;5;Benzene;0,97181876;80400000;04:06;0,4028876;04:36;1,50472574;0,47715809;4;TRUE
Partinico;2015-08-31 06:00:00;6;Benzene;1,69175204;80400000;05:06;1,14408737;05:51;2,77168502;0,63811055;4;FALSE
Partinico;2015-08-31 06:00:00;6;Benzene;1,69175204;80400000;05:06;1,14408737;05:51;2,77168502;0,63811055;4;TRUE
Partinico;2015-08-31 07:00:00;7;Benzene;2,35486655;80400000;06:51;1,9945821;06:36;3,08802694;0,4296825;4;FALSE
Partinico;2015-08-31 07:00:00;7;Benzene;2,35486655;80400000;06:51;1,9945821;06:36;3,08802694;0,4296825;4;TRUE
Partinico;2015-08-31 08:00:00;8;Benzene;1,88327552;80400000;07:51;1,59740699;07:36;2,13253916;0,19700307;4;FALSE
Partinico;2015-08-31 08:00:00;8;Benzene;1,88327552;80400000;07:51;1,59740699;07:36;2,13253916;0,19700307;4;TRUE
Partinico;2015-08-31 09:00:00;9;Benzene;1,96224048;80400000;08:06;1,05163394;08:36;2,64153343;0,69374248;5;FALSE
Partinico;2015-08-31 09:00:00;9;Benzene;1,96224048;80400000;08:06;1,05163394;08:36;2,64153343;0,69374248;5;TRUE
Partinico;2015-08-31 10:00:00;10;Benzene;1,95908981;80400000;09:36;1,40758088;09:06;2,67144543;0,5232587;4;FALSE
Partinico;2015-08-31 10:00:00;10;Benzene;1,95908981;80400000;09:36;1,40758088;09:06;2,67144543;0,5232587;4;TRUE
Partinico;2015-08-31 11:00:00;11;Benzene;1,17891759;80400000;10:36;0,97412837;10:06;1,32953427;0,1301882;4;FALSE
Partinico;2015-08-31 11:00:00;11;Benzene;1,17891759;80400000;10:36;0,97412837;10:06;1,32953427;0,1301882;4;TRUE
Partinico;2015-08-31 12:00:00;12;Benzene;1,12820692;80400000;11:51;0,87247108;11:36;1,33927306;0,17401379;4;FALSE
Partinico;2015-08-31 12:00:00;12;Benzene;1,12820692;80400000;11:51;0,87247108;11:36;1,33927306;0,17401379;4;TRUE
Partinico;2015-08-31 13:00:00;13;Benzene;1,30580258;80400000;12:36;0,93199914;12:51;2,01562383;0,42099427;4;FALSE
