Stazione;xtime;hour;Parm;Aver;SWrd;MinT;Min;MaxT;Max;Sigma;Samp;is_dup
Partinico;2015-08-30 00:00:00;0;CO;NA;NA;;NA;;NA;NA;NA;FALSE
Partinico;2015-08-30 01:00:00;1;CO;0,18202229;80400000;00:21;0,10452198;00:51;0,33787437;0,03473982;720;FALSE
Partinico;2015-08-30 02:00:00;2;CO;0,2124884;80400000;01:50;0,10452198;01:17;0,41079728;0,04500187;720;FALSE
Partinico;2015-08-30 03:00:00;3;CO;0,19421738;81400000;02:14;0,10452198;02:57;0,49830384;0,0648824;720;FALSE
Partinico;2015-08-30 04:00:00;4;CO;NA;NA;;NA;;NA;NA;NA;FALSE
Partinico;2015-08-30 05:00:00;5;CO;0,24179702;80400000;04:52;0,12977882;04:07;0,69847334;0,08484936;720;FALSE
Partinico;2015-08-30 06:00:00;6;CO;0,22061184;80400000;05:40;0,12977882;05:04;0,40683542;0,04658101;720;FALSE
Partinico;2015-08-30 07:00:00;7;CO;0,3595653;80400000;06:58;0,20268888;06:47;0,94636616;0,12289579;720;FALSE
Partinico;2015-08-30 08:00:00;8;CO;0,280904;80400000;07:18;0,12977882;07:38;0,52349059;0,0885928;720;FALSE
Partinico;2015-08-30 09:00:00;9;CO;0,40146846;80400000;08:05;0,15894261;08:31;1,06302133;0,17142619;720;FALSE
Partinico;2015-08-30 10:00:00;10;CO;0,25735011;80400000;09:44;0,12977882;09:59;0,55265438;0,07148861;720;FALSE
Partinico;2015-08-30 11:00:00;11;CO;0,25099152;80400000;10:47;0,12977882;10:00;0,55265438;0,0688571;720;FALSE
Partinico;2015-08-30 12:00:00;12;CO;0,20771128;80400000;11:25;0,12977882;11:07;0,39225294;0,03965477;720;FALSE
Partinico;2015-08-30 13:00:00;13;CO;0,21362486;80400000;12:59;0,1443613;12:08;0,42141674;0,04067794;720;FALSE
Partinico;2015-08-30 14:00:00;14;CO;0,17279509;80400000;13:51;0,10061502;13:06;0,33392536;0,03313733;720;FALSE
Partinico;2015-08-30 15:00:00;15;CO;0,15667435;80400000;14:59;0,10061502;14:41;0,29018026;0,02535378;720;FALSE
Partinico;2015-08-30 16:00:00;16;CO;0,17099286;80400000;15:35;0,10061502;15:06;0,29018026;0,02554299;720;FALSE
Partinico;2015-08-30 17:00:00;17;CO;0,15371814;80400000;16:57;0,10061502;16:18;0,27559778;0,02410518;720;FALSE
Partinico;2015-08-30 18:00:00;18;CO;0,16647738;80400000;17:15;0,08603371;17:53;0,33392536;0,03460083;720;FALSE
Partinico;2015-08-30 19:00:00;19;CO;0,25769467;80400000;18:40;0,1151975;18:28;0,71305582;0,09218674;720;FALSE
Partinico;2015-08-30 20:00:00;20;CO;0,22443938;80400000;19:50;0,12977882;19:39;0,5672357;0,07035331;720;FALSE
Partinico;2015-08-30 21:00:00;21;CO;0,18405578;80400000;20:48;0,10061502;20:28;0,37767163;0,04297072;720;FALSE
Partinico;2015-08-30 22:00:00;22;CO;0,1779191;80400000;21:54;0,10061502;21:40;0,31934405;0,03633998;720;FALSE
Partinico;2015-08-30 23:00:00;23;CO;0,16313573;80400000;22:56;0,10061502;22:42;0,40683542;0,03211066;720;FALSE
Partinico;2015-08-31 00:00:00;0;CO;NA;NA;;NA;;NA;NA;NA;FALSE
Partinico;2015-08-31 00:00:00;0;CO;0,173302;80400000;23:39;0,10061502;23:21;0,37767163;0,04668146;720;FALSE
Partinico;2015-08-31 01:00:00;1;CO;0,14994784;80400000;00:59;0,08603371;00:25;0,29018026;0,02862418;710;FALSE
Partinico;2015-08-31 01:00:00;1;CO;0,14994784;80400000;00:59;0,08603371;00:25;0,29018026;0,02862418;710;TRUE
Partinico;2015-08-31 02:00:00;2;CO;0,13563166;80400000;01:29;0,07145123;01:43;0,30476157;0,02903648;720;FALSE
Partinico;2015-08-31 02:00:00;2;CO;0,13563166;80400000;01:29;0,07145123;01:43;0,30476157;0,02903648;720;TRUE
Partinico;2015-08-31 03:00:00;3;CO;0,13536886;81400000;02:09;0,04228744;02:54;0,29018026;0,03129422;720;FALSE
Partinico;2015-08-31 03:00:00;3;CO;0,13536886;81400000;02:09;0,04228744;02:54;0,29018026;0,03129422;720;TRUE
Partinico;2015-08-31 04:00:00;4;CO;NA;NA;;NA;;NA;NA;NA;FALSE
Partinico;2015-08-31 04:00:00;4;CO;NA;NA;;NA;;NA;NA;NA;TRUE
Partinico;2015-08-31 05:00:00;5;CO;0,23536952;80400000;04:08;0,12299157;04:58;0,45776022;0,0582832;720;FALSE
Partinico;2015-08-31 05:00:00;5;CO;0,23536952;80400000;04:08;0,12299157;04:58;0,45776022;0,0582832;720;TRUE
Partinico;2015-08-31 06:00:00;6;CO;0,41698534;80400000;05:10;0,21032176;05:31;1,08363186;0,14665174;720;FALSE
