Stazione;xtime;hour;Parm;Aver;SWrd;MinT;Min;MaxT;Max;Sigma;Samp;is_dup
Partinico;2015-08-30 00:00:00;0;NO2;NA;NA;;NA;;NA;NA;NA;FALSE
Partinico;2015-08-30 01:00:00;1;NO2;14,76078914;80400000;00:07;5,38921482;00:53;27,18038016;5,59437434;720;FALSE
Partinico;2015-08-30 02:00:00;2;NO2;20,83797024;80400000;01:59;6,56078518;01:05;31,86665392;7,03318493;720;FALSE
Partinico;2015-08-30 03:00:00;3;NO2;NA;NA;;NA;;NA;NA;NA;FALSE
Partinico;2015-08-30 04:00:00;4;NO2;10,25220136;80400000;03:00;4,68627376;03:59;23,1970532;3,22855922;720;FALSE
Partinico;2015-08-30 05:00:00;5;NO2;12,54229362;80400000;04:45;6,56078518;04:02;26,24313688;3,86210425;720;FALSE
Partinico;2015-08-30 06:00:00;6;NO2;18,20682689;80400000;05:40;7,9666673;05:47;32,1009504;5,357902;720;FALSE
Partinico;2015-08-30 07:00:00;7;NO2;24,97035672;80400000;06:44;14,29313688;06:26;37,49019008;5,56781283;720;FALSE
Partinico;2015-08-30 08:00:00;8;NO2;17,71151373;80400000;07:53;4,92058745;07:01;51,54899224;9,42312566;720;FALSE
Partinico;2015-08-30 09:00:00;9;NO2;17,21001716;80400000;08:57;7,49803993;08:36;30,92941064;6,2389038;720;FALSE
Partinico;2015-08-30 10:00:00;10;NO2;13,86746832;80400000;09:15;0;09:52;38,66172984;4,56991518;720;FALSE
Partinico;2015-08-30 11:00:00;11;NO2;11,02966836;80400000;10:22;4,92058745;10:38;17,8078422;2,35612127;720;FALSE
Partinico;2015-08-30 12:00:00;12;NO2;8,1765724;80400000;11:48;3,74901901;11:00;14,52745057;1,8667487;720;FALSE
Partinico;2015-08-30 13:00:00;13;NO2;4,53885282;80400000;12:09;0,70294106;12:07;28,82057024;2,99897774;720;FALSE
Partinico;2015-08-30 14:00:00;14;NO2;3,78807161;80400000;13:03;0,23431369;13:16;9,84117681;1,72162598;720;FALSE
Partinico;2015-08-30 15:00:00;15;NO2;1,61839137;80400000;14:42;0;14:12;4,45196007;0,9199588;720;FALSE
Partinico;2015-08-30 16:00:00;16;NO2;3,36305313;80400000;15:17;1,64019582;15:56;5,8578422;0,92068918;720;FALSE
Partinico;2015-08-30 17:00:00;17;NO2;4,13466176;80400000;16:41;1,40588213;16:56;7,02941255;0,95357558;720;FALSE
Partinico;2015-08-30 18:00:00;18;NO2;6,52758903;80400000;17:09;2,34313688;17:46;10,0754905;1,92075122;720;FALSE
Partinico;2015-08-30 19:00:00;19;NO2;17,7479641;80400000;18:03;7,26372624;18:49;59,0470532;5,57190451;720;FALSE
Partinico;2015-08-30 20:00:00;20;NO2;14,3683129;80400000;19:59;8,66960837;19:00;22,9627376;2,94577825;720;FALSE
Partinico;2015-08-30 21:00:00;21;NO2;6,66785335;80400000;20:46;0,93725475;20:09;13,12156844;2,40418513;720;FALSE
Partinico;2015-08-30 22:00:00;22;NO2;6,89468156;80400000;21:49;2,10882319;21:24;12,41862738;2,23360605;720;FALSE
Partinico;2015-08-30 23:00:00;23;NO2;5,28898205;80400000;22:06;1,8745095;22:55;9,84117681;1,78033586;720;FALSE
Partinico;2015-08-31 00:00:00;0;NO2;NA;NA;;NA;;NA;NA;NA;FALSE
Partinico;2015-08-31 00:00:00;0;NO2;6,11949366;80400000;23:28;1,40588213;23:03;10,54411787;1,75627334;720;FALSE
Partinico;2015-08-31 01:00:00;1;NO2;2,78140361;80400000;01:00;0;00:02;9,84117681;2,41477952;710;FALSE
Partinico;2015-08-31 01:00:00;1;NO2;2,78140361;80400000;01:00;0;00:02;9,84117681;2,41477952;710;TRUE
Partinico;2015-08-31 02:00:00;2;NO2;1,62197254;80400000;02:00;0;01:33;7,02941255;1,5193708;720;FALSE
Partinico;2015-08-31 02:00:00;2;NO2;1,62197254;80400000;02:00;0;01:33;7,02941255;1,5193708;720;TRUE
Partinico;2015-08-31 03:00:00;3;NO2;NA;NA;;NA;;NA;NA;NA;FALSE
Partinico;2015-08-31 03:00:00;3;NO2;NA;NA;;NA;;NA;NA;NA;TRUE
Partinico;2015-08-31 04:00:00;4;NO2;3,07471588;80400000;03:48;0;03:31;8,20098099;1,62335492;720;FALSE
Partinico;2015-08-31 04:00:00;4;NO2;3,07471588;80400000;03:48;0;03:31;8,20098099;1,62335492;720;TRUE
Partinico;2015-08-31 05:00:00;5;NO2;14,08550898;80400000;04:15;2,34313688;04:59;37,49019008;8,70512568;720;FALSE
Partinico;2015-08-31 05:00:00;5;NO2;14,08550898;80400000;04:15;2,34313688;04:59;37,49019008;8,70512568;720;TRUE
Partinico;2015-08-31 06:00:00;6;NO2;43,4541196;80400000;05:09;33,7411596;05:37;51,54899224;4,5109663;720;FALSE
Partinico;2015-08-31 06:00:00;6;NO2;43,4541196;80400000;05:09;33,7411596;05:37;51,54899224;4,5109663;720;TRUE
Partinico;2015-08-31 07:00:00;7;NO2;50,881188;80400000;06:55;27,88332696;06:40;191,4340288;20,86167904;720;FALSE
Partinico;2015-08-31 07:00:00;7;NO2;50,881188;80400000;06:55;27,88332696;06:40;191,4340288;20,86167904;720;TRUE
Partinico;2015-08-31 08:00:00;8;NO2;38,539706;80400000;07:47;21,32254752;07:57;66,77941064;10,73698131;720;FALSE
Partinico;2015-08-31 08:00:00;8;NO2;38,539706;80400000;07:47;21,32254752;07:57;66,77941064;10,73698131;720;TRUE
Partinico;2015-08-31 09:00:00;9;NO2;34,62635824;80400000;08:45;18,51078518;08:05;67,71665392;9,32782202;720;FALSE
Partinico;2015-08-31 09:00:00;9;NO2;34,62635824;80400000;08:45;18,51078518;08:05;67,71665392;9,32782202;720;TRUE
Partinico;2015-08-31 10:00:00;10;NO2;23,0375924;80400000;09:14;0;09:41;113,40783264;16,7777847;720;FALSE
Partinico;2015-08-31 10:00:00;10;NO2;23,0375924;80400000;09:14;0;09:41;113,40783264;16,7777847;720;TRUE
Partinico;2015-08-31 11:00:00;11;NO2;14,86848827;80400000;10:59;7,02941255;10:35;19,91665392;2,49578331;685;FALSE
Partinico;2015-08-31 11:00:00;11;NO2;14,86848827;80400000;10:59;7,02941255;10:35;19,91665392;2,49578331;685;TRUE
Partinico;2015-08-31 12:00:00;12;NO2;14,36110848;80400000;11:00;8,43529468;11:04;23,9;3,22079842;686;FALSE
Partinico;2015-08-31 12:00:00;12;NO2;14,36110848;80400000;11:00;8,43529468;11:04;23,9;3,22079842;686;TRUE
Partinico;2015-08-31 13:00:00;13;NO2;10,74751452;80400000;12:25;6,32647149;12:00;18,27647149;2,45123562;720;FALSE
Partinico;2015-08-31 13:00:00;13;NO2;10,74751452;80400000;12:25;6,32647149;12:00;18,27647149;2,45123562;720;TRUE
Partinico;2015-08-31 14:00:00;14;NO2;10,15457082;80400000;13:11;4,45196007;13:32;49,20587448;5,47679016;720;FALSE
Partinico;2015-08-31 14:00:00;14;NO2;10,15457082;80400000;13:11;4,45196007;13:32;49,20587448;5,47679016;720;TRUE
Partinico;2015-08-31 15:00:00;15;NO2;10,04847967;80400000;14:56;6,32647149;14:11;12,88725475;1,39207366;720;FALSE
Partinico;2015-08-31 15:00:00;15;NO2;10,04847967;80400000;14:56;6,32647149;14:11;12,88725475;1,39207366;720;TRUE
Partinico;2015-08-31 16:00:00;16;NO2;15,1259276;80400000;15:00;8,43529468;15:55;21,556844;2,88437437;720;FALSE
Partinico;2015-08-31 16:00:00;16;NO2;15,1259276;80400000;15:00;8,43529468;15:55;21,556844;2,88437437;720;TRUE
Partinico;2015-08-31 17:00:00;17;NO2;29,17172816;80400000;16:03;13,8245095;16:12;51,54899224;6,89264337;720;FALSE
Partinico;2015-08-31 17:00:00;17;NO2;29,17172816;80400000;16:03;13,8245095;16:12;51,54899224;6,89264337;720;TRUE
Partinico;2015-08-31 18:00:00;18;NO2;29,56517952;80400000;17:10;17,10490114;17:32;65,37351704;7,19481967;720;FALSE
Partinico;2015-08-31 18:00:00;18;NO2;29,56517952;80400000;17:10;17,10490114;17:32;65,37351704;7,19481967;720;TRUE
Partinico;2015-08-31 19:00:00;19;NO2;25,79500232;80400000;18:59;14,52745057;18:35;54,36077944;6,38238602;720;FALSE
Partinico;2015-08-31 19:00:00;19;NO2;25,79500232;80400000;18:59;14,52745057;18:35;54,36077944;6,38238602;720;TRUE
