Stazione;xtime;hour;Parm;Aver;SWrd;MinT;Min;MaxT;Max;Sigma;Samp;is_dup
Partinico;2015-08-30 00:00:00;0;O3;NA;;;NA;;NA;NA;NA;FALSE
Partinico;2015-08-30 01:00:00;1;O3;47,3115048;80400000;00:59;31,36449225;00:21;59,66995125;7,47099371;720;FALSE
Partinico;2015-08-30 02:00:00;2;O3;35,17326645;80400000;01:05;24,73039905;01:55;50,38222875;6,60386097;720;FALSE
Partinico;2015-08-30 03:00:00;3;O3;51,21206895;80400000;02:21;34,0181415;02:56;60,33336855;6,5858561;720;FALSE
Partinico;2015-08-30 04:00:00;4;O3;48,33300465;81400000;03:56;23,62473015;03:09;57,01628205;6,60806244;720;FALSE
Partinico;2015-08-30 05:00:00;5;O3;NA;;;NA;;NA;NA;NA;FALSE
Partinico;2015-08-30 06:00:00;6;O3;42,25156635;C0400000;05:59;0;05:33;52,6626135;6,87819741;719;FALSE
Partinico;2015-08-30 07:00:00;7;O3;44,2905561;80400000;06:02;25,61103195;06:59;69,59735055;10,55142333;720;FALSE
Partinico;2015-08-30 08:00:00;8;O3;61,63793895;80400000;07:00;20,33266095;07:16;77,29493835;8,76335072;720;FALSE
Partinico;2015-08-30 09:00:00;9;O3;63,26849235;80400000;08:30;40,3464411;08:53;79,27433745;8,38560944;720;FALSE
Partinico;2015-08-30 10:00:00;10;O3;72,6049128;80400000;09:31;60,58015005;09:56;83,2331157;5,51195159;720;FALSE
Partinico;2015-08-30 11:00:00;11;O3;79,59138285;80400000;10:13;66,9581451;10:47;90,93072345;4,91956826;720;FALSE
Partinico;2015-08-30 12:00:00;12;O3;92,50717245;80400000;11:39;79,4942463;11:58;104,7863775;5,33540406;720;FALSE
Partinico;2015-08-30 13:00:00;13;O3;93,71498535;80400000;12:06;48,70383525;12:35;104,5664487;6,30389676;720;FALSE
Partinico;2015-08-30 14:00:00;14;O3;85,3972917;80400000;13:26;74,21589525;13:05;95,1093906;4,96424828;720;FALSE
Partinico;2015-08-30 15:00:00;15;O3;86,24829885;80400000;14:55;76,41522315;14:25;93,7898178;3,6611861;720;FALSE
Partinico;2015-08-30 16:00:00;16;O3;80,37154755;80400000;15:31;73,7760177;15:58;87,191874;2,81599437;720;FALSE
Partinico;2015-08-30 17:00:00;17;O3;81,5216052;80400000;16:01;74,6557728;16:38;88,95132435;2,40146928;720;FALSE
Partinico;2015-08-30 18:00:00;18;O3;81,8243265;80400000;17:56;75,97536555;17:12;86,97192525;2,29594376;720;FALSE
Partinico;2015-08-30 19:00:00;19;O3;53,1968745;80400000;18:49;34,6282125;18:02;81,6935742;11,3561405;720;FALSE
Partinico;2015-08-30 20:00:00;20;O3;47,47710975;80400000;19:26;37,9271844;19:26;101,26749675;4,71221993;720;FALSE
Partinico;2015-08-30 21:00:00;21;O3;51,093147;80400000;20:05;43,20553545;20:42;57,06124935;2,73431109;720;FALSE
Partinico;2015-08-30 22:00:00;22;O3;50,37716145;80400000;21:21;42,7656978;21:46;57,06124935;3,13962527;720;FALSE
Partinico;2015-08-30 23:00:00;23;O3;51,54798705;80400000;22:50;45,62479215;22:42;59,48046615;2,43838875;720;FALSE
Partinico;2015-08-31 00:00:00;0;O3;NA;NA;;NA;;NA;NA;NA;FALSE
Partinico;2015-08-31 00:00:00;0;O3;49,6492458;80400000;23:41;38,58699075;23:27;59,92036365;3,94902071;720;FALSE
Partinico;2015-08-31 01:00:00;1;O3;53,1377826;80400000;00:37;40,3464411;00:51;59,04060855;3,75972912;710;FALSE
Partinico;2015-08-31 01:00:00;1;O3;53,1377826;80400000;00:37;40,3464411;00:51;59,04060855;3,75972912;710;TRUE
Partinico;2015-08-31 02:00:00;2;O3;49,36669395;80400000;01:31;42,1058715;01:57;59,04060855;3,54122276;720;FALSE
Partinico;2015-08-31 02:00:00;2;O3;49,36669395;80400000;01:31;42,1058715;01:57;59,04060855;3,54122276;720;TRUE
Partinico;2015-08-31 03:00:00;3;O3;52,9020933;80400000;02:08;34,40826375;02:24;57,72103575;3,49970681;720;FALSE
Partinico;2015-08-31 03:00:00;3;O3;52,9020933;80400000;02:08;34,40826375;02:24;57,72103575;3,49970681;720;TRUE
Partinico;2015-08-31 04:00:00;4;O3;49,4781945;81400000;03:27;38,58699075;03:48;57,94096455;3,22589106;720;FALSE
Partinico;2015-08-31 04:00:00;4;O3;49,4781945;81400000;03:27;38,58699075;03:48;57,94096455;3,22589106;720;TRUE
Partinico;2015-08-31 05:00:00;5;O3;NA;NA;;NA;;NA;NA;NA;FALSE
Partinico;2015-08-31 05:00:00;5;O3;NA;;;NA;;NA;NA;NA;FALSE
Partinico;2015-08-31 06:00:00;6;O3;24,6509382;80400000;06:00;15,3559958;05:44;34,00256055;4,18090155;720;FALSE
Partinico;2015-08-31 06:00:00;6;O3;24,6509382;80400000;06:00;15,3559958;05:44;34,00256055;4,18090155;720;TRUE
Partinico;2015-08-31 07:00:00;7;O3;26,57134515;80400000;06:14;8,33611149;06:51;50,89414575;9,93321672;720;FALSE
Partinico;2015-08-31 07:00:00;7;O3;26,57134515;80400000;06:14;8,33611149;06:51;50,89414575;9,93321672;720;TRUE
Partinico;2015-08-31 08:00:00;8;O3;47,9076507;80400000;07:12;21,05963895;07:45;73,70876625;14,42651133;720;FALSE
Partinico;2015-08-31 08:00:00;8;O3;47,9076507;80400000;07:12;21,05963895;07:45;73,70876625;14,42651133;720;TRUE
Partinico;2015-08-31 09:00:00;9;O3;75,9948168;80400000;08:44;42,55803825;08:45;103,1045127;11,50513707;720;FALSE
Partinico;2015-08-31 09:00:00;9;O3;75,9948168;80400000;08:44;42,55803825;08:45;103,1045127;11,50513707;720;TRUE
Partinico;2015-08-31 10:00:00;10;O3;71,6993823;80400000;09:13;13,82039642;09:44;122,40921;12,48455439;720;FALSE
Partinico;2015-08-31 10:00:00;10;O3;71,6993823;80400000;09:13;13,82039642;09:44;122,40921;12,48455439;720;TRUE
Partinico;2015-08-31 11:00:00;11;O3;73,5486276;80400000;10:30;51,7716066;10:58;93,23283375;7,85994888;685;FALSE
Partinico;2015-08-31 11:00:00;11;O3;73,5486276;80400000;10:30;51,7716066;10:58;93,23283375;7,85994888;685;TRUE
Partinico;2015-08-31 12:00:00;12;O3;92,4656565;80400000;11:48;68,22447135;11:49;118,6799166;10,75749486;686;FALSE
Partinico;2015-08-31 12:00:00;12;O3;92,4656565;80400000;11:48;68,22447135;11:49;118,6799166;10,75749486;686;TRUE
Partinico;2015-08-31 13:00:00;13;O3;96,9551247;80400000;12:08;57,4752717;12:09;116,70556485;7,53807758;720;FALSE
Partinico;2015-08-31 13:00:00;13;O3;96,9551247;80400000;12:08;57,4752717;12:09;116,70556485;7,53807758;720;TRUE
Partinico;2015-08-31 14:00:00;14;O3;80,7432759;80400000;13:33;59,6690136;13:05;102,66579225;9,1088508;720;FALSE
Partinico;2015-08-31 14:00:00;14;O3;80,7432759;80400000;13:33;59,6690136;13:05;102,66579225;9,1088508;720;TRUE
Partinico;2015-08-31 15:00:00;15;O3;65,2215375;80400000;14:35;52,4297571;14:44;74,586267;4,82773242;720;FALSE
Partinico;2015-08-31 15:00:00;15;O3;65,2215375;80400000;14:35;52,4297571;14:44;74,586267;4,82773242;720;TRUE
Partinico;2015-08-31 16:00:00;16;O3;57,18278475;80400000;15:44;46,0679814;15:23;66,46950975;4,2371426;720;FALSE
Partinico;2015-08-31 16:00:00;16;O3;57,18278475;80400000;15:44;46,0679814;15:23;66,46950975;4,2371426;720;TRUE
Partinico;2015-08-31 17:00:00;17;O3;45,80474115;80400000;16:46;33,7831704;16:04;60,7658646;5,01183102;720;FALSE
Partinico;2015-08-31 17:00:00;17;O3;45,80474115;80400000;16:46;33,7831704;16:04;60,7658646;5,01183102;720;TRUE
Partinico;2015-08-31 18:00:00;18;O3;45,59937585;80400000;17:30;30,053877;17:46;55,2815697;5,56466148;720;FALSE
Partinico;2015-08-31 18:00:00;18;O3;45,59937585;80400000;17:30;30,053877;17:46;55,2815697;5,56466148;720;TRUE
Partinico;2015-08-31 19:00:00;19;O3;50,3143389;80400000;18:00;35,75752215;18:48;58,57214265;4,6845792;720;FALSE
Partinico;2015-08-31 19:00:00;19;O3;50,3143389;80400000;18:00;35,75752215;18:48;58,57214265;4,6845792;720;TRUE
Partinico;2015-08-31 20:00:00;20;O3;53,7091107;80400000;19:34;40,58366655;19:18;60,7658646;3,92827869;720;FALSE
Partinico;2015-08-31 20:00:00;20;O3;53,7091107;80400000;19:34;40,58366655;19:18;60,7658646;3,92827869;720;TRUE
Partinico;2015-08-31 21:00:00;21;O3;58,03588665;80400000;20:41;51,33288615;20:32;65,592009;2,76470093;720;FALSE
Partinico;2015-08-31 21:00:00;21;O3;58,03588665;80400000;20:41;51,33288615;20:32;65,592009;2,76470093;720;TRUE
Partinico;2015-08-31 22:00:00;22;O3;60,51846465;80400000;21:34;51,7716066;21:48;67,56636075;2,83605809;720;FALSE
Partinico;2015-08-31 22:00:00;22;O3;60,51846465;80400000;21:34;51,7716066;21:48;67,56636075;2,83605809;720;TRUE
Partinico;2015-08-31 23:00:00;23;O3;60,9188013;80400000;22:12;53,0878677;22:48;68,0051211;3,33567791;720;FALSE
Partinico;2015-08-31 23:00:00;23;O3;60,9188013;80400000;22:12;53,0878677;22:48;68,0051211;3,33567791;720;TRUE
Partinico;2015-09-01 00:00:00;0;O3;62,7472188;80400000;00:00;50,67477555;23:05;69,3213423;3,18228435;720;FALSE
Partinico;2015-09-01 00:00:00;0;O3;NA;NA;;NA;;NA;NA;NA;FALSE
Partinico;2015-09-01 00:00:00;0;O3;62,7472188;80400000;00:00;50,67477555;23:05;69,3213423;3,18228435;720;TRUE
