Stazione;xtime;hour;Parm;Aver;SWrd;MinT;Min;MaxT;Max;Sigma;Samp;is_dup
Partinico;2015-08-30 00:00:00;0;SO2;NA;NA;;NA;;NA;NA;NA;FALSE
Partinico;2015-08-30 01:00:00;1;SO2;18,62738217;81400000;00:35;16,96694661;00:23;21,86125911;0,78941472;720;FALSE
Partinico;2015-08-30 02:00:00;2;SO2;NA;NA;;NA;;NA;NA;NA;FALSE
Partinico;2015-08-30 03:00:00;3;SO2;18,76650777;80400000;02:10;16,96694661;02:59;22,84012161;0,80969981;720;FALSE
Partinico;2015-08-30 04:00:00;4;SO2;19,25549154;80400000;03:47;17,29323072;03:18;23,16640572;0,80804921;720;FALSE
Partinico;2015-08-30 05:00:00;5;SO2;18,70624035;80400000;04:40;16,96694661;04:01;22,18754322;0,80799836;720;FALSE
Partinico;2015-08-30 06:00:00;6;SO2;19,15125921;80400000;05:18;17,29323072;05:48;22,84012161;0,89000111;720;FALSE
Partinico;2015-08-30 07:00:00;7;SO2;20,03902902;80400000;06:02;18,27209322;06:55;24,14526822;0,86043183;720;FALSE
Partinico;2015-08-30 08:00:00;8;SO2;20,07801063;80400000;07:59;18,27209322;07:05;23,16640572;0,86746337;720;FALSE
Partinico;2015-08-30 09:00:00;9;SO2;20,64221172;80400000;08:00;18,27209322;08:33;24,79784661;0,95237067;720;FALSE
Partinico;2015-08-30 10:00:00;10;SO2;20,69795349;80400000;09:30;18,92467161;09:19;25,12413072;0,80136346;720;FALSE
Partinico;2015-08-30 11:00:00;11;SO2;20,32679934;80400000;10:38;18,27209322;10:44;23,81898411;0,83492954;720;FALSE
Partinico;2015-08-30 12:00:00;12;SO2;20,21848884;80400000;11:48;18,5983875;11:42;24,14526822;0,72494404;720;FALSE
Partinico;2015-08-30 13:00:00;13;SO2;20,04221223;80400000;12:06;17,29323072;12:33;23,4927;0,72163778;720;FALSE
Partinico;2015-08-30 14:00:00;14;SO2;22,01760252;80400000;13:06;18,5983875;13:45;31,32357966;2,34873506;720;FALSE
Partinico;2015-08-30 15:00:00;15;SO2;23,92638948;80400000;14:55;21,53496483;14:23;27,08183538;0,88681688;720;FALSE
Partinico;2015-08-30 16:00:00;16;SO2;23,09571405;80400000;15:37;21,20868072;15:12;25,450425;0,67179257;720;FALSE
Partinico;2015-08-30 17:00:00;17;SO2;23,08075398;80400000;16:59;20,5561125;16:14;27,08183538;1,00153143;720;FALSE
Partinico;2015-08-30 18:00:00;18;SO2;21,1225815;80400000;17:51;19,25095572;17:39;24,79784661;0,65075084;720;FALSE
Partinico;2015-08-30 19:00:00;19;SO2;20,15097021;80400000;18:46;18,27209322;18:28;23,16640572;0,67176104;720;FALSE
Partinico;2015-08-30 20:00:00;20;SO2;20,25882306;80400000;19:50;18,5983875;19:27;24,14526822;0,77654967;720;FALSE
Partinico;2015-08-30 21:00:00;21;SO2;20,42649585;80400000;20:20;18,5983875;20:39;24,4715625;0,79408479;720;FALSE
Partinico;2015-08-30 22:00:00;22;SO2;20,64810015;80400000;21:02;18,92467161;21:48;24,4715625;0,73078366;720;FALSE
Partinico;2015-08-30 23:00:00;23;SO2;21,04281819;80400000;22:32;19,25095572;22:56;25,450425;0,8120806;720;FALSE
Partinico;2015-08-31 00:00:00;0;SO2;NA;NA;;NA;;NA;NA;NA;FALSE
Partinico;2015-08-31 00:00:00;0;SO2;20,85248664;80400000;23:53;18,92467161;23:41;24,79784661;0,77843112;720;FALSE
Partinico;2015-08-31 01:00:00;1;SO2;21,01842036;81400000;00:41;19,57725;00:57;25,12413072;0,69406691;710;FALSE
Partinico;2015-08-31 01:00:00;1;SO2;21,01842036;81400000;00:41;19,57725;00:57;25,12413072;0,69406691;710;TRUE
Partinico;2015-08-31 02:00:00;2;SO2;NA;NA;;NA;;NA;NA;NA;FALSE
Partinico;2015-08-31 02:00:00;2;SO2;NA;NA;;NA;;NA;NA;NA;TRUE
Partinico;2015-08-31 03:00:00;3;SO2;21,7148823;80400000;02:00;19,90353411;02:47;25,450425;0,84176175;720;FALSE
Partinico;2015-08-31 03:00:00;3;SO2;21,7148823;80400000;02:00;19,90353411;02:47;25,450425;0,84176175;720;TRUE
Partinico;2015-08-31 04:00:00;4;SO2;22,14268335;80400000;03:53;20,5561125;03:46;26,4292875;0,80874688;720;FALSE
Partinico;2015-08-31 04:00:00;4;SO2;22,14268335;80400000;03:53;20,5561125;03:46;26,4292875;0,80874688;720;TRUE
Partinico;2015-08-31 05:00:00;5;SO2;22,42274481;80400000;04:09;20,5561125;04:37;26,75557161;0,81049307;720;FALSE
Partinico;2015-08-31 05:00:00;5;SO2;22,42274481;80400000;04:09;20,5561125;04:37;26,75557161;0,81049307;720;TRUE
Partinico;2015-08-31 06:00:00;6;SO2;23,14918791;80400000;05:58;21,53496483;05:47;27,08183538;0,84474664;720;FALSE
Partinico;2015-08-31 06:00:00;6;SO2;23,14918791;80400000;05:58;21,53496483;05:47;27,08183538;0,84474664;720;TRUE
Partinico;2015-08-31 07:00:00;7;SO2;23,96988657;80400000;06:28;21,53496483;06:42;29,69215911;1,15674394;720;FALSE
Partinico;2015-08-31 07:00:00;7;SO2;23,96988657;80400000;06:28;21,53496483;06:42;29,69215911;1,15674394;720;TRUE
Partinico;2015-08-31 08:00:00;8;SO2;23,83348653;80400000;07:29;22,18754322;07:55;27,08183538;0,80207739;720;FALSE
Partinico;2015-08-31 08:00:00;8;SO2;23,83348653;80400000;07:29;22,18754322;07:55;27,08183538;0,80207739;720;TRUE
Partinico;2015-08-31 09:00:00;9;SO2;23,95266876;80400000;08:24;22,18754322;08:55;27,40812966;0,75707514;720;FALSE
Partinico;2015-08-31 09:00:00;9;SO2;23,95266876;80400000;08:24;22,18754322;08:55;27,40812966;0,75707514;720;TRUE
Partinico;2015-08-31 10:00:00;10;SO2;24,39995553;80400000;09:21;21,86125911;09:45;28,38699216;1,08226089;720;FALSE
Partinico;2015-08-31 10:00:00;10;SO2;24,39995553;80400000;09:21;21,86125911;09:45;28,38699216;1,08226089;720;TRUE
Partinico;2015-08-31 11:00:00;11;SO2;23,31168417;80400000;10:47;21,53496483;10:08;27,08183538;0,78524807;685;FALSE
Partinico;2015-08-31 11:00:00;11;SO2;23,31168417;80400000;10:47;21,53496483;10:08;27,08183538;0,78524807;685;TRUE
Partinico;2015-08-31 12:00:00;12;SO2;23,68152639;80400000;11:19;21,86125911;11:10;26,75557161;0,60717646;686;FALSE
Partinico;2015-08-31 12:00:00;12;SO2;23,68152639;80400000;11:19;21,86125911;11:10;26,75557161;0,60717646;686;TRUE
Partinico;2015-08-31 13:00:00;13;SO2;24,36733017;80400000;12:00;22,18754322;12:10;26,75557161;0,73909865;720;FALSE
Partinico;2015-08-31 13:00:00;13;SO2;24,36733017;80400000;12:00;22,18754322;12:10;26,75557161;0,73909865;720;TRUE
Partinico;2015-08-31 14:00:00;14;SO2;23,91822297;80400000;13:52;22,18754322;13:17;26,75557161;0,61722239;720;FALSE
Partinico;2015-08-31 14:00:00;14;SO2;23,91822297;80400000;13:52;22,18754322;13:17;26,75557161;0,61722239;720;TRUE
Partinico;2015-08-31 15:00:00;15;SO2;23,9816736;80400000;14:01;22,18754322;14:36;27,08183538;0,61352152;720;FALSE
Partinico;2015-08-31 15:00:00;15;SO2;23,9816736;80400000;14:01;22,18754322;14:36;27,08183538;0,61352152;720;TRUE
Partinico;2015-08-31 16:00:00;16;SO2;24,39995553;80400000;15:59;22,84012161;15:57;26,4292875;0,59909334;720;FALSE
Partinico;2015-08-31 16:00:00;16;SO2;24,39995553;80400000;15:59;22,84012161;15:57;26,4292875;0,59909334;720;TRUE
Partinico;2015-08-31 17:00:00;17;SO2;24,60342672;80400000;16:01;22,84012161;16:53;28,71328644;0,68004654;720;FALSE
Partinico;2015-08-31 17:00:00;17;SO2;24,60342672;80400000;16:01;22,84012161;16:53;28,71328644;0,68004654;720;TRUE
Partinico;2015-08-31 18:00:00;18;SO2;25,19935821;80400000;17:09;23,16640572;17:57;28,06070805;0,69446455;720;FALSE
Partinico;2015-08-31 18:00:00;18;SO2;25,19935821;80400000;17:09;23,16640572;17:57;28,06070805;0,69446455;720;TRUE
Partinico;2015-08-31 19:00:00;19;SO2;25,25057433;80400000;18:49;23,81898411;18:51;28,06070805;0,64533837;720;FALSE
Partinico;2015-08-31 19:00:00;19;SO2;25,25057433;80400000;18:49;23,81898411;18:51;28,06070805;0,64533837;720;TRUE
Partinico;2015-08-31 20:00:00;20;SO2;25,25419485;80400000;19:08;23,4927;19:55;28,38699216;0,71163456;720;FALSE
